,Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,OFCmed_L,OFCmed_R,OFCant_L
Precentral_L,1.0,0.8473880636302215,0.507022543632555,0.4984053846771022,0.8295419029634648,0.645757638034872,0.6194878549202048,0.8507478075213933,0.7124890203932428,0.7505480519788026,0.2813841112034438,0.3400296981467553,0.3813088264715056,0.21448861472890962,0.03263215220242312,0.13496647637597226,0.4850417451446867,0.3615721762006723,-0.08882824269314767,0.06915530192012925,0.14502830535438377,0.09635533574869462,0.028870265419260653,0.10388100651517751,0.10938549058143215
Precentral_R,0.8473880636302215,1.0,0.5630928823310771,0.6636010224993301,0.8164604891020624,0.8133888237425229,0.7174037950535855,0.7190823889072518,0.7146375374811359,0.7253924591650344,0.29756834175434216,0.34342760438559705,0.42273892752325626,-0.04431293814013621,0.01040573807572221,-0.05270265749888061,0.555286026124247,0.5005330749121798,0.017542715680973615,-0.15265858442735789,0.03015916633275509,0.23521987191617227,0.028670151541744505,0.09272321901601142,0.06100952667223565
Frontal_Sup_2_L,0.507022543632555,0.5630928823310771,1.0,0.7769567392624631,0.7315585816881147,0.6820728941719262,0.6464388838722452,0.489603608574653,0.6129032464580674,0.5847618720406385,0.7460733089911602,0.4067877732706981,0.6653378561651839,0.11700644865530031,-0.1828148626739817,-0.09776077230464449,0.816790446984776,0.7668841574964494,-0.10278666795991016,-0.24614322099654307,-0.15111354743032812,0.108551371857243,-0.059158583241449056,-0.07688955489917149,0.48958517795743495
Frontal_Sup_2_R,0.4984053846771022,0.6636010224993301,0.7769567392624631,1.0,0.651860968234955,0.7246706329768908,0.5808373896353102,0.5675545330613081,0.5703955938639131,0.6546704242170517,0.5217417003940863,0.4977664284529054,0.5070378949814424,0.22365045894900196,-0.14174261868334645,-0.07909097042851178,0.8225712702625312,0.7946190128076174,0.05934389856905421,-0.20219001802261793,0.0038299906635123394,0.15731850910879452,0.03160858367829361,0.1670140282339856,0.2072834360229345
Frontal_Mid_2_L,0.8295419029634648,0.8164604891020624,0.7315585816881147,0.651860968234955,1.0,0.8168135117031042,0.7517698941192537,0.7678017271891493,0.7357309482818931,0.811633580561614,0.51570631398251,0.4629302357755055,0.553014831427679,0.10545048042178387,-0.02454401883051368,-0.014116815074448591,0.6830569754376912,0.6214267998426172,-0.09942865263790708,-0.1545127559577061,0.0128824617484534,0.13749080636603742,-0.028081378720936752,0.043196800806061544,0.33361941962270564
Frontal_Mid_2_R,0.645757638034872,0.8133888237425229,0.6820728941719262,0.7246706329768908,0.8168135117031042,1.0,0.8150744785672278,0.7075690021042513,0.6982547012237063,0.8521025976830214,0.6067798035411325,0.6980249986155554,0.5383633504620333,0.05382569333945953,-0.05309996557539008,-0.13938666067817448,0.7703405394532906,0.7461824117845939,-0.029343177722220767,-0.29453848982334174,-0.10589208890398485,0.2576790196453533,-0.013416839241101984,0.14276865091533747,0.37579432525994216
Frontal_Inf_Oper_L,0.6194878549202048,0.7174037950535855,0.6464388838722452,0.5808373896353102,0.7517698941192537,0.8150744785672278,1.0,0.709444620891903,0.8406811443318607,0.7547466745922697,0.5941006291292148,0.4910219788407791,0.755668512319458,0.10466483279193625,-0.09022090816633689,-0.23075382119246624,0.7257165134123637,0.6643566227882408,-0.08201102742905747,-0.22926764466443394,-0.15734142923618163,0.2815186194155842,-0.18336558523214777,-0.15630400514746431,0.459563867732128
Frontal_Inf_Oper_R,0.8507478075213933,0.7190823889072518,0.489603608574653,0.5675545330613081,0.7678017271891493,0.7075690021042513,0.709444620891903,1.0,0.7808906251695292,0.902739226517983,0.42367117328206466,0.6166198087328412,0.4520771730949813,0.5041686866703664,0.003779077572665028,0.15715067235488045,0.6044867057842044,0.46720283834275195,-0.03722698070978752,0.07974291874305124,0.09260410770901337,0.17784799783906757,0.011372258258110222,0.2002558417354886,0.23042874635832866
Frontal_Inf_Tri_L,0.7124890203932428,0.7146375374811359,0.6129032464580674,0.5703955938639131,0.7357309482818931,0.6982547012237063,0.8406811443318607,0.7808906251695292,1.0,0.8005390382326631,0.5672528138295774,0.4767100476836107,0.6802076839293779,0.203065802367283,0.00034484801327136613,0.04076321252848095,0.6499002884199968,0.5211536588839544,-0.13991023631768562,-0.022764781990411168,-0.009630696194683076,0.24941685651031845,-0.07339884967212314,-0.01783485198295279,0.37345006852742313
Frontal_Inf_Tri_R,0.7505480519788026,0.7253924591650344,0.5847618720406385,0.6546704242170517,0.811633580561614,0.8521025976830214,0.7547466745922697,0.902739226517983,0.8005390382326631,1.0,0.567168574190894,0.7559276832241167,0.5027648033528761,0.37407081741840303,-0.005322576167661624,0.027706996171702598,0.7276436245934282,0.605679417325042,-0.01733141743022115,-0.07948579419933352,0.035837113570962746,0.21995310851276395,-0.04189503811504662,0.2224770760301765,0.38314090101789755
Frontal_Inf_Orb_2_L,0.2813841112034438,0.29756834175434216,0.7460733089911602,0.5217417003940863,0.51570631398251,0.6067798035411325,0.5941006291292148,0.42367117328206466,0.5672528138295774,0.567168574190894,1.0,0.6581047824282007,0.6972823548970842,0.2746436709453454,-0.14609689370451703,0.00938590521769781,0.7589377160737497,0.6604697406456593,-0.13986030427520926,-0.25218704603659253,-0.16803193132391006,0.14038931348843922,-0.09814118250589941,0.013255932576780954,0.6751436995192848
Frontal_Inf_Orb_2_R,0.3400296981467553,0.34342760438559705,0.4067877732706981,0.4977664284529054,0.4629302357755055,0.6980249986155554,0.4910219788407791,0.6166198087328412,0.4767100476836107,0.7559276832241167,0.6581047824282007,1.0,0.3738201800166442,0.48688473176932234,-0.026650992821236206,0.15276775507144175,0.6892566747550407,0.5692025521812425,-0.02588971084253715,-0.0987724296916413,-0.0036289193561115144,0.1843560691083187,0.12049187100177848,0.35322082136418476,0.43785844908241883
Rolandic_Oper_L,0.3813088264715056,0.42273892752325626,0.6653378561651839,0.5070378949814424,0.553014831427679,0.5383633504620333,0.755668512319458,0.4520771730949813,0.6802076839293779,0.5027648033528761,0.6972823548970842,0.3738201800166442,1.0,0.235176964328494,-0.12455489838828218,-0.08684889673249128,0.6892171619915543,0.5491865344549266,-0.1796059059922774,-0.13830235494590973,-0.10010253418790675,0.23244071447719195,-0.16474964577818818,-0.2696543585605071,0.5264758035392263
Rolandic_Oper_R,0.21448861472890962,-0.04431293814013621,0.11700644865530031,0.22365045894900196,0.10545048042178387,0.05382569333945953,0.10466483279193625,0.5041686866703664,0.203065802367283,0.37407081741840303,0.2746436709453454,0.48688473176932234,0.235176964328494,1.0,0.017128337381925398,0.4110084531660844,0.27629416589467637,0.11562987262334648,0.07066510291302178,0.35791298996694526,0.2456690131299707,0.09383474288076525,0.05873092069949334,0.2148850877658249,0.15295996390583655
