,Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,OFCmed_L,OFCmed_R,OFCant_L,OFCant_R,OFCpost_L,OFCpost_R,OFClat_L,OFClat_R,Insula_L,Insula_R,Cingulate_Mid_L,Cingulate_Mid_R,Cingulate_Post_L,Cingulate_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R
Precentral_L,1.0,0.8473880636302215,0.507022543632555,0.4984053846771022,0.8295419029634648,0.645757638034872,0.6194878549202048,0.8507478075213933,0.7124890203932428,0.7505480519788026,0.2813841112034438,0.3400296981467553,0.3813088264715056,0.21448861472890962,0.03263215220242312,0.13496647637597226,0.4850417451446867,0.3615721762006723,-0.08882824269314767,0.06915530192012925,0.14502830535438377,0.09635533574869462,0.028870265419260653,0.10388100651517751,0.10938549058143215,0.036049869262149,0.075233642280335,0.28236338713268344,-0.16020050579370743,0.0679199446484009,0.3103783828867149,0.4296391937029252,0.5730194048312008,0.5951110813026007,0.6591272355423622,0.5757007630058544,0.6865409396031652,0.6211174113294662,0.6381896070525526,0.5089617790362828,0.3796367428582327,0.23881084617125867,0.04639553405479994,0.13538297614606826,-0.004147425265731219,0.04253479556732619,0.24013819412222845,0.3146686066217672,-0.06942175772420145,0.2543324858400111
Precentral_R,0.8473880636302215,1.0,0.5630928823310771,0.6636010224993301,0.8164604891020624,0.8133888237425229,0.7174037950535855,0.7190823889072518,0.7146375374811359,0.7253924591650344,0.29756834175434216,0.34342760438559705,0.42273892752325626,-0.04431293814013621,0.01040573807572221,-0.05270265749888061,0.555286026124247,0.5005330749121798,0.017542715680973615,-0.15265858442735789,0.03015916633275509,0.23521987191617227,0.028670151541744505,0.09272321901601142,0.06100952667223565,0.010665933812337028,0.2386710972340292,0.3620275146647877,-0.1945134565019888,-0.016905873444508265,0.37418980617048836,0.3795493389925302,0.5312495565964941,0.5662963010521828,0.5988407995768664,0.5349332167196996,0.7217924393056322,0.7342483217824176,0.6783495291084323,0.5463366811485261,0.3594723288068239,0.40299410529105817,0.015345420000967046,0.0485708849897729,0.011236809855046331,0.004144614886971447,0.1293892103372182,0.13564343072855778,-0.2774825674924777,0.2933866960413742
Frontal_Sup_2_L,0.507022543632555,0.5630928823310771,1.0,0.7769567392624631,0.7315585816881147,0.6820728941719262,0.6464388838722452,0.489603608574653,0.6129032464580674,0.5847618720406385,0.7460733089911602,0.4067877732706981,0.6653378561651839,0.11700644865530031,-0.1828148626739817,-0.09776077230464449,0.816790446984776,0.7668841574964494,-0.10278666795991016,-0.24614322099654307,-0.15111354743032812,0.108551371857243,-0.059158583241449056,-0.07688955489917149,0.48958517795743495,0.04662644204971058,0.6254560504397819,0.2672563174907977,0.23479721873126685,0.430822170602264,0.7333823394807648,0.7256280741279848,0.6863015656317285,0.6958169404916023,0.5452307195380881,0.4877769661397623,0.6553032707351568,0.5459344458086048,0.5680635060792442,0.5131795880590125,0.33679965405574624,0.2176555529410807,0.29532390967449246,0.3000915988595425,0.22989979153735668,0.19485482221983763,0.2659016982361862,0.16809118752450802,-0.07747401195884701,0.18837600440562358
Frontal_Sup_2_R,0.4984053846771022,0.6636010224993301,0.7769567392624631,1.0,0.651860968234955,0.7246706329768908,0.5808373896353102,0.5675545330613081,0.5703955938639131,0.6546704242170517,0.5217417003940863,0.4977664284529054,0.5070378949814424,0.22365045894900196,-0.14174261868334645,-0.07909097042851178,0.8225712702625312,0.7946190128076174,0.05934389856905421,-0.20219001802261793,0.0038299906635123394,0.15731850910879452,0.03160858367829361,0.1670140282339856,0.2072834360229345,0.06960742152786532,0.4980303701384039,0.2695072373546323,0.23329718034381292,0.39391220900864754,0.5622276575302961,0.6513513675603637,0.7202273165031292,0.72852249484749,0.5274157306496152,0.4755457013374118,0.6145473834652563,0.5556666358402763,0.49419718558068565,0.5518612407855007,0.2293709756828988,0.17860865899427983,0.2348649046020797,0.18235946890212104,0.17045504677386075,0.14431155059479406,0.24527038253495168,0.20635617719254037,-0.14169110885684247,0.19748259802266183
Frontal_Mid_2_L,0.8295419029634648,0.8164604891020624,0.7315585816881147,0.651860968234955,1.0,0.8168135117031042,0.7517698941192537,0.7678017271891493,0.7357309482818931,0.811633580561614,0.51570631398251,0.4629302357755055,0.553014831427679,0.10545048042178387,-0.02454401883051368,-0.014116815074448591,0.6830569754376912,0.6214267998426172,-0.09942865263790708,-0.1545127559577061,0.0128824617484534,0.13749080636603742,-0.028081378720936752,0.043196800806061544,0.33361941962270564,0.022423814625078656,0.3341676654259947,0.4084566545340752,-0.15354011530544476,0.23688711360440112,0.5156551111068076,0.5493895750370379,0.6109496958448143,0.6044032180927,0.6597574207370681,0.5512203479190593,0.7751515488920544,0.73589575451036,0.7227142983131243,0.626895835667017,0.4822548976225362,0.3670928153566038,0.09062815967049738,0.15329215644348765,0.024205986383427917,0.02439400782559487,0.15865771123399952,0.157480172503639,-0.2219483070307182,0.21392365932151844
Frontal_Mid_2_R,0.645757638034872,0.8133888237425229,0.6820728941719262,0.7246706329768908,0.8168135117031042,1.0,0.8150744785672278,0.7075690021042513,0.6982547012237063,0.8521025976830214,0.6067798035411325,0.6980249986155554,0.5383633504620333,0.05382569333945953,-0.05309996557539008,-0.13938666067817448,0.7703405394532906,0.7461824117845939,-0.029343177722220767,-0.29453848982334174,-0.10589208890398485,0.2576790196453533,-0.013416839241101984,0.14276865091533747,0.37579432525994216,0.03782696384238714,0.5520841619940594,0.6150680420301089,-0.1736353837075476,0.35827927771161,0.5395403665326576,0.48988542157932274,0.5263380820045324,0.5391228288927467,0.5137807851337043,0.44696399863084485,0.7923829041247691,0.8609205493184942,0.7854249937422033,0.7527338433469999,0.5810930105521663,0.5224314608586305,-0.03171645119893566,-0.01625295541876683,-0.09917639421627873,-0.05788162169908464,0.07080514005928105,0.07133452870212088,-0.4063013251883933,0.15806851087202536
Frontal_Inf_Oper_L,0.6194878549202048,0.7174037950535855,0.6464388838722452,0.5808373896353102,0.7517698941192537,0.8150744785672278,1.0,0.709444620891903,0.8406811443318607,0.7547466745922697,0.5941006291292148,0.4910219788407791,0.755668512319458,0.10466483279193625,-0.09022090816633689,-0.23075382119246624,0.7257165134123637,0.6643566227882408,-0.08201102742905747,-0.22926764466443394,-0.15734142923618163,0.2815186194155842,-0.18336558523214777,-0.15630400514746431,0.459563867732128,0.02926569213749103,0.6074741337224416,0.49841006787353126,-0.14173410817869714,0.24010619248302686,0.6764127754607663,0.4196832492722156,0.6076514023854129,0.6155943681330219,0.4855122129673728,0.3859558494726733,0.7302675376830633,0.7565441182453716,0.6822136477018074,0.5852761727248694,0.50418967319478,0.4614947241186271,-0.01065800332916996,-0.023428645749392525,-0.12765007174115495,-0.13521161560470477,0.24950840680968633,0.14070791748763348,-0.39581731446295837,0.1083186617479225
Frontal_Inf_Oper_R,0.8507478075213933,0.7190823889072518,0.489603608574653,0.5675545330613081,0.7678017271891493,0.7075690021042513,0.709444620891903,1.0,0.7808906251695292,0.902739226517983,0.42367117328206466,0.6166198087328412,0.4520771730949813,0.5041686866703664,0.003779077572665028,0.15715067235488045,0.6044867057842044,0.46720283834275195,-0.03722698070978752,0.07974291874305124,0.09260410770901337,0.17784799783906757,0.011372258258110222,0.2002558417354886,0.23042874635832866,0.05576848942390209,0.27447495288174284,0.3734067945293801,-0.04901241162454054,0.34383457124878825,0.40083452545085424,0.4923546728697269,0.697081346311915,0.6749004596034324,0.6620916182937665,0.589232773532091,0.6878842841172932,0.6495300042604211,0.6263513708451416,0.5806581870227102,0.4203906969400053,0.16004251736129863,0.09118241191249658,0.1441383202704815,-0.050965574198423215,0.04268629645900936,0.374882381833661,0.47339672811539496,-0.059235053591335046,0.22086755483070758
Frontal_Inf_Tri_L,0.7124890203932428,0.7146375374811359,0.6129032464580674,0.5703955938639131,0.7357309482818931,0.6982547012237063,0.8406811443318607,0.7808906251695292,1.0,0.8005390382326631,0.5672528138295774,0.4767100476836107,0.6802076839293779,0.203065802367283,0.00034484801327136613,0.04076321252848095,0.6499002884199968,0.5211536588839544,-0.13991023631768562,-0.022764781990411168,-0.009630696194683076,0.24941685651031845,-0.07339884967212314,-0.01783485198295279,0.37345006852742313,0.09651954141311164,0.4964343586111191,0.42415133852462067,-0.028939189163579522,0.24841123293794634,0.6410205809795001,0.5415740960300635,0.6132777773767566,0.6355581569081568,0.5815246891650976,0.5478018382550033,0.7015791944350399,0.6831679749810664,0.6624439385539078,0.5295335681796044,0.46068556070273586,0.2567480951903594,0.049841657437305696,0.007872250673864456,-0.10209353415541374,-0.1565112448891734,0.28449388744809356,0.22944649720254606,-0.29357412334620786,0.08272458612566003
Frontal_Inf_Tri_R,0.7505480519788026,0.7253924591650344,0.5847618720406385,0.6546704242170517,0.811633580561614,0.8521025976830214,0.7547466745922697,0.902739226517983,0.8005390382326631,1.0,0.567168574190894,0.7559276832241167,0.5027648033528761,0.37407081741840303,-0.005322576167661624,0.027706996171702598,0.7276436245934282,0.605679417325042,-0.01733141743022115,-0.07948579419933352,0.035837113570962746,0.21995310851276395,-0.04189503811504662,0.2224770760301765,0.38314090101789755,0.07512797001248729,0.44019031653222546,0.572804054185434,-0.13529232285664441,0.44962293637728223,0.5123713139604588,0.5525357745861978,0.6158244745201121,0.6256208619226952,0.6170686952902849,0.5321597967382826,0.7865563048463868,0.8040743771553573,0.7612436578175661,0.7599142112538391,0.5917904458407202,0.34602901048432994,-0.005413887453526692,-0.0018227462172652436,-0.11279767752078053,-0.059625761922083124,0.22203537725727074,0.29309345196039066,-0.2558684044280224,0.15715688624449822
