,Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R
Precentral_L,1.0,0.8473880636302215,0.507022543632555,0.4984053846771022,0.8295419029634648,0.645757638034872,0.6194878549202048,0.8507478075213933,0.7124890203932428,0.7505480519788026
Precentral_R,0.8473880636302215,1.0,0.5630928823310771,0.6636010224993301,0.8164604891020624,0.8133888237425229,0.7174037950535855,0.7190823889072518,0.7146375374811359,0.7253924591650344
Frontal_Sup_2_L,0.507022543632555,0.5630928823310771,1.0,0.7769567392624631,0.7315585816881147,0.6820728941719262,0.6464388838722452,0.489603608574653,0.6129032464580674,0.5847618720406385
Frontal_Sup_2_R,0.4984053846771022,0.6636010224993301,0.7769567392624631,1.0,0.651860968234955,0.7246706329768908,0.5808373896353102,0.5675545330613081,0.5703955938639131,0.6546704242170517
Frontal_Mid_2_L,0.8295419029634648,0.8164604891020624,0.7315585816881147,0.651860968234955,1.0,0.8168135117031042,0.7517698941192537,0.7678017271891493,0.7357309482818931,0.811633580561614
Frontal_Mid_2_R,0.645757638034872,0.8133888237425229,0.6820728941719262,0.7246706329768908,0.8168135117031042,1.0,0.8150744785672278,0.7075690021042513,0.6982547012237063,0.8521025976830214
Frontal_Inf_Oper_L,0.6194878549202048,0.7174037950535855,0.6464388838722452,0.5808373896353102,0.7517698941192537,0.8150744785672278,1.0,0.709444620891903,0.8406811443318607,0.7547466745922697
Frontal_Inf_Oper_R,0.8507478075213933,0.7190823889072518,0.489603608574653,0.5675545330613081,0.7678017271891493,0.7075690021042513,0.709444620891903,1.0,0.7808906251695292,0.902739226517983
Frontal_Inf_Tri_L,0.7124890203932428,0.7146375374811359,0.6129032464580674,0.5703955938639131,0.7357309482818931,0.6982547012237063,0.8406811443318607,0.7808906251695292,1.0,0.8005390382326631
Frontal_Inf_Tri_R,0.7505480519788026,0.7253924591650344,0.5847618720406385,0.6546704242170517,0.811633580561614,0.8521025976830214,0.7547466745922697,0.902739226517983,0.8005390382326631,1.0
