,Occipital_Sup_L,Thal_VL_L,ACC_pre_R,Frontal_Inf_Orb_2_R,Cingulate_Mid_L,N_Acc_R,Thal_AV_R,OFCmed_R,Cerebellum_3_R,Frontal_Sup_2_L,Vermis_9,Cerebellum_Crus2_R,Precentral_L,Raphe_M,Olfactory_L,Thal_PuI_L,Parietal_Inf_R,Cerebellum_8_L,Thal_VPL_L,Cuneus_L,Vermis_4_5,Olfactory_R,Cerebellum_Crus2_L,Caudate_R,Cerebellum_9_R,Fusiform_L,Red_N_L,Angular_R,Cingulate_Post_L,Cerebellum_8_R,Frontal_Inf_Tri_R,Rolandic_Oper_L,Frontal_Mid_2_L,OFCant_R,Insula_L,Occipital_Mid_L,Cuneus_R,Paracentral_Lobule_R,Precuneus_R,Occipital_Sup_R
Occipital_Sup_L,1.0,0.0035941985854126587,-0.20052594939268467,-0.2633911906747308,0.2418295302295982,-0.2573574357171893,-0.018608908292682518,0.03652114608996531,0.1538398426700437,0.2549507610511663,0.22092324822395068,0.26325514685321233,0.36868227420813526,0.032604110915499654,-0.19973392555269318,-0.14742856004861524,0.6517980138080164,0.035980203603762126,-0.22614265887526017,0.7167262717923409,0.12110446665021432,-0.27308743264821006,0.20943344568571046,-0.13593274666090907,0.009739251466837415,0.041224414225254094,0.15625103654780984,0.7718763388172919,0.17438201440080697,0.09225323045448497,-0.07822715053169006,0.2550962276546718,0.09733000676701449,-0.2813091022935861,0.23984791408710626,0.6790732120914822,0.6169335347913066,0.44438904903416493,0.3347069117363434,0.7697350644541014
Thal_VL_L,0.0035941985854126587,1.0,0.374836567392859,0.3913646127352395,0.730940007120586,0.29154216665319427,0.39718245340857905,0.12148022857802217,0.6592603836159598,0.5821906309170972,0.12203357885207076,0.15840757017186666,0.2680022533642759,0.5395755085485098,0.43519397992662223,0.5502577639890853,0.09078098443331162,0.46093178304760635,0.6205717890924554,0.21176035251536973,0.6457889111978999,0.18848218576842038,0.16490845543435517,0.6298849992972354,0.45240346858291697,0.5058085415637843,0.45461718508005977,0.15422006017846188,0.5325374833984053,0.44750120716210834,0.6154231186267578,0.6249080445959555,0.5045107342180758,0.33272871636233586,0.6114310518542322,-0.05978632598368702,0.09411404470003648,0.38660345389611556,0.5019509501520014,0.006298547850920681
ACC_pre_R,-0.20052594939268467,0.374836567392859,1.0,0.5635178741213305,0.349257737456663,0.3314121904953707,0.13187772806898015,0.33902589053248305,0.17423126042252346,0.2949647650230911,-0.00011904990004118262,-0.03916181398662109,-0.3471311938724107,0.2656678267447679,0.7463071144524376,0.532727631531633,-0.3700270556932426,0.19050580638664577,0.5403554125190917,-0.13342408253782886,0.24237632552420324,0.4241856306454933,-0.2977713523741076,0.7591048223736784,0.16445838151678727,0.2420036394776188,0.29785801117569255,-0.3207367688021881,0.23159561040092613,0.14654775653486296,0.5335726823251915,0.2893172751075524,0.004728504808364896,0.59507104629379,0.4879481800231374,-0.05056427562446737,-0.3362105974382517,-0.23513106374552253,0.0708131678265381,-0.3129997160343721
Frontal_Inf_Orb_2_R,-0.2633911906747308,0.3913646127352395,0.5635178741213305,1.0,0.2595122343241634,0.46313713133937073,0.3027691924874589,0.036087155115364415,0.43453993236825283,0.14231988396138362,-0.5021965665536505,-0.41227837222229047,0.10628359079152898,0.37453378820776634,0.4667809420141024,0.7223735501757798,-0.27057198468306515,-0.0480654860771772,0.7187981993178213,-0.233792423327414,0.11951016410675509,0.47645953193531687,-0.19206192244997689,0.7508961869363108,-0.06866294135861244,-0.12312666988663858,0.20497692894324177,-0.16382131725884747,0.5260869545923564,-0.16781278359172974,0.7873440897054437,0.05959448463938561,0.44146156130327174,0.45448665092157664,0.22448413916378568,-0.4601562483732784,-0.2773009420777967,-0.10560140129943192,0.24317551019153777,-0.2038833943269289
Cingulate_Mid_L,0.2418295302295982,0.730940007120586,0.349257737456663,0.2595122343241634,1.0,0.041266031990589126,0.2017613498296491,0.08176250133938502,0.6932279981182774,0.7147138912316325,0.13133880516735982,0.10098344254077195,0.4416077542187747,0.5154417497226613,0.3137444678699438,0.6090150946098323,0.38086725236579183,0.38912286095826715,0.505428486247918,0.5623627229533431,0.7202452823337536,-0.06431468826894758,0.15495465593065655,0.5436481087445754,0.4009051920865582,0.5063784338190292,0.41903300385461356,0.3911190795921542,0.5590720673095699,0.38637808744994084,0.6334681536064866,0.8312306708735026,0.4883504246816829,0.27863519760470296,0.7338479714350548,0.1335514720827836,0.3054097146318613,0.5972641388691947,0.6877510549685432,0.35931709313194526
N_Acc_R,-0.2573574357171893,0.29154216665319427,0.3314121904953707,0.46313713133937073,0.041266031990589126,1.0,0.5808821357540422,0.26196772230520343,0.458620333498823,0.11264780776270628,-0.21859377733025007,0.08233904304994309,-0.06645972151591954,0.2032074966539095,0.5612333154019141,0.3252088738585406,-0.17874101741180545,0.19657235200985637,0.5279254143562147,-0.1830387437617019,0.11631630017427749,0.8641524015378452,-0.166821883350315,0.4833352399052903,0.027004706668523067,-0.010697231144114697,0.502691122988936,-0.19329088382225998,0.06665204781915741,0.02361732475018755,0.3858103102649245,0.08359322217414791,0.1072198742602674,0.16379548559571572,0.2903867451086086,-0.3355252822679252,-0.14330399783517936,-0.04274660510548809,0.186822605623699,-0.21612769773137744
Thal_AV_R,-0.018608908292682518,0.39718245340857905,0.13187772806898015,0.3027691924874589,0.2017613498296491,0.5808821357540422,1.0,0.07155513710512633,0.43987408449134413,0.30782231390664944,-0.020024533314042088,0.19352100451374654,0.1335875476110016,0.31275822151766947,0.17798768615615546,0.29868173404136,0.1027685656848375,0.3221723163052517,0.422300311203371,0.04207576870613883,0.28167209563960477,0.45418051070504756,0.011902097905440171,0.3183344252576347,0.1621904260692157,0.18439540662971024,0.4989452558410137,0.060530334831090216,0.281028676635851,0.13340454174641864,0.30494365801300033,0.32972209419996884,0.3527957631989637,-0.05574707901659688,0.418608594712218,-0.10432521137043037,0.09925330166582182,0.20674032112584093,0.34199653913044264,-0.031916662643132455
OFCmed_R,0.03652114608996531,0.12148022857802217,0.33902589053248305,0.036087155115364415,0.08176250133938502,0.26196772230520343,0.07155513710512633,1.0,0.05796645823751398,0.14628956459019316,0.04396022263167713,0.22203569199401849,-0.12770625324996487,-0.06460351193626541,0.3147908624485449,0.04822208972737706,-0.025231204724457328,0.07243301506960545,0.19952968079582956,0.028471186726795668,0.09372915258578507,0.2486299597116626,-0.27229895423792994,0.30701927032949977,-0.02124101356543571,0.06566938402585375,0.25155455352281914,0.012279206702257996,-0.030212575870447754,0.17095638251457368,0.09867455563273858,0.17666076215031773,-0.12836709971091678,0.1386723897159728,0.18666571416002695,0.12517841685014547,0.12338464081910396,-0.058325040109761125,0.11777351361875069,-0.020050016915534707
Cerebellum_3_R,0.1538398426700437,0.6592603836159598,0.17423126042252346,0.43453993236825283,0.6932279981182774,0.458620333498823,0.43987408449134413,0.05796645823751398,1.0,0.603210088600101,-0.20270354563302387,0.041562230793687316,0.5467554491384504,0.5626413983537637,0.3549989053426008,0.5631352812757794,0.34219519008891025,0.17824418148079776,0.6341246848784236,0.38373724060304704,0.5526067776021166,0.2835968383763276,0.06921009028965595,0.5421713088727926,0.1890007792298787,0.17921842698721896,0.5466865500815681,0.38014511179701455,0.5372380527513266,0.22203081679014725,0.6775364982636894,0.5739469067952265,0.5837135876987668,0.17335946914742634,0.5906770447150888,-0.07397347913108789,0.25346505270948727,0.5912676216201467,0.6839280801153086,0.3071817149765121
Frontal_Sup_2_L,0.2549507610511663,0.5821906309170972,0.2949647650230911,0.14231988396138362,0.7147138912316325,0.11264780776270628,0.30782231390664944,0.14628956459019316,0.603210088600101,1.0,0.14386384291936366,0.28337231311221683,0.39502194374569843,0.4574588211449783,0.3112803481439029,0.4675787900736787,0.3056983387170031,0.33055764097783863,0.47744867023820386,0.4155516347913607,0.6015343104513714,0.0676260251705019,0.09778544251624487,0.40095800005142435,0.3532102134010525,0.4030528489758215,0.3932498577473737,0.3468458329489924,0.46971518316713656,0.5070211899205441,0.4192271343296116,0.7227362282722516,0.5839060346612799,0.15595792241987955,0.667208210487082,0.2145509668739147,0.24584746068645724,0.5183727677454921,0.574405806269684,0.23434224662400222
