,Lingual_L,VTA_L,Vermis_3,Temporal_Pole_Sup_L,Frontal_Med_Orb_L,ACC_sup_R,Frontal_Inf_Orb_2_L,Thal_MDl_R,Frontal_Sup_2_R,Thal_IL_R,Heschl_R,Temporal_Pole_Sup_R,Thal_LP_L,Cerebellum_8_L,N_Acc_R,Parietal_Inf_R,ACC_pre_R,Thal_MGN_L,OFCant_R,Amygdala_L,Occipital_Mid_L,Frontal_Sup_Medial_R,Hippocampus_R,Occipital_Mid_R,Cerebellum_6_R,OFCmed_L,Angular_L,Paracentral_Lobule_L,Parietal_Inf_L,Raphe_D,Red_N_R,Pallidum_L,Temporal_Sup_R,Frontal_Inf_Oper_L,Thal_PuM_R,OFCmed_R,Raphe_M,Thal_PuM_L,Vermis_6,Temporal_Pole_Mid_L,Frontal_Mid_2_L,Postcentral_L,Parietal_Sup_L,Insula_R,Cerebellum_3_L,Cerebellum_9_R,Temporal_Mid_L,Supp_Motor_Area_L,Precentral_L,Cerebellum_10_R,Cerebellum_Crus2_L,Thal_LGN_L,Temporal_Inf_L,Amygdala_R,ACC_sup_L,Parietal_Sup_R,Temporal_Mid_R,Frontal_Inf_Tri_R,Temporal_Sup_L,Occipital_Inf_L
Lingual_L,1.0,0.02883185489805554,0.3691799360603732,0.3630822162200763,0.10493708561980011,0.2764925484648035,0.03902047565818214,0.11754184915075035,0.31301266149938894,-0.250822679522404,0.35557431283488633,-0.015088502542760947,0.09308344568432088,0.6587203225091965,-0.0658285956382951,0.19235501938317318,0.019724700517438864,0.07610727552213188,-0.0486014627149016,0.3445519970940525,0.3440951244415919,0.2791278208654985,0.18757939787025882,0.4454937827456722,0.6703366186340819,-0.17227608516522477,0.3001972075429531,0.2868518279139891,0.14691942992567517,0.5232321279582958,-0.048212730353198764,0.3848637181400412,0.33108751590002583,0.44181423348910737,0.09168008275765756,-0.012888112971303258,0.26579297794675383,0.1629944704733877,0.713344108193876,-0.03132316337783857,0.23866618865235992,0.020113521474100306,0.0004569336037208663,0.3844025699656045,0.2914641966872519,0.7999698610940377,0.6943512651778818,0.5438014805711165,0.13678715083102294,-0.37131931181114314,0.3058715747787759,0.38572308397424554,0.6437436982844896,0.13072783018795628,0.4071730096387858,-0.1294910696855217,0.651617844601755,0.08990633736070694,0.5001113157015367,0.3981440413985616
VTA_L,0.02883185489805554,1.0,0.3607761110818032,0.17556688215704314,0.3977736555170067,0.1428802267318678,0.40949633507108046,-0.19272935610657452,0.2750565284920059,0.321477856593991,0.21240411857145855,0.35901319050328845,0.4797776451803033,0.10705432629655914,0.0938378691329442,-0.18716189202078773,0.5388986875478329,-0.11718036790352865,0.32981176905384,0.3342516188019409,-0.046524941667153076,0.49563915030101324,0.4795893230562545,-0.22346995340066717,0.21268025524214354,0.3357876077161386,-0.2755557397510637,-0.17564406798131169,-0.20030430295318014,-0.2327407056365674,0.2878014177520676,0.15627101739229868,0.14792894121351008,0.3806773565295244,0.24127701244853286,0.1361252868528902,0.13852488720865247,-0.013050763585069522,0.08612196856082725,-0.076801793096055,0.04190091781589856,-0.17288181975817482,-0.26177403846002345,0.4541819676319156,0.47551773674359915,0.07031309513254087,0.013673215810518554,0.12783499125902292,-0.16982836930264225,0.18514966681559827,-0.22170417649608226,0.0622347198703628,0.21544864967840122,0.39825566666976364,0.3026057682574803,-0.3412967949245878,-0.0034011613720953517,0.35434169055453646,0.22835689754151042,-0.08112216402717172
Vermis_3,0.3691799360603732,0.3607761110818032,1.0,0.08150656121122773,0.134825993971132,0.621296742128454,0.38453716294023305,0.07141184199308113,0.733926797851676,0.45294620465991586,0.5859263212672742,0.4195705083269674,0.5561073075733725,0.41157680460394064,0.35791706909493415,0.2785382256134436,0.3881314538291888,0.5226199924976532,0.24457888612246548,0.08366019297523258,-0.08091260735949163,0.6453007114388639,0.6994195180131213,-0.11042429930000251,0.20186439309751678,0.13027584646753543,-0.06071315085395344,0.4614458639526542,0.2664237091887216,0.07341308633845844,0.45338854250512256,0.38119281368834645,0.6021805446991781,0.44525780771430973,0.5515779111308233,0.1729986615327369,0.5083760828246787,0.6143249468811696,-0.03275637549360345,-0.016796028931217465,0.484876559788278,0.36255059942695755,0.05023092389760858,0.6526045032610192,0.883311146943784,0.23088371848504688,0.08483223789275625,0.7040702057633249,0.4130598850899328,0.4579319620324436,0.0041383777013673075,0.5385825489809896,0.26001115753739545,0.2292001531336555,0.7020911821549972,0.0554710413762148,0.41137207035060397,0.7181277259156733,0.6346419897037111,-0.1309509920201218
Temporal_Pole_Sup_L,0.3630822162200763,0.17556688215704314,0.08150656121122773,1.0,0.3959606253368574,-0.14122122042491528,0.6542914358562636,0.18101405607734214,0.14016189008848987,-0.07233760271590654,-0.011232312037231294,0.07488064183210111,0.2877617939749421,0.4088678380603944,-0.04365828859622478,-0.15028962328268697,0.4543070882200851,-0.05880970529336733,0.13374996192332297,0.7617680832855259,0.20322611143221092,0.3723757651864751,-0.014337208484355334,0.052918271547282764,0.12616579863977984,0.32024670668591376,0.05701586934255539,-0.3984042110131825,-0.30449184927698925,0.2032991767051019,0.043832248945377975,-0.32858206084232777,-0.030760207122552456,0.7508836567013737,-0.04065836157514158,-0.009033276791376705,0.13213216844127523,0.013272636902360522,0.3768867897088481,0.09019315010824552,-0.08695040610364385,-0.4059175477350295,-0.31394725972428983,0.3287808908728732,0.11524981797946146,0.459076175059758,0.6570489894999537,-0.01925101835488747,-0.49332610850532504,-0.24530554374169097,-0.017489788057501086,0.2255129965035386,0.5042020115220622,0.25254301299600973,0.19424975470216016,-0.3873039596090911,-0.10931211787451967,-0.011060226160880527,0.5328253078184223,0.45097031205328136
Frontal_Med_Orb_L,0.10493708561980011,0.3977736555170067,0.134825993971132,0.3959606253368574,1.0,-0.06214056655049622,0.4513207400712768,-0.13473585470122465,0.12165043340486963,0.11749636189315303,0.13332738084940904,0.31008998723796494,0.3314792858989104,0.15861091032379016,0.06792962731127311,-0.14176396289444546,0.4240109597236886,-0.06365958912988604,0.4483803477296336,0.4417412978306396,-0.041020848913740325,0.3207003634510294,0.2933181407175931,-0.07439311498287528,0.16023098384034334,0.4754029204630678,-0.13245584218999418,-0.2018467282428436,-0.21271447677466843,-0.04863183027899472,-0.0007937801425326746,-0.010785497991160157,0.15041608994669733,0.4500640277553075,0.2876830635474813,0.08215798384281806,0.13074389623351645,-0.0729360605112434,0.09320390656500548,-0.10348386363622034,-0.059084485057516074,-0.2590069041050739,-0.24660475807897622,0.35982217593243243,0.2555754131726161,0.21393574603994384,0.24637836163161309,0.017034192536318517,-0.31399234865494163,0.02169056010216497,0.09080389987910742,0.17711715565325695,0.24298410749264215,0.4297277636371278,0.18397528610853486,-0.27013148842085694,-0.011247159579489215,0.21288438609087518,0.34368294864804005,-0.0004566213894617102
ACC_sup_R,0.2764925484648035,0.1428802267318678,0.621296742128454,-0.14122122042491528,-0.06214056655049622,1.0,0.13264024481651213,-0.24221496680924146,0.6114965055123386,0.3550326748198343,0.45290543787866755,0.24834244908448921,0.22966297369803737,0.018393348493225603,0.11748641962126098,0.5393193959389488,0.06540423808285976,0.42520214213499685,0.016894765789158033,-0.2873160395622805,0.04758705666132434,0.43858851321431835,0.4900786921764338,0.14186912487270084,0.103710001870107,-0.13484494663874697,0.14253507866381815,0.668902924558798,0.5494448292230618,-0.15235553674181865,0.1809686737174937,0.5934121568100893,0.5648491229324667,0.17518850610602787,0.5210363518904335,0.05383062088929864,0.38818390275808046,0.6347247057459118,0.000839036963341351,0.0987108731081655,0.710671447181264,0.6055273077301372,0.437123486725428,0.5050900342745454,0.524656441310755,0.018951350001084236,-0.08960585511433075,0.7833860324659684,0.5655860506196791,0.30605693528144273,0.012790392879602572,0.5716975507044368,-0.02144282908336647,-0.030333501645390948,0.8209138396486569,0.39015781395720023,0.3929474236365818,0.4658239099244618,0.3975376744603727,-0.2121321906141426
Frontal_Inf_Orb_2_L,0.03902047565818214,0.40949633507108046,0.38453716294023305,0.6542914358562636,0.4513207400712768,0.13264024481651213,1.0,0.1796469169800069,0.3644218687158558,0.43284152820476984,0.24210421375464988,0.48177674543125876,0.6974052559220801,0.222276756712002,0.2809371160179634,-0.23254878485927566,0.7566804374201274,0.250628899038938,0.42783480623051784,0.6245089462156377,-0.15401856553751098,0.6043802199482156,0.40799652587650087,-0.41414992352384833,-0.0964250245284977,0.6997712952398633,-0.36095143080809583,-0.3281577850573712,-0.3355292418024243,-0.12133015042727008,0.3647128361527177,-0.36340085856847293,0.21985661519108934,0.7704435548233481,0.29907106653678417,0.12923616689565068,0.26042957282888685,0.30645938328631006,-0.007388849538728596,-0.23230431817783703,0.14949744788468838,-0.22598813411007612,-0.4073584542803041,0.51598601516325,0.4141638434361325,0.17595840878386046,0.24189368529627323,0.13111885857357733,-0.403500620248552,0.28364421397777456,-0.22998400237485958,0.41194729058389545,0.303075301825858,0.4668824687314915,0.4145665219667335,-0.3694226958125493,-0.17686452456966328,0.42950775597883184,0.6175387665412192,0.11813783359783799
Thal_MDl_R,0.11754184915075035,-0.19272935610657452,0.07141184199308113,0.18101405607734214,-0.13473585470122465,-0.24221496680924146,0.1796469169800069,1.0,0.06569299880071795,-0.13757387958590192,0.08900893226605218,0.14275509929226055,0.1530604468631055,0.2539937875257224,0.1699889469186333,-0.24406951634077134,0.1597526600105984,0.3678095579994748,0.0747163133701069,0.2528235221483904,-0.12003708335394074,0.13904962482129352,0.020710115924132383,-0.31618745394364667,0.15686420692805464,0.2227670111915025,-0.28136757993557443,-0.148790374172257,-0.2700913787923659,0.45199486031904906,0.4324342707700532,-0.48738432088660744,-0.047483622936542076,0.16004111890921413,-0.12035765914119277,0.21039844013781106,0.09663827919006936,0.2515985575987539,0.13100912323726574,-0.039777777606135316,-0.10944373271438046,-0.29483966243052445,-0.3320090200512945,-0.10513186245016412,0.0761273750539831,0.3388078031903319,0.1044453927646776,0.07500083549913263,-0.18887137138267152,0.15818170163223474,-0.017220760511207047,0.25819777104960984,0.06225586288163568,0.22530172788394212,-0.10727534423081755,-0.2989365356769822,0.00927519893519374,0.019941297580856727,0.08583947440543419,0.2658826866583576
Frontal_Sup_2_R,0.31301266149938894,0.2750565284920059,0.733926797851676,0.14016189008848987,0.12165043340486963,0.6114965055123386,0.3644218687158558,0.06569299880071795,1.0,0.39591341234783967,0.6643593135166169,0.5657633223447736,0.4286893897982425,0.1962247517347772,0.17310180679545922,0.2980041794604433,0.48173359093081225,0.5146580352957202,0.3569606760441947,0.08661665068970929,0.158364136325689,0.8261389172558599,0.6834899706908633,0.006294712370426399,0.16445169736795393,0.24182784573170218,0.052694683122355444,0.4728582799589767,0.42953176509846114,-0.06775833519166728,0.31393269360802695,0.3288878523419819,0.6825498405931121,0.38976556534044254,0.5322148695147148,0.21834003437882696,0.5507868062562079,0.6019059760414872,-0.11888250729322013,0.13725412054635766,0.5276387833010503,0.3936952201230941,0.2354800407287339,0.7344816678763882,0.6542098598331341,0.14403698003287135,0.000958080371894928,0.6838509020574066,0.39274992205081244,0.4818349622910844,-0.05524930040848441,0.5480875544387376,0.037407458084356186,0.32372392799604804,0.7618670003201995,0.16612548194057608,0.432866228434266,0.7175581103986713,0.5268013917399326,-0.15421254700819692
Thal_IL_R,-0.250822679522404,0.321477856593991,0.45294620465991586,-0.07233760271590654,0.11749636189315303,0.3550326748198343,0.43284152820476984,-0.13757387958590192,0.39591341234783967,1.0,0.25906727201549,0.4279837614878126,0.5864356002516808,-0.03175773869998159,0.23708350984999396,-0.07634126887482562,0.4694246776927517,0.3106844709987895,0.2705882564878844,0.035652916472774465,-0.2651317148259754,0.4177381346295375,0.44725521924388423,-0.4506207870111311,-0.09656109833860232,0.334946933428922,-0.3688956842312126,0.03899982608758284,-0.028043703343070384,-0.4250663344324887,0.38709693469448636,-0.013841402916609033,0.24034555860293436,0.21021779367937488,0.3651743725385518,0.3122431987041007,0.15730219907601795,0.3751314677391002,-0.2828275767537158,-0.09516909176727642,0.3542896364023527,0.14498913522350787,-0.1300300669924248,0.3058395573927086,0.43141745102363716,-0.27056444956513787,-0.3072594458065641,0.24738419503849554,0.07143607715047373,0.4851470435355788,-0.25499133028354143,0.23245996042618405,-0.09973338790323294,0.24510424333734154,0.33758797070879437,-0.061438331978998,-0.14982738684672997,0.5234543133914132,0.17291086206053646,-0.27521413617730023
