,Cerebellum_8_L,Vermis_4_5,Cerebellum_Crus1_R,Cuneus_R,Thal_PuA_R,Cerebellum_9_L,SN_pr_L,Temporal_Pole_Sup_L,Insula_L,Pallidum_R,OFCant_L,Thal_MDm_R,Precuneus_R,Thal_Re_L,Thal_LP_R,Cerebellum_7b_R,Paracentral_Lobule_L,Thal_LGN_R,Thal_MDm_L,Thal_PuM_L,Frontal_Mid_2_R,Parietal_Inf_R,Angular_R,ACC_pre_R,Frontal_Sup_Medial_L,ACC_sub_L,Frontal_Sup_2_L,OFCmed_R,Temporal_Mid_L,Vermis_10,Temporal_Inf_L,Parietal_Inf_L,Cingulate_Mid_R,Thal_MGN_L,Occipital_Mid_L,Cerebellum_3_L,OFClat_L,Cerebellum_6_R,Thal_AV_L,Thal_VL_L,Cerebellum_Crus1_L,Thal_PuA_L,Parietal_Sup_R,Vermis_3,Thal_VL_R,Rectus_L,Frontal_Inf_Orb_2_L,Raphe_M,Thal_PuL_L,SN_pr_R,Frontal_Inf_Orb_2_R,Temporal_Sup_R,Thal_VPL_R,Olfactory_R,Thal_MGN_R,Caudate_R,Vermis_1_2,Red_N_R,Temporal_Pole_Mid_L,Occipital_Sup_R,Cerebellum_3_R,Frontal_Mid_2_L,Insula_R,Amygdala_R,Thal_VA_R
Cerebellum_8_L,1.0,0.6396997899450225,0.5798309973222985,0.14788213544888978,0.27222654888037656,0.5238036985330633,0.45910209921089395,0.4088678380603944,0.5708536533811784,0.17941454267259932,-0.2459820680914801,0.10396460496799306,0.22001460895011551,0.1144759160017855,0.44381867464361185,0.22868426145517193,-0.03763962706434453,0.38010162306054995,0.2745261204012424,0.1362924706916631,0.04732091509114584,-0.06349751071993415,-0.062079784515391444,0.19050580638664577,0.28547556903926347,-0.4656995787112352,0.33055764097783863,0.07243301506960545,0.6467145188839675,0.6623836696221705,0.6703198995472759,-0.17564911387407825,0.45548783307041263,0.028538578677624025,0.08844048853452822,0.39009423269392346,0.1708323423606313,0.5352324627996572,0.22391379554342947,0.46093178304760635,0.5076375676987279,0.2253420744059208,-0.37672339867927784,0.41157680460394064,0.31332194401758473,-0.12858661194858842,0.222276756712002,0.29763350687470935,0.11446649432526966,0.13408545750520823,-0.0480654860771772,0.1266878246508238,0.42763420788479517,0.12540860694404737,0.22634767432681668,0.26282566225558196,0.25439432806721884,0.19868601794447524,-0.13862549102734217,0.015590634850035036,0.17824418148079776,0.022058252400556123,0.34686081064005925,0.27589784784192833,0.04607810481768011
Vermis_4_5,0.6396997899450225,1.0,0.6475979678173027,0.36181060445469976,0.4121468880158408,0.7448342321891867,0.3234119064923304,0.16048266928440563,0.6356107936156337,0.3597935876904015,-0.11548302011501232,0.38337628910775007,0.6937452873742861,0.1907808482620894,0.5922682152757394,0.2411206727137447,0.40721219871295333,0.7360673280531834,0.4510951702948448,0.2540463461145324,0.4063824371547966,0.15283660425977152,0.1919204448156103,0.24237632552420324,0.4759323161836617,-0.11616469218829883,0.6015343104513714,0.09372915258578507,0.37775831357501377,0.5694082933963975,0.5287396523259591,0.1652340476308694,0.8087147553126086,0.22711828236246165,0.05423994664602651,0.6005628873446861,-0.10222786877904871,0.599610890485377,0.5086428673249599,0.6457889111978999,0.31106563739821225,0.2767228650702712,-0.13792164743524388,0.6758251842406945,0.6203508971826164,0.22189553730381356,0.12500843476585322,0.37627688252424,0.14561722941291502,0.30660571900954575,0.11951016410675509,0.5257370804885355,0.497284085390367,-0.008743240941680136,0.14732972786630624,0.4509174558076903,0.40212245154828513,0.18701927419269004,-0.1008718300142043,0.3236728625750571,0.5526067776021166,0.25759003990310747,0.5159451353761471,0.29574958091299935,0.3581493797448628
Cerebellum_Crus1_R,0.5798309973222985,0.6475979678173027,1.0,0.24555949504566074,0.2996692177122442,0.5735206253368312,0.4645313165242851,0.18888215342533632,0.5132168769352198,0.272300404460161,-0.2612235099121457,0.24507453684427577,0.271218564237935,0.13215099648848805,0.5028539655305618,0.4637951217430124,0.14647000573691332,0.4279390596725933,0.26326195959742554,0.20566233370821763,0.14046264386863969,-0.14469100100876436,0.08694438317431377,0.17347570021559852,0.3592603261724227,-0.4091086477138213,0.4766694273831357,0.12710836721108446,0.3583153665985945,0.6633313096160566,0.40124572728280467,0.009065692713031096,0.4253453657114121,0.10263569246553529,0.05851783832162209,0.3278625275479924,-0.013936306749531889,0.8494186763309011,0.293329912541057,0.46150495756070053,0.5508494720939726,0.19161097775030494,-0.3606655160596897,0.3171379463724883,0.4087308609128287,-0.02008871758268733,-0.01861360022122053,0.20226277516449878,-0.0015950426945470636,0.1790111626996958,0.0727360180121868,0.3293449821874758,0.3976606087684174,0.14177169701870823,0.27955469265591704,0.3167748533930667,0.25304561333023673,0.23019977114561826,-0.06388000168927921,0.12166950995379033,0.3766429301184213,0.2043306183935211,0.45231370100555623,0.4665821087903149,0.15936115964998548
Cuneus_R,0.14788213544888978,0.36181060445469976,0.24555949504566074,1.0,0.503078277136518,0.20380059414597584,-0.18775063569661815,-0.11618623922488097,0.21216271786737284,0.11136965871208952,-0.31386516061047853,-0.08483828491565819,0.5988249172694604,-0.3062292030647706,-0.06160216525299678,0.41666893146588946,0.5812391095907216,0.4227353065909441,0.06651637034505482,0.28855189653023133,0.09707466541734096,0.5646501103426363,0.6321022400188081,-0.3362105974382517,0.0671163033448685,-0.2112905459556793,0.24584746068645724,0.12338464081910396,0.17257894489277184,0.35929932186691466,0.024030411703662456,0.607672576234273,0.27756116922331975,0.20471699054780168,0.40169145361814385,-0.043419638007002576,-0.20130239493725616,0.17530231750298322,-0.07385501685536798,0.09411404470003648,0.24843128396556655,-0.33552046089421134,0.5326371922880341,0.19003409993423276,0.13420636473207379,-0.05803511080503767,-0.3620552248915245,0.06653938199681794,-0.22853348430360804,-0.4197033917966819,-0.2773009420777967,0.31237041049987196,0.5770370025508209,-0.24071464304456103,0.34219123740314017,-0.0539189113828298,-0.23915572021923254,-0.0185757680067979,0.22804190310121078,0.743687219946527,0.25346505270948727,0.06831038478124148,0.03377835633470131,-0.2520011663381656,-0.051116636648258044
Thal_PuA_R,0.27222654888037656,0.4121468880158408,0.2996692177122442,0.503078277136518,1.0,0.29787748015013055,0.2419429856441059,-0.17849181959966026,0.17554993964897178,0.4459805013674347,-0.08276900719819284,0.1416328695556608,0.49638144640236376,-0.0593251119371009,0.30359265278694575,0.23086332806177545,0.38848723211496916,0.6330267492830125,0.4778780415589762,0.4321162085078754,0.11899451105243933,0.20882222646458642,0.16539220749598635,-0.1940371179307735,-0.004462234433401227,-0.41928707143418303,0.13353680192292025,0.20034602400208798,-0.006687599418985106,0.2478990865275543,0.09860789843190504,0.12828636626337672,0.20473048813356592,0.4161340869517902,-0.08968772758790208,0.17243124522891332,-0.2965198545066876,0.09913276888986598,0.09522672837787127,0.2672975238135301,0.20866209111271816,0.10697647071830539,0.14004615745981092,0.2782806954860642,0.07910304203132751,0.10400597267105767,-0.23003907173387644,0.10888731045055836,0.10057423823368254,-0.17621540903794403,-0.04495296114469519,0.1793934926495018,0.6793706595507878,0.31013532626004575,0.5445716350131357,0.1664328951109939,-0.18305561520760294,0.47993572883505675,-0.09129193399072207,0.21539387536331073,0.38111205309291923,0.03634917486337682,-0.008146868417179496,-0.03887437156056636,-0.2746886127803348
Cerebellum_9_L,0.5238036985330633,0.7448342321891867,0.5735206253368312,0.20380059414597584,0.29787748015013055,1.0,0.29200079559553554,0.17980106553869732,0.49161802627337453,0.3421416964436937,-0.07757535492539501,0.3283194640741168,0.42950142429031996,0.20944363887816767,0.6248430841160697,0.05275079336948992,0.26703491787753214,0.48986767813932375,0.40278360926044543,0.21857294823350223,0.4520242621910291,0.030257061154089243,0.10604392457272123,0.33823217052985927,0.4399227542134394,-0.05373793972532851,0.43201316908398,0.12284511692663462,0.1860919010892357,0.5003568133198212,0.2920036489362183,0.12315930497568045,0.650531799411041,0.20253041254211143,0.11482299913256716,0.46144182088944397,-0.06305803447046905,0.5446607461066999,0.5467491814671253,0.6093049954068902,0.2721546690309862,0.31701431485213577,-0.12941957316706207,0.4600532160404698,0.5156973268755388,0.28291440819503894,0.11017717622376398,0.3493099767556228,0.11045179656065997,0.39290741684013514,0.19288121923712756,0.42272480863596607,0.29651214785495905,0.07084726097813236,0.10216822057623937,0.501407452591128,0.3116374059765688,0.16412716551090994,0.07013529531235808,0.1943832571965331,0.4248486564265122,0.09770068165853715,0.5562839568235224,0.4417383165247253,0.3608168672381075
SN_pr_L,0.45910209921089395,0.3234119064923304,0.4645313165242851,-0.18775063569661815,0.2419429856441059,0.29200079559553554,1.0,0.1360758614718118,0.5740357825121966,0.47879194290020033,0.26727078523983167,0.3419450781342528,0.16788299156697772,0.4067752543654792,0.4061883584246632,0.14630276373888865,-0.04119042341428541,0.356612937964124,0.5135357275895859,0.3284708720768603,0.09120091547073694,-0.24125702241134675,-0.170158179254036,0.49663650148520416,0.39734252876842024,-0.2930032107750862,0.3351446408032753,0.3523441882772151,0.11664894184941489,0.24094347740508434,0.22523794150168222,-0.18074761768447,0.2900310723957251,0.22398379242669705,-0.1192956454183599,0.4079461725579841,0.026235953251855567,0.2777095159311478,0.14395793080957667,0.3898041802813123,0.16589116365365314,0.5133285946995022,-0.3181063103711677,0.3930339159865585,0.15321485293607712,0.17423453867232497,0.35388747907507434,0.2333967374543582,0.43770964774787563,0.48500706058468585,0.38347161443540034,0.2863676282932155,0.24860714603086004,0.698539356585842,0.30278664089119856,0.4937581674756675,0.24855892100901142,0.5334596386263664,-0.35835294499640385,-0.2037231735769692,0.36668287181256326,0.07071567712617735,0.5996013373226651,0.6057910700871179,0.08314284354855922
Temporal_Pole_Sup_L,0.4088678380603944,0.16048266928440563,0.18888215342533632,-0.11618623922488097,-0.17849181959966026,0.17980106553869732,0.1360758614718118,1.0,0.40967549933625647,0.1567226561228615,0.08757358640847293,-0.05425974145098095,-0.1016618770496181,0.0915250933238603,0.23414763967257088,-0.14279252508447784,-0.3984042110131825,-0.08373042906960837,-0.10566088173892937,0.013272636902360522,0.022542842557364884,-0.15028962328268697,-0.15746986011192682,0.4543070882200851,0.381717779487762,-0.1337701170258436,0.08207557694899623,-0.009033276791376705,0.6570489894999537,0.4128943251614807,0.5042020115220622,-0.30449184927698925,0.21947280026164515,-0.05880970529336733,0.20322611143221092,0.11524981797946146,0.772849071802143,0.12616579863977984,0.08748358752124713,0.19755266684415743,0.4422123812680237,0.2685005288183946,-0.3873039596090911,0.08150656121122773,0.2438642929946795,-0.20075388609965344,0.6542914358562636,0.13213216844127523,0.008768743104596556,0.174314476774181,0.05092851220778363,-0.030760207122552456,-0.015965738752743625,0.004230937288550032,-0.039859047723847026,0.26485285091076194,0.2901421780764721,0.043832248945377975,0.09019315010824552,-0.14257064809427222,-0.12434443824327719,-0.08695040610364385,0.3287808908728732,0.25254301299600973,0.12246996953744704
Insula_L,0.5708536533811784,0.6356107936156337,0.5132168769352198,0.21216271786737284,0.17554993964897178,0.49161802627337453,0.5740357825121966,0.40967549933625647,1.0,0.43888634620390327,0.0810647447883427,0.2984821699545759,0.5263471449715229,0.28598872306482387,0.4563783535215956,0.1845088258110705,0.2836207213114165,0.433540040690933,0.36315487917993455,0.4364035422858767,0.3069076943481638,0.1955251986891456,0.26046298601738443,0.4879481800231374,0.705373438020305,-0.09033389775603974,0.667208210487082,0.18666571416002695,0.48348529486892045,0.4752944142400413,0.4406509103912709,0.21385811120066822,0.7557064132304852,0.23642880885366283,0.2680722005916116,0.6211926983019104,0.17296935298234575,0.39291235809441444,0.3426531820380116,0.6114310518542322,0.29114889696339474,0.4022564177229758,-0.0678360957364825,0.6976898963824,0.5793898876235022,0.12863138633472648,0.4316602949012309,0.4594972039847165,0.3568805883972375,0.4874282850200143,0.22448413916378568,0.555960787131107,0.361531545811451,0.22095652903422008,0.19849099555305386,0.5540647171445079,0.4607088842459654,0.3369337790811065,-0.12334651299715713,0.22844259220967036,0.5906770447150888,0.2690212120108552,0.7969140986374839,0.41428514174834974,0.4226146260953252
Pallidum_R,0.17941454267259932,0.3597935876904015,0.272300404460161,0.11136965871208952,0.4459805013674347,0.3421416964436937,0.47879194290020033,0.1567226561228615,0.43888634620390327,1.0,0.24328480654111395,0.5832202402020259,0.48442775220044537,0.478492329808414,0.4807602948314009,-0.10754117450730066,0.2848588748618505,0.4014820269433748,0.6756150773166153,0.7301514129367005,0.4997550281101825,0.10531427036098065,0.0924883894661493,0.3924013485554116,0.42109982912819993,-0.09139971609300811,0.3879167728141147,0.29801447788333246,-0.09055572476118798,0.05998133794722887,0.07500228815204037,0.10240711422975432,0.4797923936163002,0.6450563346606452,-0.17560941055803456,0.5762835926006055,0.1385668257482114,0.060422539741767395,0.3808222568839535,0.6019643285650986,0.10603628392545371,0.6658903103895076,0.012955810704687655,0.5987332392236033,0.5002004398472131,0.29855403823980126,0.40979130369917277,0.33955239365636086,0.4393377625729859,0.45975515085394797,0.5496337637629732,0.42764609399499637,0.543126624108419,0.39687536207965574,0.39972213140926666,0.6584880608525703,0.3806200983522231,0.6948704190165662,0.024396077276837944,-0.02093491952363398,0.578582627669415,0.3927797039087713,0.5101942866777782,0.2543374356153092,0.32053795865357276
