,ACC_pre_L,Cerebellum_4_5_R,Occipital_Mid_R,Frontal_Inf_Oper_R,Thal_PuL_L,Thal_VL_L,Thal_VA_R,Angular_R,Fusiform_L,OFClat_R,Occipital_Sup_L,Olfactory_R,Parietal_Sup_R,OFCpost_L,Occipital_Inf_L,Occipital_Sup_R,SupraMarginal_R,OFCmed_R,N_Acc_L,Paracentral_Lobule_R,ParaHippocampal_L,Frontal_Mid_2_R,Frontal_Med_Orb_L,Precentral_R,Lingual_R,Precuneus_R,Thal_PuI_R,Thal_LP_R,Thal_MGN_L,Frontal_Mid_2_L,Cingulate_Post_R,Vermis_4_5,ACC_sub_R,Cerebellum_9_R,Calcarine_R,Raphe_M,Supp_Motor_Area_R,Amygdala_L,Cerebellum_3_L,Thal_Re_L,Paracentral_Lobule_L,Cerebellum_9_L,SupraMarginal_L,Cerebellum_6_L,Thal_VA_L,OFCpost_R,Thal_VL_R,Cuneus_R,Thal_LGN_R,Thal_MDm_R,Frontal_Inf_Tri_R,Precuneus_L,ParaHippocampal_R,Precentral_L,Hippocampus_R,Cerebellum_3_R,Rectus_R,VTA_L,Rolandic_Oper_L,Temporal_Mid_L,Fusiform_R,OFCmed_L,OFClat_L,Cerebellum_6_R,Thal_MGN_R,Putamen_L,OFCant_L,Thal_LGN_L,Hippocampus_L,Caudate_R,Thal_VPL_L,Cerebellum_7b_R,Postcentral_L,Amygdala_R,Thal_AV_L,Cingulate_Mid_L,Thal_PuI_L,Heschl_L,SN_pc_R,Temporal_Pole_Sup_R,Thal_PuM_R,Thal_PuA_L,Thal_AV_R,Red_N_L,Cerebellum_10_L,Cerebellum_Crus1_L,Temporal_Sup_R,Cuneus_L,Thal_PuM_L,Heschl_R,Frontal_Sup_Medial_L,Temporal_Mid_R,Temporal_Inf_L,Lingual_L,Parietal_Inf_R,Temporal_Inf_R,Thal_MDl_R,Frontal_Med_Orb_R,Cerebellum_Crus2_R,Occipital_Inf_R,Thal_MDl_L,Thal_IL_L,Vermis_7,OFCant_R,Cerebellum_8_L
ACC_pre_L,1.0,-0.07405154911792726,-0.5161189320854318,0.2452683827626576,0.4353575491512791,0.3395821817972444,0.474081772491255,-0.23171118339986232,-0.10075457242045256,0.3752889643719152,-0.3150906622375657,0.37403835918354944,-0.06922037744321516,0.6445562561014021,-0.264879124210756,-0.237437329574018,-0.07082447784431686,0.11204234416360323,0.553808584689406,-0.13151374100017152,0.4880880422398646,0.5974698505943751,0.2834979381667587,-0.17310618830830385,-0.1471433172282201,0.1827321661721486,0.09472867897324942,0.501742446092109,0.3359123544256852,0.2083327859586942,0.2907577110542926,0.10550022053894383,-0.3510736357102834,-0.10631306925187937,-0.03145939272338857,0.25042684910414675,-0.06524042422378536,0.22734751214728102,0.3588860089945174,0.5184549145116035,-0.10135567302760763,0.20866742663770255,-0.09255557645791702,-0.3491578027952292,0.152182113388352,0.7044610376480841,0.28686547757886627,-0.29211831471761995,0.13943272504694654,0.48807121648711305,0.7283030332378234,0.15253863562503922,0.5328776389148804,-0.0891372141534048,0.5988245776327185,0.2748148643143468,0.3597071875918353,0.30025806943514016,0.1464373859848345,-0.29481099617263634,0.07475264604891857,0.7025088991760837,-0.003448532244280252,-0.23225158901351348,-0.014406101336962185,0.3300572391647938,0.6584654410069524,0.28579224241743606,0.5855883679360548,0.7227205421642804,0.6241955819826798,-0.5396478325321858,0.09277771373717834,0.3910678483631596,0.44689321225866147,0.3416840558645433,0.6239670872249514,0.20976047782253532,0.5039362912291878,0.704638231665708,0.3631975872701628,0.723963064907257,0.0898099267574043,0.06257502512032503,0.3723127337800328,-0.308850984112434,0.43064557949516585,-0.20867117330435137,0.39127919847666115,0.40342700430110934,0.30035021500631753,-0.0032397046812088835,-0.16653554869206066,-0.2367092761528682,-0.21236722881652906,-0.07583770826539803,0.11864425136119215,-0.1493628097623701,-0.47668024084831057,-0.3258363749285588,0.31026938133906246,0.14863653512553016,-0.032018484915511,0.6278053255448587,-0.09645601117646069
Cerebellum_4_5_R,-0.07405154911792726,1.0,0.19207397548481275,0.4729833589065812,0.1381580139624151,0.6575175993214071,0.26819078470216795,0.21158734485676242,0.7838311693916266,0.11465691336676907,0.1350211427418562,-0.0026854001225417212,-0.2804950811310422,0.11315180852028862,0.24098531073326854,0.2361591193166613,0.5507101630230554,0.1103475101245854,0.18761542311759857,0.3734825661365016,0.4788487594640547,0.2591724536991237,0.23688653150381755,0.4191366270980725,0.8643503170331437,0.4873012116005992,0.3014159906157501,0.606054713097913,0.2118788166715991,0.3133517895752271,0.09339311947548663,0.8648053094112178,-0.07791455506591996,0.8028076909449369,0.6021435994841681,0.34048351226741685,0.5327724341524046,0.3308702051474771,0.5457330275898292,0.14827212111591961,0.34364997477638703,0.6947123720446768,0.31148115764442835,0.729055631388858,0.533945078724806,0.16971395443790493,0.5470255276618052,0.293723612925558,0.5471153470010068,0.2790667020193299,0.30220276747953195,0.20231009478736303,0.3840905478813926,0.18299121990607609,0.43290011301431375,0.5155973243996841,-0.034717025746538364,0.1692437385640317,0.590332499721594,0.5012595248857067,0.8416683622553792,0.034833617118828895,-0.03774989041791653,0.8262112919263538,0.08586249699268755,0.5801481680700283,-0.15493206070756715,0.44920204368944083,0.3816541064300918,0.3411670369546991,0.23303738173429525,0.45881062366212927,0.02120156168691189,0.41588821301171164,0.4751150757694515,0.6410528686709682,0.25035414243783477,0.4845195995502824,0.11763302898165534,0.22403530096178836,0.2676362902420065,0.22962679617511939,0.27797447613589255,0.44608892565911795,0.13810070062900148,0.46839437697650965,0.43544708016765854,0.4901414414462934,0.19524865046462384,0.44952786265695094,0.4474265739669566,0.6837141408678404,0.5837465333181905,0.8330632708358429,0.0721756450674524,0.6747540813694078,0.14456591757931617,-0.015266387562471432,0.5534421011504945,0.5284329521865658,0.6232089582320463,0.32629918569669164,-0.08479186767793949,0.22916341461811934,0.656102347814394
Occipital_Mid_R,-0.5161189320854318,0.19207397548481275,1.0,0.12835378458963678,-0.34349558749766895,-0.13181370070759993,-0.09755942807966113,0.7420502506534479,0.1582880588018218,-0.2492116327306751,0.819159954225032,-0.39023736448191026,0.5081740094991842,-0.4170849510348185,0.22485999418092828,0.7988250608213283,0.40248325026276727,-0.01736526186590997,-0.22698001971622012,0.3746992748739462,-0.18816509881236904,-0.17731005765542704,-0.07439311498287528,0.4129882253643927,0.341473682975948,0.2129994173080018,0.0611493228960675,-0.32878557447818896,-0.2303306904710837,-0.10532217930012776,-0.13056945824179086,0.10334238252844462,0.13238228311995587,0.1337998747090124,0.4189090145532088,-0.09163013845294275,0.26428287771869186,-0.14053635432177214,-0.2166621254690266,-0.5344517979898007,0.36680949403456964,0.027433139396244227,0.4855684856909728,0.21261744335710592,-0.11407905472208152,-0.4923105883158663,0.10003951878245888,0.6239155117111512,0.029911107816264503,-0.1825980188998162,-0.29913584879563265,0.4005654013968996,-0.31942075413061427,0.23296358406193016,-0.216876257613804,0.030772486522766446,-0.3339674256260566,-0.22346995340066717,0.15231127197622538,0.3453954485550257,0.08702781690138361,-0.4624955634734373,0.028695458015830764,0.13715097528451364,0.11167897400086062,0.0806680382082234,-0.39479613953153636,-0.05231441609612575,-0.32339655241788706,-0.3598087990469247,-0.45922045157888036,0.4923320924657668,0.23108573311441935,-0.3207780073777344,-0.23991253974243518,0.11024194937289432,-0.35063829875134644,0.0681235020312392,-0.5035457393326814,-0.4010191716235016,-0.09539035077479832,-0.6171673878030725,-0.10404666685113671,0.04907726472540212,-0.2245592981366394,0.18547090059683505,0.043292653286544275,0.7427410980244638,-0.1135139330375256,-0.004479443089484153,-0.09909974348430414,0.41754457853519167,0.1477833278534928,0.4454937827456722,0.6082520939287128,0.15552375061013826,-0.31618745394364667,0.09042639076703873,0.3857921530878944,0.286209278295121,-0.17664880460049195,-0.0016397668579033594,0.16089661938787134,-0.35341919183203335,0.05732475221714392
Frontal_Inf_Oper_R,0.2452683827626576,0.4729833589065812,0.12835378458963678,1.0,0.3106481072945277,0.6363039001497834,0.622017784254953,0.5346822016419328,0.2046619847360933,0.07326959333051818,0.29318604982274676,-0.013543462082598694,0.3517836234632185,-0.06631780580777157,-0.2244901693875773,0.4658877998116512,0.6865480063165226,0.006226077399456677,0.5340168753520764,0.6334218208084537,0.5170181264713303,0.7371341126759663,0.057695749197001565,0.6754666675322996,0.5423331597819917,0.7273720198233462,0.5350375159680308,0.37748949007632426,0.47288993343067204,0.623386681999917,0.3698107082702104,0.5624014824428163,-0.007637673925380517,0.16936208499280908,0.6108842023183484,0.5213846930524714,0.7940691759208628,-0.2104488316840989,0.6434866562672817,0.19906494838387973,0.7086258413458796,0.4654850404698806,0.38083090448499557,0.02564174564545801,0.459284466385666,0.13908035660400875,0.7176684155532617,0.3494423298966429,0.4566793117520507,0.5365013064634524,0.705201481901146,0.7621337715425763,0.5569798603940931,0.6560526953590542,0.655168051232969,0.7867781112105515,0.2924443123769565,0.2515385327241335,0.6447239213750549,-0.08546818836341721,0.6478422532165607,-0.08921288491423707,-0.09676995056953926,0.2084708632544338,0.19112778921962112,0.739185458308062,-0.017953022354867305,0.5276069705197282,0.42384116373346725,0.5131419008705753,0.5635216291701509,-0.07197920222844678,0.6387429714124556,0.011445035965734353,0.518869619087309,0.8012110019637719,0.6419020809622676,0.4398822636801361,0.29835767040244476,0.4265287819859865,0.5607256746832336,0.2976851588180166,0.3339929325794004,0.3816659171765497,0.29164866931546074,-0.06591992021743465,0.6996803881595449,0.5019631062792324,0.6304043826940774,0.5464763815710947,0.3928852141761236,0.5636155412031332,0.027360663920971365,0.3782256373464067,0.48684283134136047,0.2759012187564082,-0.07812475760288476,0.2821874029140555,-0.06523728411900483,0.1698433792759296,0.5989193744770761,0.6285183720979242,-0.20624063114515698,0.14029571265976468,0.18013199999452567
Thal_PuL_L,0.4353575491512791,0.1381580139624151,-0.34349558749766895,0.3106481072945277,1.0,0.3829899368092573,0.1804582339407164,-0.04596664785129327,-0.004168238317730255,0.33015190074581463,-0.1001046495449824,0.419500010690614,0.01257700885353116,0.3328442641824573,-0.14828501583893877,-0.19722649781191331,0.09540453344462548,0.19473591541225618,0.39582757330879514,0.17430049842372256,0.4242705345791595,0.3598720220811015,0.10609513639655087,0.1570118728928168,0.08880502854796746,0.23146776813444264,0.15776758240213357,0.405368225340466,0.38511116193188355,0.4852850537444514,0.29624023240937836,0.14561722941291502,-0.09796069011930368,-0.12435465280336859,0.0572385064222786,0.26465137557173546,0.2772925619901339,0.0549036868636427,0.49586353107283554,0.4473398567912768,0.21213037058827494,0.11045179656065997,0.04364727130918625,-0.1545298301704402,0.42847332907846597,0.3039515905483915,0.14644753410232317,-0.22853348430360804,0.153059321634942,0.3199790438000254,0.4408005390913,0.24965801066715043,0.4707857672352418,0.15004362002960187,0.37432014312000417,0.4463756236745009,0.1436679917211958,0.158174626345464,0.4195315726112828,-0.10539730089929207,0.11358345257810118,0.28355206514231435,0.06316895992197608,-0.11930128977654778,0.04074043254434346,0.3252063011290547,0.39247972974327644,0.3593421363480124,0.4377323559757238,0.4115107792937966,0.7553584476050889,-0.15465854186161154,0.2046567203992848,0.2512286932947931,0.24837838141707097,0.33901550938499025,0.46966572236046694,0.31874912277250594,0.32619957382743153,0.31950468087796036,0.45335812932224084,0.5169678358384681,0.501213500938754,0.34612174366341814,0.3725816997605804,-0.10699227263059674,0.2399689264233111,-0.13618423822150505,0.538597447643193,0.34568235366445005,0.2979045978134889,-0.09352656788264954,0.024633880380090782,-0.032053081345155415,0.06996190419976538,-0.13801281020993256,-0.029567030245193443,0.089083292876928,-0.07842634801690818,-0.295766380857145,0.3002120136404835,0.4114313578818932,-0.056278473607665455,0.21687543984198887,0.11446649432526966
Thal_VL_L,0.3395821817972444,0.6575175993214071,-0.13181370070759993,0.6363039001497834,0.3829899368092573,1.0,0.4767981348329829,0.15422006017846188,0.5058085415637843,0.2549061661301484,0.0035941985854126587,0.18848218576842038,-0.14018295401583086,0.26272650870432857,0.025951225158095986,0.006298547850920681,0.45056773579493115,0.12148022857802217,0.4267151601459344,0.38660345389611556,0.6504323623376576,0.5566407420263842,0.27174658049595635,0.3444127574221193,0.5583308841028993,0.5019509501520014,0.3437565339510716,0.6786621552631653,0.45904189150262614,0.5045107342180758,0.39078292798923525,0.6457889111978999,-0.06196359181567312,0.45240346858291697,0.3643710024351358,0.5395755085485098,0.5423899613534908,0.2460454616559632,0.7029259809679604,0.36425161525299554,0.36682823973808654,0.6093049954068902,0.2300808487592015,0.3486632306887295,0.641310051261163,0.35679010524518767,0.6633522879640323,0.09411404470003648,0.40839581438521866,0.47748836085915314,0.6154231186267578,0.31264080423123564,0.6136722959606254,0.2680022533642759,0.5968808793461821,0.6592603836159598,0.1727030730395174,0.2764596682006828,0.6249080445959555,0.19820119675000425,0.6719158183010475,0.24178587947126143,0.01285407717367124,0.4380107695704046,0.07312494327474517,0.690104799333181,0.14108362020701015,0.5368499676991336,0.5884712874069816,0.6298849992972354,0.6205717890924554,0.029563093710079168,0.1929640693859836,0.4010190665588645,0.6852609287920525,0.730940007120586,0.5502577639890853,0.5067843021551717,0.3563793570541817,0.4672196592435928,0.5116957416370816,0.5830761998862856,0.39718245340857905,0.45461718508005977,0.3139112060382623,0.12462179512214284,0.5573439617437798,0.21176035251536973,0.45998663439209825,0.55727312160352,0.5118825316350625,0.3983996404499575,0.33962478578463906,0.4814062794985493,0.09078098443331162,0.33674838547840746,0.20483676800639175,-0.07099367586841698,0.15840757017186666,0.1685938113489325,0.7529192214250536,0.4692603773826193,-0.14326873773811996,0.33272871636233586,0.46093178304760635
Thal_VA_R,0.474081772491255,0.26819078470216795,-0.09755942807966113,0.622017784254953,0.1804582339407164,0.4767981348329829,1.0,0.2202310659013404,0.19146598573642218,0.19071012198070433,0.04197630992122584,-0.13908368583989184,0.027783705721582026,0.24154921240165872,-0.13051080369208048,0.14737488916281807,0.34302013874352355,-0.041424081271385214,0.518334867813329,0.18008599257628452,0.48566845561883176,0.5824972344495711,0.2576828036168553,0.22418180645284974,0.19400506929959643,0.34850455693948484,0.26655210083483316,0.30956014392860365,0.2159082602337072,0.4282287051822758,0.43566463822887735,0.3581493797448628,-0.20575736658281538,0.1562575033323089,0.3133620304562869,0.3235410078037463,0.3875811012633535,0.07516511070601495,0.4539227410881337,0.35324552347929405,0.2212486652409688,0.3608168672381075,0.13963137568643594,0.017795777975756526,0.22602977487094775,0.41108721905026996,0.6501398321108467,-0.051116636648258044,0.07213693210496917,0.4166537501106109,0.6013644406189285,0.3659809808689244,0.4413581766858287,0.19143551629868114,0.6312634367371848,0.3833080562936316,0.3562447545192349,0.4699808793461502,0.4123567570101046,-0.08055414467796736,0.36894646644757445,0.2369045325481076,0.0870391963123507,0.16849163842240988,-0.17369623654296917,0.5870646965435302,0.2182247449638302,0.4316408501191662,0.5501361566864714,0.4788726819769604,0.47932865119430446,-0.2182345162545173,0.2671701773947652,0.21106211396727573,0.46494736366993966,0.614538223233972,0.6206111674949631,0.4206007108008328,0.43410879472047376,0.5264209095370813,0.3520504023996774,0.40268949824095246,0.06883459212686227,0.030074314978015357,0.18817256955810943,-0.16085344290901427,0.5598861557222018,0.2279118998510377,0.28269655838392654,0.4367000887505243,0.4233577487764283,0.29806341433843875,0.012280330090586761,0.18473992913847262,0.10569276750558405,0.09943038392011044,-0.11341566833411657,0.025545727902220098,-0.21946849410590938,0.006181854705749758,0.5263528228395827,0.5144313088463254,-0.12451603569402696,0.40851919415316446,0.04607810481768011
Angular_R,-0.23171118339986232,0.21158734485676242,0.7420502506534479,0.5346822016419328,-0.04596664785129327,0.15422006017846188,0.2202310659013404,1.0,0.011165514892277566,-0.10416742881909946,0.7718763388172919,-0.271467597752134,0.7135710621097475,-0.2872072393476515,-0.07142143297395219,0.8258611403314872,0.6229831611377264,0.012279206702257996,0.08595913684909307,0.611175441634889,0.04109595762605374,0.2411657140632538,-0.07177333414254017,0.6575620890769488,0.34144899364216436,0.5593583998490517,0.34848095618610275,-0.09698114918345217,0.17288279367394813,0.27725125032993775,0.2567388769376105,0.1919204448156103,0.05817526857556431,-0.03120314498490807,0.5041067764550471,0.14584226911717146,0.6134299257934197,-0.3607861201409134,0.08065095403478312,-0.2696945759387925,0.6662597211144508,0.10604392457272123,0.367384324245891,-0.016181163410936086,0.10123809120940998,-0.32397565879402745,0.32726546126595973,0.6321022400188081,0.10799704511140511,0.08087611873995725,0.06387942364641043,0.7606417717467535,0.0012473589646583424,0.5068107314935049,0.11403434575684095,0.38014511179701455,-0.1767523610808908,-0.12124060435703021,0.3307539023531257,0.057942582600602206,0.27540909133045655,-0.3585822504863854,-0.12325043747203313,0.04126307476047382,0.08663465299002664,0.34392251429676507,-0.1372351904006212,0.27918127888973454,-0.13345530091707786,-0.0509391047101013,-0.02009511420183968,0.2881246689950115,0.5169043633478916,-0.2885058649564383,0.02804885010276249,0.3911190795921542,-0.013548146264752859,0.1672880448640901,-0.26341349610713316,-0.07809495392278697,0.3127526284506216,-0.3303900708155571,0.060530334831090216,0.09153083700767796,-0.0391986711461774,-0.055928552509900496,0.3828581644580221,0.7222263949548736,0.26808580187974096,0.24800352317019525,0.10566034045830454,0.48130433189820526,-0.03981515127117926,0.35296352997442754,0.8417098583372821,0.17587745936099664,-0.2456642913596258,0.2303800073281425,0.10711012244760734,0.18171741200577207,0.05282170127343778,0.26361841202190905,-0.07442475112483823,-0.21802580153112527,-0.062079784515391444
Fusiform_L,-0.10075457242045256,0.7838311693916266,0.1582880588018218,0.2046619847360933,-0.004168238317730255,0.5058085415637843,0.19146598573642218,0.011165514892277566,1.0,-0.013442954636531858,0.041224414225254094,-0.11779479796641722,-0.48767482474176915,0.15685616769279664,0.4746239567759488,0.07295748795980996,0.3432647889636799,0.06566938402585375,0.013106330698363738,0.10797305264306016,0.4420694189825108,-0.002871840971492893,0.3102024018369397,0.20363814641477151,0.69180266520823,0.2302006732950673,0.11651756600211621,0.4537732230251238,0.027148819635411502,0.07659983817136153,0.07692176855833162,0.6975478075530566,-0.027858226507374777,0.8138714793523546,0.37994234510005365,0.17378895596335592,0.23076571214663555,0.6256236573643282,0.4371539672359114,0.1333285612472932,-0.03835039408662593,0.5047369401749059,0.27531070721980727,0.8766201123361277,0.3567353944205836,0.10637364593087288,0.48796005906521034,0.11581869301733391,0.3273348330970517,0.13811494877032898,0.07751836368044877,-0.10316075041623529,0.13971031683852544,-0.1814600366287019,0.19625161054916368,0.17921842698721896,0.07618418550888868,0.30260700560240683,0.497068283536348,0.7462641491527878,0.5419820036124914,0.06562929524102346,0.3040206254739636,0.658814622754018,0.05379491759119174,0.4821643090554884,-0.1779709956950619,0.3220787275664817,0.5104974957989303,0.21860273493743643,0.0780281817025166,0.3469925555994446,-0.3002556544071825,0.3014580692219661,0.3229663614279846,0.5063784338190292,0.1993624565536743,0.45248849767451266,0.13946230152185718,-0.015387019040924793,0.10946252816197426,0.24694980604502048,0.18439540662971024,0.37571413754142136,0.0132815046807728,0.5565532880829827,0.11101605528873384,0.39107291883357015,-0.0030436108703793697,0.18942950265443814,0.3782830446899828,0.36878185881851794,0.843546120571404,0.8221587564604014,-0.04970936730088053,0.35998337018419924,0.21817359190506036,-0.18942235427414514,0.5275245560544646,0.36016197402400807,0.49403710752327884,0.1658330936921218,0.033916594450983426,0.08244970073084891,0.7290568451837526
OFClat_R,0.3752889643719152,0.11465691336676907,-0.2492116327306751,0.07326959333051818,0.33015190074581463,0.2549061661301484,0.19071012198070433,-0.10416742881909946,-0.013442954636531858,1.0,-0.14546549641912374,0.44210105132515104,-0.1859006974068626,0.575935795825047,-0.06832881141906395,-0.21428371066509802,-0.21089748418364263,0.3405962140624112,0.44889605508179614,-0.1957018889863832,0.4967989249706025,0.20220237733451715,0.2580689702686258,-0.25243234039261636,0.022833629535206627,0.08914635181254221,0.020750534632855026,0.3992483002799537,0.24873621952315897,0.1587229126831367,0.3015599592802705,0.010360879175004318,-0.3763347814756722,0.09347999417333933,0.03775659894400446,0.13290467960242883,-0.02399869616122535,0.22352193728080844,0.2030558844167789,0.4619719678500144,-0.06503064430033775,0.12278206609671939,-0.17718583518417472,-0.12850568805815654,0.27629317104992596,0.6956120110776186,0.059142025495801914,-0.15038262143569348,0.11837149044231303,0.19728275465415895,0.3524763180808535,0.041773313651954566,0.5409955616633615,-0.14231833977727276,0.5333268779875046,0.2234161392440219,0.07506262911253285,0.22807637783540388,0.08949033775158743,-0.1528490595046776,0.16142558327318218,0.5682354201392691,0.17146075720252543,0.1254638963216656,-0.09079983411370081,0.2565851042178658,0.6158998709197995,0.2505457565391667,0.3817833154005591,0.4901834601380263,0.3900567608257542,-0.0217852878609924,-0.06610079216375728,0.6926688090683798,0.2335723748887591,0.09992641548091385,0.28131608529514507,0.21751190313289126,0.32718441359486744,0.666571478138921,0.30582559992486896,0.47458583476683786,0.09067824378476755,0.15370040677109675,0.3167063576260522,0.0004738705395972521,0.3872000422347502,-0.16417140465342608,0.2605627909324933,0.3459350047075762,0.41407702796055806,0.1382122958001497,-0.09695213044906417,-0.06411874549871839,-0.2723956811961375,0.1592347906102687,0.12080198344542209,0.06060941010799151,0.04596873909203946,-0.1775028255781801,0.21263592152487612,0.16497427522998173,-0.17196601960705546,0.4865716604395115,-0.03965480127128034
