,Thal_PuI_R,Frontal_Inf_Oper_R,N_Acc_L,Thal_PuI_L,ParaHippocampal_R,Cerebellum_Crus1_R,Thal_PuA_R,Thal_VPL_L,Cerebellum_4_5_R,OFClat_L,Insula_R,Vermis_4_5,Amygdala_L,Paracentral_Lobule_L,Angular_R,Heschl_R,OFClat_R,Frontal_Sup_2_R,Paracentral_Lobule_R,Temporal_Mid_R,Temporal_Mid_L,Thal_AV_L,Thal_IL_R,SN_pr_R,N_Acc_R,Cerebellum_9_R,Cerebellum_7b_L,Precuneus_R,Olfactory_R,Thal_Re_L,Temporal_Inf_L,Cuneus_L,Supp_Motor_Area_L,Thal_PuM_L,Cerebellum_6_L,VTA_L,Temporal_Sup_R,ACC_sup_R,Cerebellum_4_5_L,Pallidum_R,Parietal_Inf_L,Frontal_Sup_Medial_L,Supp_Motor_Area_R,Frontal_Mid_2_L,Frontal_Inf_Orb_2_L,Thal_MGN_L,Frontal_Mid_2_R,Caudate_R,Vermis_10,Frontal_Inf_Tri_R,Occipital_Mid_R,Lingual_L,Thal_IL_L,Fusiform_L,ACC_pre_R,ParaHippocampal_L,Thal_MDm_L,Hippocampus_L,Precentral_R,Cerebellum_8_L,Cerebellum_10_R,Temporal_Inf_R,ACC_sub_R,SupraMarginal_R,Vermis_8,Postcentral_R,Temporal_Pole_Sup_R,OFCmed_L,SupraMarginal_L,Cerebellum_Crus2_L,Red_N_L,Occipital_Sup_L,Rolandic_Oper_L,Thal_LGN_L,Fusiform_R,Thal_VA_R,Frontal_Inf_Orb_2_R,Thal_VPL_R,Cerebellum_3_L,Pallidum_L,Occipital_Mid_L,OFCmed_R,Insula_L,Thal_LP_R,Frontal_Inf_Tri_L
Thal_PuI_R,1.0,0.5350375159680308,0.09156505237816129,0.33259570964574464,0.2109855885408217,0.2264437775852695,0.5317865174749734,0.19467395832012846,0.3014159906157501,-0.11828677024925914,0.20788547745881927,0.3873992034409804,-0.21247231984318476,0.5030402873304994,0.34848095618610275,0.31919864815087995,0.020750534632855026,0.41322697888675264,0.4229636975874575,0.44934241547896303,-0.08446949760993809,0.19133895698984443,0.05573426547240574,-0.016961817563424634,0.11858061117064102,0.1953663419789486,-0.020736017012924116,0.5794116468747523,-0.05768529480968529,0.07052267028854432,-0.05079600332998669,0.3760910376820784,0.5445505209292408,0.631244142166238,0.02981050544302447,-0.20871900467589902,0.3818495504179062,0.40716588826735634,0.24344576199392778,0.5199380832155638,0.3394553540023144,0.18806547918717595,0.5510514605122699,0.3111628238751596,-0.021195240105844844,0.5484965545639819,0.3946467648312246,0.33454737047220234,0.17495585658537313,0.30835868789227716,0.0611493228960675,0.3139326106507417,0.20272429251961796,0.11651756600211621,-0.015176467872804175,0.21387237609357274,0.3718393794612891,0.1418829878059705,0.424004198499771,0.12027049447442957,0.32116504430692405,0.3455492268443613,0.362984131583111,0.38357618567424334,0.03308684391977792,0.37942394278253827,0.18113179888049774,-0.13755176068800773,0.15134417634588163,0.039880688505083736,0.33979339017895394,0.1405420052516766,0.3943714699746676,0.5070362222843284,0.43724684070453174,0.26655210083483316,0.16299274616338855,0.6171971932994275,0.2561686777474808,0.2084763261231226,0.007536559498649675,0.21534025940926937,0.2610978498695935,0.30063496979905135,0.06833494812914717
Frontal_Inf_Oper_R,0.5350375159680308,1.0,0.5340168753520764,0.6419020809622676,0.5569798603940931,0.2985236789708935,0.22552408988446968,0.5635216291701509,0.4729833589065812,-0.09676995056953926,0.6257825934417516,0.5624014824428163,-0.2104488316840989,0.7086258413458796,0.5346822016419328,0.5464763815710947,0.07326959333051818,0.73665626277633,0.6334218208084537,0.5636155412031332,-0.08546818836341721,0.518869619087309,0.28564068335865167,0.44622527295998665,0.14012566994608308,0.16936208499280908,0.16260702433389146,0.7273720198233462,-0.013543462082598694,0.19906494838387973,0.027360663920971365,0.5019631062792324,0.808632958459736,0.6304043826940774,0.02564174564545801,0.2515385327241335,0.6996803881595449,0.7563248261808999,0.3649080714205812,0.5319545162218565,0.5935435283952729,0.3928852141761236,0.7940691759208628,0.623386681999917,0.11433895893462864,0.47288993343067204,0.7371341126759663,0.5131419008705753,0.09750532944725171,0.705201481901146,0.12835378458963678,0.3782256373464067,0.6285183720979242,0.2046619847360933,0.1129546590562073,0.5170181264713303,0.4854236972567581,0.42384116373346725,0.6754666675322996,0.18013199999452567,0.47242630022232185,0.2759012187564082,-0.007637673925380517,0.6865480063165226,0.1446259448452937,0.6285489129217433,0.4265287819859865,-0.08921288491423707,0.38083090448499557,0.16335187588687103,0.3816659171765497,0.29318604982274676,0.6447239213750549,0.5276069705197282,0.6478422532165607,0.622017784254953,0.4412481886909185,0.3918161742033614,0.6434866562672817,0.6074122863957737,0.002317948883362453,0.006226077399456677,0.5806476055951078,0.37748949007632426,0.2936125125275842
N_Acc_L,0.09156505237816129,0.5340168753520764,1.0,0.6139480230086513,0.7725936338261961,0.19521632900835797,-0.03796984060442505,0.6675501444420473,0.18761542311759857,-0.06039874443041441,0.7133910003879714,0.2277364330048614,0.08388059443963333,0.14904385095653708,0.08595913684909307,0.500147796365754,0.44889605508179614,0.5253978452824549,0.09836775880184358,0.2677833687413444,-0.24303651906070992,0.39276602762696305,0.393324578083154,0.7448898573866265,0.44668587946490895,-0.01853175311756475,-0.06399980655276198,0.3442634788679591,0.46482125216062015,0.5091864580549407,-0.11777312588864149,0.022801166477667622,0.32453045237881983,0.472769777243104,-0.21189371458609005,0.5579970301284096,0.5935043784547613,0.4736719508546977,0.10060460707190694,0.5289028107398914,0.15316212415686548,0.43907853783989187,0.20459798437504692,0.29616151660083806,0.4631642438047722,0.32699729592319776,0.5266044197352638,0.7044206937442675,-0.19362545052090116,0.69121124289025,-0.22698001971622012,-0.03294340229023072,0.5206363635506479,0.013106330698363738,0.5573424698080656,0.6488797054068475,0.46080454472415866,0.6099811322008505,0.06701670738436437,-0.0322162158829874,0.593103886339624,0.08167886285743228,-0.43758314769099266,0.15823907759184883,0.12162988530320455,0.046728663265973656,0.7062980635867251,0.489727847543638,-0.04980292162830789,-0.17998996937356243,0.4238289843056596,-0.07666964220945865,0.280556084012554,0.3153647503691191,0.3491579708990483,0.518334867813329,0.7071490709458997,0.02270152650181982,0.5279288725622717,0.2524896043463585,-0.19579421789449197,0.12474261113137201,0.5139768293811342,0.4115965932956926,0.3964190144806502
Thal_PuI_L,0.33259570964574464,0.6419020809622676,0.6139480230086513,1.0,0.5852144506874882,0.25698197024592084,-0.029845564036565474,0.720725014197315,0.25035414243783477,0.12202493339383617,0.6384787477197779,0.3225158842554954,0.14664827457531765,0.1637504811985358,-0.013548146264752859,0.5083219780266228,0.28131608529514507,0.6151973423241616,0.10171630952836062,0.2120031627932188,-0.09050182755379634,0.4712783973573507,0.5384011746448203,0.6083207483300511,0.3252088738585406,0.19495543482549815,-0.1657953143749367,0.34210739768435977,0.2712010407157891,0.5077717569097763,0.023985187573579883,0.05040368303503374,0.5536000823094744,0.7076012730069785,0.01625395290157795,0.4383734460604006,0.5449618241931226,0.5355098684631769,0.22135824462842624,0.5827359752005867,0.12807909469081838,0.4065139473625707,0.3876890937582204,0.5489815274340105,0.5889975188242579,0.45044173357664696,0.6477895555353452,0.7254467207630708,-0.06998277410818118,0.7219393669033181,-0.35063829875134644,0.1601082666884759,0.49701049322498553,0.1993624565536743,0.532727631531633,0.5567803764741255,0.4768271442391054,0.7763519370587222,0.16119479817997776,0.23923056609758972,0.5656525756771775,0.07375709149086036,-0.0971188943725003,0.20675179628055584,0.13863942810660354,0.1363613276549013,0.6139288229086044,0.28551293110567755,0.13175605158187675,-0.10538592017929564,0.3986361982635082,-0.14742856004861524,0.45854794805273064,0.5396941380893776,0.4103010612360823,0.6206111674949631,0.7223735501757798,0.2163979664984056,0.6313063283410447,0.15605780074187256,-0.27044302824152117,0.04822208972737706,0.4986571745393063,0.5187435989779263,0.5411217661797258
ParaHippocampal_R,0.2109855885408217,0.5569798603940931,0.7725936338261961,0.5852144506874882,1.0,0.32700305416590675,0.2049810928446741,0.7457886266598474,0.3840905478813926,-0.22939415492696077,0.7069871188912329,0.4650218501990477,0.08475193008055239,0.2801782229276488,0.0012473589646583424,0.6287680448480655,0.5409955616633615,0.6217069916178988,0.22913720704053264,0.38630671164360825,-0.2648518761475484,0.552821218544035,0.5248575127099459,0.7592037163165042,0.5501817966735897,0.07573516152126425,-0.07898843451892813,0.4966868025117547,0.5156862532167105,0.6271429335554665,-0.01695813543342998,0.06439522403429346,0.4430580906198138,0.4751838992314683,-0.15058638522378606,0.5228254131413993,0.6366412543063122,0.4228541401406506,0.29439432169370394,0.5779353424798862,0.13177595969846032,0.5474217746859443,0.3130748693936717,0.3019214665580341,0.3589130192538757,0.4227401149112594,0.5316477638698622,0.7481040909603797,-0.09374324385220852,0.7668253526373987,-0.31942075413061427,0.0555716227302851,0.526768334884922,0.13971031683852544,0.5795506720458565,0.809320276982203,0.6734502360820884,0.5959810101284743,0.1990397048276224,0.15028028331093182,0.6563207199534155,0.2575984874532032,-0.27934590044188384,0.27967256654415157,0.07367435409899672,0.14740352303293794,0.7391405905149401,0.5002992703232371,-0.04149923472674361,-0.21903665642044612,0.3970009905646496,-0.17413885086937886,0.4438120056296952,0.3030723180087146,0.5477890510767179,0.4413581766858287,0.6627163881408485,0.185416398092449,0.678618401838276,0.26809834607238353,-0.22541463188786892,0.3258427800517689,0.5410998813660404,0.5726268137968095,0.3441345053508106
Cerebellum_Crus1_R,0.2264437775852695,0.2985236789708935,0.19521632900835797,0.25698197024592084,0.32700305416590675,1.0,0.2996692177122442,0.10682192017884005,0.827095210952037,-0.013936306749531889,0.45231370100555623,0.6475979678173027,0.2990565610762601,0.14647000573691332,0.08694438317431377,0.3262699666330026,0.18469755781605737,0.2530905499132808,0.11408199964301208,0.6220115992181813,0.3583153665985945,0.293329912541057,-0.13615299511149961,0.1790111626996958,0.2146024987831953,0.7919607032623798,-0.002699624749036981,0.271218564237935,0.14177169701870823,0.13215099648848805,0.40124572728280467,0.33938402020518477,0.46404424341053874,0.20566233370821763,0.6865652028200744,0.21906439970343575,0.3293449821874758,0.1929464743796948,0.7689679988216633,0.272300404460161,0.009065692713031096,0.3592603261724227,0.3254384486658068,0.2043306183935211,-0.01861360022122053,0.10263569246553529,0.14046264386863969,0.3167748533930667,0.6633313096160566,0.17356673577592643,0.15642710539816015,0.7043735271633237,0.24368005852390884,0.6516789050893623,0.17347570021559852,0.3498890480526218,0.26326195959742554,0.32919171861791224,0.13650516832222223,0.5798309973222985,-0.11627698839615942,0.686079025435564,0.03126895276009315,0.24871731330922395,-0.21606343408323414,0.01958522643873783,0.2760755025550539,-0.014923047454600796,0.13814850446276392,0.1572616051651396,0.4462195630530396,0.0884248234982358,0.28799328120247564,0.22700766889803997,0.7598519873879805,0.15936115964998548,0.0727360180121868,0.3976606087684174,0.3278625275479924,0.2982256447214993,0.05851783832162209,0.12710836721108446,0.5132168769352198,0.5028539655305618,0.08426576136034422
Thal_PuA_R,0.5317865174749734,0.22552408988446968,-0.03796984060442505,-0.029845564036565474,0.2049810928446741,0.2996692177122442,1.0,0.08628222123618913,0.3244732140080539,-0.2965198545066876,-0.008146868417179496,0.4121468880158408,-0.16368717251035245,0.38848723211496916,0.16539220749598635,0.133623827458128,-0.04221467193164612,0.11271439589048814,0.37970453471846505,0.3370132825910431,-0.006687599418985106,0.09522672837787127,-0.15832048873874974,-0.17621540903794403,0.4841991590833532,0.19182301206926838,0.18969151139615203,0.49638144640236376,0.31013532626004575,-0.0593251119371009,0.09860789843190504,0.24460588673771336,0.26436864056225506,0.4321162085078754,0.14054672710143584,-0.29450508896997263,0.1793934926495018,0.049142461625384444,0.30039365625493697,0.4459805013674347,0.12828636626337672,-0.004462234433401227,0.3298613947804112,0.03634917486337682,-0.23003907173387644,0.4161340869517902,0.11899451105243933,0.1664328951109939,0.2478990865275543,0.11959642524578297,0.07931055702949318,0.2743771472246544,0.014711229214454837,0.1854014143820819,-0.1940371179307735,0.1838182971625678,0.4778780415589762,-0.07210803481075322,0.34341143484096787,0.27222654888037656,0.14594700966018573,0.32758268172696803,0.32033908902436253,0.2599238679038267,0.049879431132228536,0.29645588656805477,-0.0242338668003235,-0.16325214498132098,0.007437590339120999,0.18703216773376213,0.4049351870062152,0.043601990623070574,0.18039982670669832,0.08665893641676192,0.36860726473650274,-0.2746886127803348,-0.04495296114469519,0.6793706595507878,0.17243124522891332,0.18565418353397353,-0.08968772758790208,0.20034602400208798,0.17554993964897178,0.30359265278694575,-0.13254215024809066
Thal_VPL_L,0.19467395832012846,0.5635216291701509,0.6675501444420473,0.720725014197315,0.7457886266598474,0.10682192017884005,0.08628222123618913,1.0,0.23303738173429525,0.026815959762380305,0.5973759480564804,0.2860578643897152,0.02702547462282217,0.2423960534395881,-0.02009511420183968,0.44954130640021817,0.3900567608257542,0.5973566760198254,0.18334721908006998,0.04314464655484104,-0.2717573405119267,0.5128962298820128,0.682749538744821,0.7305231292411437,0.5279254143562147,-0.07272410565446528,-0.030287638993205825,0.38922796980915936,0.4633654268530953,0.6421706733975537,0.00804965862970405,-0.12448209456658335,0.5157013055868293,0.610275173311347,-0.1574281509479846,0.4401802379305775,0.4696964660298429,0.5740688688787625,0.1919223177484603,0.6498816217822259,0.07114351719695314,0.4297590562816769,0.3511891057205496,0.5577988489134658,0.5284508846546775,0.551959869757117,0.6205929563308825,0.6817635842044573,-0.14631755494918272,0.7366497510162219,-0.45922045157888036,-0.038836975061191145,0.6378918487409849,0.0780281817025166,0.5403554125190917,0.6681591111029809,0.7440445142787263,0.6411392958734529,0.21056624563478887,0.09773352070795603,0.6736484888893959,-0.024816341951048083,-0.18070754497075853,0.1786867787735217,0.23554981167402486,0.2042242537540632,0.5911775685012445,0.3594446358295374,-0.07475316108824967,-0.16285564220289914,0.37657366346558974,-0.22614265887526017,0.43132240132816557,0.4270759456344184,0.3496069584494373,0.47932865119430446,0.7187981993178213,0.13363489016116292,0.7103045897690263,0.21037479103760975,-0.3394719763419472,0.19952968079582956,0.4176493994221576,0.5356545352372696,0.5376952900523241
Cerebellum_4_5_R,0.3014159906157501,0.4729833589065812,0.18761542311759857,0.25035414243783477,0.3840905478813926,0.827095210952037,0.3244732140080539,0.23303738173429525,1.0,-0.03774989041791653,0.5059315750484441,0.8648053094112178,0.3308702051474771,0.34364997477638703,0.21158734485676242,0.44952786265695094,0.11465691336676907,0.4323641417810784,0.3734825661365016,0.6837141408678404,0.5012595248857067,0.4751150757694515,-0.046989507764494474,0.2629395033641721,0.11073181367942769,0.8028076909449369,0.1033391712728754,0.4873012116005992,-0.0026854001225417212,0.14827212111591961,0.5837465333181905,0.4901414414462934,0.6619679561806663,0.19524865046462384,0.729055631388858,0.1692437385640317,0.43544708016765854,0.35274567135760504,0.9286412721616537,0.2818412370682288,0.09670732482308696,0.4474265739669566,0.5327724341524046,0.3133517895752271,0.07591169844269544,0.2118788166715991,0.2591724536991237,0.3411670369546991,0.7204983601238595,0.30220276747953195,0.19207397548481275,0.8330632708358429,0.32629918569669164,0.7838311693916266,0.17341643944335092,0.4788487594640547,0.3976678209494861,0.3816541064300918,0.4191366270980725,0.656102347814394,-0.11536293856896815,0.6747540813694078,-0.07791455506591996,0.5507101630230554,-0.11579900126041971,0.3420379567793125,0.22403530096178836,0.034833617118828895,0.31148115764442835,0.2719764739244674,0.44608892565911795,0.1350211427418562,0.590332499721594,0.44920204368944083,0.8416683622553792,0.26819078470216795,-0.013029114636037007,0.40988962603082096,0.5457330275898292,0.3994359490227745,0.12632932549414952,0.1103475101245854,0.6450422573658705,0.606054713097913,0.25828431927002493
OFClat_L,-0.11828677024925914,-0.09676995056953926,-0.06039874443041441,0.12202493339383617,-0.22939415492696077,-0.013936306749531889,-0.2965198545066876,0.026815959762380305,-0.03774989041791653,1.0,0.15633950042961436,-0.10222786877904871,0.46540800994311454,-0.38076874530327104,-0.12325043747203313,-0.2389096371930922,0.17146075720252543,0.07804658848911267,-0.29282506795763535,-0.37725695728678743,0.4165106883221037,-0.01826924005128106,0.04893888942510149,0.07331628025855082,-0.1047509045464595,0.1534629071450775,-0.1412348462630292,-0.23455091067237105,-0.10055645885830411,0.12453712859017581,0.36454105785773583,-0.08115041686282096,-0.0500507351007228,0.0021310100238307065,0.2799082082758042,0.1856733314162613,-0.26081474626481077,-0.047871470643399305,0.17430163322405445,0.1385668257482114,-0.30161548082679907,0.24828735795949142,-0.14131676565181575,0.021173907880227456,0.5337298136499659,-0.04720423099601253,-0.04304716763167022,0.06638656237946816,0.2755958493545683,-0.13251408414669463,0.028695458015830764,0.11633560927114804,0.035737134847939174,0.3040206254739636,0.2845807982502239,0.08014185054600925,-0.1477040363056685,0.3745372508235992,-0.19318383326474237,0.1708323423606313,-0.1802198411022538,-0.40790100061574897,0.07971789578973189,-0.22314658228486417,0.09648270288531928,-0.10790795990083797,-0.07331771441123554,0.0699971686080799,0.08503738415772737,-0.21728717523683708,0.13646754437807837,0.11076716651939765,0.10154349930231389,0.1475832187139696,-0.30663868885576073,0.0870391963123507,0.03643865859138793,-0.09554261272439198,0.08306207936914708,-0.30285871981443935,0.20044089738152399,0.06904731865258308,0.17296935298234575,-0.023506561463775288,0.5444475973858176
