,Precentral_L,Thal_VA_R,ACC_sub_R,Cerebellum_8_L,ACC_sub_L,Postcentral_R,Occipital_Mid_L,VTA_R,Occipital_Inf_L,Hippocampus_L,Paracentral_Lobule_R,Putamen_L,OFCant_L,Pallidum_L,Frontal_Mid_2_R,Thal_PuM_L,OFCant_R,Temporal_Sup_L,Thal_LP_R,SupraMarginal_L
Paracentral_Lobule_R,0.7757283421529118,0.18008599257628452,0.22370913592779654,0.09828183392208292,0.048851518589764296,0.8001615389479331,0.23410746719543316,-0.29102763397158365,-0.11362469724811938,-0.07801005564166225,1.0,0.374277694708416,-0.21862982074341133,0.6288307038843554,0.3321392213802656,0.34919143619259463,-0.09268099283656621,0.3285409138586873,0.11955764004465104,0.39561682530758924
Putamen_L,0.20859366324878065,0.5870646965435302,-0.1890268411088025,0.4332803803030563,0.10626075409803849,0.43049523708076,0.11240077406792498,0.21303599591735892,0.005869595758011867,0.6948609844109332,0.374277694708416,1.0,0.17671546433515073,0.3913519561621431,0.5418148208674769,0.5168062605532806,0.30876652512560376,0.7297813098049392,0.5172472276799116,0.358237447084207
OFCant_L,-0.2372821765147729,0.2182247449638302,-0.6119316008489873,-0.2459820680914801,0.5158362133052042,-0.15697232836569078,-0.30794652980776355,0.10654662012075267,-0.20243574369867698,0.34919016150952387,-0.21862982074341133,0.17671546433515073,1.0,-0.22746350037292162,0.22716073298802528,0.20876860042095038,0.4949581510219545,0.24820843365556228,0.32407848126975003,-0.23421736766032816
Pallidum_L,0.6338276892351898,0.31728620112253303,0.019459941809035736,0.015109400208826769,0.11827292294666589,0.5983756915209123,0.17356797356038567,-0.1311073291824713,-0.2488324403539687,-0.07743456075233139,0.6288307038843554,0.3913519561621431,-0.22746350037292162,1.0,0.2683057559329708,0.22760437055413776,-0.1474079167926571,0.17725339425099665,0.0024817624008339114,0.3504303498729131
Frontal_Mid_2_R,0.44524911739833617,0.5824972344495711,-0.07426381742501297,0.04732091509114584,0.3667329919681189,0.20878054266520296,-0.18336937825644856,0.08597137051791956,-0.3379477554245584,0.4528633634398572,0.3321392213802656,0.5418148208674769,0.22716073298802528,0.2683057559329708,1.0,0.5919464868768939,0.40187897045678894,0.36212756744537494,0.5227277881576899,0.10257325588767818
Thal_PuM_L,0.3640075536283193,0.28269655838392654,0.190695234653094,0.1362924706916631,-0.052257917246213016,0.30994308142897053,-0.14449445254978321,0.044732769759807355,-0.24698427674832152,0.45923946167122714,0.34919143619259463,0.5168062605532806,0.20876860042095038,0.22760437055413776,0.5919464868768939,1.0,0.009637586344848204,0.4170537341578969,0.43657026868556814,0.12586635215642433
OFCant_R,-0.1468501892110315,0.40851919415316446,-0.4961580788669903,0.04036795540176557,0.4278556476755415,-0.16510353665026617,-0.19070775174782534,0.3002101232092447,-0.1445378625563905,0.4249582427418065,-0.09268099283656621,0.30876652512560376,0.4949581510219545,-0.1474079167926571,0.40187897045678894,0.009637586344848204,1.0,0.17540740557302337,0.5410899865812779,-0.16569215767925102
Temporal_Sup_L,0.12847626542911222,0.40350290785040976,-0.1717132704569389,0.4698304368820395,0.09710040445921952,0.40623677735469854,0.1576333073984494,0.09007181292543084,0.20744982443410942,0.6363972054187589,0.3285409138586873,0.7297813098049392,0.24820843365556228,0.17725339425099665,0.36212756744537494,0.4170537341578969,0.17540740557302337,1.0,0.4547150266974944,0.4233755299358262
Thal_LP_R,-0.03446327443628035,0.30956014392860365,-0.20591638206827517,0.44381867464361185,0.029741210896048604,0.04241457717442162,-0.22737218051311642,0.19992411975628901,0.04389596055707026,0.6010596969392724,0.11955764004465104,0.5172472276799116,0.32407848126975003,0.0024817624008339114,0.5227277881576899,0.43657026868556814,0.5410899865812779,0.4547150266974944,1.0,-0.08263086681052384
SupraMarginal_L,0.39983258581168996,0.13963137568643594,0.0735646055611504,0.19683468468906454,-0.03776746173740823,0.39259260888241565,0.4756587699140147,-0.2117093101362217,0.1494806496152621,0.10161584170183793,0.39561682530758924,0.358237447084207,-0.23421736766032816,0.3504303498729131,0.10257325588767818,0.12586635215642433,-0.16569215767925102,0.4233755299358262,-0.08263086681052384,1.0
