,Cerebellum_Crus2_L,Heschl_L,Cerebellum_9_L,Insula_R,Frontal_Sup_2_L,Red_N_L,Cerebellum_3_L,Thal_PuL_R,Parietal_Inf_L,Supp_Motor_Area_R
Cerebellum_Crus2_L,1.0,0.0024055908685520033,0.23559844608436817,-0.06332581939558403,0.09778544251624487,-0.06372969580964022,-0.044194505954292786,0.30577384900371596,0.19918107775876592,0.2412690344098349
Heschl_L,0.0024055908685520033,1.0,0.4018669010624383,0.5994121559035144,0.6237835402711629,0.37717728798091976,0.5511062943798697,-0.11042252668929044,0.09575112675283133,0.4875043816645065
Cerebellum_9_L,0.23559844608436817,0.4018669010624383,1.0,0.5562839568235224,0.43201316908398,0.37391095840025634,0.46144182088944397,0.015156718457538838,0.12315930497568045,0.38556546654957863
Insula_R,-0.06332581939558403,0.5994121559035144,0.5562839568235224,1.0,0.5796709941172229,0.47271633618099856,0.5817900709763004,0.06956698656500622,0.27547648236491956,0.39403574137130926
Frontal_Sup_2_L,0.09778544251624487,0.6237835402711629,0.43201316908398,0.5796709941172229,1.0,0.3932498577473737,0.6355140040145951,0.10136962527442427,0.36253243943179775,0.6826999636988169
Red_N_L,-0.06372969580964022,0.37717728798091976,0.37391095840025634,0.47271633618099856,0.3932498577473737,1.0,0.4493956580572687,-0.030211644139054115,0.11303078365273245,0.35641943587541824
Cerebellum_3_L,-0.044194505954292786,0.5511062943798697,0.46144182088944397,0.5817900709763004,0.6355140040145951,0.4493956580572687,1.0,-0.0046454286233482325,0.11443840885332732,0.5205968128391353
Thal_PuL_R,0.30577384900371596,-0.11042252668929044,0.015156718457538838,0.06956698656500622,0.10136962527442427,-0.030211644139054115,-0.0046454286233482325,1.0,0.545966309226121,0.3582037873614715
Parietal_Inf_L,0.19918107775876592,0.09575112675283133,0.12315930497568045,0.27547648236491956,0.36253243943179775,0.11303078365273245,0.11443840885332732,0.545966309226121,1.0,0.627264029700845
Supp_Motor_Area_R,0.2412690344098349,0.4875043816645065,0.38556546654957863,0.39403574137130926,0.6826999636988169,0.35641943587541824,0.5205968128391353,0.3582037873614715,0.627264029700845,1.0
