,Parietal_Sup_R,Thal_AV_L,Thal_VA_L,Vermis_10,Frontal_Med_Orb_L,ACC_sup_R,Vermis_1_2,Temporal_Mid_L,Thal_LP_R,Cerebellum_Crus1_R,Thal_PuA_R,Thal_PuL_L,Cerebellum_6_L,Cerebellum_Crus2_R,Raphe_D,Thal_MDm_R,Calcarine_L,VTA_L,Frontal_Inf_Orb_2_L,Frontal_Mid_2_R,OFClat_L,OFCmed_R,Precuneus_L,Frontal_Inf_Tri_R,ACC_pre_R,Frontal_Inf_Orb_2_R,Thal_VA_R,Thal_MDl_L,Paracentral_Lobule_L,Pallidum_R
Parietal_Sup_R,1.0,-0.14864876647499212,-0.1705186559474477,-0.22937477356975716,-0.27013148842085694,0.39015781395720023,-0.3958539369728707,-0.3110767850772,-0.3400046840796955,-0.3606655160596897,0.14004615745981092,0.01257700885353116,-0.4999688316935132,-0.22347343381099952,-0.17744492667927314,0.04684002729524973,0.19433616992248492,-0.3412967949245878,-0.3694226958125493,0.19077469838337224,-0.3057639896806716,-0.04440419291596638,0.7726475850676077,0.0705323296116434,-0.3903317293944069,-0.07227738838320778,0.027783705721582026,-0.20008871199263345,0.6500144389378151,0.012955810704687655
Thal_AV_L,-0.14864876647499212,1.0,0.4320250074282302,0.07616011485896687,0.34116514396381964,0.30054635373374383,0.5952733472258754,0.0014375318616698925,0.6815389142256268,0.293329912541057,0.09522672837787127,0.24837838141707097,0.15044434552777639,-0.10436721952543866,0.07651189131807665,0.44786034148783493,0.17587775936202035,0.3176780265238797,0.3382902569798876,0.5459021477061478,-0.01826924005128106,0.054133468001560665,0.19971252833893638,0.5841007180924725,0.3449498778086662,0.38636840542399337,0.46494736366993966,0.6831769215246116,0.24209117210283085,0.3808222568839535
Thal_VA_L,-0.1705186559474477,0.4320250074282302,1.0,0.21063730142187614,0.17711996940334276,0.40942145441155625,0.35496757721759215,0.000709875451463716,0.4927866119060993,0.41827046753454494,0.33377394058534937,0.42847332907846597,0.17855752988939094,0.16585385687886817,0.13593087166879075,0.44047997631383656,0.27944493941799664,0.3630902855998205,0.193285717768431,0.3523508461666565,-0.050579624956696864,0.18090823421511532,0.21217543203228453,0.4376882321629626,0.2942097930344051,0.3325579113533466,0.22602977487094775,0.5425834320635634,0.2921240045694894,0.5885825854211177
Vermis_10,-0.22937477356975716,0.07616011485896687,0.21063730142187614,1.0,0.10982210735869548,0.10532176863907573,-0.0733116865073039,0.6831460037105461,0.2629205801061303,0.6633313096160566,0.2478990865275543,-0.0008622801654094579,0.7492114174910227,0.7178434713022113,0.5978929593093631,-0.0842557256543477,0.5926601003945811,-0.043023652008650395,0.01632988592266537,-0.12037443620044258,0.2755958493545683,0.1438091075910863,-0.004614313407294376,-0.11359130410041354,0.046929484984698254,-0.3470536594767368,-0.019154782942179895,0.2229816701359015,0.09182034257691128,0.05998133794722887
Frontal_Med_Orb_L,-0.27013148842085694,0.34116514396381964,0.17711996940334276,0.10982210735869548,1.0,-0.06214056655049622,0.3313407905058017,0.24637836163161309,0.34568366106510484,0.1275710896919463,-0.16559862043345416,0.10609513639655087,0.20700531388261045,-0.09562482494528116,-0.04863183027899472,0.23267211307013339,0.0016054611728610788,0.3977736555170067,0.4513207400712768,0.14387407947922604,0.22348698572472936,0.08215798384281806,-0.12985298687786068,0.21288438609087518,0.4240109597236886,0.1975112269954812,0.2576828036168553,0.2943790053366773,-0.2018467282428436,0.15880208995153242
ACC_sup_R,0.39015781395720023,0.30054635373374383,0.40942145441155625,0.10532176863907573,-0.06214056655049622,1.0,0.2892177623220839,-0.08960585511433075,0.22698175925188643,0.1929464743796948,0.049142461625384444,0.517215222010882,-0.036671415322246506,0.014080979450258943,-0.15235553674181865,0.4004074659431711,0.45132898816271794,0.1428802267318678,0.13264024481651213,0.48002146665263773,-0.047871470643399305,0.05383062088929864,0.6826486867941544,0.4658239099244618,0.06540423808285976,0.3077128556384959,0.5228269496015646,0.3722568356853681,0.668902924558798,0.4074353035548982
Vermis_1_2,-0.3958539369728707,0.5952733472258754,0.35496757721759215,-0.0733116865073039,0.3313407905058017,0.2892177623220839,1.0,0.12118873149124812,0.5364840412920299,0.25304561333023673,-0.18305561520760294,0.2619627855433303,0.18963559857456241,-0.11132993613068615,-0.12315224671211182,0.38337349483951727,0.17003782210454454,0.5920032925295804,0.596873227009635,0.45308965536342083,0.2272607648875595,0.06735519306264882,0.05263580183165276,0.5221710259290141,0.5538848970222511,0.4832553691085781,0.5670793830777651,0.622868159544916,-0.042971828323465334,0.3806200983522231
Temporal_Mid_L,-0.3110767850772,0.0014375318616698925,0.000709875451463716,0.6831460037105461,0.24637836163161309,-0.08960585511433075,0.12118873149124812,1.0,0.1223426990933027,0.3583153665985945,-0.006687599418985106,-0.10539730089929207,0.7719168383395216,0.5463547081465112,0.4849697994682462,-0.2216705502395702,0.48003258597620796,0.013673215810518554,0.24189368529627323,-0.26882502624792465,0.4165106883221037,-0.040549421253974254,-0.17766419355766977,-0.28817280906929305,0.07275406353728399,-0.43750712402761294,-0.08055414467796736,0.09450435912573163,-0.16813003653784592,-0.09055572476118798
Thal_LP_R,-0.3400046840796955,0.6815389142256268,0.4927866119060993,0.2629205801061303,0.34568366106510484,0.22698175925188643,0.5364840412920299,0.1223426990933027,1.0,0.5028539655305618,0.30359265278694575,0.405368225340466,0.31363280028954266,0.07478027969991022,0.2502611032749209,0.5177156036367265,0.2635073420687707,0.2176796703430189,0.46808008376888627,0.5227277881576899,-0.023506561463775288,0.15062715548308667,0.09153451384528273,0.5762522707425449,0.5276787905633833,0.446715723877969,0.30956014392860365,0.6255707805631613,0.0882525356335302,0.4807602948314009
Cerebellum_Crus1_R,-0.3606655160596897,0.293329912541057,0.41827046753454494,0.6633313096160566,0.1275710896919463,0.1929464743796948,0.25304561333023673,0.3583153665985945,0.5028539655305618,1.0,0.2996692177122442,-0.0015950426945470636,0.6865652028200744,0.6047946471659456,0.47299811175702006,0.24507453684427577,0.5878222189165916,0.21906439970343575,-0.01861360022122053,0.14046264386863969,-0.013936306749531889,0.12710836721108446,0.035626024896077205,0.17356673577592643,0.17347570021559852,0.0727360180121868,0.15936115964998548,0.4367833493739653,0.14647000573691332,0.272300404460161
