,Olfactory_L,Frontal_Med_Orb_L,Paracentral_Lobule_L,Thal_PuM_R,Calcarine_R,Cingulate_Mid_L,Vermis_3,OFCmed_L,Postcentral_L,Thal_AV_R,Frontal_Sup_Medial_R,Raphe_M,OFCmed_R,Precentral_L,SN_pr_L,Caudate_R,Thal_VPL_R,Cerebellum_9_L,Cerebellum_Crus1_L,Temporal_Sup_L,OFCpost_R,ACC_sup_L,Fusiform_R,Thal_PuA_L,Precentral_R,Postcentral_R,SN_pc_L,Vermis_9,Thal_VPL_L,Thal_VL_R,VTA_L,Cerebellum_6_L,Temporal_Inf_L,Rolandic_Oper_R,Thal_MGN_R,Supp_Motor_Area_R,Temporal_Pole_Sup_R,Rolandic_Oper_L,Occipital_Sup_R,Thal_PuI_R,Cerebellum_8_R,Frontal_Inf_Orb_2_L,Temporal_Pole_Mid_L,Vermis_1_2,Thal_LP_R,Thal_MDm_R,Occipital_Inf_R,Frontal_Sup_Medial_L,VTA_R,Thal_MDl_L,Cerebellum_7b_L,OFClat_R,Hippocampus_R,Rectus_R,N_Acc_R,Fusiform_L,Frontal_Mid_2_L,Parietal_Inf_R,Cingulate_Mid_R,Occipital_Sup_L,Insula_L,Cerebellum_4_5_R,SupraMarginal_L,Temporal_Pole_Sup_L,SupraMarginal_R,Temporal_Mid_L,ParaHippocampal_R,SN_pr_R,Occipital_Mid_R,Red_N_L,Cerebellum_4_5_L,OFClat_L,Insula_R,Olfactory_R,Cerebellum_8_L
Olfactory_L,1.0,0.4872485867502379,-0.13718158122640986,0.3414419318792735,0.10740643683833567,0.3137444678699438,0.41956022115011626,0.7290147654902922,-0.19964604510111753,0.17798768615615546,0.6259578236165764,0.26327448141033627,0.3147908624485449,-0.2334879288079129,0.6684476711657896,0.6854275758323221,-0.06156960950608355,0.3943240491770204,-0.03408095900830287,0.35291016896427224,0.7186310007247868,0.36522680894938925,0.2772472650128317,0.64377213003549,-0.11353217274954346,-0.1317900488523603,0.4032885679328317,0.010346748123556012,0.5438391746558059,0.2446772080332973,0.5076563162322246,0.04658336505728283,0.17348362001989168,0.34976088887967854,0.012550895855820402,-0.05978071470395595,0.6372874503230773,0.25477348250800935,-0.21663023764637712,-0.12134952446711034,0.3116489244771733,0.5502449285075336,-0.3236759386116647,0.5251515598854004,0.5839146472584851,0.393593384854877,-0.15395457794864337,0.5916459259411077,0.4838579556091445,0.4189552466969428,-0.09725994806232494,0.5574626658138618,0.6191543055778651,0.07798184681053417,0.5612333154019141,0.2480065829046823,-0.012250122122450411,-0.26837914921787775,0.43180737612090353,-0.19973392555269318,0.5417786277235622,0.3361985990923691,-0.07884856242047686,0.24803803330708105,0.04618704882542571,0.03767548487990344,0.7148627018030549,0.6861227476006737,-0.2926171573193649,0.34517315945216126,0.3179644805972858,0.047690803892715516,0.677005213902481,0.6346259151697791,0.2139820346444717
Frontal_Med_Orb_L,0.4872485867502379,1.0,-0.2018467282428436,0.2876830635474813,-0.05818881282184978,0.2058115263677238,0.134825993971132,0.4754029204630678,-0.2590069041050739,-0.08353681565908759,0.3207003634510294,0.13074389623351645,0.08215798384281806,-0.31399234865494163,0.2865224445183056,0.3496485917334977,-0.2082767422186818,0.2815671735624797,-0.09318615094000762,0.34368294864804005,0.4264987502452745,0.18397528610853486,0.08826259309199726,0.39191115482669386,-0.11322642333263473,-0.06396578959987276,-0.029314780226274248,0.1658891397472617,0.23855658320755768,0.3340721224820342,0.3977736555170067,0.20700531388261045,0.24298410749264215,0.15515269848507596,-0.1808719135421895,-0.1119885553444677,0.31008998723796494,0.13320792528314904,-0.15908445304434055,-0.24814109651641744,0.24348149771695837,0.4513207400712768,-0.10348386363622034,0.3313407905058017,0.34568366106510484,0.23267211307013339,-0.11824108456756802,0.25774801341577586,0.3514342245891704,0.2943790053366773,0.03846619240602267,0.2580689702686258,0.2933181407175931,-0.10973487362731764,0.06792962731127311,0.3102024018369397,-0.059084485057516074,-0.14176396289444546,0.2772638995794983,-0.06993901040394604,0.28577761626542225,0.23688653150381755,-0.01706226192405618,0.3959606253368574,0.08690090541600808,0.24637836163161309,0.2390484750022955,0.5505160055517724,-0.07439311498287528,0.18580870637826338,0.28940842760499363,0.22348698572472936,0.35982217593243243,0.12297042817142369,0.15861091032379016
Paracentral_Lobule_L,-0.13718158122640986,-0.2018467282428436,1.0,0.5013284673646708,0.5896540603137727,0.5517245570458995,0.4614458639526542,-0.38900614562330804,0.8013191278520965,0.221729405239578,0.1874145224968265,0.2465333757464439,0.002162669045605306,0.8659239514268552,-0.04119042341428541,0.07702767518590814,0.44501047380623965,0.26703491787753214,-0.1035358932510155,0.23545514995151406,-0.2528649578553365,0.4736197791465511,0.5104694743771437,-0.12994427928051813,0.7877568675582323,0.7475362219842703,0.1474673967461617,-0.15954759622161538,0.2423960534395881,0.3830532183257771,-0.17564406798131169,-0.10013505061715065,-0.0994755475592912,0.6112842390487548,0.17770885013199084,0.8493994007906255,0.0661694792042096,0.5224794621117833,0.6278570689560269,0.5030402873304994,0.09812284307928533,-0.3281577850573712,0.1577000418750426,-0.042971828323465334,0.0882525356335302,0.3145874247127757,0.21078700091012958,0.1357093807004308,-0.3422256275669175,0.3113827271707767,0.3237555751097707,-0.06503064430033775,0.30603899722062383,-0.022183156214312452,0.020545955624465463,-0.03835039408662593,0.5192886908119148,0.6936337309641702,0.4954697408401145,0.45140315460812197,0.2836207213114165,0.34364997477638703,0.4098138799180498,-0.3984042110131825,0.6550861938724507,-0.16813003653784592,0.2801782229276488,-0.007443894248127631,0.36680949403456964,0.2247636590646995,0.1911665843292229,-0.38076874530327104,0.2510530077876632,-0.11323151037605353,-0.03763962706434453
Thal_PuM_R,0.3414419318792735,0.2876830635474813,0.5013284673646708,1.0,0.3106149908523071,0.4634927318134069,0.5515779111308233,0.17569804604127595,0.3277715520459695,0.36750134006263957,0.4852047202094324,0.2985175957714705,0.1083625806586676,0.3449428287365543,0.29844003305132705,0.4781189086927057,0.24401599078725,0.2263952705885323,-0.1877085794537706,0.42680277540034334,0.22905249225871838,0.4606271187654024,0.3839479444867415,0.4411622001813094,0.39524038098429465,0.4032168753221502,0.30092725602451387,-0.3176282078625675,0.649199860015532,0.4988600156636833,0.24127701244853286,-0.1304412350437265,0.0689046068951339,0.5012993592443798,0.04350229938548863,0.47146126569861907,0.435839984430839,0.37413853721668716,0.17628652271385045,0.24511185794478293,0.07932103041416336,0.29907106653678417,-0.06950641144115745,0.3378294118874155,0.3948731301191854,0.6218048297952551,-0.1263417851416958,0.36354249326280463,0.11663110749328476,0.46833971492696996,0.11817773279992366,0.30582559992486896,0.5908011773310639,0.12683292621927383,0.3273640392904299,0.10946252816197426,0.49118920326526083,0.30070118897394443,0.5295787810936462,0.04391854578237574,0.3472853364866257,0.2676362902420065,-0.014202202235981209,-0.04065836157514158,0.3141610677945792,-0.19036901704878462,0.5776328823602028,0.5337461293120563,-0.09539035077479832,0.2935938816711356,0.24307325839516897,-0.043041580913634005,0.4686697807250823,0.27563529059850017,-0.01813779261988281
Calcarine_R,0.10740643683833567,-0.05818881282184978,0.5896540603137727,0.3106149908523071,1.0,0.6698891230819185,0.5884466643466083,-0.1125786370766338,0.46402234454836033,0.13305997667859587,0.39593267299455304,0.3059220768743582,0.1094638137721618,0.5247085938559807,0.11739367658746142,0.23174166778189595,0.4681802739996082,0.38483502065980774,0.14929039345343678,0.4120867361336445,-0.005158092275213309,0.5477295415746956,0.6235386874638407,-0.028401280849390368,0.6254182622858453,0.534767478459934,0.13180356790621692,0.21881139303739394,0.12505641795621716,0.46236906087076357,0.020823889870457756,0.22318017486855293,0.2403776140450447,0.5988596475354797,0.2159575918482456,0.6012739927598356,0.19262072204287337,0.5798813384760027,0.695289884000452,0.4353067674083096,0.3727973555464206,-0.07014525329611337,-0.016145749580693515,0.19949587497573387,0.1832945377472973,0.23816268076250569,0.3835948668759868,0.36212853014656865,-0.1299005745681704,0.346750718263393,0.2739163191157516,0.03775659894400446,0.4717626390512347,0.007409164663157242,-0.01120756799107155,0.37994234510005365,0.2780116331166139,0.3990717021933224,0.6423250822773185,0.4095312287403698,0.5756115508621266,0.6021435994841681,0.5399673324547518,-0.03511346120550423,0.6533632844480072,0.2500623705765222,0.3552240661774314,0.08916210141897665,0.4189090145532088,0.251822009851702,0.50336196422253,-0.21170056558307412,0.4494641090650245,-0.11939862584445185,0.3218211897755437
Cingulate_Mid_L,0.3137444678699438,0.2058115263677238,0.5517245570458995,0.4634927318134069,0.6698891230819185,1.0,0.8044438964163645,0.1362844492907421,0.439064286941622,0.2017613498296491,0.6912348668996375,0.5154417497226613,0.08176250133938502,0.4416077542187747,0.20226872546958896,0.5436481087445754,0.39068580366121214,0.5520358802140433,0.08026784437751479,0.7099887207728844,0.24310232059740733,0.7765871187837787,0.6479538528002027,0.40650397684519013,0.6171379183968397,0.6081096247095726,0.27386010333809846,0.13133880516735982,0.505428486247918,0.7774957611483121,0.2852722113979432,0.2705957401483657,0.324755699878741,0.7977949992998704,0.08286559853329235,0.7172092354410874,0.37307294739249175,0.8312306708735026,0.35931709313194526,0.4215487095670967,0.38637808744994084,0.3369770459133477,0.003948706419058408,0.562582788218588,0.5290733690289845,0.49487157043048535,0.16054009443625183,0.5655299011301496,0.06295007321749096,0.6647721738006378,0.0806880944688721,0.09992641548091385,0.6099810979838526,0.18685130761095212,0.041266031990589126,0.5063784338190292,0.4883504246816829,0.38086725236579183,0.9268643911022428,0.2418295302295982,0.7338479714350548,0.6410528686709682,0.5019374383916962,0.19718890384284396,0.7251967243180351,0.2858971903984168,0.534582722809644,0.4555114944104164,0.11024194937289432,0.41903300385461356,0.5758031611950565,-0.02635570169448226,0.6614076594118252,-0.06431468826894758,0.38912286095826715
Vermis_3,0.41956022115011626,0.134825993971132,0.4614458639526542,0.5515779111308233,0.5884466643466083,0.8044438964163645,1.0,0.13027584646753543,0.36255059942695755,0.3910569950379166,0.6453007114388639,0.5083760828246787,0.1729986615327369,0.4130598850899328,0.3930339159865585,0.645751954338187,0.42171140698046006,0.4600532160404698,-0.015661950798689914,0.6346419897037111,0.28653828928406677,0.7020911821549972,0.5715920760642494,0.547654284788705,0.5922669162614754,0.5521839417679695,0.5045157321520114,-0.10884406007145178,0.699503024873547,0.608265037800708,0.3607761110818032,0.10641652588526243,0.26001115753739545,0.7693938566578741,0.18831496013615354,0.6118234962177138,0.4195705083269674,0.7431216431964643,0.2094780247610685,0.4299913333801613,0.3012780153973461,0.38453716294023305,-0.016796028931217465,0.6506326591960213,0.5232183300961671,0.532985419041377,-0.03299373396696152,0.5291937349398187,0.2030219572352851,0.6749123476055546,0.06562424987502011,0.16434946954150384,0.6994195180131213,0.3072520364643538,0.35791706909493415,0.38917957769388173,0.484876559788278,0.2785382256134436,0.7983446800310062,0.04045402697950569,0.6976898963824,0.5351297346713619,0.2826711494735389,0.08150656121122773,0.5922520654836446,0.08483223789275625,0.6994445166274342,0.5400480784269569,-0.11042429930000251,0.4692458571679831,0.4957495184062573,0.006011081824647774,0.6526045032610192,0.228196674657882,0.41157680460394064
OFCmed_L,0.7290147654902922,0.4754029204630678,-0.38900614562330804,0.17569804604127595,-0.1125786370766338,0.1362844492907421,0.13027584646753543,1.0,-0.3034798677504576,0.005718502816141716,0.5045237557518447,0.18769972632486762,0.24582524209948672,-0.441452552963574,0.36681399488644806,0.5874665510992825,-0.2984788542650736,0.20742114809332302,-0.14110326700678186,0.26226565030324694,0.802418717138079,0.17694373687736578,-0.007944012326962456,0.6459382557963322,-0.3892016027425918,-0.34117009761582984,0.23393403328284984,-0.06684446016456072,0.3594446358295374,0.06254396572592062,0.3357876077161386,-0.13513470150440293,0.02467473361105895,0.13876579078407084,-0.22155899397039236,-0.31087428184181076,0.6393134582264107,0.06102036497202633,-0.4055863073254855,-0.13755176068800773,0.012645646555360327,0.6997712952398633,-0.3996390264663302,0.45211830027245753,0.5007024497596764,0.18901390986689884,-0.29696024199317933,0.4363253059964995,0.3886295032998776,0.23382139295177062,-0.32996701378443694,0.5682354201392691,0.4665374503708516,0.0761551126435097,0.3032067832861235,0.06562929524102346,-0.14880858816874323,-0.42581586526182014,0.2626493991442446,-0.3738064449540643,0.2629698021110943,0.034833617118828895,-0.2280140609925053,0.32024670668591376,-0.1788887240953704,-0.003446792054291635,0.5002992703232371,0.5763309616143958,-0.4624955634734373,0.03303515640433959,0.05454168337940482,0.0699971686080799,0.4215132052013319,0.4385249520185052,0.05343249800269716
Postcentral_L,-0.19964604510111753,-0.2590069041050739,0.8013191278520965,0.3277715520459695,0.46402234454836033,0.439064286941622,0.36255059942695755,-0.3034798677504576,1.0,0.0589713371357243,0.14680209580186426,0.22736426729131543,-0.12675306355173352,0.8894212113743352,-0.2137045963811919,0.039672235766089886,0.19922185235546827,0.00936737007134799,-0.3122253870234745,0.14869135740459172,-0.18700729103002936,0.46528328623714515,0.27231323211850833,-0.16285808807918611,0.5627450609831094,0.5553445314937147,-0.06705133686044137,-0.37533407866187524,0.2271538765272561,0.2790476925670668,-0.17288181975817482,-0.3658882654729287,-0.32556351701821873,0.5159389874980991,0.08949306178235915,0.6166573008169345,0.11022679922902677,0.39367480222107276,0.5197019813688429,0.34108610297972697,-0.2367017095947128,-0.22598813411007612,0.16390906954473,-0.05352877855771872,-0.11884497302194116,0.23829747288524514,0.07339615093344312,0.019300471073386793,-0.30220684828890476,0.16777907710731146,0.239408501915481,-0.06610079216375728,0.2863572503755614,0.08285236922433728,-0.09831023873404642,-0.3002556544071825,0.5538527542984863,0.5746143304988062,0.31194167642441945,0.39103777066844575,0.1262801858989946,0.02120156168691189,0.5314239873675848,-0.4059175477350295,0.44653899092136523,-0.29385761466845434,0.1995394576196491,-0.004253560120699715,0.23108573311441935,0.03496178615414879,-0.16368994068376702,-0.3465035029967056,0.20388514407605815,-0.15453541163193196,-0.28127344239813473
Thal_AV_R,0.17798768615615546,-0.08353681565908759,0.221729405239578,0.36750134006263957,0.13305997667859587,0.2017613498296491,0.3910569950379166,0.005718502816141716,0.0589713371357243,1.0,0.20857136536104773,0.31275822151766947,0.07155513710512633,0.1335875476110016,0.45915586448034285,0.3183344252576347,0.4963573984588726,0.1885631210685274,0.22999591434195846,0.33643936552108433,0.014712355187418868,0.252820602032123,0.24018559625467636,0.32984250392351144,0.20560349064234187,0.1923440413103029,0.533693634146349,-0.020024533314042088,0.422300311203371,0.15980067133737025,-0.03420996779452925,0.1195298538871878,0.17836869537157163,0.36831750177503414,0.38031145318032444,0.3306912532256559,0.14239071036519485,0.32972209419996884,-0.031916662643132455,0.4027624379311969,0.13340454174641864,0.20587313514287298,-0.14559126179884715,0.04820175765379813,0.33426636497219453,0.21863841014808236,0.04806432037136283,0.17003722173871377,0.1276749041087183,0.2093667058159583,0.1448364011008835,0.09067824378476755,0.2092870004361964,0.12587405010394295,0.5808821357540422,0.18439540662971024,0.3527957631989637,0.1027685656848375,0.25256779056122,-0.018608908292682518,0.418608594712218,0.27797447613589255,0.004502287194527648,0.08063700328444634,0.11504560963282438,0.06324546780751196,0.2962534199306261,0.171286456390937,-0.10404666685113671,0.4989452558410137,0.2738045652980817,0.0509265750608744,0.3399890802072041,0.45418051070504756,0.3221723163052517
