,Calcarine_L,Frontal_Mid_2_L,N_Acc_R,Insula_L,Occipital_Sup_L,Lingual_R,ACC_sub_L,Raphe_D,Frontal_Med_Orb_R,Thal_IL_L,Fusiform_L,Cingulate_Mid_R,Occipital_Sup_R,Thal_LP_R,Vermis_7,Thal_MGN_R,Cerebellum_8_R,Frontal_Inf_Oper_L,Frontal_Sup_Medial_L,N_Acc_L,ACC_sub_R,Vermis_9,Parietal_Sup_R,Rectus_R,Paracentral_Lobule_L,Temporal_Pole_Sup_L,VTA_L,Vermis_4_5,Thal_MDm_L,Frontal_Inf_Oper_R,OFCant_L,OFCmed_R,OFCpost_L,Thal_PuL_L,Vermis_1_2,Cuneus_L,Cerebellum_Crus2_R,Temporal_Sup_L,Occipital_Mid_R,Amygdala_L,Cerebellum_6_L,Vermis_8,Thal_PuA_L,Thal_PuI_L,Thal_PuM_R
Calcarine_L,1.0,0.30666220320102194,-0.060418907410356555,0.6270710418440124,0.514270807347505,0.8557927149385623,-0.12084766661631587,0.3570588995192537,0.15736430767521872,0.32055265890230605,0.6254970482310089,0.634487640520462,0.6918344104096693,0.2635073420687707,-0.013117669414026322,0.2761263840551375,0.5453834271307654,0.29200533624727953,0.334574739684618,0.10892589213596252,0.049279049771081884,0.44905462912122496,0.19433616992248492,0.01644782377514273,0.5261966973516541,0.19010475858188242,0.027056583798109032,0.7381658905567688,0.17057033825819057,0.5891900949957133,-0.25669132213497425,-0.013713449952329464,-0.1282558215159288,-0.008910587668689707,0.17003782210454454,0.8603395516756335,0.43967323936221675,0.5131140942753252,0.5496668105286596,0.09617421080072977,0.539976929696886,-0.13213722814450635,-0.0783482201623454,0.24068013971089594,0.23181420870167466
Frontal_Mid_2_L,0.30666220320102194,1.0,0.1072198742602674,0.2690212120108552,0.09733000676701449,0.29742230754930027,0.1413620036426107,-0.1180070826169339,0.24940339997538657,0.5515779882103794,0.07659983817136153,0.4074372976113699,0.07828223038023092,0.29769519346467194,-0.2770638678996774,0.04690608330982195,0.12251003963124675,0.14099477869324373,0.22021966482305264,0.29616151660083806,0.06463333085826586,-0.21254542994714296,0.13147347060306985,0.22267643214596275,0.5192886908119148,-0.08695040610364385,0.04190091781589856,0.25759003990310747,0.4521671503725033,0.623386681999917,0.08971158298363172,-0.12836709971091678,-0.08075986057363334,0.4852850537444514,0.33774183748065456,0.12573029122456167,-0.07336843671403684,0.3726330375786973,-0.10532217930012776,-0.2652714909324792,0.05445839834524772,0.23427290102956047,0.26061221196301426,0.5489815274340105,0.49118920326526083
N_Acc_R,-0.060418907410356555,0.1072198742602674,1.0,0.2903867451086086,-0.2573574357171893,0.18580284536629546,-0.29204994668857714,0.21910179638929098,0.06787158322820142,0.11464079731436444,-0.010697231144114697,0.10243223168709015,-0.21612769773137744,0.3977811365748397,-0.10358532636034971,0.4924568495316746,0.02361732475018755,0.06781984931476397,0.14078649317245198,0.44668587946490895,-0.06444879157333176,-0.21859377733025007,-0.11729811686009572,0.14662335180174094,0.020545955624465463,-0.04365828859622478,0.0938378691329442,0.11631630017427749,0.5799624419443538,0.14012566994608308,0.3405910726920638,0.26196772230520343,0.3078684393809058,0.5073363677348166,0.10509921044771105,-0.1830387437617019,0.08233904304994309,0.2018445270791857,-0.33985010945211186,0.09063192499608042,-0.09107073325901305,0.15105175219649652,0.5084092130347888,0.3252088738585406,0.3273640392904299
Insula_L,0.6270710418440124,0.2690212120108552,0.2903867451086086,1.0,0.23984791408710626,0.6488363015645044,-0.09033389775603974,0.25019334899999246,0.1286120900842325,0.4474495979690149,0.570384988750761,0.7557064132304852,0.22844259220967036,0.4563783535215956,0.07338992796790708,0.19849099555305386,0.5284264492231482,0.6342058214104291,0.705373438020305,0.5139768293811342,-0.16156022385739477,0.3241591692395105,-0.0678360957364825,0.14735874050942396,0.2836207213114165,0.40967549933625647,0.39819659338482793,0.6356107936156337,0.36315487917993455,0.5806476055951078,0.0810647447883427,0.18666571416002695,0.338652227224631,0.3568805883972375,0.4607088842459654,0.49029201914393244,0.39970333427449556,0.7501455848297939,0.1465853856283325,0.4423819534371512,0.37563800785233825,-0.06869322400641231,0.4022564177229758,0.4986571745393063,0.3472853364866257
Occipital_Sup_L,0.514270807347505,0.09733000676701449,-0.2573574357171893,0.23984791408710626,1.0,0.27762226551063185,-0.11868098092349455,0.11621221420256007,0.19176458553487502,0.16014858953208355,0.041224414225254094,0.1720544135699523,0.7697350644541014,-0.24583659495531246,0.10637384753701691,0.1526232818009656,0.09225323045448497,-0.04855284522534505,0.13932771354243334,-0.07666964220945865,0.21444080075384475,0.22092324822395068,0.6013039378749209,-0.1640146491897435,0.45140315460812197,0.07815577735938538,-0.17920820754053393,0.12110446665021432,-0.166877738296562,0.29318604982274676,-0.3365542668612515,0.03652114608996531,-0.37481435533107016,-0.1001046495449824,-0.2900335009209966,0.7167262717923409,0.26325514685321233,0.08348971064893516,0.819159954225032,-0.12539431979382973,0.03914599145820239,-0.13556709625474903,-0.4565061766479401,-0.14742856004861524,0.04391854578237574
Lingual_R,0.8557927149385623,0.29742230754930027,0.18580284536629546,0.6488363015645044,0.27762226551063185,1.0,-0.29283217436466064,0.4941945485125547,0.08776412540841587,0.35942505456835083,0.69180266520823,0.6447198356592164,0.4533468868613799,0.4261669210305231,-0.025610238311556382,0.4023153635606146,0.6663240119894887,0.2789909345266648,0.3105130929083727,0.17322966324635847,0.059625826840757096,0.49579283149241454,-0.019200354115728152,0.016276478446642966,0.4811373365444599,0.08839364795524773,0.061269016478724084,0.8105101607480817,0.3720997031666675,0.5423331597819917,-0.2224212652457723,0.08853623647837817,-0.047540406823992964,0.08880502854796746,0.19354568542504208,0.6747574375495401,0.592816920390532,0.45320222941595373,0.341473682975948,0.1508828269392163,0.6147736670046428,-0.14702416593795625,0.12165280490159489,0.2543492606893485,0.2795048497631506
ACC_sub_L,-0.12084766661631587,0.1413620036426107,-0.29204994668857714,-0.09033389775603974,-0.11868098092349455,-0.29283217436466064,1.0,-0.5330122037233935,-0.030686357264759934,0.14473916906329432,-0.2944695328254111,0.14829639219603336,0.07379206207373129,0.029741210896048604,-0.10103424736879042,-0.4151072655356859,-0.3496124106479782,0.03695290292021612,-0.016637475374629847,0.35635072281484026,-0.4875508295978931,-0.44775332748213154,0.26224844007460346,-0.0018828038104104657,0.10230723782844275,-0.1337701170258436,0.20844377297966254,-0.11616469218829883,-0.05130356565201316,0.22341873461993308,0.5158362133052042,-0.19312639622066421,0.3364129970185541,0.03180261053522815,0.23964387060970063,-0.036405872091737596,-0.6349922932532293,0.09710040445921952,-0.13252648126678163,-0.17128031584239903,-0.41871198770958495,0.13231983132736666,0.14923096780145867,0.19836093360472287,0.28042157880692614
Raphe_D,0.3570588995192537,-0.1180070826169339,0.21910179638929098,0.25019334899999246,0.11621221420256007,0.4941945485125547,-0.5330122037233935,1.0,-0.011116628262994605,-0.23604383967591797,0.4800349092806974,0.20043391193179136,0.08958740816430301,0.2502611032749209,0.14952103555509627,0.2382831234920326,0.4637628991121648,0.17916281565919978,0.04498955491414998,-0.2823468411970732,0.1903566848394981,0.5700003019336324,-0.17744492667927314,-0.1417958081745529,0.10382427973233901,0.2032991767051019,-0.2327407056365674,0.40046100891539504,0.1345847691716619,-0.019134107867457895,-0.26573347151918963,0.024766459530497782,-0.08983822285827682,-0.10900122844901323,-0.12315224671211182,0.262513792608372,0.5712151708799026,0.2338254150567488,0.23388774231190504,0.2401106664453244,0.58618582653599,-0.10868860221814633,-0.08075591617203932,-0.21392997088469312,-0.10281228372193835
Frontal_Med_Orb_R,0.15736430767521872,0.24940339997538657,0.06787158322820142,0.1286120900842325,0.19176458553487502,0.08776412540841587,-0.030686357264759934,-0.011116628262994605,1.0,0.2286207274230996,-0.18942235427414514,0.009427472881620772,0.21670420559249587,-0.11555568180241185,-0.16851800719482493,0.029434905346516275,-0.0953963832744565,-0.192082568853672,0.05524865863707124,0.06484922694840907,0.22385827059533542,-0.21663249930560566,0.3087977253087705,0.11434002753610713,0.3471692135980644,-0.142407237156888,-0.0929075119124712,0.04630444149092414,-0.04713697156205667,0.2821874029140555,-0.08266448148994658,-0.09504014234098707,-0.2570998674693711,0.089083292876928,-0.09743768726767413,0.15209283260414425,-0.012252024380964475,0.01854749642248702,0.09042639076703873,-0.3331682894073841,-0.16287485995004738,0.20761772683919907,-0.12694723618512296,0.08584869193153105,0.10128464715617443
Thal_IL_L,0.32055265890230605,0.5515779882103794,0.11464079731436444,0.4474495979690149,0.16014858953208355,0.35942505456835083,0.14473916906329432,-0.23604383967591797,0.2286207274230996,1.0,0.1658330936921218,0.4858483371429564,0.17792772774294022,0.17622291793779848,-0.09427285183335665,0.06296246924084604,0.21560363379714745,0.12280949451954468,0.34845874402766425,0.5206363635506479,0.06135334502894222,-0.19968802738611352,0.11887816134029242,0.22462038010388333,0.4517491893260482,-0.09184282256570309,0.46241973854364277,0.34501726309487724,0.4297438544752375,0.6285183720979242,0.028196828234061656,0.07825958797674147,-0.04203912412297693,0.4114313578818932,0.33364909555195804,0.1992749036244581,-0.0807520686743762,0.3212374201433548,-0.0016397668579033594,-0.159194819601081,-0.011134128930011186,0.15207341754683085,0.2870917288008888,0.49701049322498553,0.5931170114889562
