,Frontal_Mid_2_R,Thal_LGN_L,Thal_PuM_R,Thal_PuI_L,Cerebellum_7b_R,Temporal_Inf_L,Thal_MDm_R,OFClat_R,Temporal_Pole_Mid_R,SN_pr_L,OFCmed_R,Cerebellum_Crus2_R,Caudate_R,Thal_VL_R,Cingulate_Post_R,Fusiform_L,Cerebellum_Crus1_R,Cuneus_R,OFClat_L,Cerebellum_6_R,Cerebellum_Crus2_L,Cingulate_Post_L,Raphe_M,Frontal_Med_Orb_L,Frontal_Mid_2_L
Frontal_Mid_2_R,1.0,0.43749611242837005,0.5541878614005281,0.6477895555353452,-0.38733511894381967,-0.19558289419386116,0.5840248737616235,0.20220237733451715,0.553533632456817,0.09120091547073694,-0.03952261484399187,-0.38227041569582193,0.6771658425486647,0.5635311236349226,0.43437447032153287,-0.002871840971492893,0.14046264386863969,0.09707466541734096,-0.04304716763167022,0.04209170173319788,0.11053653874490771,0.652468480628921,0.5461335814808497,0.14387407947922604,0.620169865489073
Thal_LGN_L,0.43749611242837005,1.0,0.32168457161841363,0.5396941380893776,0.07626939796183911,0.16836706041116817,0.19654068043965045,0.2505457565391667,0.29954488939704943,0.07288068855396387,0.09724455564001845,0.02237748337596654,0.3986876531541146,0.4059921935295967,0.3425493593802325,0.3220787275664817,0.22700766889803997,0.18995701701065615,0.1475832187139696,0.23211433658303632,0.018181248138901516,0.4553767814838009,0.4481401339679497,0.17711715565325695,0.49709319323157003
Thal_PuM_R,0.5541878614005281,0.32168457161841363,1.0,0.35813356278326297,-0.19122788137761154,0.0689046068951339,0.6218048297952551,0.30582559992486896,0.4518516548508584,0.29844003305132705,0.1083625806586676,-0.21960816840804892,0.4781189086927057,0.4988600156636833,0.6300152259887657,0.10946252816197426,0.07444752754943583,0.041373311285181194,-0.043041580913634005,-0.05953061572346877,0.00618575061153956,0.7242606889126731,0.2985175957714705,0.2876830635474813,0.49118920326526083
Thal_PuI_L,0.6477895555353452,0.5396941380893776,0.35813356278326297,1.0,-0.3269204019034937,0.023985187573579883,0.5711234847854056,0.28131608529514507,0.4537790053311575,0.33818878418947135,0.04822208972737706,-0.18749667484990143,0.7254467207630708,0.5669538526093673,0.40043200216789987,0.1993624565536743,0.25698197024592084,-0.08752871316882666,0.12202493339383617,0.08124750312739908,-0.10538592017929564,0.4974248543430326,0.47814897293159514,0.16291549568567656,0.5489815274340105
Cerebellum_7b_R,-0.38733511894381967,0.07626939796183911,-0.19122788137761154,-0.3269204019034937,1.0,0.25680693081986267,-0.20690737734382023,-0.0217852878609924,-0.04959211133425595,0.14630276373888865,0.2785740723024051,0.7181634384386141,-0.25336930534385194,-0.04328775197219363,-0.29030929730797966,0.3469925555994446,0.4637951217430124,0.41666893146588946,-0.2278622431580438,0.5747581559836152,0.11351250854232513,-0.21769892346210454,-0.16945435209506587,-0.07942567576723618,-0.11051542139395598
Temporal_Inf_L,-0.19558289419386116,0.16836706041116817,0.0689046068951339,0.023985187573579883,0.25680693081986267,1.0,0.005159939400995239,-0.09695213044906417,-0.038586440512893144,0.22523794150168222,-0.01699088631910933,0.46407239204419964,0.04565456559911751,0.2893449492447644,0.01815165309172992,0.843546120571404,0.40124572728280467,0.024030411703662456,0.36454105785773583,0.42936624517923927,0.1555556951592207,0.016532331306002235,0.04538870470857894,0.24298410749264215,-0.05091418928816168
Thal_MDm_R,0.5840248737616235,0.19654068043965045,0.6218048297952551,0.5711234847854056,-0.20690737734382023,0.005159939400995239,1.0,0.19728275465415895,0.4619197621254784,0.3419450781342528,0.13549547672496098,-0.2435664187716603,0.6449008267386027,0.6411202423310579,0.3835337958937752,0.13811494877032898,0.24507453684427577,-0.08483828491565819,-0.14295708775889637,0.10066260257978772,0.029786088743025723,0.5230434843388727,0.29257889601039677,0.23267211307013339,0.42397250266151665
OFClat_R,0.20220237733451715,0.2505457565391667,0.30582559992486896,0.28131608529514507,-0.0217852878609924,-0.09695213044906417,0.19728275465415895,1.0,0.5246930250528848,0.422236683320034,0.3405962140624112,0.04596873909203946,0.4901834601380263,0.059142025495801914,0.3015599592802705,-0.013442954636531858,0.18469755781605737,-0.15038262143569348,0.17146075720252543,0.1254638963216656,-0.34537319352513557,0.2357362628735383,0.13290467960242883,0.2580689702686258,0.1587229126831367
Temporal_Pole_Mid_R,0.553533632456817,0.29954488939704943,0.4518516548508584,0.4537790053311575,-0.04959211133425595,-0.038586440512893144,0.4619197621254784,0.5246930250528848,1.0,0.39236577814080276,0.23174029398017224,-0.014700202876673289,0.5947139842530242,0.3637948978984231,0.3597776368528007,0.1482187405060261,0.4509948750476947,0.03525712329725197,-0.016174882879605945,0.3882172969837404,-0.09126940991873553,0.422369918813269,0.36169973121780286,0.18363891043567587,0.3397382238243694
SN_pr_L,0.09120091547073694,0.07288068855396387,0.29844003305132705,0.33818878418947135,0.14630276373888865,0.22523794150168222,0.3419450781342528,0.422236683320034,0.39236577814080276,1.0,0.3523441882772151,0.32251084474827746,0.4937581674756675,0.15321485293607712,0.12149759654787365,0.30346354387227886,0.4645313165242851,-0.18775063569661815,0.026235953251855567,0.2777095159311478,-0.12669799695868283,0.1311770733853014,0.2333967374543582,0.2865224445183056,0.07071567712617735
