,Thal_PuL_L,Thal_MDl_L,Cerebellum_10_R,OFCmed_R,Temporal_Mid_R,Temporal_Pole_Mid_R,Thal_MGN_L,Temporal_Pole_Sup_L,Occipital_Sup_R,Occipital_Sup_L,Cingulate_Mid_L,Supp_Motor_Area_R,OFCmed_L,Temporal_Pole_Sup_R,Cingulate_Mid_R,Rolandic_Oper_R,Thal_PuI_L,Precuneus_R,Temporal_Inf_L,Hippocampus_L,Thal_VA_R,Angular_L,Cerebellum_9_L,Frontal_Inf_Tri_L,Hippocampus_R,Thal_PuM_L,Thal_LP_L,Cingulate_Post_L,SN_pr_R,ParaHippocampal_R,Thal_LGN_L,Amygdala_R,Frontal_Inf_Tri_R,Heschl_R,Vermis_4_5,Raphe_M,Cerebellum_8_R,Calcarine_R,OFCpost_R,Thal_PuI_R,Precentral_R,Thal_LP_R,Angular_R,ACC_pre_R,Thal_VA_L,Frontal_Med_Orb_L,OFCpost_L,Red_N_R,Insula_L,Caudate_R,Occipital_Inf_R,ACC_sub_L,Pallidum_R,Frontal_Inf_Orb_2_R,Lingual_L
Thal_PuL_L,1.0,0.3002120136404835,0.4025504273093429,0.19473591541225618,-0.09352656788264954,0.2030781443783444,0.38511116193188355,0.008768743104596556,-0.19722649781191331,-0.1001046495449824,0.33901550938499025,0.2772925619901339,0.28355206514231435,0.31950468087796036,0.33749016417434946,0.42243418210662487,0.46966572236046694,0.23146776813444264,0.024633880380090782,0.4377323559757238,0.1804582339407164,-0.19424574417277624,0.11045179656065997,0.5208569410134117,0.37432014312000417,0.538597447643193,0.6101613633896845,0.41904134664495224,0.4623419097310384,0.4707857672352418,0.3593421363480124,0.2512286932947931,0.4408005390913,0.34568235366445005,0.14561722941291502,0.26465137557173546,0.007567500916688343,0.0572385064222786,0.3039515905483915,0.15776758240213357,0.1570118728928168,0.405368225340466,-0.04596664785129327,0.42505525877609923,0.42847332907846597,0.10609513639655087,0.3328442641824573,0.40745754549983987,0.3568805883972375,0.4115107792937966,-0.295766380857145,0.03180261053522815,0.4393377625729859,0.44715979184811455,-0.032053081345155415
Thal_MDl_L,0.3002120136404835,1.0,0.3710791541843789,0.029587842628613973,0.3716442682752614,0.5288162061096489,0.3961661839648289,0.15570135314769645,0.023983024794590014,-0.08298750127106905,0.6647721738006378,0.4463530718915659,0.23382139295177062,0.4684719953621841,0.7123211650081389,0.5341388702888205,0.5079410537346085,0.44380180248608286,0.3689047389043583,0.5715738369891606,0.5263528228395827,-0.19296787145029007,0.6194980003699999,0.39475257385769164,0.6164324236277119,0.29399898237178584,0.4600022076041655,0.42911133789630135,0.5377495718722797,0.5893549092468114,0.4749707626799882,0.3865759364708394,0.5803836836722299,0.456157932372886,0.630230907905867,0.4653562469347722,0.45816250352777904,0.346750718263393,0.4005432502880473,0.23419322723740987,0.35720033829101006,0.6255707805631613,0.05282170127343778,0.3512581240704189,0.5425834320635634,0.2943790053366773,0.22003427690842273,0.20062332299690644,0.4844795491017626,0.5274591825487154,0.11239826420988791,0.08839064823982308,0.46594577548434535,0.386626168522955,0.38456678759156304
Cerebellum_10_R,0.4025504273093429,0.3710791541843789,1.0,0.108786605847295,0.06016663709382223,0.5587991182189435,0.5670091801360495,-0.24530554374169097,-0.16644001359861782,-0.29216460405257044,0.2316214588433955,0.1853997382254229,0.3513570050022404,0.7102105882144653,0.26104997272010755,0.3499198929074448,0.5656525756771775,0.34118892814284824,-0.4558517491358614,0.3553467444481709,0.3537077863898111,-0.3827246495562326,0.1705028885543097,0.18914120497478915,0.6278795122423311,0.5575624753073665,0.431857485053634,0.4134816922989997,0.5038961197802523,0.6563207199534155,0.25542675240982593,0.23642437935243557,0.7129402906847453,0.3466973855247798,0.05758627792213631,0.37634574204130383,-0.32507567516795893,0.01916639565398811,0.5210497293763735,0.32116504430692405,0.02235801596023135,0.36710229188909493,-0.06816902063558175,0.3439583373798692,0.310597343129638,0.02169056010216497,0.2664824931537322,0.47531228409017384,0.04738430370680952,0.624067002002663,-0.23046110354676413,0.33631465810454253,0.5249201687192838,0.7835565902714873,-0.37131931181114314
OFCmed_R,0.19473591541225618,0.029587842628613973,0.108786605847295,1.0,0.07642101446507445,0.23174029398017224,0.1416412656616288,-0.009033276791376705,-0.020050016915534707,0.03652114608996531,0.08176250133938502,0.0005340771620396776,0.24582524209948672,0.17015629254330528,0.15127816039272582,0.09570786004402763,0.04822208972737706,0.11777351361875069,-0.01699088631910933,0.1937442420719708,-0.041424081271385214,-0.22478402324796629,0.12284511692663462,0.11554329771803619,0.2333162698775698,0.18475951071972802,0.2571111830072166,-0.030212575870447754,0.148481985186211,0.3258427800517689,0.09724455564001845,0.3492571213687387,0.09867455563273858,0.18135659154473197,0.09372915258578507,-0.06460351193626541,0.17095638251457368,0.1094638137721618,0.2657055776837905,0.21534025940926937,0.07137931108524156,0.15062715548308667,0.012279206702257996,0.33902589053248305,0.18090823421511532,0.08215798384281806,0.2331118843577907,0.366924907649921,0.18666571416002695,0.30701927032949977,-0.2261079139908869,-0.19312639622066421,0.29801447788333246,0.036087155115364415,-0.012888112971303258
Temporal_Mid_R,-0.09352656788264954,0.3716442682752614,0.06016663709382223,0.07642101446507445,1.0,0.3632535015580447,0.17393062391747816,-0.10931211787451967,0.6175531274277758,0.32751693642695506,0.5740842711250499,0.5075979070028419,-0.042862485409798104,0.3376759299045482,0.5752674773406331,0.4842088543045713,0.2120031627932188,0.6466262435220562,0.14946373551354325,0.12610429596866649,0.29806341433843875,0.1599462250300988,0.49351816529244663,0.022965889853504052,0.5144137497453383,0.28324710608798426,0.02090956860416505,0.16455129473500346,0.0878741445880293,0.38630671164360825,0.25895585640138175,0.22598278859790796,0.3984716202450633,0.5885266362630527,0.6709695309900113,0.2879463983967077,0.4740454559386291,0.7938959576453527,0.10179453191712164,0.44934241547896303,0.42627746206628314,0.3556442098101445,0.48130433189820526,0.017939291817465494,0.2964967744861566,-0.011247159579489215,0.02880798765609913,-0.022689387032680877,0.4730274689638446,0.3095114531921389,0.6252801815251054,0.005060978198500014,0.18143921569037647,0.0881101421701154,0.651617844601755
Temporal_Pole_Mid_R,0.2030781443783444,0.5288162061096489,0.5587991182189435,0.23174029398017224,0.3632535015580447,1.0,0.3988089131640009,0.004396763492896565,-0.029001209945090603,-0.08540493831636743,0.38864335233504355,0.3723717832354199,0.28280825907283297,0.7096769443826533,0.49873648949557603,0.35280117946493594,0.4537790053311575,0.4193744535006752,-0.038586440512893144,0.4302926288585946,0.374230699862516,-0.2988605734665968,0.5011982699297045,0.22890008884301194,0.6663494251664381,0.39118353020349383,0.37686023722992973,0.422369918813269,0.5460702831267035,0.6718102312455381,0.29954488939704943,0.5635633601476417,0.5749752045925748,0.3832842107185286,0.3982525377024088,0.36169973121780286,0.33665216971144646,0.2688692045655341,0.5782609522072089,0.24213107843239043,0.14700410359720342,0.49523242707214377,0.018163859311333224,0.37995065112296095,0.4454840787170597,0.18363891043567587,0.2629599752409418,0.34825861388222845,0.3740399687289762,0.5947139842530242,0.0731661315334481,0.04472956583069468,0.4636854952280677,0.542814241194714,0.13107346963462746
Thal_MGN_L,0.38511116193188355,0.3961661839648289,0.5670091801360495,0.1416412656616288,0.17393062391747816,0.3988089131640009,1.0,-0.05880970529336733,0.022306660458811012,-0.07250303262320164,0.40248020283019703,0.446090838884836,0.13523649795708978,0.35628039909067605,0.3971166721748463,0.41752235721847364,0.45044173357664696,0.47946501624682714,-0.09700605816322753,0.32242064623138933,0.2159082602337072,-0.2034923929092243,0.20253041254211143,0.2725360740261127,0.4615122183307114,0.67808309651344,0.30020495920266443,0.43513932605568123,0.24131941449759756,0.4227401149112594,0.5941394663458087,0.1658518321764155,0.4379938219626787,0.30011837098056926,0.22711828236246165,0.2842587613726336,0.05257516835466087,0.20625104716819803,0.16126890756644485,0.5484965545639819,0.3075230426994424,0.4137525720179533,0.17288279367394813,0.1653384497286606,0.38921094720429267,-0.06365958912988604,0.1568962721462609,0.4727306910250198,0.23642880885366283,0.43790617979013186,-0.12571731462110136,0.03639736522852939,0.6450563346606452,0.36508102703871426,0.07610727552213188
Temporal_Pole_Sup_L,0.008768743104596556,0.15570135314769645,-0.24530554374169097,-0.009033276791376705,-0.10931211787451967,0.004396763492896565,-0.05880970529336733,1.0,-0.14257064809427222,0.07815577735938538,0.19718890384284396,-0.13221854802542712,0.32024670668591376,0.07488064183210111,0.21947280026164515,-0.03620126798248215,0.19852766983465767,-0.1016618770496181,0.5042020115220622,0.5337456536791797,0.12246996953744704,0.05701586934255539,0.17980106553869732,0.6114434618313231,-0.014337208484355334,0.013272636902360522,0.2877617939749421,0.08696761241178495,0.174314476774181,-0.1252379864457468,0.2255129965035386,0.25254301299600973,-0.011060226160880527,-0.011232312037231294,0.16048266928440563,0.13213216844127523,0.310140529273979,-0.03511346120550423,0.2946027490912111,-0.09497243506889148,-0.23472556495743016,0.23414763967257088,-0.15746986011192682,0.4543070882200851,-0.01620530484810793,0.3959606253368574,0.30829430682963604,0.043832248945377975,0.40967549933625647,0.26485285091076194,-0.091018912652398,-0.1337701170258436,0.1567226561228615,0.05092851220778363,0.3630822162200763
Occipital_Sup_R,-0.19722649781191331,0.023983024794590014,-0.16644001359861782,-0.020050016915534707,0.6175531274277758,-0.029001209945090603,0.022306660458811012,-0.14257064809427222,1.0,0.7697350644541014,0.35931709313194526,0.4921490736778524,-0.4055863073254855,-0.120959678720826,0.27833505882382853,0.369971599886987,-0.08250463578372637,0.6073648571941558,0.036928439513434816,-0.20340033743064637,0.14737488916281807,0.5926230871464832,0.1943832571965331,-0.13879689891176955,0.11187040814131341,0.15051322109701085,-0.42485563903617724,0.17291233896174368,-0.19536447836479287,-0.02917700036948221,0.07435212208680242,-0.3358522802897904,0.09069705087141537,0.22821530256816525,0.3236728625750571,0.05135022582621178,0.07663829878541831,0.695289884000452,-0.33803336793154865,0.3241640307436477,0.624917399306723,-0.1878034735016816,0.8258611403314872,-0.3129997160343721,-0.04446396130073137,-0.15908445304434055,-0.3618935577349998,-0.25980846566947674,0.22844259220967036,-0.10004804226258925,0.2893113203861395,0.07379206207373129,-0.02093491952363398,-0.2038833943269289,0.4187882848036543
Occipital_Sup_L,-0.1001046495449824,-0.08298750127106905,-0.29216460405257044,0.03652114608996531,0.32751693642695506,-0.08540493831636743,-0.07250303262320164,0.07815577735938538,0.7697350644541014,1.0,0.2418295302295982,0.37069148845940636,-0.3738064449540643,-0.19254208729966996,0.1720544135699523,0.22069045810746546,-0.14742856004861524,0.3347069117363434,0.02270056419573055,-0.14980064849595515,0.04197630992122584,0.7666287743666108,0.10853097305725992,-0.028446459188388798,-0.08593134888792453,0.10126936266491918,-0.3892341648426511,0.17438201440080697,-0.2164810245071457,-0.17413885086937886,0.04404369995529572,-0.24577787251712582,-0.07822715053169006,0.13763554456765015,0.12110446665021432,0.032604110915499654,0.09225323045448497,0.4095312287403698,-0.29677459101624654,0.1405420052516766,0.4240684720722474,-0.24583659495531246,0.7718763388172919,-0.20052594939268467,-0.06716068440137538,-0.06993901040394604,-0.37481435533107016,-0.2657952637641016,0.23984791408710626,-0.13593274666090907,0.12574311231138754,-0.11868098092349455,-0.017601951655284647,-0.2633911906747308,0.36056962659001013
