,Putamen_R,Frontal_Sup_Medial_L,Heschl_R,Cerebellum_3_R,Thal_AV_L,Temporal_Inf_L,Hippocampus_L,N_Acc_R,Vermis_1_2,Angular_R,Cerebellum_6_L,Fusiform_R,Parietal_Sup_R,Cingulate_Mid_R,Occipital_Inf_L,Pallidum_L,Vermis_3,Cerebellum_8_R,Thal_MDl_R,SN_pc_L,Frontal_Inf_Oper_L,Frontal_Mid_2_L,Temporal_Sup_L,Insula_R,Vermis_9,Rolandic_Oper_R,Cerebellum_9_R,Frontal_Sup_Medial_R,Cerebellum_3_L,Precentral_L,Cerebellum_4_5_R,Occipital_Mid_R,Thal_IL_R,SN_pc_R,Temporal_Inf_R
Putamen_R,1.0,0.3867770003505623,0.5546819328779082,0.7402323589214479,0.45241269087378816,-0.06963397955644138,0.5429198406494841,0.49890414521206067,0.4900976909321362,0.14784677201645632,-0.17014264603374657,0.4805414230625755,0.09833807968766266,0.5648500351032323,-0.42454203661942735,0.46805442574296446,0.6886798198102398,0.10208021263128302,-0.24030777296381522,0.3909771139651441,0.18631802815247367,0.5153782919486254,0.4090449791695436,0.7062524265559317,-0.39525884866569866,0.6589931293855045,-0.027883258050762992,0.5799377815553489,0.6548631146034652,0.35598336463975006,0.3065999124269109,-0.24621548133363708,0.5684652707053421,0.6407360273042944,0.1388422847079995
Frontal_Sup_Medial_L,0.3867770003505623,1.0,0.5411450944085745,0.3692653983011326,0.36080047348715594,0.27163907586618224,0.6245374913263716,0.14078649317245198,0.5618827471570056,0.10566034045830454,0.14255031758101266,0.35704914000185145,-0.1819186743854049,0.6801273655496329,0.05523008847602135,0.06200658685454182,0.5291937349398187,0.40054684383843614,0.19302036923554602,0.3740405556291347,0.6024963666040035,0.22021966482305264,0.526590552786278,0.6823973624935415,0.1285979203492421,0.4604868419289879,0.28715229220186145,0.879257869197888,0.5453872619273845,0.05164253375052672,0.4474265739669566,-0.09909974348430414,0.26871509484598527,0.362512868853491,0.12384580382537363
Heschl_R,0.5546819328779082,0.5411450944085745,1.0,0.5795019266655985,0.4412138977929954,0.017150752986385836,0.47420647770734214,0.22969019047269598,0.4166129959420231,0.24800352317019525,-0.007229648676075292,0.5512642244500854,0.12345116708322959,0.6855990132283156,-0.04617005842659255,0.30020895172768763,0.5859263212672742,0.2116135409768163,0.08900893226605218,0.3456523609850275,0.27496592393958935,0.3727782318613483,0.43243685177443425,0.677466554420033,-0.017295248729674487,0.7210508357653294,0.2533109751664387,0.6404192502712004,0.47905573762745807,0.3641521220093616,0.44952786265695094,-0.004479443089484153,0.25906727201549,0.29616742250509315,0.4136025413420505
Cerebellum_3_R,0.7402323589214479,0.3692653983011326,0.5795019266655985,1.0,0.47998793878070256,0.009251555244770825,0.38797132783394317,0.458620333498823,0.3819888080143272,0.38014511179701455,0.022552088838776567,0.6654236674096874,0.24210840885375162,0.6659916896750755,-0.259479421074461,0.5636455699981732,0.7545264600639225,0.22203081679014725,-0.026104276385982613,0.4239599793799576,0.1665069135424145,0.5837135876987668,0.4868676508683712,0.6075123197027666,-0.20270354563302387,0.742308376409967,0.1890007792298787,0.49942991389621766,0.6774561673773792,0.5467554491384504,0.5155973243996841,0.030772486522766446,0.22836112550138127,0.3240652356317885,0.3586085957735926
Thal_AV_L,0.45241269087378816,0.36080047348715594,0.4412138977929954,0.47998793878070256,1.0,0.21458819376059052,0.4833323134498284,0.13745275513649485,0.5952733472258754,0.02804885010276249,0.15044434552777639,0.53554554077143,-0.14864876647499212,0.6367621950187066,-0.018547776269634345,0.140411134950155,0.5661799902395348,0.3121888615358649,0.15683654482136924,0.2888928202780731,0.39429498194201107,0.38479741125737044,0.3969229683784672,0.4419856487177382,-0.043290751028873795,0.4907693555961771,0.2942088616677312,0.48028799366299435,0.6583617362725355,0.21460074016642336,0.4751150757694515,-0.23991253974243518,0.29090528475992744,0.37872990710956267,0.28432461532413955
Temporal_Inf_L,-0.06963397955644138,0.27163907586618224,0.017150752986385836,0.009251555244770825,0.21458819376059052,1.0,0.3613923538152218,0.005087698099099085,0.2708738128110584,-0.03981515127117926,0.7432385932017438,0.2589839175351437,-0.418946319202393,0.40711910125764506,0.511439718050275,0.03302317689602667,0.26001115753739545,0.6149857833898132,0.06225586288163568,0.19722272373686178,0.6136458981070715,-0.05091418928816168,0.4846283094719625,0.17754242596284991,0.6623946226556416,0.11889007226120292,0.6088695489263894,0.12991641044320396,0.32566826737430954,-0.26928822548696735,0.5837465333181905,0.1477833278534928,-0.09973338790323294,0.011172375323180717,0.11741795420159501
Hippocampus_L,0.5429198406494841,0.6245374913263716,0.47420647770734214,0.38797132783394317,0.4833323134498284,0.3613923538152218,1.0,0.3333181988953761,0.7520308082116277,-0.13345530091707786,0.26497888672448494,0.3419007380366795,-0.3640281526344973,0.5884896235637297,0.03465984126126173,-0.07743456075233139,0.6432224097817,0.3071405963862224,0.17885996418946054,0.4192689001581642,0.7178615670276884,0.29723288455004043,0.6363972054187589,0.716988388356323,0.06297686151465975,0.42100081509280496,0.38919721703798865,0.7493883751023005,0.6744064819976489,-0.16952343228895161,0.3816541064300918,-0.32339655241788706,0.4695721855266329,0.6517133014432397,-0.004458083490676088
N_Acc_R,0.49890414521206067,0.14078649317245198,0.22969019047269598,0.458620333498823,0.13745275513649485,0.005087698099099085,0.3333181988953761,1.0,0.10509921044771105,-0.19329088382225998,-0.09107073325901305,0.1621071153686427,-0.11729811686009572,0.10243223168709015,-0.1959015104589638,-0.06348098413292555,0.35791706909493415,0.02361732475018755,0.1699889469186333,0.5992800135613552,0.06781984931476397,0.1072198742602674,0.2018445270791857,0.3682607104118526,-0.21859377733025007,0.2518388714165905,0.027004706668523067,0.18956745371437117,0.3193343946294462,-0.06645972151591954,0.11073181367942769,-0.33985010945211186,0.23708350984999396,0.37250759844664827,0.02652478611723646
Vermis_1_2,0.4900976909321362,0.5618827471570056,0.4166129959420231,0.3819888080143272,0.5952733472258754,0.2708738128110584,0.7520308082116277,0.10509921044771105,1.0,-0.1282493154153843,0.18963559857456241,0.3986744884722746,-0.3958539369728707,0.5809231281114479,-0.006728352821788227,-0.01637380387207205,0.6506326591960213,0.3431739216242699,0.14358444140080176,0.33247963768001976,0.622428820185051,0.33774183748065456,0.506991048769357,0.5120949131884224,-0.07552818172128861,0.3637715480775767,0.2957520050921105,0.6379584021542624,0.747170677525022,0.00024822389286384617,0.3744895696069414,-0.37015951182481527,0.4553554099524452,0.5916069093439043,0.10638467812791323
Angular_R,0.14784677201645632,0.10566034045830454,0.24800352317019525,0.38014511179701455,0.02804885010276249,-0.03981515127117926,-0.13345530091707786,-0.19329088382225998,-0.1282493154153843,1.0,-0.016181163410936086,0.27540909133045655,0.7135710621097475,0.31484920459865456,-0.07142143297395219,0.6065321937806281,0.22036867078899597,0.09388653489431129,-0.2456642913596258,-0.03102501455572708,-0.09480502276346513,0.27725125032993775,0.14540950288721025,0.19957374590782276,0.012624915564008719,0.4051694082622642,-0.03120314498490807,0.17540075966770594,0.08065095403478312,0.5068107314935049,0.21158734485676242,0.7420502506534479,-0.15284000560330907,-0.26341349610713316,0.17587745936099664
