,Pallidum_R,Lingual_R,Olfactory_R,Caudate_R,Putamen_L,Calcarine_L,Thal_VL_L,Insula_L,Cerebellum_4_5_L,Vermis_9,N_Acc_R,Frontal_Inf_Orb_2_L,Precuneus_R,Thal_MDm_L,Thal_LP_L,Vermis_4_5,Thal_VL_R,Rectus_L,SN_pc_L,Parietal_Sup_R,Temporal_Sup_R,Cerebellum_8_R,Frontal_Inf_Orb_2_R,Thal_PuL_L,Vermis_8,Caudate_L,Thal_VPL_L,Vermis_10,SN_pc_R,Lingual_L,Temporal_Inf_L,OFCant_L,Precentral_L,Cuneus_R,OFCpost_R,Paracentral_Lobule_R,Cerebellum_3_R,Thal_LGN_L,OFClat_L,Parietal_Inf_L,Thal_IL_R,Postcentral_R,Thal_PuM_L,Frontal_Mid_2_R,LC_L,ACC_sup_R,Precuneus_L,Cuneus_L,Thal_PuL_R,N_Acc_L,ACC_sub_R,Fusiform_R,Supp_Motor_Area_L,Occipital_Inf_L,Temporal_Mid_R
Pallidum_R,1.0,0.5504643699124194,-0.11386782552247629,0.04560256783411095,0.6354742005299208,0.5486086753794709,-0.28828976504647874,0.3509370732420911,0.44583841801192164,0.560657496698162,-0.19347827198313264,-0.1482242454464323,0.30915381921688917,-0.40108354662366075,-0.06941715161874462,0.7663689464974758,-0.24170297731824622,0.1730347524408775,-0.2002610201483344,0.13034195524491052,0.43386383451988264,-0.005361423121559,-0.3148479485497257,0.26410660230838584,0.3085145681418488,-0.09553222058858479,0.6031409081971583,0.5803237908670364,-0.10662562853821589,0.5119305897636465,0.03736826136735768,-0.14938493749888598,0.3742448000701568,0.6200814194780083,-0.11427616828519546,0.379192189990281,-0.12712183646517847,0.15778837912941807,0.09151417015295264,0.5343392504642752,0.2639090651559494,0.22611330778876912,0.6091322749825281,0.2281752734580699,0.13354176456423672,0.6545350221829216,0.3656381481471228,0.6283673044845799,0.34238397422794997,-0.2381221914320301,-0.3330326626940502,0.5361087212627287,0.4176199834190585,-0.029914366204655537,0.4324534947025146
Lingual_R,0.5504643699124194,1.0,-0.44524818179200554,-0.11427173763000786,0.2112606270097367,0.707510451702979,-0.21853063246956125,-0.13078825045595618,0.3564611034272551,0.5836505699238963,-0.43956024006318456,-0.5774627243446153,0.1527297226203822,-0.5814968130539937,-0.2320358436218447,0.863839402274388,-0.19509240066632416,0.10250812232907547,-0.3464498469601219,-0.1590341800995918,0.6767962552062707,0.040122639590432656,-0.5398147198426945,0.07024301486938196,0.656605877503249,-0.2015685755970533,0.47847544370155887,0.652258180484644,-0.07107086562196246,0.8597966361361118,-0.2641498239830249,-0.21182272119679113,0.0005054149671979492,0.6780342335806286,-0.2913851474429269,0.13875764510797728,-0.21712139907383193,-0.07815880953034915,0.4100218138272787,0.37277091580514465,0.31603987447073184,-0.18081555303554278,0.3345878782111214,0.017376375269334814,0.08972506659760637,0.12290230788055795,0.08234500641984667,0.6568561473214841,0.11864910742692224,-0.5131744786966591,-0.4757511713516515,0.7949053509118302,0.014544944013953917,0.25607014909630366,0.7408891058101161
Olfactory_R,-0.11386782552247629,-0.44524818179200554,1.0,0.45348287513329955,0.32926546085696573,-0.2828873773898767,0.3615105443482681,0.40533361364557147,0.1934807659071646,-0.4756019307655946,0.734495100380484,0.6799789806437299,0.09231126135330449,0.5048389370093751,0.4399944333519427,-0.3400146629968341,0.4868439830620061,0.20136619462912791,0.5296478241916173,0.21666717954236697,-0.376716768081667,0.038904348485769076,0.599862553582568,0.12553144641272726,-0.3910696807401577,0.3331563007557747,-0.10217040220519852,-0.5369885135742851,-0.0027709491220534403,-0.2444903391211851,0.3555912567235017,0.3617115881497229,0.36790244718334325,-0.42216139286115945,0.5490315301426542,0.2116821532702839,0.5046966551445718,0.4719362325655085,-0.27070135273014884,-0.0025157570159574827,-0.04706534768863225,0.3395994819535804,-0.05965023429120467,0.34318649032777204,0.002004588130921359,0.3488154137590559,0.2153665456248946,-0.3335745655021356,0.21364769190708166,0.6033800343739748,0.32266962555762047,-0.4950958759336629,0.4156285459922962,-0.29771696029318223,-0.5047419823616435
Caudate_R,0.04560256783411095,-0.11427173763000786,0.45348287513329955,1.0,0.4294352581405298,0.0710255017616565,0.6246441188438022,0.4337385532671929,0.48111340986360673,-0.4989586176739933,0.41244360968542354,0.553779277201219,0.31099181685980565,0.6108912814326559,0.6873963076981237,-0.0388929084888778,0.7318372549058438,0.374175475345888,0.4350546880606682,0.15707613831529285,-0.19929973283374608,0.13170408907263326,0.5471320920855977,0.1854809534209303,-0.20726888703316707,0.7371403531601174,0.08012814192105246,-0.36166644868298525,0.37072368160079844,-0.030875342237028272,0.28933670557898167,0.26937987219652476,0.6723736311399305,-0.3931788673789728,0.45886892911199,0.4388562887033496,0.5655955126038348,0.46557408810447043,-0.12263154594100581,0.22685574961760463,0.055539864933557705,0.4178057941569036,0.011017409220638718,0.6821043532293375,0.12349494474819715,0.43247953212322054,0.3481858348092346,-0.2623948519408698,0.5503688986074237,0.44587172085895865,0.17078359808974775,-0.23989233910241112,0.7127126801801208,-0.3936694480422413,-0.3541550009995544
Putamen_L,0.6354742005299208,0.2112606270097367,0.32926546085696573,0.4294352581405298,1.0,0.4615724441257993,0.0886026211919324,0.7754613203478138,0.5450919763852554,0.0849797647164631,0.34164058923296275,0.47379349984381225,0.5483741672167838,0.09022293055169499,0.31691533155338036,0.375823701249312,0.2608462788102401,0.31330897242592304,0.11303442900842708,0.3504061773893628,0.004985429900932406,0.11366191626338333,0.16308281424649,0.3577548944712235,-0.14473568808383724,0.19347078515220498,0.5373253460278902,0.0901676969362256,0.0655456956338771,0.27054608681822545,0.46594922278289386,0.2091717012345814,0.6136602704080503,0.27992947913002714,0.22198351327128363,0.5818868908749211,0.3412052873799875,0.5159755904418301,-0.1517426978007241,0.5735926017354362,0.03692030970445027,0.46935910921609586,0.5125836294689166,0.5221208668807472,0.20234084125124932,0.6836722764189146,0.5720450458538503,0.3477857516328207,0.48982600730348935,0.26934905454863106,-0.11917639015201133,0.09129308183990133,0.7159503183257959,-0.36763736885325676,-0.06118830403059661
Calcarine_L,0.5486086753794709,0.707510451702979,-0.2828873773898767,0.0710255017616565,0.4615724441257993,1.0,-0.19358795037819118,0.37516961387531617,0.5556288227527951,0.48807269630909206,-0.2693936991395552,-0.1034526570541805,0.5555795022482226,-0.361372862553762,-0.04331935967266844,0.677445702079738,-0.07259149027217818,0.03865401442789066,-0.22629684593463326,0.28591554822344917,0.1766812519988365,-0.11255983663421891,-0.31316203939510595,0.21999940194712483,0.24526866575870382,0.037378304906638855,0.4943010270027551,0.3697012035604568,-0.13877568771443669,0.6762177049048747,0.16213778925365835,-0.2188900902965133,0.2926332027227837,0.7303770885888042,-0.30651827126668163,0.4852450653182076,0.08072539389949068,0.1414350980639294,-0.014896689147598658,0.5869777734419228,0.24475272382497668,0.27929832787876235,0.4955307903936784,0.10993290450820156,0.02589946899224485,0.24241878553092816,0.5010800209635057,0.7441779625033794,0.31227286741696986,-0.34512448422227354,-0.46647481628111903,0.33897429182707134,0.3022981222396329,0.017038741375033972,0.23001912606182096
Thal_VL_L,-0.28828976504647874,-0.21853063246956125,0.3615105443482681,0.6246441188438022,0.0886026211919324,-0.19358795037819118,1.0,0.02929586360899454,0.29646657972480556,-0.6880747169531213,0.45267004583147424,0.4103449167990633,0.12893495080171405,0.8047907012723596,0.7240744762799456,-0.2457836805317847,0.8154511830702603,0.13943949009875756,0.45386823634297174,-0.10371970398342883,-0.20711896685679632,0.20461760291974176,0.5964727164417579,0.21381206290261587,-0.2581438065630267,0.6707087517528797,0.1194271416538,-0.4574711516433335,0.41106773142004077,-0.1125031201120141,0.24333547302509223,0.2996615289732626,0.48828120893750293,-0.6539029408755556,0.4519805114860655,0.28590939197113024,0.5179325425591866,0.3567472819914375,0.029697465369232307,-0.08003460910475031,-0.060621284028221784,0.1971644038534643,-0.05543419176491641,0.4890512740632311,0.24928701795962946,0.08941789099885515,0.06096483199420458,-0.6286593371873554,0.3342988283738499,0.6055027282322086,0.44009973858114204,-0.2551056169252795,0.409865636732186,-0.40680714468622864,-0.3420433312390521
Insula_L,0.3509370732420911,-0.13078825045595618,0.40533361364557147,0.4337385532671929,0.7754613203478138,0.37516961387531617,0.02929586360899454,1.0,0.5091668430855687,-0.05844957206650905,0.3000488248034273,0.7116884884825411,0.6159334355633257,0.25243957934578826,0.36723589917923916,0.04489112503768936,0.23782054686211634,0.12130749166232044,0.17124051335226054,0.6096566409816732,-0.4604195910900244,-0.11352157813148575,0.2721154174235846,0.27726579390053413,-0.42595868255261166,0.31341626040159504,0.31783167776451016,-0.2119336574416179,-0.07796986838308832,-0.008292738629838493,0.7001198986358801,0.11818866033033253,0.6102684419319068,0.1616990312649848,0.09620247531192556,0.6024845233411844,0.5067050118592852,0.5389666082891134,-0.4556484505816811,0.48109625609487167,-0.10055847971251358,0.6618510505245908,0.3788289109902762,0.3901865666075783,0.06351340622628482,0.4958992289608586,0.6688789620055462,0.24064019453417004,0.38671684981261345,0.26622495729343015,-0.04858749912014892,-0.37249645164261413,0.684842035864299,-0.42653136249723167,-0.5108692007500579
Cerebellum_4_5_L,0.44583841801192164,0.3564611034272551,0.1934807659071646,0.48111340986360673,0.5450919763852554,0.5556288227527951,0.29646657972480556,0.5091668430855687,1.0,-0.02726945509267413,0.08250406638980687,0.2848395270867615,0.6778742964492207,0.23400258925955195,0.3994040854764916,0.5593728630576285,0.4039212995131472,0.10870940589122513,0.3454189320487374,0.37266138598904625,-0.09542088362420965,-0.2014334283123739,0.05532854898100892,0.40138170809394397,0.1514555904538029,0.40838276576538857,0.46149171408130685,0.0320415308377495,0.08955410886434206,0.587193868715307,0.4928477827188145,-0.036840037723447,0.814472351283626,0.16993073505120104,-0.05332349625571204,0.7664187658179732,0.5657201597304253,0.5825681535128392,-0.034831467109404324,0.49516422411105276,0.18501868044377648,0.6310687266427968,0.5209564887194976,0.49698726846400343,0.07242117778118672,0.5036517899596326,0.6383309012157689,0.2730186294662193,0.5329358838293123,0.07513600069990724,0.00641260595673608,0.02470846949908174,0.7451274866420191,-0.33784309787383954,-0.1361670454690745
Vermis_9,0.560657496698162,0.5836505699238963,-0.4756019307655946,-0.4989586176739933,0.0849797647164631,0.48807269630909206,-0.6880747169531213,-0.05844957206650905,-0.02726945509267413,1.0,-0.5154510425184244,-0.47910206057306387,0.03234787588232666,-0.7802290484808864,-0.4652133492270315,0.6004568505915081,-0.6533754329747373,-0.023705818092451335,-0.5500208679883011,0.03906386305176538,0.4116449557177385,-0.11076053874785043,-0.5966358901935952,-0.08196324880522218,0.35857047971624906,-0.4720283801494791,0.23514751076152207,0.667530710225601,-0.29781702159604334,0.4373764763122814,-0.244077379535783,-0.3949650857723067,-0.2516514510882303,0.7897937710055662,-0.49524261067434977,0.0002947734064523442,-0.5142431695255316,-0.28398212462995737,0.10074889563330482,0.2817129342001712,0.24041376390342709,-0.11170785790804466,0.3338699117274977,-0.2851000855496101,-0.06924792878110456,0.07200253448121127,0.04215194540214373,0.7274796300369967,-0.06692119329233312,-0.5638367416033356,-0.6199026164496185,0.5581207150442373,-0.23995425670243695,0.40581218243383044,0.5234081886117173
