,Temporal_Pole_Mid_R,Heschl_R,Vermis_10,Cuneus_R,Frontal_Inf_Orb_2_R,Amygdala_R,VTA_L,Thal_PuI_L,ParaHippocampal_R,Cerebellum_6_R,Cingulate_Post_R,Thal_PuI_R,SN_pr_L,Postcentral_L,Thal_VL_R,Cuneus_L,Frontal_Inf_Oper_R,Temporal_Pole_Sup_R,Vermis_1_2,Frontal_Sup_Medial_L,Pallidum_R,Cerebellum_6_L,OFCant_L,Thal_LGN_R,Heschl_L,Olfactory_R,Precentral_L,Fusiform_L,Precentral_R,Frontal_Sup_2_R,Red_N_R,Cerebellum_Crus1_L,Occipital_Inf_R,Occipital_Mid_L,Parietal_Sup_L,OFCmed_R,Temporal_Inf_R,ACC_pre_R,Supp_Motor_Area_L,Precuneus_R,Cerebellum_10_R,Cerebellum_4_5_L,Cerebellum_9_L,Vermis_8,Thal_AV_L
Temporal_Pole_Mid_R,1.0,0.25405656673380994,0.03877562731373141,0.1977696753215582,0.15272948641825398,0.36320438753734163,-0.041535575165221446,0.10897551143302088,-0.16107063070862165,0.06904839622753013,0.23553442127272847,0.07201374969236614,0.048045378854801785,0.17707453909382928,0.01718000495848085,0.16880177977834265,-0.03618809390345291,0.29954768888271693,0.3944887246655364,0.3015621984414247,0.3666245425163778,0.1362729560833325,-0.026101342954847437,-0.0469718786715181,0.24698915234924992,0.09314661020031156,0.20419985370203897,0.2902881285541373,0.10055962480543065,0.25339715229775533,0.22809693671786602,0.1799695397603384,0.013407759172217164,0.14656075968342683,0.09274064618320303,0.051075991611169345,0.09337467491760089,0.30322582830706996,0.2667089777221543,0.23730072057548063,0.010573105098784235,0.08671939256687747,-0.3757313256188537,-0.2666635815840377,0.00019293724304874371
Heschl_R,0.25405656673380994,1.0,0.5046710325718459,0.30936220649322715,-0.18208291421256165,0.4413744868516923,-0.17293934103893796,0.10782310600754565,-0.14699421372097568,0.5132201149681075,0.325980045611354,-0.0675330129966217,-0.10260914519612874,0.12372264232454501,-0.11029740914322056,0.2636961809445726,0.2473547142384083,0.41506769474346455,0.2620296090423794,-0.020438681128672833,0.5357658707322375,0.3589969511855544,-0.0020175705502735826,0.22342700979383637,0.031082533653514193,-0.21332542095840035,0.11927696609739727,0.22852143808085368,0.15554147748491592,0.12983858933319115,-0.1576741645738903,0.33433755042576363,0.4327205103132787,0.2444567352553732,0.13395604159828856,-0.18614667232052146,0.3669969527060119,-0.062224830711805956,0.15877865907969996,0.0885769801892035,0.013193423308382083,0.21825354472637504,0.19181929688638313,0.37535642622406645,-0.08960214851793967
Vermis_10,0.03877562731373141,0.5046710325718459,1.0,0.6043748476769919,-0.5889019336886855,0.6680722756511241,-0.19962919812515353,0.034905663050461444,-0.5637278363176765,0.8388799700941112,0.11690549303873769,-0.17143140811763358,-0.32247658096605103,-0.030958614163630133,-0.6040892493214851,0.5386560434619998,-0.16516543158693878,0.33903476287018924,0.10426555288274059,-0.29624826792112213,0.5803237908670364,0.6922325110023735,-0.394799567126207,0.27061561655688,-0.17148717185263976,-0.5369885135742851,-0.16704689052142224,0.26003146811451616,-0.12756522826436478,-0.22855340233560967,-0.38655277974213575,0.34367159171317596,0.6310669404452003,0.5928375213220037,0.15043478786846048,-0.44831320720207635,0.5175209181000533,-0.43608653552013305,-0.16076004296744884,-0.13753064431942394,-0.0672959323270082,0.0320415308377495,0.2283830708762718,0.6316197696826373,-0.33818976315973936
Cuneus_R,0.1977696753215582,0.30936220649322715,0.6043748476769919,1.0,-0.5785754033809365,0.7532529845258084,-0.3775583937093158,0.13207721016412208,-0.6936346014151766,0.6771996711680993,0.28933791338877407,-0.06636286523060578,-0.3141463468893036,0.2696595266225563,-0.6023503798256001,0.9408818593953203,-0.39499394057559284,0.15869744548705073,0.1969907290064883,-0.00883843630384012,0.6200814194780083,0.8215354733259663,-0.24878564994105587,0.0882319823674329,0.1731201908244336,-0.42216139286115945,-0.1312675668352184,0.5033508842254318,-0.08859040702800249,-0.03786006016712147,-0.3250621143429525,0.4858039631183725,0.4065773317950877,0.9311049870992046,0.6358300577096817,-0.3561251884883781,0.618019087808207,-0.24272007908360602,-0.03576300347427826,0.3437665569190369,0.12810779559323915,0.16993073505120104,-0.042599504771699215,0.3166878644037918,-0.42625447606591166
Frontal_Inf_Orb_2_R,0.15272948641825398,-0.18208291421256165,-0.5889019336886855,-0.5785754033809365,1.0,-0.42452453271801605,0.3412180030679211,0.12697632991893515,0.6198022083142488,-0.655647388755729,0.0033086281228439877,0.22254876314249128,0.41926095622895215,0.10688876053725033,0.5709066548084683,-0.5420989001493757,0.44067272812021624,0.0246465965553878,0.09645214804053096,0.5156880110360738,-0.3148479485497257,-0.6127340742881985,0.39209995602775705,0.019133625019002523,0.13686399912992156,0.599862553582568,0.2954649347509358,-0.22145950251390928,0.2437685273537144,0.5283910199305285,0.49121935348782875,-0.2859465845698489,-0.5720125260304091,-0.5985143944962817,-0.14222182834396407,0.48730809398365427,-0.5075554847564467,0.6673503759078571,0.3688342562629508,0.07961505790250802,-0.07322077103225023,0.05532854898100892,-0.25271299455671664,-0.5115808337500226,0.19448516283889458
Amygdala_R,0.36320438753734163,0.4413744868516923,0.6680722756511241,0.7532529845258084,-0.42452453271801605,1.0,-0.3823516557490944,0.0016256115933265312,-0.6796200613874301,0.7329513275267902,0.15505516244784245,-0.09673464537939136,-0.3612711743582329,-0.06025146960760368,-0.6048866372477004,0.6947896599096984,-0.27207791113657587,0.5550069556414122,0.16925399175232259,-0.003923693085306818,0.6787607051393402,0.6915128459912705,-0.09219338889522542,0.05302440429527587,-0.012926929242801928,-0.3212277997264133,-0.215266889704508,0.3355004299881763,-0.23656085987641134,0.04026288407315488,-0.2963954354626976,0.44338339732801957,0.5843124042361425,0.669079631576706,0.28247343817344284,-0.15601334287912974,0.5948728507385667,-0.09681166700662354,-0.08842490641049541,-0.049687521107224554,0.05905044532198269,-0.058608941175965636,-0.048172285859488025,0.3065067216428792,-0.5139904554217822
VTA_L,-0.041535575165221446,-0.17293934103893796,-0.19962919812515353,-0.3775583937093158,0.3412180030679211,-0.3823516557490944,1.0,0.21908245999345724,0.4222636980167015,-0.4859387056049375,-0.11629436122529022,-0.2309096930692721,0.5687198984016782,0.12779049143193844,0.2256096537614585,-0.32944682924806445,0.11341121285584276,-0.1844582609965356,-0.22396956159350517,0.217836339104026,-0.3068223433497559,-0.39684097481179603,0.10811510210783594,0.16290643292221063,0.08038119537338924,0.2532621628093627,0.2295164749376185,-0.16677829587116133,0.20213310449354172,0.20287483103574844,-0.016343547924703508,-0.2577471936663938,-0.45745928568468547,-0.2652417132867179,-0.004732720417086707,0.14438766097655864,-0.34385045821074683,0.2874439368993162,0.25124446579381327,0.14180272502283806,-0.19959902420105838,0.08414295287813298,-0.214710445969822,-0.2753566720800123,0.4428246170040719
Thal_PuI_L,0.10897551143302088,0.10782310600754565,0.034905663050461444,0.13207721016412208,0.12697632991893515,0.0016256115933265312,0.21908245999345724,1.0,0.2850028096920396,-0.05605777863649,0.6217728187952805,0.2841361940905813,0.4855056553317104,0.6509678569741284,0.27913966316659167,0.2294733919844008,0.2995632190941915,-0.13605616820808916,0.4559788744912936,0.5429847973263773,0.3906683294262078,0.2231548089182312,-0.0171345086585063,0.20291490907149026,0.5404393286861429,0.20113708368787095,0.72205525101522,0.4381811395635526,0.7203630075170743,0.45251920211107016,0.2375578409220642,-0.10386692610828514,-0.16310809090996947,0.2224561858828286,0.2680280598432364,0.10876844884782422,-0.07788588097190831,0.3879493612461932,0.7217506109827536,0.5083538001884111,-0.2193544138281807,0.7609228947758118,-0.1866507650091882,0.06681505633660505,-0.008289459102212649
ParaHippocampal_R,-0.16107063070862165,-0.14699421372097568,-0.5637278363176765,-0.6936346014151766,0.6198022083142488,-0.6796200613874301,0.4222636980167015,0.2850028096920396,1.0,-0.5462717386399486,0.19986968964445273,0.30531568017491423,0.5913940465273055,0.23739053216157427,0.7754335414549416,-0.6021851017362071,0.7248201578781024,-0.027624446396157253,0.16883434417706883,0.37329902111116636,-0.32104078298957534,-0.6213574511348584,0.4315895930292699,0.09892328805519303,0.011543401174665333,0.5088618251798355,0.4966109582581201,-0.26503777358377945,0.5293776910015956,0.4098712360386501,0.4874094393300015,-0.3404867962342594,-0.4062169945278106,-0.6939439589646627,-0.1649457840550659,0.44390434960427877,-0.6090161606300298,0.4703760257405309,0.46571071266023795,0.14986712915320174,-0.11093007072463379,0.3167723226096817,0.10778189831320745,-0.2591120899840004,0.30402570254320255
Cerebellum_6_R,0.06904839622753013,0.5132201149681075,0.8388799700941112,0.6771996711680993,-0.655647388755729,0.7329513275267902,-0.4859387056049375,-0.05605777863649,-0.5462717386399486,1.0,0.13014300554970187,-0.05922581718959136,-0.4310808142507238,-0.08029075249587743,-0.5411673597289834,0.614250126358206,-0.07064494017830417,0.49060315013380457,0.1912545203543461,-0.3446040072403133,0.5710957875163354,0.7205297880846572,-0.24899585154273163,0.12701163493778775,-0.3021630521527845,-0.5849887765891035,-0.28836471378269307,0.19014365658368704,-0.21907539080312358,-0.2668155501564511,-0.36535331909156976,0.4893921297405692,0.8200471625008298,0.5601826734332604,0.18525925757297085,-0.4329465105604217,0.6193883439562079,-0.4938272742174178,-0.25424106829277626,-0.17526573116176342,0.10060390495721842,-0.028984958573569638,0.4282786586037266,0.6641217213964221,-0.4660547851420712
