,VTA_L,ParaHippocampal_R,Parietal_Inf_L,Cingulate_Post_L,Precentral_L,Thal_LGN_L,Vermis_10,Red_N_R,Lingual_L,Angular_R,Rectus_L,Cerebellum_10_R,Rolandic_Oper_R,Postcentral_L,Cerebellum_4_5_R,Cingulate_Mid_L,Occipital_Sup_R,SN_pc_L,Occipital_Mid_R,Thal_AV_R,SN_pc_R,Frontal_Med_Orb_R,Temporal_Pole_Mid_R,Heschl_L,Thal_MGN_L,Cuneus_L,Cerebellum_8_R,Cerebellum_Crus1_L,Temporal_Inf_L,Vermis_1_2,Frontal_Sup_Medial_R,Hippocampus_R,OFCant_L,Thal_PuI_L,Cerebellum_9_L
VTA_L,1.0,0.4222636980167015,0.036966040163296396,0.11104716768449026,0.2295164749376185,0.3666570527645452,-0.19962919812515353,-0.016343547924703508,-0.24346726484127715,-0.1900545748916229,-0.1846007338081446,-0.19959902420105838,-0.06098317465603996,0.12779049143193844,0.06869096049524849,0.10805228510163488,-0.3116579576409335,0.2945782533144383,-0.44552958485926714,0.44173290088957357,0.1304554709454424,0.043267345113517215,-0.041535575165221446,0.08038119537338924,-0.5888428575290124,-0.32944682924806445,-0.01730850003378244,-0.2577471936663938,0.24916948888536997,-0.22396956159350517,0.12578391185418894,0.11694729083495642,0.10811510210783594,0.21908245999345724,-0.214710445969822
ParaHippocampal_R,0.4222636980167015,1.0,-0.08700814111714329,0.2956176669088569,0.4966109582581201,0.42007895327017836,-0.5637278363176765,0.4874094393300015,-0.1686385884679639,-0.34489464417052296,0.17998108993149875,-0.11093007072463379,0.5066874107410555,0.23739053216157427,0.6059924933295789,0.3475261674053521,-0.5199092677880197,0.627232114600516,-0.6152906268977812,0.4193401707320016,0.45873974466559814,0.12098923633826641,-0.16107063070862165,0.011543401174665333,-0.48797613187025807,-0.6021851017362071,0.2211949139066008,-0.3404867962342594,0.15045230878278493,0.16883434417706883,0.24565134010348091,0.7900940571983421,0.4315895930292699,0.2850028096920396,0.10778189831320745
Parietal_Inf_L,0.036966040163296396,-0.08700814111714329,1.0,0.3684958292334108,0.4287706282361063,0.3192409114777833,0.21557805417424294,0.026739351207003163,0.38052012850746886,0.5941576450486367,0.10203333558232044,0.05267779619783925,0.16100587569948202,0.7426367797105285,0.06453369949625092,0.5225682093782337,0.5554927970299769,-0.09507164514367568,0.36485744758070393,-0.038941999945099004,-0.05502343743331239,-0.0630581354841652,0.22327901189813282,0.5682429475124773,0.29133794904625915,0.6157275122582134,0.05923193969031401,0.2705688160096247,0.2693704082545986,0.3574723024553687,0.5302973204798328,-0.13750908342441634,0.01877921836021173,0.49841496221585574,-0.2046364925638892
Cingulate_Post_L,0.11104716768449026,0.2956176669088569,0.3684958292334108,1.0,0.7052089410633978,0.4828044204693505,-0.027062265468478775,0.2786749757786262,0.3199605193837774,0.24887166733847874,0.010181484757801553,-0.08554378624379391,0.16619436247939134,0.6153282650737094,0.28477289806734224,0.7637678858243867,0.1935423623363263,0.3745956121312591,-0.03233794256868497,0.22174706777346737,0.0056272372809740125,-0.05177197238788772,0.05132837224221937,0.5512088411503673,0.1322693500628397,0.14702406978092833,-0.21064978966634404,-0.12017409816481006,0.4800184778996849,0.45296412348527215,0.31222756270355717,0.27806283246548913,-0.044758700424544065,0.5926994814742809,-0.15056964147302507
Precentral_L,0.2295164749376185,0.4966109582581201,0.4287706282361063,0.7052089410633978,1.0,0.6287532657545709,-0.16704689052142224,0.46838631912162837,0.21991635969142356,0.10624820858172992,0.1932753438130654,-0.18317528589983326,0.44610910327711095,0.7628827515811998,0.5426991487186462,0.773530625031735,0.014200328587535645,0.45360673249150113,-0.23378857835292854,0.3843357556948277,0.2637664945319664,0.00023005927806940343,0.20419985370203897,0.656382269222948,0.04586582499063787,-0.02774063266553424,-0.09322830882896566,-0.1915923717005174,0.5355611696568715,0.5596877682301666,0.46151687021122356,0.4060297298324905,0.05447886370404918,0.72205525101522,-0.31751296500768766
Thal_LGN_L,0.3666570527645452,0.42007895327017836,0.3192409114777833,0.4828044204693505,0.6287532657545709,1.0,-0.2463444180660126,0.3923087168603466,0.1634539286229754,0.13816132357717734,0.1356704411446237,-0.22681895920061887,0.29638332852974647,0.48461093153869705,0.4101702398838955,0.44495282000392455,0.03440879456261429,0.3640303304854109,-0.18207494488025766,0.31824479218562157,0.06485103388264574,0.21458433245181893,0.1851531843416694,0.45220834287741074,0.05882592620417823,-0.024322911401244467,0.004457433348326364,-0.15580004947706544,0.3754341769485756,0.3562961072940593,0.44565537741832073,0.31998750835849193,0.20654620779743613,0.5867998880486162,-0.21852709770793882
Vermis_10,-0.19962919812515353,-0.5637278363176765,0.21557805417424294,-0.027062265468478775,-0.16704689052142224,-0.2463444180660126,1.0,-0.38655277974213575,0.5100852223261002,0.39511061751781584,-0.015401585296441714,-0.0672959323270082,0.014835948483287781,-0.030958614163630133,-0.20649862947419137,0.07072382778186165,0.5086591028135145,-0.44505716214137847,0.7090625886145494,-0.5956646871521052,-0.13988065197708682,-0.030155794506112808,0.03877562731373141,-0.17148717185263976,0.3708446932898986,0.5386560434619998,-0.0741042905634015,0.34367159171317596,-0.34980541173252233,0.10426555288274059,-0.12999102042790275,-0.4496977299617374,-0.394799567126207,0.034905663050461444,0.2283830708762718
Red_N_R,-0.016343547924703508,0.4874094393300015,0.026739351207003163,0.2786749757786262,0.46838631912162837,0.3923087168603466,-0.38655277974213575,1.0,-0.041913423025840495,-0.13829161323469152,0.2553555257669465,-0.11115778846580675,0.41422395506454346,0.2517434543588704,0.45466007467614794,0.21626097286000792,-0.23166368680300284,0.31376982618535676,-0.34750733967817343,0.3498411403488735,0.42211215779413314,0.22048165409420195,0.22809693671786602,0.28690364816622654,0.05151214911508849,-0.28310352856275584,0.1913974672561706,-0.14003998835687217,0.265088176893711,0.4813708198157866,0.29204346856040336,0.5286409505360778,0.22818677261565848,0.2375578409220642,-0.11506073934527064
Lingual_L,-0.24346726484127715,-0.1686385884679639,0.38052012850746886,0.3199605193837774,0.21991635969142356,0.1634539286229754,0.5100852223261002,-0.041913423025840495,1.0,0.4310093114828277,0.05249380585085883,-0.13972597921132507,0.27044213478011614,0.3660017109684668,0.3819945213880293,0.2952538911230681,0.5680016521365641,-0.07183574352668567,0.6045241970020337,-0.30784879529119963,-0.12851241660405066,-0.18019539194342324,-0.0003959471898554044,0.15804985588330883,0.4401144725097607,0.5835983045727666,-0.21763017191225362,0.1781597414311536,-0.02691597443032287,0.42209147190241275,-0.056318305764884787,0.0999468152040799,-0.24573489422760667,0.4001777048545205,0.25832048532149343
Angular_R,-0.1900545748916229,-0.34489464417052296,0.5941576450486367,0.24887166733847874,0.10624820858172992,0.13816132357717734,0.39511061751781584,-0.13829161323469152,0.4310093114828277,1.0,0.04491023424339716,0.16991258435847767,0.04526147926870637,0.37206847234952534,-0.15956065070204098,0.24550022773907823,0.8452743639083434,-0.3517400101510159,0.7746066022520823,-0.36917027223978705,-0.13132960499677793,0.05269683648088126,0.24261593004237342,0.22815059446110283,0.5250066142181917,0.774320495406375,0.10385525215218022,0.3896544644808035,-0.02322906098492773,0.35109687822200086,0.43104242852665864,-0.2951562825771133,-0.1201061662222698,0.24907207241030668,-0.12136893937475594
