,Cerebellum_4_5_L,Parietal_Inf_R,Thal_VL_R,Thal_MGN_L,ACC_sup_L,Temporal_Sup_R,Cerebellum_9_R,ACC_sub_R,Cuneus_L,Cerebellum_7b_R,Thal_VL_L,Cerebellum_10_R,Amygdala_R,Frontal_Sup_2_L,Cingulate_Post_R
Cerebellum_4_5_L,1.0,0.4797313281930983,0.4039212995131472,0.18792578592121462,0.5607577940649296,-0.09542088362420965,0.2954854910125558,0.00641260595673608,0.2730186294662193,0.06042962757870176,0.29646657972480556,-0.19040873166310635,-0.058608941175965636,0.4608786733345708,0.7630907761331169
Parietal_Inf_R,0.4797313281930983,1.0,-0.006191629205801851,0.2690240715300439,0.5182013627129871,-0.011606959198860647,0.026970102702784344,-0.08035142638467965,0.48092504095810074,-0.08815162942647874,-0.07901248473883891,0.15407808956828487,0.22256174108170063,0.5059410251442851,0.4418851717583944
Thal_VL_R,0.4039212995131472,-0.006191629205801851,1.0,-0.24814693562176166,0.2298327767701781,-0.30607279180565494,0.6119417696491626,0.31124149567312687,-0.496385234343221,0.19489212298976438,0.8154511830702603,-0.08964527530001304,-0.6048866372477004,0.34597834722746057,0.20659278149880198
Thal_MGN_L,0.18792578592121462,0.2690240715300439,-0.24814693562176166,1.0,0.2116481324319768,0.34554046825612833,-0.38728167624621895,-0.5274957628086739,0.5885421512005985,0.22355845531903076,-0.44254877161353795,0.055885430565079997,0.6667875664528671,0.10116572046190525,0.3355544710055905
ACC_sup_L,0.5607577940649296,0.5182013627129871,0.2298327767701781,0.2116481324319768,1.0,-0.08335457510551493,0.10608287606655321,0.11150175721358814,0.15403689352209846,0.15740087484220042,0.15745138741193784,0.01657093418662198,0.17624537298075688,0.7222926390851272,0.6280284871279156
Temporal_Sup_R,-0.09542088362420965,-0.011606959198860647,-0.30607279180565494,0.34554046825612833,-0.08335457510551493,1.0,-0.3717172458239311,-0.34710975826626883,0.30481470270128197,0.205036961977457,-0.20711896685679632,0.00561470024795508,0.6337873497301449,-0.41422045628291965,0.1117901698015248
Cerebellum_9_R,0.2954854910125558,0.026970102702784344,0.6119417696491626,-0.38728167624621895,0.10608287606655321,-0.3717172458239311,1.0,0.4933218987790931,-0.5607839296575416,-0.2641318164511917,0.5925539213858201,-0.21210923235570195,-0.6394677250920289,0.21861924879353986,0.03521801758800791
ACC_sub_R,0.00641260595673608,-0.08035142638467965,0.31124149567312687,-0.5274957628086739,0.11150175721358814,-0.34710975826626883,0.4933218987790931,1.0,-0.580568181376337,-0.15144121738578212,0.44009973858114204,-0.02171953256645545,-0.5425362369071377,0.10264751339585394,-0.046541065947666604
Cuneus_L,0.2730186294662193,0.48092504095810074,-0.496385234343221,0.5885421512005985,0.15403689352209846,0.30481470270128197,-0.5607839296575416,-0.580568181376337,1.0,0.04521553173801371,-0.6286593371873554,0.09792874984018171,0.6947896599096984,0.11389929526589958,0.34531033320668747
Cerebellum_7b_R,0.06042962757870176,-0.08815162942647874,0.19489212298976438,0.22355845531903076,0.15740087484220042,0.205036961977457,-0.2641318164511917,-0.15144121738578212,0.04521553173801371,1.0,0.08034719532604521,0.0540996131872175,0.24601046895763734,0.08753940835717104,0.19073297361116956
Thal_VL_L,0.29646657972480556,-0.07901248473883891,0.8154511830702603,-0.44254877161353795,0.15745138741193784,-0.20711896685679632,0.5925539213858201,0.44009973858114204,-0.6286593371873554,0.08034719532604521,1.0,-0.1965815627584568,-0.6272392898752609,0.20027721823797728,0.17093316675911346
Cerebellum_10_R,-0.19040873166310635,0.15407808956828487,-0.08964527530001304,0.055885430565079997,0.01657093418662198,0.00561470024795508,-0.21210923235570195,-0.02171953256645545,0.09792874984018171,0.0540996131872175,-0.1965815627584568,1.0,0.05905044532198269,0.03789686705551404,-0.08684484781885723
Amygdala_R,-0.058608941175965636,0.22256174108170063,-0.6048866372477004,0.6667875664528671,0.17624537298075688,0.6337873497301449,-0.6394677250920289,-0.5425362369071377,0.6947896599096984,0.24601046895763734,-0.6272392898752609,0.05905044532198269,1.0,-0.0543715656051243,0.15505516244784245
Frontal_Sup_2_L,0.4608786733345708,0.5059410251442851,0.34597834722746057,0.10116572046190525,0.7222926390851272,-0.41422045628291965,0.21861924879353986,0.10264751339585394,0.11389929526589958,0.08753940835717104,0.20027721823797728,0.03789686705551404,-0.0543715656051243,1.0,0.3642595765135855
Cingulate_Post_R,0.7630907761331169,0.4418851717583944,0.20659278149880198,0.3355544710055905,0.6280284871279156,0.1117901698015248,0.03521801758800791,-0.046541065947666604,0.34531033320668747,0.19073297361116956,0.17093316675911346,-0.08684484781885723,0.15505516244784245,0.3642595765135855,1.0
