,Cingulate_Mid_L,Thal_PuM_L,Cerebellum_10_L,Frontal_Sup_Medial_R,Frontal_Mid_2_L,Thal_MDm_L,ParaHippocampal_L,Fusiform_L,Temporal_Pole_Mid_L,Pallidum_R
Cingulate_Mid_L,1.0,0.5165235961607417,-0.026810298038038378,0.4727874153094303,0.40358048016116493,0.22923719920055724,0.3227984127547759,0.30802977475641546,0.011871967154058157,0.5769403196404375
Thal_PuM_L,0.5165235961607417,1.0,0.2544362878530772,0.2930586740687261,0.20937723083287174,-0.11424826076764522,0.0716041784983513,0.5177659980329137,-0.07189513083456356,0.6091322749825281
Cerebellum_10_L,-0.026810298038038378,0.2544362878530772,1.0,-0.1789051994736289,-0.3092469816586318,-0.2324050059553318,-0.33135884207327915,-0.049372510082586814,-0.17414834515034286,0.18738375917362368
Frontal_Sup_Medial_R,0.4727874153094303,0.2930586740687261,-0.1789051994736289,1.0,0.6747137728857229,0.18707528060649328,0.29452748466980055,0.25392783285433,-0.20632081134997102,0.41138390801016533
Frontal_Mid_2_L,0.40358048016116493,0.20937723083287174,-0.3092469816586318,0.6747137728857229,1.0,0.6026970273399085,0.6613035980748038,0.3287206764925053,-0.27351214350709896,0.10405578583890776
Thal_MDm_L,0.22923719920055724,-0.11424826076764522,-0.2324050059553318,0.18707528060649328,0.6026970273399085,1.0,0.6638169244927823,-0.15949447543882128,-0.14199057173851343,-0.40108354662366075
ParaHippocampal_L,0.3227984127547759,0.0716041784983513,-0.33135884207327915,0.29452748466980055,0.6613035980748038,0.6638169244927823,1.0,0.2875137863985664,0.01759774171241454,-0.14880813044062513
Fusiform_L,0.30802977475641546,0.5177659980329137,-0.049372510082586814,0.25392783285433,0.3287206764925053,-0.15949447543882128,0.2875137863985664,1.0,-0.045331192081211405,0.5346488026605847
Temporal_Pole_Mid_L,0.011871967154058157,-0.07189513083456356,-0.17414834515034286,-0.20632081134997102,-0.27351214350709896,-0.14199057173851343,0.01759774171241454,-0.045331192081211405,1.0,-0.001882968064871157
Pallidum_R,0.5769403196404375,0.6091322749825281,0.18738375917362368,0.41138390801016533,0.10405578583890776,-0.40108354662366075,-0.14880813044062513,0.5346488026605847,-0.001882968064871157,1.0
