,Thal_VA_R,Temporal_Pole_Mid_L,Thal_VPL_R,N_Acc_R,ACC_sup_R,ParaHippocampal_L,OFCpost_R,Cerebellum_7b_R,Thal_PuM_L,Cerebellum_Crus2_R,ACC_sup_L,Cerebellum_Crus1_R,Occipital_Inf_L,Vermis_10,Vermis_3,Cingulate_Mid_R,Paracentral_Lobule_L,Thal_VL_R,Cuneus_L,Thal_PuA_R,Heschl_R,Paracentral_Lobule_R,Precuneus_R,Lingual_L,Calcarine_R,Cingulate_Post_L,Thal_PuL_R,Cerebellum_9_L,Parietal_Sup_L,Putamen_L,Occipital_Inf_R,LC_L,Temporal_Pole_Sup_R,Vermis_4_5,Frontal_Inf_Oper_R,Thal_MGN_L,Insula_R,Raphe_M,Pallidum_L,Angular_R,Postcentral_R,Temporal_Inf_R,OFClat_R,Caudate_L,VTA_R,Cerebellum_7b_L,Precentral_L,Cerebellum_4_5_R,Thal_PuL_L,Vermis_1_2
Thal_VA_R,1.0,-0.07987138021548627,0.2594426145780888,0.2737664132458511,-0.21800706187883775,0.5106348156717951,-0.03404662180172825,-0.21351262854029968,-0.08144722257765018,-0.4016791434916777,0.005072915303459529,0.2567246085600674,-0.5142112733818173,-0.5087323595222666,-0.3679499572698972,0.2708570688084555,0.3172488706047553,0.5727248614601791,-0.38772497388172794,0.4719850743179413,-0.29075877396236227,0.3708260450845881,0.33250724918836516,-0.2320721815153312,-0.28998000195834533,0.2901071857981742,0.17716130838702449,-0.3002437911338713,-0.05444275726350337,0.01404309027451939,-0.5978705378156401,0.09374906537761823,-0.5767763390228674,-0.39453645912364516,0.005540555721963607,-0.3792517534808758,-0.4827735032150365,-0.7141443555940805,-0.09062894856685097,-0.34023326067847776,0.4202409416133745,-0.4736555246087023,-0.4197941514448448,0.5568056382555093,-0.13853451518889026,-0.22765262064579866,0.3801353749615642,0.1421143968784747,0.04150405562959078,0.1249212184945875
Temporal_Pole_Mid_L,-0.07987138021548627,1.0,0.0008944083330120847,-0.1621627415962161,-0.1454948676011328,0.01759774171241454,-0.22616926774108007,-0.07399603403855765,-0.07189513083456356,0.29550324764915464,-0.15951215162275126,-0.0032737736295567125,0.25430556897665524,0.12125857261399609,0.028515520742993322,0.03657343159887127,-0.07563116874200194,0.0006769901670252115,0.17028765647243163,-0.28066138158177817,-0.07564087452472296,-0.057959240730021844,-0.06103992261971805,0.26034226365039814,0.1776706924523395,-0.018541067812550382,-0.10281264930293192,0.3221874668241704,0.09718816225060206,-0.1954800738381201,0.14741053886607292,-0.2448324847176071,0.006104238943649669,0.19404316354907625,0.035629553409230304,-0.12532513112773205,-0.03133613166422914,0.05524141240942366,-0.13506972121156197,-0.02492045785048699,-0.14739910587664512,0.13399996280052714,0.057286647679701715,0.020386922753679183,0.04950077938714319,0.11702794115467496,-0.15103101310828235,-0.006423904825952583,-0.15307592471311796,-0.10815353325883946
Thal_VPL_R,0.2594426145780888,0.0008944083330120847,1.0,0.3199869948529588,0.4427254298913121,0.3987300874046422,0.36213869285560135,0.28945032695985695,0.17082102122946338,-0.34361136179540724,0.5046687875794105,0.2333869770406527,-0.3740978454399263,-0.2618695908646545,0.19684338088460243,0.4708418547127607,0.6260988975636798,0.671008539829886,-0.09344950363530571,0.20049745059311364,0.01692543446124279,0.4596664521248975,0.35675777034378514,0.19484222395954695,0.03147651774145247,0.367628228967473,0.6251120483848894,-0.1546263602799395,-0.038238479831738455,0.5025721686415779,-0.22354508606253828,0.13425155525989338,0.027089712429804885,0.14894092944799664,0.5398195004439164,0.08038123026787133,0.3554246939048508,-0.2722791298505077,0.4712899986558804,0.04346479289924603,0.36231416567006697,-0.19496476501305274,-0.2808523935891368,0.5090155372335001,0.2611684373648104,-0.15579155387554328,0.6648593972872939,0.6697048729651491,0.3874764696235328,0.4989553974911326
N_Acc_R,0.2737664132458511,-0.1621627415962161,0.3199869948529588,1.0,0.3247339858150469,0.5571242177326733,0.7139018655067909,-0.002715028925275107,-0.016348005035126643,-0.4630531921434751,0.40611012926353784,0.39716475190104317,-0.3149443022224506,-0.4577997470613861,-0.1765977690859366,0.07814643368768237,0.18036961503678475,0.48065912741395744,-0.4290696783788233,0.3913581035572556,-0.15143330321485676,0.11627995110543923,0.06988019926725116,-0.2934947858602105,-0.3787475959965464,0.1744222585296375,0.1684820184779821,-0.12901496138233284,-0.12825868185759995,0.34164058923296275,-0.45195544671980464,0.12342117569413502,0.1605592666530596,-0.3780356942899188,0.2968683931275312,-0.15753220370904047,0.05730594771447561,-0.4747033515551601,0.16843929309712344,-0.3027172290963224,0.1981985616470444,-0.49109650212257644,-0.10922737684430946,0.2827118230646471,0.0018720471420883035,-0.2658475180462069,0.25786122819723317,0.339435147239566,0.1666546249159363,0.11476162316071424
ACC_sup_R,-0.21800706187883775,-0.1454948676011328,0.4427254298913121,0.3247339858150469,1.0,0.17734915867434123,0.49012901978159845,0.2033223566987949,0.4928536083589508,0.018055180952823532,0.9334621986487361,0.10229973035663105,-0.0765704152860965,0.10246460814803461,0.2792523045784846,0.6171933077853405,0.631480868830148,0.10448160167123012,0.24143991327476186,0.07267901032083982,0.34183898561014653,0.5201289038759188,0.410186747573948,0.12878154910357023,0.03668855503217247,0.5096566317280753,0.4933075990438616,-0.105876256567477,0.36913437706235624,0.6836722764189146,-0.019714426233089617,0.14670215878685672,0.4222557395167975,0.4041184781040191,0.40314400928823957,0.30213167554052833,0.633778709113353,0.1796077367496503,0.6232654417623984,0.41201911931323715,0.48635036870855514,-0.04225282935595918,-0.0005139515975865687,0.17189724635039869,0.03075406418772951,0.13978954336419064,0.5669199736513955,0.28787570300545706,0.4049214182182561,0.420711527560167
ParaHippocampal_L,0.5106348156717951,0.01759774171241454,0.3987300874046422,0.5571242177326733,0.17734915867434123,1.0,0.18634631323912432,-0.11490611646086948,0.0716041784983513,-0.5531746007165598,0.37900793997691584,0.4035527518740263,-0.5476929690300948,-0.46731899070883604,-0.26866845456102173,0.408926907845192,0.52109036913352,0.5724496495006784,-0.26385305601733405,0.3260274002982257,-0.26200935795839775,0.5086514989368526,0.430810977468576,0.0060495346035402105,-0.2710905158498339,0.5356799479722598,0.21086192853797076,-0.3399005368852791,0.037065717693656006,0.33070288394147196,-0.6884338508470106,-0.11126342736858277,-0.42328079238143124,-0.23190160420769068,0.16697837423324616,-0.24382854345889998,-0.3158007393910944,-0.4997331807266923,0.27500968167894907,-0.19210928476352765,0.5597947959410221,-0.43936513776660124,-0.4636054071505041,0.5011846253537509,-0.041556680678876946,-0.2284238744465254,0.5732293940532498,0.4059983377798438,0.15834856350203277,0.12212621671126997
OFCpost_R,-0.03404662180172825,-0.22616926774108007,0.36213869285560135,0.7139018655067909,0.49012901978159845,0.18634631323912432,1.0,0.1766265142300819,-0.1139959061266826,-0.3199345354534449,0.4385050128274476,0.27329889320289397,-0.022025650369627253,-0.31101551024538054,-0.027542901003280836,-0.029999462788095625,0.0868379979734029,0.38226309155054417,-0.4013573322636121,0.30358011716458116,0.041462944580674455,-0.02575943489950974,-0.07056030888366674,-0.3500566472667853,-0.36698044255604656,-0.03510144682539842,0.16608730870936753,0.05586401763727976,-0.08939912792965087,0.22198351327128363,-0.1583184202702968,0.23158475931792458,0.5601258608991192,-0.27316082936519387,0.5625091223990406,-0.15752665431081128,0.46805438044995273,-0.263563367692111,0.09089289573003663,-0.1650986652617158,0.005809961285905246,-0.38431960425645506,0.10964019610450289,0.17617576001985746,0.1263629281792618,-0.1501228138806675,0.12221105020748131,0.3751258709912213,0.20594805300647426,0.12377364261115963
Cerebellum_7b_R,-0.21351262854029968,-0.07399603403855765,0.28945032695985695,-0.002715028925275107,0.2033223566987949,-0.11490611646086948,0.1766265142300819,1.0,0.028042445046906055,-0.1481459401770518,0.15740087484220042,0.14520745073831776,0.04090858001463483,-0.16604761545069444,0.35790762129668785,0.014353529870446573,0.09662705495211991,0.19489212298976438,0.04521553173801371,-0.10679663593614644,0.15046347124480167,-0.006487393786371023,0.03619881099552165,0.043835412866879704,0.06651403982515047,-0.1288260545888708,0.1612846586993724,-0.18690628028183198,-0.11435867314345102,0.28598858935354254,0.14323507652563156,0.021366152127628307,0.3288411456736108,0.1053674498560206,0.2139865384801139,0.22355845531903076,0.35797421695684206,0.2729687594483008,0.2740752658896494,0.13831866673465187,-0.05346691032787073,0.10930243560308886,-0.03847728588536281,-0.022538276427179777,0.2243589425150869,-0.033575745167257205,0.13408999532427388,0.32151490410988315,0.18463174785508554,0.13077556865663081
Thal_PuM_L,-0.08144722257765018,-0.07189513083456356,0.17082102122946338,-0.016348005035126643,0.4928536083589508,0.0716041784983513,-0.1139959061266826,0.028042445046906055,1.0,0.10011523484787471,0.47133643780844087,-0.12123398894164081,-0.03638592062113284,0.3192069405572565,0.38096011624894155,0.4665397719601361,0.5180858946392326,-0.12647870980629156,0.4875411086732222,0.0716159907362201,0.37661615781213253,0.5462519388497024,0.46215485617833413,0.41239301466444944,0.38974997192105404,0.4953014169457947,0.3013904414477138,-0.14085555688531684,0.4078202289308909,0.5125836294689166,0.12516515293098746,-0.02918151297774785,0.06853773997081433,0.5384546323183876,-0.03434964927296925,0.3961715130113601,0.2823407733039392,0.25110104262092897,0.4560610152806291,0.5004011284490523,0.39780743029970933,0.12849113237753465,-0.06556040217097742,0.03420984075906279,-0.1028759829269956,0.10625956931547456,0.44904157125483735,0.07739950345816805,0.543231462523786,0.5015570759188028
Cerebellum_Crus2_R,-0.4016791434916777,0.29550324764915464,-0.34361136179540724,-0.4630531921434751,0.018055180952823532,-0.5531746007165598,-0.3199345354534449,-0.1481459401770518,0.10011523484787471,1.0,-0.13168950905761642,-0.26151021192888413,0.5188867591698536,0.5771947795214953,0.2222591819923518,-0.14324341770940643,-0.21305561281971927,-0.5218482971825343,0.586427444165517,-0.35085991894841667,0.2603055902923633,-0.07276081961218853,0.04781475706886075,0.2915852905999148,0.4406576092410864,-0.1546350534412055,-0.1971255015132852,0.3830742136590025,0.44451036872849975,-0.09303332360602336,0.4815105720765478,0.04842978411989353,0.24184825372186267,0.4910029480770012,-0.2162894084298283,0.2915942143173211,0.1588416318994598,0.36511094463004257,-0.09735594546874793,0.475217141389758,-0.14329564329578512,0.4193286967292778,0.28646146816890355,-0.34468106241034785,-0.12630798114131633,0.619426491241998,-0.3758404252849189,-0.4958708777506995,-0.18330738188317383,-0.008851983318894705
