,Heschl_L,Parietal_Inf_L,Angular_L,Thal_PuM_R,Frontal_Inf_Tri_L,Supp_Motor_Area_L,Cingulate_Post_L,Putamen_L,OFCant_L,Fusiform_R,Vermis_4_5,Cerebellum_7b_R,SN_pr_R,Thal_AV_L,OFCmed_R,SN_pc_R,Frontal_Inf_Oper_R,Insula_L,Calcarine_L,Precuneus_R,Rolandic_Oper_R,Calcarine_R,LC_L,Temporal_Sup_R,Thal_LP_R,Temporal_Pole_Mid_L,Vermis_8,Cerebellum_Crus2_R,Raphe_M,Occipital_Sup_R,OFCpost_L,Thal_VPL_L,Cerebellum_7b_L,Cerebellum_4_5_R,Vermis_3,ACC_sub_L,Vermis_9,Vermis_6,Cingulate_Post_R,Thal_PuA_L,Red_N_R,Cerebellum_9_L,Frontal_Med_Orb_R,Temporal_Pole_Mid_R,Thal_MGN_L,Olfactory_R,Thal_MDm_L,N_Acc_L,Rolandic_Oper_L,Rectus_L,Cuneus_L,Occipital_Mid_L,ParaHippocampal_L,Frontal_Sup_2_R,Frontal_Inf_Orb_2_R,Frontal_Inf_Orb_2_L,VTA_R,Heschl_R,Thal_MDm_R,Pallidum_R,Raphe_D,Putamen_R,Parietal_Sup_R,Thal_PuM_L,Thal_PuL_R,Frontal_Mid_2_L,OFCant_R,ACC_sub_R,Paracentral_Lobule_L,Precuneus_L,Temporal_Sup_L,Occipital_Inf_R,Frontal_Sup_2_L,Cerebellum_3_R,ACC_sup_L,ParaHippocampal_R,Thal_PuA_R,Cerebellum_Crus1_R,Thal_IL_R,Rectus_R,Fusiform_L,ACC_sup_R,Cingulate_Mid_L,OFCpost_R,Thal_PuI_R,ACC_pre_L,Postcentral_L,Thal_AV_R,Thal_PuI_L,Angular_R,Thal_LGN_L,Insula_R,Cerebellum_6_R,Occipital_Mid_R,Vermis_1_2,Thal_VA_R,Frontal_Sup_Medial_R,Thal_PuL_L,Cingulate_Mid_R,SN_pr_L,Thal_MDl_R,Precentral_R,Amygdala_R,Pallidum_L,Frontal_Med_Orb_L,Thal_LP_L,Frontal_Sup_Medial_L,Caudate_L,Hippocampus_L,Temporal_Mid_R
Heschl_L,1.0,0.5682429475124773,0.5510445285029539,0.3565763531177112,0.6240283616745901,0.6504124045486263,0.5512088411503673,0.6146847767088003,-0.05940018774277216,-0.3710954606111926,0.16722946587622256,-0.019938347451435027,-0.2769113244624051,0.1712798167633296,0.10727863339635808,-0.15672471077334718,-0.17225204441324982,0.8215994378870957,0.4353352765864302,0.6496963034833159,-0.029720231802864594,0.046811641293580675,0.03607382820540671,-0.4833876426455602,0.29819870409421606,-0.17403494693200422,-0.2572748883441513,-0.21210257179951147,-0.17579343003346753,0.19124175985348954,0.30364436302767794,0.28523930973095496,0.15809733002093201,0.19093663543909453,-0.042775432772988876,-0.13845960212628156,0.032642532199171466,-0.1654399153687694,0.4658642992145481,0.3874654143157465,0.28690364816622654,-0.5162213805741915,-0.029744486930429755,0.24698915234924992,0.2224107553585754,0.29579864352766866,0.25171867648662993,0.15986196676103642,0.7853417278191536,0.07768285757581939,0.2646786309399566,0.33939441969429207,0.5055613179508284,0.4459814946144596,0.13686399912992156,0.5976963130086236,-0.16779764160803834,0.031082533653514193,0.28515958685672005,0.327385263989029,-0.0517454601633111,0.2592597671390758,0.5977535366156237,0.42829320890727246,0.43013000156396897,0.6480844607026423,0.12160842423833887,-0.09134202637390931,0.705894862406569,0.7026700498843623,0.8274608059700572,-0.43389459339936864,0.6178719134285957,0.5299271674515748,0.5618720007864564,0.011543401174665333,0.22200002843683805,0.18855365065019922,-0.08755481362692656,-0.1676377700842441,0.703599116967641,0.3800335097201571,0.45983851036421886,-0.11827442137536186,0.26977648212445243,0.4040429366540956,0.6470766955330581,0.41899224513393496,0.5404393286861429,0.22815059446110283,0.45220834287741074,-0.10237445459886271,-0.3021630521527845,-0.10671679594659383,0.344070555757873,0.40540292116927323,0.39462009021021227,0.2341937127828726,0.5270780320760429,0.318357097636756,0.2189484521904798,0.5494912929249286,-0.012926929242801928,0.641811251275647,-0.30283842530391314,0.37632283044110026,0.6019581188613976,0.4005832312010633,0.5193493814213817,-0.511113742823842
Parietal_Inf_L,0.5682429475124773,1.0,0.7247396357792759,0.24982375872624424,0.21531961279962028,0.5356549503376431,0.3684958292334108,0.5735926017354362,0.01877921836021173,0.15778944179852733,0.5077085773777791,0.008145462538497383,-0.4113661060978331,-0.07292301058673115,-0.03449077445477359,-0.05502343743331239,-0.04026045275225362,0.48109625609487167,0.5869777734419228,0.6778105543196149,0.16100587569948202,0.2967309782960543,-0.00016699381909604386,0.018845122390628768,0.1556458214393472,0.008395230599438301,0.014714619700817368,0.2341054794068905,0.1771358879460254,0.5554927970299769,0.06049253942291235,0.48303545104370554,0.44315586895113834,0.06453369949625092,0.3295958988735641,-0.21869784258233774,0.2817129342001712,0.2662427641483394,0.45607294686202055,0.23267458046930475,0.026739351207003163,-0.2046364925638892,-0.0630581354841652,0.22327901189813282,0.29133794904625915,-0.0025157570159574827,-0.1479099333181165,-0.10454105099049349,0.48332988718672315,0.10203333558232044,0.6157275122582134,0.5932956060654527,0.14276959778702109,0.5169393217496067,-0.029872090235050202,0.15286832358803915,-0.07409362398848839,0.31379357542937214,0.0982488077175158,0.5343392504642752,0.13360555770421223,0.3483402061440078,0.5641321419336748,0.5026654022865862,0.33741153745677777,0.39803254849168224,-0.05145499069383254,-0.2209487651478618,0.6191920812168143,0.7301810998183286,0.4430944741976937,-0.06811409602317062,0.5234464997624872,0.05054777587749267,0.5324234913638548,-0.08700814111714329,0.0638148494195852,0.055063960023871296,0.0914199470969908,-0.19907648320509513,0.5472806910868494,0.5284892778580378,0.5225682093782337,-0.015227258884123447,0.11300584955607526,0.25085551527560174,0.7426367797105285,-0.038941999945099004,0.49841496221585574,0.5941576450486367,0.3192409114777833,0.293107068211065,0.211881614780536,0.36485744758070393,0.3574723024553687,0.009035524300970573,0.5302973204798328,0.2497819710943003,0.48609570803452107,0.1993716267627567,-0.10276973484811494,0.41023103130388755,0.32519473448174807,0.5208996233715535,-0.045994469051947505,-0.056120715762396786,0.5622612375405033,0.2313623182658865,0.1402994878612393,0.010419865779342135
Angular_L,0.5510445285029539,0.7247396357792759,1.0,0.13817330072542464,0.03173784813377276,0.30836328871057234,0.3558312153977261,0.41980079380730123,-0.2557542358081193,0.0572988970968601,0.44378084690659897,-0.01729197724389259,-0.6232679210020722,-0.1825612941991129,-0.18475821021565278,-0.26659256871366976,-0.3566833551348082,0.5161765078927956,0.6857490795491454,0.6969648967222152,-0.20761735889828817,0.37036281207989646,-0.1498086141644349,-0.08000834372483545,-0.07467204583670005,-0.03850626062748334,0.011509310375216424,0.341379373386221,0.32337558769011143,0.7882580911041152,-0.014533405421112103,0.4282726839714437,0.517876905010114,-0.22292156303264515,0.2309167758373271,-0.5119717266727529,0.47099940843378574,0.35832588951035266,0.4570813328766948,-0.04503419997175797,-0.14263415794111425,-0.3750190976559108,-0.08732682338982843,0.2070134760774722,0.4094762552289562,-0.14771506302084042,-0.3720427393300723,-0.3428971072463506,0.4858814920809699,-0.11534841745252444,0.7949758382303093,0.8294122031365673,0.05978508523331884,0.26126952080333915,-0.27404968672122787,0.05001858450295086,-0.2760614413979259,0.09938710082070347,-0.09687346646282856,0.48599303378084285,-0.04048299237246283,0.08045526332116978,0.6887987394845304,0.5380972044802497,0.15161294664959954,0.2291135023807546,-0.04421486017066715,-0.3650529250577244,0.49523076036642744,0.7328971359139494,0.42369176389018365,-0.06763092156202956,0.38193615748647297,0.020843855324431566,0.3249386523621633,-0.4041796021956391,-0.0914059848144279,0.006026136164887034,0.1285885511295677,-0.34970504621813936,0.6198645570996282,0.3019185591275875,0.25258531605889967,-0.3048627536664545,0.08011449931459498,0.08864233102981077,0.6005704439100611,-0.05271461243494838,0.37448056763501036,0.7816108882223072,0.20540915831924259,-0.013891939728962037,0.20458519977286022,0.5612302822867663,0.22430063736823078,-0.06286846131531669,0.3642942968442098,0.317488053526019,0.25089290740824394,0.015488795093178909,-0.31000063772705894,0.24536840923286637,0.4404411046547411,0.5268680322034806,-0.22467209487868658,-0.2693154113223018,0.34441670224357807,-0.04890628924046395,-0.04910918245207646,-0.011967570565494749
Thal_PuM_R,0.3565763531177112,0.24982375872624424,0.13817330072542464,1.0,0.4581517797827292,0.6035081910439308,0.40082905598308183,0.36801043118998145,0.09170064465277505,-0.034904700104372285,0.18121437343492053,0.2680662304082542,0.1110932212285284,0.1863167766550668,0.0006178450460720319,0.23742657511449913,0.4384657705621925,0.36423657674721843,0.18908180292580723,0.44616070879473274,0.369736702132011,0.03725947447966999,0.20707944690871882,-0.06939854784736633,0.34839573013092384,-0.12803562028201176,-0.13078837209589758,-0.23602983786304277,-0.08659437079954106,0.030092570815401277,0.2083428838900021,0.5952345022970669,-0.05760773443925022,0.3768962504441037,0.17492081910968257,0.2228477071301005,-0.2494511021038418,-0.1755591816932835,0.5966083674890292,0.6531466653455448,0.220224487162699,-0.2051432356541805,0.06315573131153907,0.2672106806615651,-0.059198350700678276,0.12642559086319774,0.48676224324746553,0.25779308037875864,0.24221533282677865,-0.008616459429588547,-0.09932413748573717,-0.10811076844276063,0.267857507640573,0.32510703084722997,0.25422198239554966,0.27143168816911467,0.06249615165943348,0.380306352035086,0.7596768907059296,0.24167876058511867,0.49802015643072856,0.3614541842445662,0.15976462075923342,0.45008934019889435,0.3760408085299375,0.4341220265366271,0.13129863826747754,0.26920922132806036,0.558049224779293,0.3987797818153992,0.3242130967592566,-0.14740651674940222,0.2770887848362543,0.3566144025925469,0.41803107229552755,0.3989444155972658,0.3746595607440824,0.012309544969105071,-0.14085683104473917,-0.08630767160260272,0.15856087329796026,0.40236713763180093,0.5333424357176513,0.14628855324067,0.09918814693139474,0.3237628769033029,0.4562448956475539,0.19892268762978974,0.5620433513062228,0.11293683150119226,0.4171522988372672,0.2925621007102423,-0.1679087310238784,-0.11683368236690231,0.3999613555775964,0.22096807749920458,0.35873109499598327,0.5303139434998357,0.549588986216269,0.3746334391609385,0.47487291575164253,0.6389120128573467,-0.11796951483838078,0.22256374006857213,-0.09078319317120945,0.5980263918869635,0.3705402179324599,0.5135813939601149,0.4825284262821611,-0.15172080123078555
Frontal_Inf_Tri_L,0.6240283616745901,0.21531961279962028,0.03173784813377276,0.4581517797827292,1.0,0.7458348818493412,0.39679304199962356,0.49777351688081817,0.27553317976323866,-0.6060088116729551,-0.3081343268692229,0.1280894675231554,0.19047449628030677,0.31161499113467545,0.45287705330054806,0.2326814009570284,0.24251109707430743,0.7101680485091246,-0.037665049977102356,0.4530461710307314,0.20483408982009094,-0.4571921925575942,0.07169224330582015,-0.6422682950688225,0.5321509240113173,-0.22376865927124528,-0.5830917873575096,-0.5553162623705337,-0.5276082392829406,-0.3210873131588354,0.6982390745283376,0.05868426572245421,-0.12535150435870387,0.3532519094517873,-0.23850374953462986,0.32093081687896735,-0.5132595558804728,-0.6636257461821505,0.3147704959532605,0.6609714467079791,0.5479776389840256,-0.51842310347453,0.15826511546641223,0.2627284201580429,-0.16658508669878713,0.639831107177731,0.7544455627079006,0.6193047072104105,0.6267694948556651,0.1676157181559414,-0.3446505397793504,-0.3413286168461604,0.7121587760070666,0.6153632088643264,0.6886236704629431,0.9005316135732675,0.035483898718425166,-0.18415945176753523,0.5460868297062978,-0.07097100335860324,-0.0785715506280229,0.23404378091616956,0.3845822031903344,0.12961930246756279,0.4297672924581112,0.9171422506841698,0.32189708982683246,0.3244080106995552,0.6309502085495865,0.4506329675251579,0.7829251985563646,-0.7047318895971301,0.6937282132691487,0.6699441058739448,0.6033045928456188,0.5669346153304542,0.3516214562626423,0.45481747368790093,-0.17600810512040335,0.1409822775198705,0.22351213244439855,0.3748271193004241,0.35971550085397097,0.3719010121987091,0.295797785285399,0.7230929816719578,0.48900564905246063,0.6772934744641785,0.4382158096460548,-0.19597411200165338,0.5962431349199924,-0.12409683494169345,-0.7111951953185257,-0.6280840784754371,0.2654300672557056,0.5305814291470863,0.49089397950630453,0.28185680551543113,0.46466252475994757,0.6066777826343922,0.4781951584598613,0.5925513727326133,-0.4235181850949232,0.4588397997704985,-0.31197734743216204,0.7101848358588966,0.753296261740126,0.638922042628473,0.841254257141569,-0.7682374199499143
Supp_Motor_Area_L,0.6504124045486263,0.5356549503376431,0.30836328871057234,0.6035081910439308,0.7458348818493412,1.0,0.6345840621744474,0.7159503183257959,0.17640916601826817,-0.12950034180604875,0.2502733872771113,0.20723290711230696,0.00291340040463524,0.04339618200565113,0.27183511137111405,0.2912998600256345,0.4364079894129365,0.684842035864299,0.3022981222396329,0.6398937568298878,0.5070026286650569,-0.022946140206892507,0.05636446378364186,-0.20959299575979526,0.566418066265051,-0.11786494985010469,-0.21206997181408266,-0.3019191186361158,-0.17258658116150202,0.10792021181341102,0.4676757700354638,0.38120241447248016,-0.034293960770023196,0.47703034645757897,0.18512129585351306,0.23324061544850053,-0.23995425670243695,-0.23069479746706634,0.7177509779096013,0.6567087623954748,0.4555162907947103,-0.34682949271928504,0.09953337970619815,0.2667089777221543,0.06630671105579385,0.4156285459922962,0.4618858398016128,0.33116677494321173,0.6122479968517012,0.2406420950027286,0.06999342691247955,0.034049334632416516,0.523772700419093,0.6980224474672913,0.3688342562629508,0.5733204623015281,0.13549510853414912,0.15877865907969996,0.48519930647102083,0.4176199834190585,0.17881662750545455,0.5837147203181248,0.3681794582029992,0.4388844309010964,0.63894149828675,0.790415370931641,0.1922896840824851,0.13832939542679565,0.8882442591878927,0.6218991951046206,0.6816902484054638,-0.35832380160415905,0.6798790547117959,0.5139768116100127,0.7975475792217079,0.46571071266023795,0.2774560669906914,0.25317917845655324,0.028045695046536343,0.06559465916409583,0.4031301632044334,0.70042524894573,0.7499846405554464,0.2704022029098797,0.3594760070582083,0.6016740943110312,0.7573416863050072,0.3655701973956629,0.7217506109827536,0.18386210145280774,0.6286299941827022,0.31704885028256546,-0.25424106829277626,-0.15866086197946455,0.5099243546066935,0.2724836539766448,0.6425054067378166,0.48256407667904366,0.7584384367855187,0.6325092802369767,0.21691961645108943,0.8711094800627938,-0.08842490641049541,0.6027905234433341,-0.23383706828161813,0.5855186951964506,0.7894248927178414,0.5913296780632177,0.7194109797604562,-0.3227131749074022
Cingulate_Post_L,0.5512088411503673,0.3684958292334108,0.3558312153977261,0.40082905598308183,0.39679304199962356,0.6345840621744474,1.0,0.458425263818404,-0.044758700424544065,-0.09958737351748914,0.3439914010260432,-0.1288260545888708,0.05010502590035892,0.12632646789506713,0.11343638967980045,0.0056272372809740125,0.19265318856444424,0.43424436484553836,0.32601687844482663,0.6043837497630105,0.16619436247939134,0.1445622218844996,0.009683345287665089,-0.22855383697437265,0.33404631971453097,-0.018541067812550382,-0.06567580789533202,-0.1546350534412055,-0.11377290882161026,0.1935423623363263,0.18735040163090702,0.3157323204142588,-0.13643704862714193,0.28477289806734224,0.08509138805935745,0.08423893084326821,-0.04499225983278996,-0.032758719144848,0.7155018653015701,0.3796243839657125,0.2786749757786262,-0.15056964147302507,-0.05177197238788772,0.05132837224221937,0.1322693500628397,0.23985994241037123,0.2566196089521471,0.21625536697852185,0.3748268761207065,0.010181484757801553,0.14702406978092833,0.20008007823578075,0.5356799479722598,0.3367635062507178,0.03412941437542193,0.37758014221934755,-0.0699965599972202,0.08117601341922101,0.1393491221012481,0.40282694399909247,0.08653782967685,0.18665826130945962,0.4234483326756333,0.4953014169457947,0.34533695315771346,0.44434884885750364,0.021584256014818982,0.26857291943308687,0.7142361117749889,0.6135485525454576,0.48238967910315983,-0.26279805820381186,0.42573344874040736,0.4064356611297024,0.5934349301175315,0.2956176669088569,0.24418372579020484,0.10299297209368549,0.05616977649459333,-0.009452568777965614,0.48613258085842376,0.5096566317280753,0.7637678858243867,-0.03510144682539842,0.34672583990692973,0.13771172540915763,0.6153282650737094,0.22174706777346737,0.5926994814742809,0.24887166733847874,0.4828044204693505,0.025046302553114762,-0.16049313296914014,-0.03233794256868497,0.45296412348527215,0.2901071857981742,0.31222756270355717,0.33945419284413914,0.766123127948018,0.3504747604935013,0.188166587463352,0.7607864348876536,-0.15224170010480534,0.3199643650375982,-0.07726635257038823,0.34865733596926884,0.4046070656047814,0.2936168824256828,0.5775298666259463,-0.2503494249919625
Putamen_L,0.6146847767088003,0.5735926017354362,0.41980079380730123,0.36801043118998145,0.49777351688081817,0.7159503183257959,0.458425263818404,1.0,0.2091717012345814,0.09129308183990133,0.375823701249312,0.28598858935354254,-0.29013094959884156,-0.14148711931254418,0.2200759488901939,0.0655456956338771,0.1424125195423263,0.7754613203478138,0.4615724441257993,0.5483741672167838,0.33926390427687686,0.18611218184169712,0.20234084125124932,0.004985429900932406,0.4543717413444711,-0.1954800738381201,-0.14473568808383724,-0.09303332360602336,0.07287489821247259,0.3520919460360928,0.4669932191084838,0.5373253460278902,0.11059742085351207,0.32588077924141534,0.38483823922223115,-0.014474582079890164,0.0849797647164631,-0.003301426352551053,0.5788570587428973,0.3269629789825519,0.33020642927861443,-0.39940898613416737,0.24690548831975653,0.5074397095476373,0.4782707305908138,0.32926546085696573,0.09022293055169499,0.26934905454863106,0.7640817284066771,0.31330897242592304,0.3477857516328207,0.2951273985724561,0.33070288394147196,0.60164324580744,0.16308281424649,0.47379349984381225,0.10219908650834107,0.34438537569387734,0.21632017659996813,0.6354742005299208,0.25722562177929176,0.589631257229515,0.3504061773893628,0.5125836294689166,0.48982600730348935,0.6362508445479972,0.14225133300482584,-0.11917639015201133,0.6234925471614554,0.5720450458538503,0.5939758299253813,-0.11904094213537854,0.6200969127186943,0.3412052873799875,0.7174801760521003,0.04458896069863561,0.2520510598350975,0.14474462489332143,0.03692030970445027,-0.10209042366224168,0.6163768800367118,0.6836722764189146,0.4971260606636404,0.22198351327128363,0.2816992514571986,0.5984228299693403,0.5145940767177872,0.06475057051134987,0.47202278165719697,0.4275992224977819,0.5159755904418301,0.41314960798377554,0.020204597078929718,0.15949486651011954,0.521303478065718,0.01404309027451939,0.6947155587677624,0.3577548944712235,0.45029247811785444,0.3056748958805667,0.03516729057137718,0.5224213984090964,0.3481770176439557,0.7837982524558187,-0.15915973165331035,0.31691533155338036,0.6759151546308315,0.19347078515220498,0.3915456203794867,-0.06118830403059661
OFCant_L,-0.05940018774277216,0.01877921836021173,-0.2557542358081193,0.09170064465277505,0.27553317976323866,0.17640916601826817,-0.044758700424544065,0.2091717012345814,1.0,-0.09805917134937894,-0.21074769631443704,0.34540102743821416,0.15580307023234127,-0.039566732752543,0.5418903681166632,0.12278255044611147,0.39032545151006665,0.11818866033033253,-0.2188900902965133,0.0202180818001581,0.29851461673159885,-0.28610423751818925,0.09611620607299352,0.0018995093173951837,0.1735509247621216,-0.15808942370243956,-0.31278246555161743,-0.22069233023388216,-0.1256672106798938,-0.2189668381122425,0.5485764869486385,-0.06782041611216409,-0.06458356383307631,0.24633072293823843,-0.042033652314704344,0.228665973043165,-0.3949650857723067,-0.27948527439960563,-0.030885284152675625,0.16023175594760727,0.22818677261565848,0.08590781061732883,0.3866923658144991,-0.026101342954847437,-0.1019032141914362,0.3617115881497229,0.24139066528955888,0.33029120679148893,0.08682693692476737,0.28039359320611906,-0.25187642550410533,-0.3676277216275202,0.11838269465993814,0.4381159523667948,0.39209995602775705,0.29355764997449985,0.1492917489036824,-0.0020175705502735826,0.13292566111274892,-0.14938493749888598,0.08949495118784967,0.11114780571170357,0.023140829579811947,-0.14241629348739665,0.1002456199620163,0.29090876787210523,-0.010520102368667414,0.23108976907788323,0.0530886566297926,0.05190402090022984,0.03375952335659967,-0.1457978405264041,0.37155373340202014,0.15994060454016087,0.27254265240345976,0.4315895930292699,0.02245130618965306,0.3324370756365459,-0.012762552964253202,0.3688225234822431,-0.2155901101771489,0.30708471193860126,0.05332930561643248,0.5493835016466737,0.007986836522577518,0.46930483813628043,-0.08547157299408842,0.06922793813685171,-0.0171345086585063,-0.1201061662222698,0.20654620779743613,0.24502877185308322,-0.24899585154273163,-0.2581159702940368,-0.044181384134948376,-0.09871428516049925,0.43402592206692175,0.08077968453626012,0.008234141047737623,0.25704637280707743,0.07076838975729725,0.044600961541985784,-0.09219338889522542,0.11246844334582239,0.157077034182293,0.18189212135221014,0.31577933301091826,0.03639141158932472,0.2617654774393874,-0.09681101511128054
Fusiform_R,-0.3710954606111926,0.15778944179852733,0.0572988970968601,-0.034904700104372285,-0.6060088116729551,-0.12950034180604875,-0.09958737351748914,0.09129308183990133,-0.09805917134937894,1.0,0.7450961451328928,0.20885688595599455,-0.16630291348885076,-0.44972932913930325,-0.34094421264741875,0.10763517790316442,0.1815624835343605,-0.37249645164261413,0.33897429182707134,-0.1438611327360489,0.3665507164792235,0.6485348428802897,0.09889073135519588,0.8722568146688358,-0.0331726488981046,0.2089851346020896,0.6007986146570266,0.5478627150152062,0.5962303488374229,0.5237658323138984,-0.4972749495542257,0.41298286214131186,0.11641288222817567,0.08072496037055629,0.7479420706615372,-0.15053445945317576,0.5581207150442373,0.7513920691210783,0.2541633271088954,-0.3119897541674132,-0.1850369720952446,0.4683895521716333,0.0008338374302970096,0.08175079754431715,0.4604993830229811,-0.4950958759336629,-0.6301912823179532,-0.43841645798168116,-0.26199238205328385,0.1799696703449597,0.4712858509103399,0.3557874021071444,-0.6254238994791065,-0.17815237815467005,-0.49529447884851185,-0.6941606047696717,0.2980934343566498,0.5606446586628213,-0.2633709627375263,0.5361087212627287,0.4412460729426075,0.3789703234884764,-0.4139312831176007,0.2523740705543986,0.024734629176679183,-0.4744925731507143,-0.15413920378937904,-0.3873782645991754,-0.15698433744479362,-0.2033649316338075,-0.5377862066602989,0.8031157333042205,-0.3775076154172686,-0.5244778531412804,-0.051825425341184304,-0.29166339943520453,-0.18890488856307033,-0.4244193297689397,0.3463246830997108,-0.09503157313836318,0.06953848206788996,0.18739807369583714,0.09929433975537924,-0.09010241096385846,0.05727268953602858,-0.3283600641039129,-0.06602268488326665,-0.7207608299036619,0.0042660819063117935,0.43255956893383646,-0.20683358624900178,0.684620713177081,0.9180104247552683,0.776911904393128,0.3372430703815824,-0.5946976126381023,-0.0731056057574476,0.042975456014065695,-0.033443621277576184,-0.3046054900141929,-0.41563122662315244,-0.09475690142001342,0.6388144669898151,-0.040793390394079594,0.21237778375650052,-0.3288863168944094,-0.2606346345358856,-0.3902063004001601,-0.530931495778383,0.9185045936402296
