,Occipital_Mid_L,OFCpost_L,SupraMarginal_L,Postcentral_L,Pallidum_L,Cerebellum_Crus1_R,Frontal_Mid_2_L,Thal_LP_R,Frontal_Mid_2_R,Postcentral_R,OFClat_R,Occipital_Inf_R,Temporal_Pole_Mid_R,VTA_R,Vermis_4_5,Rectus_L,Angular_R,Frontal_Inf_Tri_R,Amygdala_R,LC_L,Insula_L,Cerebellum_9_R,Precuneus_L,Precentral_L,Thal_PuI_L,Temporal_Sup_R,Cerebellum_6_R,Thal_AV_L,Parietal_Inf_R,Cerebellum_9_L,Paracentral_Lobule_L,Thal_PuL_R,Pallidum_R,Thal_VL_R,Thal_PuL_L,OFClat_L,Thal_MDm_R,Thal_PuA_R,Thal_MDl_L,Rolandic_Oper_R,Parietal_Sup_R,Cerebellum_10_L,SN_pr_R,Frontal_Sup_2_R,Heschl_L,Occipital_Sup_L,Thal_VPL_R,Olfactory_R,Heschl_R,Cerebellum_8_L,Raphe_D,Thal_LGN_R,Frontal_Med_Orb_L,Temporal_Pole_Sup_L,ACC_pre_R,Caudate_L,Cerebellum_6_L,Raphe_M,ParaHippocampal_R,Thal_VA_L,Thal_MGN_L,Lingual_R,Thal_PuM_L,Frontal_Sup_2_L,Frontal_Inf_Orb_2_R,LC_R,Temporal_Pole_Mid_L,Temporal_Inf_R,Cerebellum_3_R,Thal_MDl_R,Precuneus_R,Thal_PuI_R,Thal_MDm_L,Thal_VPL_L,ACC_sup_L,ACC_sup_R,Angular_L,Cerebellum_4_5_L,Cingulate_Post_L,Insula_R,Thal_IL_R,N_Acc_L,Putamen_R,Parietal_Inf_L,Cerebellum_Crus2_L,Cerebellum_7b_R,Cingulate_Mid_L,Thal_VA_R,Vermis_8,Cerebellum_10_R,Paracentral_Lobule_R,Frontal_Sup_Medial_L,OFCmed_R,Thal_AV_R,Putamen_L,Fusiform_L,Calcarine_L,Parietal_Sup_L,Frontal_Inf_Tri_L,Frontal_Inf_Orb_2_L,Frontal_Inf_Oper_R,Frontal_Inf_Oper_L,Red_N_L,Cerebellum_Crus2_R,Thal_Re_L,Cerebellum_4_5_R,Cerebellum_Crus1_L,SN_pr_L,Caudate_R,Temporal_Pole_Sup_R,SupraMarginal_R,OFCmed_L,Cerebellum_3_L,Vermis_6,Rectus_R,Calcarine_R,Cuneus_R,Thal_LGN_L,ParaHippocampal_L,Hippocampus_R,ACC_sub_R,N_Acc_R,Frontal_Sup_Medial_R,Cerebellum_7b_L,Thal_VL_L
Occipital_Mid_L,1.0,0.340932411490344,0.5817147797065116,0.22568386760754158,0.33160271400837776,0.7024857573073967,0.5234738165230858,-0.14693331464716128,0.5541388990531413,0.18530203000709017,0.022322106758051356,0.7288315510337585,0.5279213598981956,0.11214969661040904,0.6190145240580198,-0.10809306018902644,0.6984051335088235,0.32245742002928285,0.6600455706647097,-0.608088347134973,0.5889498370964011,0.6581269270869731,0.5408218245815527,0.42432711629024567,0.35900001257147773,0.643117997891414,0.7825889501711613,-0.02814042812314516,0.43489092074755775,0.6499916164569063,0.4295355310387561,-0.28753623492047087,0.4634688387921839,0.15871920371443113,0.7722641361069333,-0.4581034379536546,0.2771890334042072,0.5669940080866834,0.43475699131487217,0.41668341111055596,-0.039021771928164285,0.5642972399809115,0.07811979464155898,0.43517334017024745,0.0985009494803016,0.9117447476855471,0.22741338621911827,-0.0783062992576507,0.6133958541160102,0.762029241590291,0.4025734528708805,0.2044917189180008,0.16098377871426908,0.6203819570981238,-0.011559472614621981,0.37070943319670796,0.7508932635302399,0.2643971543021146,0.04975673922975063,-0.5739274829955937,0.3676293536220969,0.8010735609058471,0.7218630377227032,0.3845043083339031,0.10920479872166075,-0.0032387371368521028,0.12324233373116264,0.45868316453810537,0.44646538789001766,-0.23444049920981896,0.5050775177687373,0.801848470433228,0.4151507798559397,0.0694157633208942,0.31741379142387166,0.446526659527042,0.5910361950163974,0.6981480853525646,0.39822829044690605,0.6796102369912319,0.20089037526881195,0.3308157661243544,0.3259082813466426,0.46219574356002335,0.5230119985233455,0.6408123709492124,0.47067586849346277,0.1312958400418888,0.7986141711740906,0.5128211021239052,0.23697439573243517,0.3641458077549831,-0.15879854784818986,0.2954253007304132,0.15703366853513268,0.6681935743369387,0.7504208469116768,0.20428415452365167,0.23372192210729914,0.04757294620810023,0.44291261074474725,0.35218387030173237,0.02522101067654701,0.587324882403589,-0.5596677611988687,0.6357962020408915,0.6642492569604282,0.0285209159508971,0.32562961206953955,0.35894651521445026,0.4890813653023131,0.013991908458605321,0.16631205559061835,0.7526305661018025,-0.09247373003858494,0.8523375287118694,0.8933498856580261,0.5864815847282154,-0.1301730011179444,-0.419740699292118,-0.4280931161508052,0.17864037087759965,0.16716352345886826,0.41293026246137676,0.07621796996897397
OFCpost_L,0.340932411490344,1.0,0.6477472849622418,0.6511734412870566,0.6294250052135743,0.5457152916854286,0.757055955634789,0.5684022175256164,0.7059980666364267,0.2663284170603577,0.15961462196518955,0.31105083371892656,0.02184018687121273,0.12287165268755722,0.7087170922345849,0.6930460010779521,0.4602764742209959,0.7694638338383609,0.2002396030194822,0.2373573606522231,0.7170730278484181,0.49245593945245525,0.6823395161243908,0.7916535997622519,0.6955619045330903,0.6419300522476649,0.4510247345839838,0.5086514704497626,0.4614100128268952,0.4935911136413434,0.5926442350988393,0.49721891027018156,0.7162315522679414,0.6962154127721549,0.4034299743039577,0.16454175955859854,0.6230748953691203,0.5165998480803151,0.7766460823471618,0.7139320854404243,0.016130975596468006,0.5530488936930684,0.5870274349013871,0.7492109509206776,0.7077598212396823,0.37874319156728237,0.6519556485183211,0.6069204865446324,0.6962100863000245,0.16446848565567423,0.5425686322388961,0.2955511434014201,0.061284318245159196,0.44352410512905,0.7231963509425926,0.7711439328709004,0.3308260149381036,0.30678214211409516,0.7146276597604596,0.31332911001238023,0.5451211063895164,0.5276895644874924,0.6024588541954056,0.7598594933955598,0.6933397295016542,0.5047997436721123,0.21890420999644253,0.6382488114681024,0.582348503904992,0.47245826127605134,0.6364706598496322,0.4515683785845616,0.6748021201790493,0.7524418240396945,0.6825648421470786,0.7760711011142464,0.4912733383575101,0.7257018068324181,0.6912795816429127,0.7275853501241503,0.4211115734197504,0.26004912207178577,0.76512965797107,0.6760850762217535,-0.02420149970367665,0.3291261903445249,0.7103416048920916,0.46533424524685735,0.3336657077253636,0.6734828059914786,0.4520485716647745,0.7092176031617534,0.3656585352576001,0.6482486149264931,0.744971958334066,0.49476450516938947,0.5463430114087696,0.366916735178385,0.7341646549683923,0.620477623740503,0.4862629857695223,0.7242732142104457,0.49886664618289894,0.5564947794907363,0.0087716055591013,0.7334863988263373,0.1732431473596015,0.5030876431336879,0.7594636067502818,0.5746645324310095,0.4127762420531176,0.7538165585102671,0.7457968519510128,0.2704403854922168,0.4979704183882475,0.46407475606298854,0.2963213977605713,0.49906092184741063,0.5406975947152004,0.4101511147581987,0.37518079602350546,0.34213189092819923,0.5119444111706888,-0.16665605265812336,0.7625865953034925
SupraMarginal_L,0.5817147797065116,0.6477472849622418,1.0,0.7017803048627556,0.6633514100395941,0.5225455975800878,0.8101562493224103,0.14545261218024835,0.7537583419774184,0.4829985501759888,0.012670707514023076,0.3032754601779685,0.2274179147636603,0.16456842097046676,0.587524996139015,0.2702974254814568,0.7006817746970129,0.6192645425978484,0.3455229922246883,-0.01595976394817372,0.806911223545703,0.39505726879566727,0.6789025935804256,0.8281271692908595,0.5985371820960014,0.5692372002558852,0.4420378318428102,0.2934673021793577,0.7433256925394697,0.44682398421323893,0.6354575685014757,0.26225559942563026,0.7208695048255569,0.5808315924120341,0.6533260020277382,0.06084531843975751,0.4651037054920283,0.5221512333432123,0.6509010772500439,0.7423683756864542,0.20590835985097364,0.4913133177304097,0.4061822246228374,0.7343017640099291,0.538433694316565,0.5824493693639536,0.535426763668349,0.23047265309444417,0.7796152446066117,0.33924653765793183,0.5558315494733629,0.17034834911641325,0.2033489555909539,0.4830026231024964,0.5022862836500009,0.7315907706901792,0.35051656942673043,0.34200804582644306,0.4727053434668211,-0.04890164562799095,0.3965878177179492,0.5616077647989477,0.5693020237429076,0.7779267295818971,0.4053224432856169,0.31059197295025587,0.10572959147987274,0.44025266679965896,0.42603092246249186,0.3131764871912643,0.6900698921275061,0.5080803934120132,0.5111395418033067,0.5367403548929585,0.6541785391157822,0.7171315144504352,0.7374669132071342,0.6800417031540175,0.649602993475876,0.7980722239405383,0.46516609272503506,0.4524214620358331,0.6552748988963932,0.8024728652503753,0.14843095675726747,0.33612121376881426,0.788655727184043,0.3269309173293994,0.42769067488455664,0.5113458868370383,0.6525047572651231,0.8019606600356607,0.08460462741680726,0.6039135220399168,0.643391460966035,0.5132525460406415,0.5545446419609588,0.4781308009247872,0.7873470323752634,0.5402380960067273,0.5290890954190884,0.8126897789566061,0.4720159495510726,0.4396275246453826,-0.15866880498927513,0.6280817347419775,0.3028320957403488,0.2586148816721258,0.6245009258740833,0.30212490870727937,0.633683474965555,0.25448703536644945,0.49640229427308397,0.318607263590724,0.31173181618292284,0.5449294693571484,0.4904054950856247,0.5142187731456833,0.42237766302622315,0.20662684035989226,0.024789236395549304,0.21241008404825445,0.5526970085480563,0.1188072737713228,0.49558501071302213
Postcentral_L,0.22568386760754158,0.6511734412870566,0.7017803048627556,1.0,0.7416306429056618,0.4088393370686422,0.6914901853910812,0.3114851554783249,0.5827742715654334,0.5265140960913653,-0.003027587076362284,-0.056986311076304995,-0.25320649116458405,0.231497947594088,0.4515316731084932,0.48131938483452,0.5718767035390387,0.5844965387547085,-0.04644399070196975,0.3206351788795293,0.6577978770440956,0.08272474725435475,0.7195863967846998,0.8675644393760764,0.6136535044136302,0.3789166252030961,0.07992154948194936,0.3453033025884862,0.6487267063801384,0.05937969977006242,0.7293734129016898,0.37721300148372167,0.6268384310466363,0.5964096671697638,0.39371064894564584,0.16363175246635292,0.38549826272386756,0.32474807035823705,0.530777776397359,0.6175349389986926,0.4436205610280555,0.32113834311305756,0.526301682298018,0.8547428598151937,0.7894679147247654,0.4044393235640362,0.4410922374470093,0.47706579375166586,0.5918897608315199,-0.20051408881300994,0.34062188604965343,0.16268525323208158,0.13146432902790817,0.06760427833895817,0.733105661278267,0.5456531006162545,-0.10006346567500263,0.09846033839630741,0.6838556782402164,0.24803392721337703,0.34818199711205033,0.1841008415955649,0.39007628318282833,0.8415937578407522,0.6311438494334344,0.44213382769721077,-0.175006179203901,0.4612641654159849,0.1643285759430647,0.4766924353087058,0.8233159349898179,0.1610194318299459,0.5468757317047424,0.5226133011816353,0.590427754792687,0.6799882389513141,0.6488471617749881,0.5022362780173335,0.5415334611683156,0.544875295145948,0.36253112814478544,0.3732317543032757,0.6950094899886369,0.9223393122416502,-0.10368987145195874,0.2515284807618705,0.6404915742255185,0.3166017143199467,0.06265019230213344,0.31196599202257796,0.8187018203681661,0.8224095875117475,0.11231528668819268,0.5555505148660241,0.7961118076043745,0.11684062443739729,0.302316009836242,0.8109387668791224,0.7405023951259351,0.5727670009680498,0.33438518750774415,0.8484925969051896,0.35495164580812655,0.3910794253210092,0.0498274299277594,0.47615087941998047,-0.26021247855631596,0.4612824450579211,0.6241428273152648,0.4099137549403216,0.46845343176303045,0.43397370585893885,0.5678636619505015,-0.12155775327387934,0.37045375261152036,0.2370671283869381,0.28616578834382955,0.286972323879398,0.5165399791954586,0.5949599899241408,0.40417397177265274,0.32914946170670367,0.7566337548459275,-0.3104240202381299,0.5023617746669794
Pallidum_L,0.33160271400837776,0.6294250052135743,0.6633514100395941,0.7416306429056618,1.0,0.47466889255132816,0.6740012004405365,0.4437390328135797,0.6838758950769408,0.3757770380706691,0.23521664422871083,0.1767122915276373,-0.03143437338569804,0.14000074955909783,0.6294267861504617,0.2872956151363559,0.6290906445845817,0.7409671694092383,0.10810307670831644,0.25035120854186754,0.6986977809344227,0.3196415814795213,0.7649224629086148,0.7544230192214328,0.5915188257875353,0.6368954670056997,0.33836978833992515,0.4823489909779642,0.5487565154484959,0.2931153707986704,0.6534398110882086,0.35280493048437733,0.7947722406340414,0.6921023700204612,0.3516071521789745,0.015095215766521695,0.5515039148295733,0.48933016051091727,0.6700245312369513,0.746160513796956,0.13182976996057005,0.4754756144438125,0.6255254947427141,0.6813116351755953,0.6247690095310784,0.3738121716491115,0.610942723838405,0.3943303652781966,0.6260224071066711,0.02232814662045954,0.42937309914904426,0.29088864283950927,0.07209802563212107,0.05352052724126772,0.5424117385294475,0.5131393605960212,0.20082303555208586,0.2742363046788271,0.651362717226833,0.19160878088168615,0.5269137273601879,0.4155982505722938,0.506761281509048,0.6949612972793722,0.6885928194775899,0.4146534040911884,-0.24623294789835315,0.5807179658707161,0.42365223094327426,0.5001248597821963,0.6813829192364987,0.3075332578782936,0.6687725129940353,0.5380526524807674,0.5739009860120459,0.6651834337463416,0.6142711258919709,0.6365472900049364,0.6915484196185525,0.6539760695223928,0.4501626585486676,0.2411941916154043,0.7198633498345174,0.8013501936855554,-0.08370336681005802,0.3203515171558181,0.7575313257489407,0.5070834106597487,0.1609134400156549,0.5581013836232184,0.6205821559028252,0.6752892190723229,-0.09542394546457215,0.6535255943519108,0.8137832220170638,0.3821098891753111,0.45942435110099755,0.5697289391144307,0.5615000571502616,0.5238845721249696,0.5295055986492498,0.6707938122685909,0.3340576835434951,0.4380802223904194,0.11929078846144624,0.6410656928069819,0.017493586511586615,0.5287764285576634,0.8177206465773189,0.45360312338756226,0.5416997911375051,0.4713287458942145,0.6538595909754616,0.13608655967567174,0.15602910235449974,0.36686795308851544,0.26624820470390004,0.4442709862135951,0.4193325942127097,0.4434513776825066,0.14057873819528657,0.4074399593253318,0.5396078815828476,-0.24485651178320725,0.637796036128841
Cerebellum_Crus1_R,0.7024857573073967,0.5457152916854286,0.5225455975800878,0.4088393370686422,0.47466889255132816,1.0,0.41820346033183703,0.2081115085718882,0.4943471507628458,-0.12712488787711868,0.23195727882169181,0.8049097851735517,0.34072297455621514,0.07026188309770587,0.6041481372875891,0.21828481297216823,0.5721321583874583,0.45931513457886824,0.4998133562777922,-0.3550773204610572,0.5266481689934218,0.7345782103198144,0.5468554764008784,0.5654929798324934,0.4690202654865295,0.648447124310785,0.8465363729867462,-0.0333939828695588,0.21927901282820003,0.6692659526816325,0.3376498955201094,-0.016041422595384786,0.49231205765932884,0.25373980934865975,0.5817488793674321,-0.468779459945593,0.3147866332442131,0.47157733118538336,0.49468941931677324,0.36369960376405225,-0.2914512476143737,0.5106475476291737,0.15207150785770748,0.46136059951445296,0.44495418652683166,0.6821707266781166,0.34306902179502574,0.24087100243569268,0.6042283683535477,0.5101124112308046,0.27609322040833,0.2956727052514601,0.1332165554862151,0.3709510818617027,0.17490206489603044,0.34416785633523383,0.6523095700858468,0.32463247964440806,0.20375120429740115,-0.2698597212841771,0.4467314713491837,0.7603083163264905,0.785388796040004,0.35976541210464424,0.5068264518152246,0.3257470091977936,-0.16366938092358713,0.7498888634590337,0.5042589498634729,-0.08178741848919709,0.40575073242607973,0.7197336798360415,0.4715580699404065,0.31001181344434225,0.4641724267729444,0.5479018551344909,0.5261922550968795,0.679486248728562,0.48937251269203375,0.6371459732125361,0.18992016857658317,0.20457737703762505,0.4989702384799823,0.5213666857410431,0.3331095630921666,0.8733402939128638,0.5122620254235547,0.1707755562439112,0.738290426901911,0.48573655468398663,0.12455465963273962,0.3540001178379157,-0.017292673463375145,0.4707429265715292,0.4312938126865039,0.467785445008348,0.7142654134661134,0.18695300660106443,0.2279623012105004,0.1373175528868521,0.18540074101210352,0.45021178362275766,-0.001500554460800739,0.9321055263267165,-0.370393237178809,0.6232918568695545,0.45679191428462546,0.28098817790745473,0.4716282596011026,0.7263808962278478,0.2869278586974505,0.42069663556816245,0.40485719170996837,0.67730717469589,0.08706293949107723,0.6704576009714593,0.6104717265823411,0.5899755734716144,-0.17096855758900764,-0.2528465420387397,-0.20708244515919477,0.3755454341481313,0.15693495820356299,-0.039420546291557286,0.3265016649436692
Frontal_Mid_2_L,0.5234738165230858,0.757055955634789,0.8101562493224103,0.6914901853910812,0.6740012004405365,0.41820346033183703,1.0,0.30839907526030863,0.8368492609790165,0.5842469738113188,0.004733958557294588,0.18413005733398224,0.08984028208137003,0.19566240501596352,0.6746042162683089,0.39726983385274434,0.7278912828786742,0.7200571646634679,0.2614026204106307,0.07000871634380645,0.854733995078566,0.4022167911945505,0.7961761289215414,0.813641885282282,0.7241215714819057,0.6865845267304446,0.37691928979616357,0.47639203463178714,0.8267635209392566,0.4351156033267109,0.729179909914926,0.32787815033364204,0.7645286536833603,0.6905827568201602,0.6102005365428597,0.173181598306849,0.5447845596473865,0.5773485366361891,0.7895988868342259,0.8289887376432358,0.2798150391750481,0.5543557029732773,0.5972251384514529,0.8535968576187425,0.5836080976702777,0.5263000997472597,0.5789025705764539,0.3106051846283035,0.7857818169642462,0.24292817056187127,0.5574006124089373,0.31218117675679713,0.042956835670642006,0.5507921675644752,0.648343305789106,0.8091993056302794,0.34289366871125004,0.2536856363640243,0.6451701196271324,0.04891808082615686,0.5715320254360023,0.5218437222745564,0.601924232459948,0.9097125780510636,0.4974881651083637,0.3924613089295029,0.29280172236054985,0.4656543930600449,0.48258484789933687,0.37004207112212223,0.804073348801386,0.5131927234945457,0.65420589255815,0.6117901142865961,0.6402892081493626,0.7672196817159059,0.6952363098654456,0.7382722301464228,0.7070682187698354,0.8182321112116047,0.4139164808660628,0.45336481044273064,0.7647301674621968,0.8057425043964844,0.08019775484633201,0.26324187198244325,0.799944766442571,0.4911414767447193,0.311029182753888,0.629952131405684,0.6948766289239998,0.8725967287798925,0.050489970769089246,0.5919784220924253,0.6400424554071208,0.5359240170192793,0.5218276878875263,0.5352627247410493,0.8339093815169065,0.6000393953196319,0.6739156083468917,0.7763087185393697,0.47800920720877077,0.3517110340301998,-0.11063182719477116,0.7259864624709933,0.21211519060739376,0.38683259658718805,0.6814695467079586,0.30150632288635976,0.6540514133323961,0.3514640539405213,0.645337918544939,0.25035603595496103,0.23056697113513483,0.5411759528028874,0.4540056360820026,0.6279858430987825,0.5566184917132769,0.36685035955123546,0.2092791328144307,0.26545623872263757,0.6797125122639913,0.04516232022751235,0.590803064169921
Thal_LP_R,-0.14693331464716128,0.5684022175256164,0.14545261218024835,0.3114851554783249,0.4437390328135797,0.2081115085718882,0.30839907526030863,1.0,0.3460537252521735,-0.05167021628742834,0.35127783459051765,0.08583830814954072,-0.20336704429447505,-0.16257804877716991,0.48572368053358556,0.5183730792117138,0.0005708084742330513,0.5587974434461356,-0.116896386918065,0.465124985888406,0.2794459727153801,0.31077960612034383,0.378377143981668,0.38372037791707414,0.38411823435131853,0.3848828650867187,0.19226585158819554,0.5001856626242075,0.030999891060951818,0.2716377998697817,0.2015314464544083,0.6071700770726042,0.4540597238877265,0.6352858908129494,-0.06573752503359742,0.18353915473559745,0.5222928533172921,0.3903351954747607,0.49332858949555175,0.36853656454394207,-0.22499491821269957,0.35715245267380696,0.518903482314178,0.33752981211745947,0.47646833140123424,-0.13676898924808453,0.5854955038264363,0.5708921779494897,0.2893328372092369,-0.13556250769772987,0.2431327029240321,0.41078133154742735,-0.17111101576641047,-0.013747110579526356,0.5415624747832498,0.41818818926971324,0.09998515023160585,0.11984759055860576,0.6237031476048075,0.533849831929907,0.4335343290022534,0.2012654393774687,0.35027368157003486,0.2963593011831282,0.6964676946416982,0.5338916152996858,-0.004828477480089714,0.49319061040389384,0.4519387607686321,0.39189565879182986,0.20138076627199483,0.14958542250567008,0.5345094780317698,0.6254581798661858,0.45485575950627055,0.42821051667416027,0.010722754637043327,0.4205296622070312,0.38698048088238357,0.3292944553809262,0.24607101942364526,-0.020297642203043812,0.5585150671574278,0.24572241789168642,-0.15965747534856,0.09229573908985322,0.3432626722792485,0.42938044327093305,0.01937335753848433,0.44417657153649726,0.0994690265113955,0.22204199374386901,0.3418996477491436,0.3985134915469612,0.6115048259876058,0.2528940835022497,0.2614678397582001,0.06537908908075522,0.334380920777849,0.5262059099735632,0.22427477881554317,0.3493692689782572,0.40354392454144616,0.2649118275033666,0.2780689842650619,0.42506061951625973,-0.04632353232166131,0.5892321008484405,0.5940644239837247,0.42226472465484655,0.09469478278176058,0.6645056136445591,0.6119612360263901,0.05193848636863775,0.33290826823882547,0.04351331107892735,-0.21517808727672635,0.26790765887191403,0.4632908251223923,0.47232370777770244,0.41576681683863825,0.38907768743314014,0.135210706135052,-0.29438830734384935,0.7579035643179453
Frontal_Mid_2_R,0.5541388990531413,0.7059980666364267,0.7537583419774184,0.5827742715654334,0.6838758950769408,0.4943471507628458,0.8368492609790165,0.3460537252521735,1.0,0.5032640521234353,0.07893787250347464,0.38730367461283266,0.2694807774395013,0.26723126944886405,0.7276490027813919,0.33748454330799765,0.6033026883510945,0.9071054255472316,0.2628333935970205,0.07622000621573453,0.8632153181103154,0.5931805651935007,0.65899102999395,0.8282222854171124,0.7255170585924307,0.8062779546493075,0.569009533282052,0.4567421408059045,0.6971420392440508,0.666254504385513,0.6797314151631463,0.44799175782643785,0.7971534108051588,0.7205687742115902,0.5584637937008677,0.03195396922792022,0.5485616622866897,0.5771745302085524,0.7661409224195401,0.880664171436193,-0.0354712526531242,0.7842552130013488,0.5493033888470803,0.7014426022635476,0.5025926850782435,0.4743085658099508,0.6616801866982334,0.2529117370488933,0.79150629048733,0.4416593306977163,0.6815195428412347,0.3244311703552899,0.14001085038712016,0.41749626751073343,0.5596221765338127,0.7498949810045831,0.5123039920669747,0.4857113751935627,0.6646815767352798,0.12323542830773361,0.5476586964583887,0.7342317080456723,0.6639307228931287,0.7380843181119134,0.49955860421261133,0.38516889081931677,0.052839813725751805,0.6142462558899071,0.7073163693965261,0.4213953244290941,0.6697704891077639,0.616267671126064,0.6269983827480704,0.6924700321167534,0.7735835208840356,0.8289415637611836,0.4804384915748896,0.8127638993494757,0.6705904678605108,0.8513478087866077,0.4421604308606997,0.3550619117329901,0.7559687038524968,0.695287975811045,0.060605637633692415,0.34748046276891914,0.8336668869019924,0.6051908969811116,0.5035882785691956,0.7935406824446684,0.5083602647126703,0.650361633035772,0.11556417299095968,0.677908643611675,0.6893870428039105,0.7081029175973168,0.6272184918224324,0.24887073164707968,0.6817855214446001,0.4890076489848415,0.8081993680872613,0.7768828388001684,0.47665992219379333,0.43299657046388246,-0.04269182210754561,0.8378977219995482,0.35607396719948403,0.2996763404303201,0.7736840171417719,0.3462933130221436,0.7582988082945789,0.3833785236502355,0.7143155985147045,0.46206004946019713,0.2947918527728398,0.6654129316516235,0.44076952333455993,0.5985144801209752,0.5194975266299063,0.29898913393237747,0.03274721745050223,0.20570761244253394,0.3731055304128533,0.15131777334411872,0.6206694626629721
Postcentral_R,0.18530203000709017,0.2663284170603577,0.4829985501759888,0.5265140960913653,0.3757770380706691,-0.12712488787711868,0.5842469738113188,-0.05167021628742834,0.5032640521234353,1.0,-0.2661658502107157,-0.2753101674438416,0.0932403105026473,0.26439200547343233,0.23119303339076794,0.0714449680314609,0.38936988697841957,0.36817386217980536,-0.051546667393001254,0.17473316012171694,0.5486582818252855,-0.18594902770858315,0.3730288361532745,0.47183659050251403,0.2939380949789,0.16872194543564606,-0.20433826546377679,0.2063446260162734,0.8389923675631705,-0.07050582545485812,0.5543433822664287,0.2725685303597182,0.3426836063884534,0.37831672935274957,0.4836193296186772,0.3813892826345593,0.1715950456790195,0.31760028383555167,0.29974976931732494,0.5391749695399117,0.7598686470661935,0.24282366562801228,0.2765239347412485,0.5366437729842587,0.26070648602276114,0.32024055691974246,0.23479712266205882,0.0748946663353931,0.32607155713557384,-0.0025608625987843447,0.3660699630541936,-0.007885024021931608,0.214013556844763,0.27054221557533326,0.5068985704760204,0.3990293861343584,-0.17743068502722553,-0.0569064889960568,0.412399769046466,0.01256016650870907,0.008215516661342955,0.05126946969961617,0.10729030282731312,0.6700469380921799,0.010050665617955628,0.0240036554235392,0.2504433449083132,-0.13273331655869522,-0.053250223073615245,0.2542782720571201,0.6699776406510926,0.01700859898958032,0.2921204861022942,0.3519840872386968,0.4452879065248041,0.4843287547571902,0.28947346768032106,0.2764155794551764,0.22646888264792678,0.3156670883618325,0.336260888965548,0.48615272149462324,0.20767849608047179,0.4953074196254154,0.006190421631993081,-0.2976756604967476,0.35207529443220076,0.170924445069107,-0.009304510394341504,0.15672110365689576,0.8123366036510257,0.6343267179942798,-0.03439112762269789,0.10339180704344601,0.3060822901717428,0.18769040781379612,0.1492525463423913,0.5212507780784478,0.6491992340338029,0.44759176409625906,0.623758999283999,0.5308633838660637,0.362585911017316,-0.18386655834223373,0.08213219403998202,0.274153901315649,-0.06121591779164705,0.07957850622911229,0.22296181263916134,-0.2700567914617831,0.6776041259929111,-0.09599611927111393,0.20113079133963652,-0.2264152826344028,0.0908934483597767,0.22420510184869902,0.3061788202415135,0.06660956511232746,0.5991512094927868,0.44195705412013075,0.06575496310608617,0.07414374887327436,0.5634175802763831,0.2180299942766424,0.09049694748666202
