,Olfactory_R,Temporal_Inf_R,Occipital_Inf_R,Frontal_Med_Orb_R,Cerebellum_9_L,Temporal_Inf_L,Paracentral_Lobule_L,Frontal_Mid_2_R,Cingulate_Post_L,Temporal_Mid_R,Supp_Motor_Area_R,Vermis_1_2,Frontal_Inf_Orb_2_R,Calcarine_R,Thal_PuI_R,ACC_pre_R,Frontal_Sup_Medial_R,ACC_sub_R,Occipital_Inf_L,Olfactory_L,Thal_LGN_R,Postcentral_R,N_Acc_L,Putamen_L,Cerebellum_8_R,Cerebellum_6_L,Lingual_R,SupraMarginal_L,Thal_PuA_R,Thal_MDm_L,Temporal_Mid_L,Thal_MDm_R,Thal_PuL_R,Cerebellum_Crus1_L,Frontal_Sup_2_L,Cerebellum_10_L,Frontal_Mid_2_L,ACC_sup_L,Occipital_Mid_L,Precentral_L,VTA_R,Rolandic_Oper_L,Thal_MGN_R,Thal_LP_L,Supp_Motor_Area_L,Caudate_R,Heschl_L,Cerebellum_Crus2_L,Vermis_4_5,Angular_R,ACC_pre_L,Amygdala_L,Thal_AV_L,Thal_MDl_R,Vermis_10,Cerebellum_3_R,ACC_sub_L,Temporal_Pole_Mid_L,Pallidum_R,Lingual_L,Frontal_Sup_2_R,Vermis_9,Red_N_R,Thal_IL_R,Thal_MGN_L,OFCmed_R,Cingulate_Mid_R,OFCpost_R,Frontal_Inf_Oper_L,LC_R
Olfactory_R,1.0,0.35254995482639867,-0.006000404584539738,0.3151521333053076,0.13963583339485638,-0.001067345955428391,0.36768111246300883,0.2529117370488933,0.34586542953942023,0.1643296625431014,0.346323092186585,0.15155160329357015,0.6562493010373655,0.007543980128494971,0.07980855386562616,0.5866638702750709,0.323827911708286,0.5351388668541057,-0.25564413855861057,0.6972676701392494,0.24983965096790867,0.0748946663353931,0.41059824353195706,0.5900728345944356,0.2688467976803452,-0.007731328936191389,0.10267471669546956,0.23047265309444417,0.2512738925452418,0.49698391193193336,-0.10785659547985009,0.41664366511079715,0.5230018485132727,-0.1392452178585824,0.40209899387718084,0.20213319671773722,0.3106051846283035,0.4751504035665494,-0.0783062992576507,0.4374706970110888,0.10560047178852106,0.2770540679295595,0.11537291453360941,0.31955816602250176,0.267755336672569,0.442820780939365,0.5880826445083248,-0.11660517265179557,0.3384498099581539,0.0848294262766636,0.6506095637064112,0.14198742724223595,0.3216282459523057,0.39410064301514364,0.4699192850947258,0.22356478315484443,0.4597220849615897,0.03548699204796406,0.3153873923705256,0.029543663743585486,0.45500194248220416,-0.04394580252236898,0.2751987209918382,0.20769356984376589,0.2300052598619371,0.45222579067892854,0.2016975260108532,0.550198336420626,0.4048100789878804,0.3767158817544561
Temporal_Inf_R,0.35254995482639867,1.0,0.560366955435487,-0.08765402228351718,0.6194114636798033,0.29771792865546576,0.38858632658300346,0.6142462558899071,0.5276339470305461,0.8559755045615058,0.6513558836122446,0.46354002033060177,0.6258941701637856,0.5677437675594807,0.5476455482403615,0.3730992589976912,0.20768084131830453,0.11491315843631277,0.20239890566792865,0.2914210389658435,0.19450428510158915,-0.13273331655869522,0.017558897279099313,0.5898892083960938,0.8261619967879085,0.5242081539006123,0.6586550779385673,0.44025266679965896,0.47704903352673833,0.5506725689922325,0.24646266255806973,0.4542050139831336,0.23255330982319963,0.16914664317318717,0.42386248793098175,0.5774652653989907,0.4656543930600449,0.5052156116829468,0.45868316453810537,0.6110339167861524,0.20746402598819869,0.38107698954907104,0.18057343912552104,0.44900559041438276,0.49862989321886886,0.6679329588885237,0.4828457535183156,-0.05422919207803784,0.6507614886960124,0.4978170349761668,0.2796690908892101,0.1978622718611221,0.2701140280201465,0.3166019952146308,-0.12305552260651503,0.7452997788824322,0.15362896931110695,-0.31271693363795244,0.5471499689754993,0.6255738939486459,0.5419529264744257,0.5288528610554656,0.6501727804777274,0.3973737564214269,0.4631258148049836,0.10982306329187119,0.3436491209500855,0.6988606222718807,0.4893277484443949,0.5867106709173081
Occipital_Inf_R,-0.006000404584539738,0.560366955435487,1.0,-0.5054962591318373,0.8253395204135744,0.5363751174936772,0.0646963428526895,0.38730367461283266,0.27705932124144805,0.7837220755960079,0.42041611703357895,0.2366339230050444,0.23331708353055527,0.7324189823439279,0.8087228091737977,-0.1541920908872027,-0.24706656895409707,-0.5436838807595185,0.8063825388740735,0.04856534540262969,0.3417044564948084,-0.2753101674438416,0.09103676989525782,0.11014739476401184,0.8024828339690737,0.8412947874325585,0.8604145836048734,0.3032754601779685,0.4677581583183389,0.300635570240916,0.6352730545613856,0.20411104710611638,-0.1099114004208291,0.7599439074796641,0.02227972264483821,0.5838809642930953,0.18413005733398224,0.3209558806826386,0.7288315510337585,0.24819116229331592,-0.05092989152091907,0.1990098833471081,0.3820371520446582,0.47690253257922394,0.24087912059397643,0.26850248833350643,0.061593604278396566,0.47609233547361873,0.5370110531102973,0.32386957651265597,-0.17836011852983133,0.408721653232209,-0.16707964587196747,-0.33911214893055946,-0.7126383866510788,0.5819509403764342,-0.497720151090956,-0.014613350820565382,0.30894328239368796,0.8590202454620263,0.10196366532953828,0.9190343625815316,0.17742136885535104,0.049596681000206956,0.3471246219563214,-0.05999557168723448,0.1838480673875145,0.3490550261860715,0.15600939423674093,0.10127536529232432
Frontal_Med_Orb_R,0.3151521333053076,-0.08765402228351718,-0.5054962591318373,1.0,-0.35505117854769747,-0.2136115461494405,0.20500963751009652,-0.0006126855085299418,0.15045155064868015,-0.26380337744929266,0.0612294412892616,0.0698921790584812,0.28855958059893466,-0.30645845250719544,-0.2478859882084524,0.4678182313195799,0.503358978751868,0.6768456451350379,-0.48005947764779894,0.29151404295237715,0.023744367220215053,0.1604918190751658,0.1408488755485965,0.21037163943054038,-0.3246615113415713,-0.35559079321377346,-0.3731425677148031,0.010232996662379808,-0.1478165110797302,0.105026805352782,-0.22303150236836358,0.10780754003343511,0.23559349729740348,-0.3842714477790381,0.35734765172451427,-0.20619619866482225,0.2143707286513462,-0.03308951048097327,-0.32027696150102647,0.18890386236307902,-0.019253593912224434,0.2892013849310483,-0.10860116909288058,-0.13285044759771952,0.14360530608157998,0.12835863592924499,0.24884683598180968,-0.16538543454759502,-0.08026688369515261,-0.011837434924310754,0.5137789380141519,0.022561799741244785,0.26935273127629444,0.3383768501683049,0.4948056556878289,-0.19256217826072072,0.4971660993667122,0.1956047066247587,0.14243795222802394,-0.35711395039544747,0.33202663276993116,-0.4619936467935709,0.13538934131457042,0.015929340131400325,0.08684048095793336,0.19480371256209592,-0.06399347960628658,0.2595739461384523,0.18620110274550505,0.12930024759718856
Cerebellum_9_L,0.13963583339485638,0.6194114636798033,0.8253395204135744,-0.35505117854769747,1.0,0.7840485817917549,0.24782646925683954,0.666254504385513,0.4494526461751476,0.7147712124601228,0.676614856080819,0.5454269895225532,0.3309077012317167,0.7750313567406316,0.8572307234915585,0.13401209629570043,-0.1816837433250142,-0.30396522388996833,0.7787382789568361,0.3365359460264862,0.43927920126445535,-0.07050582545485812,0.25583020864340905,0.3053472476602905,0.8108634439097366,0.8922785858185976,0.9417153310185132,0.44682398421323893,0.612127272773112,0.4581946349864414,0.7642004726357121,0.43324330547227285,0.2234647236409839,0.7611559922411795,0.23574839984340035,0.7743293855968378,0.4351156033267109,0.6346239286483015,0.6499916164569063,0.469702875092583,0.10095622988432311,0.4651318328697127,0.2749790374274166,0.7005618212420363,0.484470906620736,0.4437710528587987,0.1618912491976212,0.3785947188781386,0.7003993323887057,0.30034728179006037,0.01311299102787796,0.5784503409754099,0.16913652034427915,-4.1796458860730646e-05,-0.4486153122082602,0.8411182435520195,-0.28297496087371554,0.17188306917126844,0.5086471601730638,0.9338858021817905,0.2618154207264227,0.9089504337402683,0.5181832632453673,0.24312394396835552,0.5276145179503777,0.1045181278444885,0.4832335127753824,0.3565382201230346,0.4049111669991759,0.2729415678507173
Temporal_Inf_L,-0.001067345955428391,0.29771792865546576,0.5363751174936772,-0.2136115461494405,0.7840485817917549,1.0,0.38107680933963106,0.5727480377393241,0.41559125075939685,0.4442736699890059,0.5628707806225259,0.6397347088471288,0.06312307408308926,0.7135485673229728,0.734877456486872,0.07179453810945431,-0.05432852355739834,-0.2144118205315387,0.7499477575507388,0.2608330698638702,0.3572380430630218,0.11008814990217249,0.2524648569031742,0.07870647213031852,0.4558263951914218,0.8486310694378357,0.7480336157916897,0.37511548488887886,0.5168685192998587,0.4265989722244659,0.8422357293312699,0.4386017667472529,0.03546514662818961,0.772198097806734,0.27155113492330996,0.6395416197912356,0.4740500284870326,0.40126805422349376,0.6223789813772157,0.2952776479526289,0.09950138500575421,0.4460467388789778,0.09581277759188153,0.5951698775095159,0.4972340586444266,0.3294362845008564,-0.06044581038377388,0.38885942152512987,0.6710783297367503,0.2852743007769571,-0.06927716888424769,0.6753168620034378,0.32656396004352223,0.0029423670078208633,-0.3644071185594528,0.6659210171841793,-0.2709381550271043,0.46325840386637945,0.4911202011397238,0.769566280901274,0.24812683345930553,0.6933459530804356,0.44561731614800676,0.12775185988795276,0.4831007888158654,0.0031282785757802945,0.3534283526555466,0.12457244861363417,0.2338715677615437,-0.006409471610198156
Paracentral_Lobule_L,0.36768111246300883,0.38858632658300346,0.0646963428526895,0.20500963751009652,0.24782646925683954,0.38107680933963106,1.0,0.6797314151631463,0.6281533997561347,0.36383160017581145,0.7126695303690022,0.5613087834460274,0.4574220256596538,0.39628017114413466,0.3369048145903372,0.548716438704401,0.6073711708367581,0.26568346079617466,0.028637764878591015,0.3561528543492677,0.3003293498423894,0.5543433822664287,0.39610720638842517,0.5888269344023116,0.29654414131329654,0.22979727186025245,0.34850697165211186,0.6354575685014757,0.36541249189658237,0.6418082819095575,0.32344000791272853,0.3985390206241563,0.22466274022889107,0.05268936571443038,0.7827134417117404,0.4767226555585965,0.729179909914926,0.501238330341903,0.4295355310387561,0.7552816810251769,0.33017732525365373,0.5677920794476736,-0.05126510389782166,0.40567919851859313,0.8409058560456358,0.6665969247991925,0.4944850951175538,-0.013835634153681437,0.5785345925946082,0.5848849110030683,0.298569778231789,0.19624579558068192,0.41480736494860865,0.38105944635366057,0.29102100291737326,0.31662497879409013,0.19031925910564695,0.03506643138559874,0.7349927766436044,0.24716601796815557,0.7768591366499807,0.15651905812354214,0.4599688169382901,0.12484833305740108,0.4099622509651646,0.04747979709806378,0.539191597918596,0.4444584159646032,0.6769765179943571,0.18182203393265362
Frontal_Mid_2_R,0.2529117370488933,0.6142462558899071,0.38730367461283266,-0.0006126855085299418,0.666254504385513,0.5727480377393241,0.6797314151631463,1.0,0.6705904678605108,0.6228607278833339,0.9223851976787738,0.7475797610155062,0.49955860421261133,0.6654129316516235,0.616267671126064,0.5596221765338127,0.3731055304128533,0.03274721745050223,0.3681616827980139,0.466861275737436,0.3244311703552899,0.5032640521234353,0.3550619117329901,0.6893870428039105,0.6139507668354279,0.5123039920669747,0.7342317080456723,0.7537583419774184,0.5771745302085524,0.6269983827480704,0.5858847367939253,0.5485616622866897,0.44799175782643785,0.35607396719948403,0.7380843181119134,0.7842552130013488,0.8368492609790165,0.7735835208840356,0.5541388990531413,0.8282222854171124,0.26723126944886405,0.7153954798324957,0.15119866595431258,0.5395662526775189,0.8725756034793752,0.7736840171417719,0.5025926850782435,0.060605637633692415,0.7276490027813919,0.6033026883510945,0.30654400010305183,0.30441327727475387,0.4567421408059045,0.4213953244290941,0.06726478697674627,0.7073163693965261,0.13444452678458432,0.052839813725751805,0.7971534108051588,0.664201035701157,0.7014426022635476,0.5207789513168254,0.7392906786920267,0.4421604308606997,0.5476586964583887,0.11556417299095968,0.7663911989004675,0.4307220685972853,0.7768828388001684,0.38516889081931677
Cingulate_Post_L,0.34586542953942023,0.5276339470305461,0.27705932124144805,0.15045155064868015,0.4494526461751476,0.41559125075939685,0.6281533997561347,0.6705904678605108,1.0,0.47488571344957253,0.6726640279475327,0.6448978219430325,0.6312592706858554,0.4524324767491114,0.4496544756338506,0.5303436941189902,0.4928175793457543,0.1794238178918241,0.1725024798704783,0.3993559414365958,0.32266666662744997,0.22646888264792678,0.24677474959372472,0.6224303206444298,0.4028297122619867,0.40700076253117773,0.514380569019761,0.649602993475876,0.3849715075679308,0.5717842248707345,0.4745542620996127,0.5416368961349015,0.2582671003094808,0.2308956662146149,0.684561769839414,0.40579555102213744,0.7070682187698354,0.5567641224944606,0.39822829044690605,0.7254010297511723,0.19987809745405336,0.67964921808768,0.15001887041042433,0.34575189011871205,0.695597413563456,0.7182425565394658,0.5485892584892073,0.019994520692744815,0.6390539437798262,0.6502361433641055,0.43288256581691875,0.25907770571446875,0.5703555628520754,0.45878780870614844,0.11997224587834752,0.5206632364451279,0.2837569682799726,0.060895564808772944,0.8206793864181428,0.47022608956791573,0.6241133716596643,0.3382309767004465,0.577692097229618,0.34315926511808587,0.6414993003789644,0.06390813757532039,0.6046300076116922,0.49763960698879744,0.5863817012061671,0.4002503092149413
Temporal_Mid_R,0.1643296625431014,0.8559755045615058,0.7837220755960079,-0.26380337744929266,0.7147712124601228,0.4442736699890059,0.36383160017581145,0.6228607278833339,0.47488571344957253,1.0,0.6410063966697037,0.4407579098528456,0.49602542631953284,0.7588654513644597,0.7608929090197827,0.15435625177605453,0.16497961136116052,-0.22126583882198841,0.502094627877113,0.1646649211926887,0.24714830284646463,-0.06996999611911306,0.08840485428525917,0.4439545971689116,0.8436370049047296,0.7218103853700113,0.8243402065530657,0.4903585196214275,0.5420454446781746,0.5221080150748175,0.5238716973512624,0.4113172470376809,-0.028173464762969277,0.4452618937286466,0.3902026858427932,0.6513115021547122,0.5011756421011971,0.40129930397759866,0.7453094354484058,0.5383599273378242,0.03572180013170856,0.4165106413596745,0.3630964601686709,0.39127035683051176,0.5136737116014873,0.5882258107952163,0.3748382525846143,0.22528468900273727,0.707420749179553,0.6386710705602031,0.06075139787392739,0.26062518684263264,0.12187520014401113,0.015582469202606515,-0.4222402985304238,0.6889700418850595,-0.1590923131951664,-0.19276968098112668,0.5554370633341451,0.7980908076507992,0.4983537697925661,0.7297428878523252,0.48710526041167107,0.3019446428121819,0.5221938293756347,-0.08819394169888134,0.32726106817514095,0.627522671300689,0.42196498992135434,0.39893178777187444
