,SN_pr_R,Temporal_Inf_R,Amygdala_R,Olfactory_L,Frontal_Sup_2_R,Thal_MGN_R,Raphe_M,SN_pc_R,Thal_MGN_L,Putamen_L,Thal_LP_L,Vermis_6,Angular_L,Vermis_3,Pallidum_L,Thal_PuI_L,Supp_Motor_Area_R,OFCpost_L,Precuneus_R,Thal_Re_L,Thal_IL_L,Frontal_Inf_Oper_L,Occipital_Mid_R,Temporal_Mid_R,Thal_AV_L,Temporal_Mid_L,ACC_sup_L,OFCmed_L,Cingulate_Mid_R,Cingulate_Mid_L,Cuneus_L,Cerebellum_Crus2_L,Cerebellum_3_L,Cerebellum_4_5_L,Occipital_Inf_R,VTA_L,Cingulate_Post_L,Thal_MDl_R,Thal_AV_R,LC_L,Cerebellum_3_R,Vermis_4_5,Thal_PuM_L,Occipital_Sup_L,Thal_VL_L,Cerebellum_4_5_R,Frontal_Mid_2_L,Fusiform_R,N_Acc_R,Parietal_Sup_R,Insula_L,Lingual_L,Temporal_Pole_Sup_L,Precentral_L,Postcentral_L
SN_pr_R,1.0,0.3571780910095511,-0.18087403390510526,0.4808112499876747,0.5866760968877347,0.09035113724664705,0.08320885972786621,0.4483174458294012,0.5472194367707602,0.6433851450057717,0.22642196474270906,0.037572680226518475,0.34638689091217345,0.580056682405096,0.6255254947427141,0.5442340831211251,0.5327055065558883,0.5870274349013871,0.5290644144776709,0.24275597788086536,0.20486782403463039,0.5073980259897218,0.044562389577624366,0.24584101821666232,0.72087481054401,0.1871567808683435,0.41940021378130676,0.44674342220537056,0.39742729172512237,0.6057678536464778,0.027950715972603016,-0.17497838610238572,0.6974838373940804,0.5549278779075858,-0.07734932534950348,-0.09240346428772075,0.5940311177941213,0.5845609252830472,0.5682002101501584,0.3879190498954775,0.37249923637668325,0.588694438976991,0.32377567970997706,0.06990227200530334,0.7211058820089126,0.5624970396921716,0.5972251384514529,0.4538678907425948,0.36082063625254757,0.061022063602987335,0.4716220463851226,0.1729202572201489,0.1282709605197422,0.5866205898097886,0.526301682298018
Temporal_Inf_R,0.3571780910095511,1.0,0.33501509327208967,0.2914210389658435,0.5419529264744257,0.18057343912552104,0.5355018385322352,0.6372792545223497,0.4631258148049836,0.5898892083960938,0.44900559041438276,0.5166917978807606,0.40000664055576673,0.6018663086655434,0.5807179658707161,0.5726144803294546,0.6513558836122446,0.6382488114681024,0.41563079064895747,-0.1633366948937901,-0.04812322623742276,0.4893277484443949,0.5727357906038796,0.8559755045615058,0.2701140280201465,0.24646266255806973,0.5052156116829468,0.5614809051954073,0.3436491209500855,0.561654000481596,0.4252331327139496,-0.05422919207803784,0.625030406495673,0.6821916511547371,0.560366955435487,0.18475950611924433,0.5276339470305461,0.3166019952146308,0.6265305275604118,0.04089043379796975,0.7452997788824322,0.6507614886960124,0.7041783390140579,0.41850176733221645,0.5305985730376392,0.7098100194226145,0.4656543930600449,0.8595498142441966,0.17878162408861367,-0.3863689159896661,0.5146303259134307,0.6255738939486459,0.11665814246011885,0.6110339167861524,0.4612641654159849
Amygdala_R,-0.18087403390510526,0.33501509327208967,1.0,-0.016709763351829533,0.23731756592629774,0.2717348255235019,0.2938083305876261,0.20298721616422508,0.15999773890567753,-0.04718695097628458,0.4310501927449462,0.6067866178669002,0.28703062179923683,0.2550073479506576,0.10810307670831644,0.09853745757448837,0.33223953885961005,0.2002396030194822,0.164541078294267,-0.513506746960417,0.14382379453260188,0.11331783547645638,0.6356397618125174,0.5367095816268228,-0.2700411857851962,0.5655911881687877,0.1396996958816131,-0.05469852473040268,0.06515444476636305,0.16032626254539722,0.5098670894131525,0.4191735592806275,0.04366697438175326,0.4247319796510316,0.6611689227784662,0.2651491802182753,0.14922461199712703,-0.30741943872826133,0.13155530431885654,-0.4795971032238536,0.3844109315803868,0.3775352737486791,0.549253826202226,0.615111210536093,-0.041627953534572555,0.3733930890372596,0.2614026204106307,0.46113743803391083,0.09008506371601198,-0.15653810108200242,0.3635117063602457,0.6322958765657585,0.5393744536677652,0.14329450577920932,-0.04644399070196975
Olfactory_L,0.4808112499876747,0.2914210389658435,-0.016709763351829533,1.0,0.46369610774464,0.10080012385388532,0.0673138671830827,0.47068835496127176,0.3954827864272415,0.5379822084658724,0.3491890724121266,0.07378852907079653,0.16045952547892192,0.5712190205558506,0.3340973942363487,0.48959657827643366,0.516143917553988,0.6463024942846207,0.3751480741596998,0.12374638971992652,0.40801770872552057,0.5159115306236437,-0.018642042667001764,0.1646649211926887,0.45886077929204044,0.21423732881885035,0.5907152654953316,0.5774859891867508,0.40504961521088945,0.40966013695664294,0.008354526889986927,0.027797254335965912,0.5453047675874323,0.480524113890455,0.04856534540262969,0.10653593694577045,0.3993559414365958,0.39655710093835717,0.3437317723504965,0.26535437117649097,0.37922322259493274,0.49162002414771755,0.33053310088114307,0.12699566144215715,0.5861840473470882,0.48265350926730466,0.4990444021329718,0.3627677000322392,0.30645566150072995,0.05167671041238864,0.46759746741161184,0.250451360290674,0.3007508593806341,0.5002660406475098,0.39188162581747893
Frontal_Sup_2_R,0.5866760968877347,0.5419529264744257,0.23731756592629774,0.46369610774464,1.0,0.11170229550533863,0.15657855947258495,0.7340518051166877,0.4044175651866278,0.7134524774849803,0.3987602672065579,0.11341915368424922,0.6796274803600514,0.5927544914422481,0.6813116351755953,0.6727333185715154,0.7943130836926587,0.7492109509206776,0.8992890241186683,-0.14565595047346103,0.317706477017451,0.8027565320498484,0.4243185892053843,0.4983537697925661,0.3599508714572583,0.3276138622050965,0.6007104733955264,0.378478742809691,0.5653827812115211,0.6636819170438584,0.4561955474368875,0.013608128984785204,0.6630074287697901,0.7066403615463865,0.10196366532953828,0.27879200992162584,0.6241133716596643,0.4028214534744293,0.577359356067342,0.19680044483362538,0.3850001517851901,0.6609032736297393,0.596084268181934,0.5819413268860898,0.5536848287824296,0.6820356629189044,0.8535968576187425,0.5900731133432727,0.32171707230493873,0.39504751077495076,0.7662307588203229,0.3346130605106808,0.39249687580463966,0.8489927201640496,0.8547428598151937
Thal_MGN_R,0.09035113724664705,0.18057343912552104,0.2717348255235019,0.10080012385388532,0.11170229550533863,1.0,-0.10952459022022219,0.21476663273530192,0.33992626263987125,0.2748290696121985,-0.012348045149247469,0.30852652568521394,0.14613451888323967,0.3357122188352189,0.3588516133618384,0.10828598240330865,0.12919065760020368,0.1753782083065152,0.135127455856816,-0.10122236414977588,0.17113156751030445,0.19384295264629764,0.2815279184379116,0.3630964601686709,0.01562130727201675,0.29418472341147234,0.18482469878003913,0.13321460024416704,0.15391949576738598,0.14892748438329645,-0.08691584298148095,0.47280186443150446,0.05860141780883831,0.3241138220922515,0.3820371520446582,-0.26914548503981495,0.15001887041042433,-0.1560862923485039,0.12302360913073743,-0.21682497145640406,0.13368027283904657,0.3654115901655349,0.3732478981682713,0.2897800843317274,0.21780318453720815,0.2419897611884503,0.13824702164720382,0.29336973989463183,0.4549814700593537,-0.09528261520059836,0.32211016757696703,0.3931161346344064,0.2316185568011453,0.17695432477540124,0.11691827392903219
Raphe_M,0.08320885972786621,0.5355018385322352,0.2938083305876261,0.0673138671830827,0.15657855947258495,-0.10952459022022219,1.0,0.28380095290498714,0.1381378457012424,0.27382129601649635,0.33468423159486477,0.3535609871138103,0.1835772465708337,0.3541967484838916,0.2742363046788271,0.2485119969514617,0.4399143530637985,0.30678214211409516,0.05607786388954185,-0.03558282275123455,-0.021852357313706095,0.25044189426093993,0.30588963171272165,0.4353602655184082,0.1509004360848661,0.22015547802877092,0.3110873773614833,0.2432597643861219,0.30694417201895385,0.4018026636946254,0.2755606135828136,-0.2433192037982411,0.3525333092337964,0.3044273417338208,0.37771554377119915,0.36459268471900924,0.29394650247874266,0.30762918868289596,0.4172244139873243,0.09666357288483605,0.5886021554124325,0.22117976612134274,0.27673487850942874,0.14184013458841307,0.27353405816961823,0.38190904848733054,0.2536856363640243,0.43410186243961035,-0.1963849015746764,-0.39244079385496705,0.2652016901896229,0.41897247997401577,0.04574645471534229,0.3141937483594993,0.09846033839630741
SN_pc_R,0.4483174458294012,0.6372792545223497,0.20298721616422508,0.47068835496127176,0.7340518051166877,0.21476663273530192,0.28380095290498714,1.0,0.5439215504659451,0.7018274387002482,0.35921961799927477,0.24193923104092013,0.5719149618466732,0.6093870994835979,0.6470594526527758,0.6538433776258556,0.688861107447996,0.7236745060534863,0.6539258433055093,-0.1396345437309379,0.27843594173731134,0.6788186245539466,0.3807473508447671,0.5694896644851544,0.36864111566183205,0.32095210889373754,0.6092953302958873,0.4980009818638016,0.5627025507093266,0.6657854296035218,0.3682555622088733,0.03647782565732144,0.6919794958239576,0.6868555981811292,0.295009416672186,0.3840537776516836,0.6646744146934458,0.4186590530865704,0.6103758434122079,0.15508925680822797,0.49121080923166766,0.6403439760940893,0.5907874952757185,0.4451574509279814,0.6034904163632212,0.6682871960876536,0.6482940850698593,0.6593967742399202,0.2709933494120188,0.05123691269678749,0.6227256565076668,0.44252309094031106,0.3186029296504243,0.7560112524848086,0.6708079224815031
Thal_MGN_L,0.5472194367707602,0.4631258148049836,0.15999773890567753,0.3954827864272415,0.4044175651866278,0.33992626263987125,0.1381378457012424,0.5439215504659451,1.0,0.4750302323781706,0.25109280248355953,0.36299638318289745,0.4234316731818335,0.5824501711955761,0.5269137273601879,0.6462432400480141,0.5176182323695636,0.5451211063895164,0.41980569353531294,0.0669598669567331,0.2888077379776373,0.45503465905373797,0.35983666593811714,0.5221938293756347,0.5645022777025042,0.5346203414850423,0.40946637051928664,0.4420015725606598,0.4481715278138153,0.6515243026603712,0.1178855581636693,0.15938136574817158,0.61824661083553,0.657529316488579,0.3471246219563214,0.08113203719052456,0.6414993003789644,0.28113451026292174,0.5440131449414247,-0.0039139229722667075,0.4830282313486619,0.6604113640196093,0.4635189320259338,0.2802868218095257,0.5839532424750394,0.6452758739165767,0.5715320254360023,0.6386596611912616,0.23465278276598167,-0.244377278838272,0.5169040714669157,0.5175141273022843,0.34004630984796763,0.5107168129208064,0.34818199711205033
Putamen_L,0.6433851450057717,0.5898892083960938,-0.04718695097628458,0.5379822084658724,0.7134524774849803,0.2748290696121985,0.27382129601649635,0.7018274387002482,0.4750302323781706,1.0,0.27693492811908405,0.07184599532292218,0.4721760718943294,0.6503876711544357,0.8137832220170638,0.638167110164436,0.6887757902870844,0.744971958334066,0.6257516216510162,0.18310366533044012,0.2575159478758763,0.8074421656453981,0.17474814488114837,0.4439545971689116,0.5171950576369536,0.12813452305669615,0.7201199580267706,0.6213272428461726,0.6442555607819063,0.721365971100904,0.07286956139241865,-0.1482843857707128,0.7518471210462654,0.6067505502946959,0.11014739476401184,0.05633458547490076,0.6224303206444298,0.6204912025703964,0.7186984360447537,0.4596342379198234,0.4462630050936398,0.5777425067870188,0.4671501774424246,0.20745114992086477,0.8060860052303546,0.6063464418413256,0.6400424554071208,0.5580218050629985,0.4273159327134204,0.06661666481448092,0.6567094742004097,0.2820371691346377,0.04091922918733669,0.8374621861458336,0.7961118076043745
