,Precuneus_R,Frontal_Sup_Medial_L,Temporal_Sup_L,Putamen_L,Thal_VL_R,Temporal_Mid_L,Insula_R,Thal_PuI_R,SupraMarginal_R,Thal_LP_R,Vermis_4_5,Calcarine_R,Cerebellum_7b_L,Raphe_D,Olfactory_L,Frontal_Med_Orb_R,Heschl_L,Temporal_Inf_R,Lingual_L,Cerebellum_Crus2_L,ParaHippocampal_R,Thal_VA_L,Thal_MDm_R,Calcarine_L,Cerebellum_9_R,Thal_PuA_L,Frontal_Inf_Tri_R,Occipital_Mid_L,Thal_IL_L,Vermis_7,Cingulate_Post_R,Thal_LP_L,Paracentral_Lobule_L,Postcentral_R,Hippocampus_L,OFCpost_R,Cerebellum_8_L,Temporal_Inf_L,Precuneus_L,OFCmed_L,Cerebellum_7b_R,ACC_sub_L,ACC_sup_R,Temporal_Pole_Mid_R,Thal_MGN_L,Postcentral_L,Frontal_Sup_Medial_R,N_Acc_L,Cerebellum_Crus1_R,Thal_VA_R,SN_pc_L,Parietal_Inf_L,OFClat_R,Hippocampus_R,OFCant_R,ACC_sub_R,Cerebellum_8_R,Angular_R,Insula_L,ACC_pre_R,Occipital_Inf_R,Thal_MDm_L,Temporal_Mid_R,Thal_IL_R,Thal_PuM_R,Amygdala_R,Thal_VPL_R,Temporal_Pole_Sup_L,VTA_R,Thal_AV_R,Parietal_Sup_R,Rectus_R,Thal_PuL_L,Heschl_R,Occipital_Sup_L,ACC_sup_L,Frontal_Sup_2_L,OFCant_L,Thal_Re_L,Amygdala_L
Precuneus_R,1.0,0.8388816028932732,0.5412753411616809,0.6257516216510162,0.5736946777580805,0.3485872316019603,0.6237525686901382,0.38371934198010893,0.5916704854789928,0.20138076627199483,0.6733324617841666,0.5501616802609796,-0.08777798472910396,0.49055690009044894,0.3751480741596998,0.17836803738639345,0.627873003303523,0.41563079064895747,0.3137048233572435,0.060772142969204954,0.6581531712319598,0.0006869551475506146,0.4688731954743118,0.5446122742976516,0.21057827213990174,0.5235418425504547,0.5661385008885211,0.5050775177687373,0.34457534606543566,0.07016116163988713,0.5182974333394472,0.26109672609426116,0.7812322514367219,0.6699776406510926,0.4904232988218766,0.5396015358431053,0.060938631953253566,0.26064325869693306,0.8320371273101235,0.27485577915601667,0.2526535706227349,0.2595967783671521,0.7007231138080009,-0.031033890610357582,0.41980569353531294,0.8233159349898179,0.7672833744446843,0.4235850646438659,0.40575073242607973,0.31329928946834934,0.6182174678475497,0.8701882810989867,-0.13110640022171896,0.435222716830277,0.1208867125691027,0.192784621156002,0.30310070936464834,0.7165302327000588,0.71588577023583,0.6721185935945747,0.07535445358189591,0.6275888661348847,0.4640932169984833,0.4077669350103286,0.6177315002090455,0.164541078294267,0.43047739837495635,0.3358656551169738,0.2458668726968694,0.4707734852875528,0.5415947211126855,0.2122092163938695,0.5702275711732121,0.654458793255572,0.6687727218158301,0.5600680187628694,0.8836433280915914,0.4328303224110649,-0.10423259542553164,0.16584656100179082
Frontal_Sup_Medial_L,0.8388816028932732,1.0,0.7220092390813886,0.6377552438972395,0.6229414054723417,0.3806775780251726,0.6976597823999133,0.31433990483309876,0.5458882905761373,0.22204199374386901,0.5400805027619395,0.388362826350743,-0.13641887311429715,0.4363357240196923,0.42387457022998937,0.3528411782970544,0.649523831252483,0.34847464906579734,0.2464893326824916,0.04470638732044332,0.6097007581836612,0.07459457146934137,0.46012636487421127,0.3928961606881588,0.1653822479535867,0.5144092132717344,0.5734296356048355,0.3641458077549831,0.4700043296636772,0.12697368796585287,0.5547420159334191,0.34356720351257164,0.7368818128043295,0.6343267179942798,0.5830898291388359,0.6131103046206591,0.029711052223703918,0.21989887050892998,0.7828792032305077,0.30604575572828124,0.1615048384237895,0.37689072709808746,0.707290435572565,-0.05200355595350642,0.40075957410692703,0.8224095875117475,0.8870728255284748,0.4783266267834714,0.3540001178379157,0.3284135406525846,0.6362851747583937,0.8392647727314443,-0.023474689580472555,0.468516269341523,0.2139723415001891,0.3125844315069468,0.22227004905739503,0.7031329927145054,0.791388977669206,0.7297988426791565,-0.003459707041563786,0.5767881019174339,0.3314027799718057,0.40488413073197543,0.5341414248805453,0.1818633605807021,0.4510426715550687,0.47127985001264505,0.20986268191063379,0.5348987837794988,0.4911912964276171,0.2733236778210402,0.5522716787437537,0.7088137416448211,0.4888525467276937,0.5693853818124259,0.9629656868770496,0.522488606371803,-0.06717709527438841,0.2819722451230602
Temporal_Sup_L,0.5412753411616809,0.7220092390813886,1.0,0.43299145631410024,0.631018805842617,0.7640212449568583,0.7730832064100469,0.5389356163609862,0.3293933896173006,0.1883346822819948,0.5869954479857225,0.4722094523828106,0.21901589067161814,0.48144039733109645,0.44300614883488115,0.18064215588091304,0.4284972041777426,0.20658308931066613,0.5051331794056122,0.2954763639315525,0.45779752517522415,0.010560800613269354,0.5215950052309334,0.4741762790141538,0.41515592103851867,0.501674813890365,0.5304898510139953,0.4480758747521715,0.5672747364138084,-0.03927550640325413,0.5410332787129242,0.42442889242097087,0.5098990809483144,0.38237375157007586,0.7623041891610376,0.36809193743763363,0.3917273059118544,0.5911242531697323,0.6228832051185016,0.21272160153696218,0.1608547995856689,0.11665500545636158,0.5343709050551154,0.1917322635886977,0.623801822399434,0.43099780330871984,0.4445992513494517,0.40781419502177074,0.32501626791863675,0.32967263865808677,0.5594983290181785,0.4818247284182603,0.04395442211608098,0.22698340068226985,0.10186099996835911,0.10000217944119202,0.2217665434069666,0.525879553934178,0.7424328119532825,0.45450441157094135,0.22113535313860735,0.47967267631143035,0.2992436381598457,0.2786323370472029,0.5797446031114574,0.21464014368918985,0.5389463933621117,0.7106059465352222,0.041548330036026954,0.5033357301580844,0.10641268630629812,0.15106084455565583,0.5175390408667117,0.7240011566953541,0.3820786443197503,0.5622409361753123,0.6837248447843526,0.41930489228205264,-0.08118102669748954,0.5299696441697992
Putamen_L,0.6257516216510162,0.6377552438972395,0.43299145631410024,1.0,0.8072859256304248,0.12813452305669615,0.6108266831390639,0.2483471284349581,0.4175463024426237,0.6115048259876058,0.5777425067870188,0.25789746658734475,-0.2745292396083766,0.46529012741806286,0.5379822084658724,0.21037163943054038,0.7992407868497526,0.5898892083960938,0.2820371691346377,-0.1482843857707128,0.7868284448034438,0.46865354069791426,0.6074496519874829,0.4132153794612751,0.29110555980149894,0.5767174053222213,0.7742195315973641,0.15703366853513268,0.2575159478758763,-0.0323656486500524,0.6837992863944132,0.27693492811908405,0.5888269344023116,0.3060822901717428,0.6209775111482058,0.5671992973663981,-0.09147106993294794,0.07870647213031852,0.6609824799381864,0.6213272428461726,0.2382738048957857,0.4690593697604319,0.7234672869645948,-0.15834036498147105,0.4750302323781706,0.7961118076043745,0.48651897730901245,0.2760561642430656,0.4312938126865039,0.5269032648982864,0.6131965835763602,0.7536537929249033,0.16552361568084434,0.6087162809560118,0.5323410211680588,0.352765908040045,0.46395792649929085,0.40481557588668776,0.6567094742004097,0.7360130981670217,0.11014739476401184,0.6672575026046103,0.4439545971689116,0.43182436627935056,0.5247664657200056,-0.04718695097628458,0.665912687680145,0.04091922918733669,0.0896213630034166,0.7186984360447537,0.06661666481448092,0.48149682030822455,0.2554986763379649,0.6065059937516944,0.20745114992086477,0.7201199580267706,0.6886610342603129,0.7250016898359536,0.18310366533044012,-0.01930611142827577
Thal_VL_R,0.5736946777580805,0.6229414054723417,0.631018805842617,0.8072859256304248,1.0,0.309275800772813,0.6498736777212142,0.3024465605842081,0.37924989791364855,0.6352858908129494,0.6413615314027535,0.28764801580991933,-0.09973595244831694,0.5214367192928527,0.6460444085962725,0.2507867059467838,0.6009238811103093,0.44972078779363195,0.34213280158640885,-0.09188761023777545,0.8302793944684494,0.4894809014862624,0.694084912222557,0.40816266090308057,0.3551472097692751,0.5957104958597992,0.7830342786880463,0.15871920371443113,0.4127063337887305,0.012119596031147761,0.6820494340901961,0.35608078905843826,0.6119506204323639,0.37831672935274957,0.7634185986234676,0.4108334354943325,0.035749197759703144,0.33415501759211785,0.6494345037518721,0.5132488449715583,0.060803942684511524,0.41607056855621644,0.6530688148830299,-0.04742769494341349,0.6024466149053118,0.5964096671697638,0.3906094666768084,0.30622809274854923,0.25373980934865975,0.5991485642169072,0.698770555965068,0.5891045422814439,0.15580044950074176,0.6411263663062436,0.48548523880679784,0.33836151357664657,0.3180925314258183,0.36514349818702485,0.6711223051182832,0.682395580888666,0.0709551802953577,0.7165483891923228,0.30973339733404226,0.4232221576427845,0.5296910346099473,-0.058537142347543106,0.7283998276492503,0.2489885782892483,0.14013272550373124,0.6822004811447967,0.03581645316082041,0.3948123080422221,0.22689348326105913,0.6054538761564826,0.1423470320704136,0.7196395299682715,0.6659472450814576,0.6962563043072078,0.20455976788938138,0.20858427498289425
Temporal_Mid_L,0.3485872316019603,0.3806775780251726,0.7640212449568583,0.12813452305669615,0.309275800772813,1.0,0.7578237647410788,0.8123005676051557,0.35192732857216563,-0.07067098500268748,0.6224798257342915,0.7705954796108057,0.5001034851068656,0.47610294928688157,0.21423732881885035,-0.22303150236836358,0.06544951504507358,0.24646266255806973,0.8154327814332113,0.5690704325167066,0.11865399031653125,-0.4076602247686715,0.3923718295065817,0.6686594249731977,0.6796933446465134,0.4366702141226885,0.37784826891210055,0.7872712036385069,0.4568683230038469,-0.34538452363894195,0.3275011784286537,0.48887826181764027,0.32344000791272853,0.18232547212412015,0.585515462840938,0.21995567420902798,0.8378625471839899,0.8422357293312699,0.4336402305813036,0.0021916917667314166,0.4175290508805327,-0.32858267478478376,0.40735362114438484,0.5665098671950419,0.5346203414850423,0.07631008080631002,0.06898087356017063,0.35429315350578866,0.49236032744959674,0.20356370907836335,0.38728839251443453,0.25306332985528524,0.05723390576575383,-0.3090290211132381,-0.36399765297776204,-0.36324366161752025,0.46266237070966826,0.4824680180725569,0.6440348039099074,0.05440232288824723,0.6352730545613856,0.35679675116838055,0.5238716973512624,0.21235427058442344,0.7035347337347349,0.5655911881687877,0.38235645904476184,0.8168573218469652,0.011965652128085365,0.33972797797502974,-0.16905354339627343,-0.07238881446409981,0.6690728248095544,0.6435482789874908,0.6207726755961738,0.4200224337670275,0.3778145010205905,0.008989081692614646,-0.3480371765848118,0.6308161340018109
Insula_R,0.6237525686901382,0.6976597823999133,0.7730832064100469,0.6108266831390639,0.6498736777212142,0.7578237647410788,1.0,0.7806247636333635,0.6243610902002183,0.3292944553809262,0.7839951914789801,0.7491726571466393,0.12527218098128617,0.581798570079392,0.46897653632612907,0.00944644184635643,0.4788668138570393,0.6256769555192965,0.7839859005108403,0.32310963724260994,0.5401412916402424,-0.12019394442609764,0.5628877759921787,0.7334097996534836,0.7125541991384712,0.6845798751593737,0.7683171236304486,0.6796102369912319,0.4454491779984016,-0.2120750864409463,0.6085353839169003,0.5625364727361526,0.5752644532758647,0.3156670883618325,0.7622081334628,0.6349144504755946,0.5704489824526242,0.6178449141041223,0.7126517477670428,0.3829776669114113,0.5167929878481742,0.036748888254452466,0.7906377698081969,0.3096052699128132,0.6328983840315362,0.544875295145948,0.42194605083823855,0.4243678775517306,0.6371459732125361,0.4794591827478239,0.641608798183328,0.6575079048518035,0.26277410308163013,0.05937265465127001,-0.004942765676648932,-0.04608773290115647,0.65870478633498,0.6626464844692987,0.930119827251543,0.47650112608930195,0.5484187771542595,0.6274065520460516,0.7185515148345406,0.42450068177703704,0.8424130008036644,0.48676537499542516,0.6727971524453722,0.6178327622381733,0.101054009936932,0.6608403784407818,-0.09621245674042493,0.16898935071321822,0.6848689818069016,0.8923142114608448,0.6089582597662374,0.6887222017471485,0.7287443379473101,0.352281829924191,-0.21251278156828152,0.4761168005583933
Thal_PuI_R,0.38371934198010893,0.31433990483309876,0.5389356163609862,0.2483471284349581,0.3024465605842081,0.8123005676051557,0.7806247636333635,1.0,0.3912336391706442,0.14958542250567008,0.7342599559177281,0.8429117880658069,0.24900172435484386,0.4157010801432548,0.24347220509407907,-0.2478859882084524,0.16959564217293105,0.5476455482403615,0.8978931560636418,0.5462468635549759,0.2146287426954264,-0.38946378277526994,0.36927644172653495,0.7818106642896775,0.8664395725973434,0.6212114702074669,0.4864851729219977,0.801848470433228,0.18411066463390538,-0.4484321438124277,0.3730858449578274,0.5996680899906608,0.3369048145903372,0.01700859898958032,0.5967344082591283,0.45554898698734153,0.796242684117112,0.734877456486872,0.5231017657562745,0.19492168261935763,0.655118002926699,-0.3936541195867692,0.5424588656417993,0.5148066260581333,0.5065485928806401,0.1610194318299459,0.05979388717287899,0.34034954386290545,0.7197336798360415,0.30480871301861107,0.336217518333557,0.32022014578123087,0.14487586369912728,-0.3546594673261819,-0.25011783712914765,-0.36382690400307577,0.7427376744952143,0.47937221237078276,0.6578749289175091,0.11916977081928104,0.8087228091737977,0.49227449468990014,0.7608929090197827,0.11123961506951684,0.8285540387979666,0.6069830950775927,0.3899511729087439,0.6514125006674918,-0.04129286889456384,0.38793916576794774,-0.3319802152262603,-0.06625666153274105,0.690545626746466,0.6897245007137088,0.6825092127111615,0.47925686878556306,0.35962035924592,0.04332160352928354,-0.43618655036301573,0.5634592005876164
SupraMarginal_R,0.5916704854789928,0.5458882905761373,0.3293933896173006,0.4175463024426237,0.37924989791364855,0.35192732857216563,0.6243610902002183,0.3912336391706442,1.0,0.09469478278176058,0.44774943275627016,0.5406083813951166,0.20033863488609718,0.5693183203826521,0.22665706552032214,-0.09512760028859513,0.2666325027720457,0.42357587704797206,0.4448254290120078,-0.003953484611486717,0.39557839875508244,-0.16354438828298937,0.2876226700819318,0.4770511226595218,0.3094055046472266,0.3583955575603213,0.6315024276430936,0.4890813653023131,0.29454568755170035,-0.0323671292938494,0.22175286296125302,0.3298285961516899,0.48498324905033524,0.6776041259929111,0.32462090671973776,0.2894801150006103,0.3341646859641057,0.29951186569866906,0.43403692915377945,0.07716295274423718,0.19404068539890648,0.05801466197107225,0.6960238733177638,0.2673845987525724,0.1288030758320867,0.46845343176303045,0.4181183671397495,0.3337106157921426,0.2869278586974505,0.36349650725025484,0.48405580662167763,0.5939407941925258,0.058425608768131784,0.10885889783794829,-0.14160276072331207,-0.11112508777593898,0.4276887517147006,0.6171576651935939,0.7054071558753358,0.37864442899980294,0.2107316855444337,0.39244833511228866,0.48853076985152777,0.49086275228025905,0.5047616864695917,0.3149206952485527,0.4463949158472353,0.27109394903863,0.2462416996890698,0.3721895913677392,0.25981059516375093,0.12227497844914811,0.5954854313305205,0.6185001245104654,0.4947034259343571,0.5044559041100473,0.6280840787571854,0.10604537541468352,-0.11202095538442894,0.09852761570378123
Thal_LP_R,0.20138076627199483,0.22204199374386901,0.1883346822819948,0.6115048259876058,0.6352858908129494,-0.07067098500268748,0.3292944553809262,0.14958542250567008,0.09469478278176058,1.0,0.48572368053358556,0.04351331107892735,-0.29438830734384935,0.2431327029240321,0.5563090083914862,0.22360055748170587,0.47646833140123424,0.49319061040389384,0.20021558777792303,-0.15965747534856,0.6237031476048075,0.533849831929907,0.5222928533172921,0.2614678397582001,0.31077960612034383,0.4139026505295178,0.5587974434461356,-0.14693331464716128,0.0006544186712710689,0.039262272352117454,0.4856517488351855,0.2341016843635411,0.2015314464544083,-0.05167021628742834,0.5685810982605999,0.42098011035615923,-0.13556250769772987,0.07205988635946957,0.378377143981668,0.6645056136445591,0.09229573908985322,0.4150322651640723,0.42821051667416027,-0.20336704429447505,0.4335343290022534,0.3114851554783249,0.135210706135052,-0.020297642203043812,0.2081115085718882,0.42938044327093305,0.4678284919378565,0.24572241789168642,0.35127783459051765,0.47232370777770244,0.6160013024798727,0.41576681683863825,0.32299759146437873,0.0005708084742330513,0.2794459727153801,0.5415624747832498,0.08583830814954072,0.5345094780317698,0.2747818434588471,0.24607101942364526,0.29596380562491426,-0.116896386918065,0.5854955038264363,-0.013747110579526356,-0.16257804877716991,0.3985134915469612,-0.22499491821269957,0.33290826823882547,-0.06573752503359742,0.2893328372092369,-0.13676898924808453,0.45485575950627055,0.2963593011831282,0.5619995162619694,0.2780689842650619,0.10218501569493388
