,Thal_MDl_L,Occipital_Mid_L,Temporal_Inf_L,Occipital_Sup_L,Temporal_Mid_R,Caudate_L,ACC_sup_L,OFCpost_L,Temporal_Pole_Sup_R,Temporal_Sup_L,SN_pr_L,OFClat_L,Thal_MDm_L,Postcentral_R,Olfactory_R,SupraMarginal_L,Frontal_Mid_2_R,Frontal_Sup_Medial_L,Thal_PuI_L,VTA_R,Temporal_Inf_R,Cerebellum_8_L,Rolandic_Oper_L,ACC_sup_R,Precentral_R
Thal_MDl_L,1.0,0.43475699131487217,0.5372712055603543,0.4154791585286649,0.5686349616057905,0.7868224741527058,0.6583291546790899,0.7766460823471618,0.42212760226032486,0.6770677337417,0.4382455967668503,0.08780060053642366,0.7332559025392115,0.29974976931732494,0.3023582775725011,0.6509010772500439,0.7661409224195401,0.6827816704314494,0.7441873020366175,0.05364230523074047,0.5888756371858904,0.3261308238015666,0.7328055388146602,0.7321155416475554,0.5017221719087599
Occipital_Mid_L,0.43475699131487217,1.0,0.6223789813772157,0.9117447476855471,0.7453094354484058,0.37070943319670796,0.31741379142387166,0.340932411490344,0.35894651521445026,0.4480758747521715,0.0285209159508971,-0.4581034379536546,0.4151507798559397,0.18530203000709017,-0.0783062992576507,0.5817147797065116,0.5541388990531413,0.3641458077549831,0.35900001257147773,0.11214969661040904,0.45868316453810537,0.762029241590291,0.4256105018869086,0.446526659527042,0.3396457448498101
Temporal_Inf_L,0.5372712055603543,0.6223789813772157,1.0,0.43661540328011533,0.4442736699890059,0.5616056045180514,0.40126805422349376,0.35176895484995646,0.04269534491281216,0.5911242531697323,0.11893435383156874,-0.031749747415267475,0.4265989722244659,0.11008814990217249,-0.001067345955428391,0.37511548488887886,0.5727480377393241,0.21989887050892998,0.39632050100804617,0.09950138500575421,0.29771792865546576,0.785564576350397,0.4460467388789778,0.37092154423734414,0.431845047580436
Occipital_Sup_L,0.4154791585286649,0.9117447476855471,0.43661540328011533,1.0,0.673592938744763,0.34922073715054097,0.3354682369186347,0.37874319156728237,0.40462909327165847,0.3820786443197503,0.0875525435332478,-0.4108995807854253,0.44334629126315056,0.32024055691974246,0.036581178844085724,0.5824493693639536,0.4743085658099508,0.4888525467276937,0.3779368221971773,0.17292658884157094,0.41850176733221645,0.5739735658534945,0.4271935523835683,0.5001784941972927,0.3562796782420304
Temporal_Mid_R,0.5686349616057905,0.7453094354484058,0.4442736699890059,0.673592938744763,1.0,0.38713902604837197,0.40129930397759866,0.5538503887070308,0.7524717823621173,0.2992436381598457,0.27993059052824276,-0.5948794651411001,0.5221080150748175,-0.06996999611911306,0.1643296625431014,0.4903585196214275,0.6228607278833339,0.3314027799718057,0.5349046259717717,0.03572180013170856,0.8559755045615058,0.5180907554133121,0.4165106413596745,0.580461861858495,0.11067768918461784
Caudate_L,0.7868224741527058,0.37070943319670796,0.5616056045180514,0.34922073715054097,0.38713902604837197,1.0,0.7505051499365367,0.7711439328709004,0.1907686673010123,0.8441493879750543,0.36787887743912956,0.30812685117912103,0.5979870091231945,0.3990293861343584,0.371938109117235,0.7315907706901792,0.7498949810045831,0.7213016085370171,0.7494916384263551,0.12678806148581337,0.41172583538335783,0.32301582969830844,0.8825952924011995,0.7263977483712755,0.5992735331222182
ACC_sup_L,0.6583291546790899,0.31741379142387166,0.40126805422349376,0.3354682369186347,0.40129930397759866,0.7505051499365367,1.0,0.6825648421470786,0.2836839983702378,0.5622409361753123,0.34431133715091067,0.18436258807273098,0.5971633359316365,0.4452879065248041,0.4751504035665494,0.6541785391157822,0.7735835208840356,0.5693853818124259,0.6836925365274744,0.27712836298948484,0.5052156116829468,0.31435278410509215,0.6394484424289222,0.8829904619395571,0.625348800350285
OFCpost_L,0.7766460823471618,0.340932411490344,0.35176895484995646,0.37874319156728237,0.5538503887070308,0.7711439328709004,0.6825648421470786,1.0,0.5746645324310095,0.6062559643468969,0.5030876431336879,0.16454175955859854,0.6748021201790493,0.2663284170603577,0.6069204865446324,0.6477472849622418,0.7059980666364267,0.7092176031617534,0.6955619045330903,0.12287165268755722,0.6382488114681024,0.16446848565567423,0.7319581681925649,0.7760711011142464,0.4099757508063086
Temporal_Pole_Sup_R,0.42212760226032486,0.35894651521445026,0.04269534491281216,0.40462909327165847,0.7524717823621173,0.1907686673010123,0.2836839983702378,0.5746645324310095,1.0,-0.007679007342109793,0.3436104978361197,-0.48801857616422634,0.4289325604876276,-0.2700567914617831,0.4364695729681588,0.30212490870727937,0.3462933130221436,0.2781411349323022,0.3594808764525278,0.08927063584992365,0.8480279590610347,0.11076981701150872,0.22989820436991726,0.5241338239243155,-0.21382393781928588
Temporal_Sup_L,0.6770677337417,0.4480758747521715,0.5911242531697323,0.3820786443197503,0.2992436381598457,0.8441493879750543,0.5622409361753123,0.6062559643468969,-0.007679007342109793,1.0,0.2831683262894869,0.3308872182942525,0.47967267631143035,0.38237375157007586,0.16316471664738794,0.7213988819179344,0.6399550461386649,0.7220092390813886,0.6485050929406264,0.041548330036026954,0.20658308931066613,0.3917273059118544,0.86960083628279,0.5343709050551154,0.5881496277797273
SN_pr_L,0.4382455967668503,0.0285209159508971,0.11893435383156874,0.0875525435332478,0.27993059052824276,0.36787887743912956,0.34431133715091067,0.5030876431336879,0.3436104978361197,0.2831683262894869,1.0,0.15643443491249612,0.5936603285338773,0.07957850622911229,0.6566840328696537,0.2586148816721258,0.2996763404303201,0.41428244043999435,0.34194994394272915,-0.24871310473022612,0.2972771105242558,-0.1315924291176276,0.33751390696357536,0.3714180291284146,0.0935957334369935
OFClat_L,0.08780060053642366,-0.4581034379536546,-0.031749747415267475,-0.4108995807854253,-0.5948794651411001,0.30812685117912103,0.18436258807273098,0.16454175955859854,-0.48801857616422634,0.3308872182942525,0.15643443491249612,1.0,0.053789976412841445,0.3813892826345593,0.2805649997361655,0.06084531843975751,0.03195396922792022,0.252698379789075,0.07767836288113072,-0.018649392519282562,-0.4461148976537526,-0.30999114988575494,0.23696952449048797,-0.019526162949692064,0.3739191832606337
Thal_MDm_L,0.7332559025392115,0.4151507798559397,0.4265989722244659,0.44334629126315056,0.5221080150748175,0.5979870091231945,0.5971633359316365,0.6748021201790493,0.4289325604876276,0.47967267631143035,0.5936603285338773,0.053789976412841445,1.0,0.2921204861022942,0.49698391193193336,0.5111395418033067,0.6269983827480704,0.5767881019174339,0.6030938113614642,0.0168102189570053,0.5506725689922325,0.1777319322348728,0.5253677715557326,0.6514737212107092,0.4149511941139342
Postcentral_R,0.29974976931732494,0.18530203000709017,0.11008814990217249,0.32024055691974246,-0.06996999611911306,0.3990293861343584,0.4452879065248041,0.2663284170603577,-0.2700567914617831,0.38237375157007586,0.07957850622911229,0.3813892826345593,0.2921204861022942,1.0,0.0748946663353931,0.4829985501759888,0.5032640521234353,0.6343267179942798,0.2939380949789,0.26439200547343233,-0.13273331655869522,-0.0025608625987843447,0.45027766567244215,0.4843287547571902,0.8933012381822112
Olfactory_R,0.3023582775725011,-0.0783062992576507,-0.001067345955428391,0.036581178844085724,0.1643296625431014,0.371938109117235,0.4751504035665494,0.6069204865446324,0.4364695729681588,0.16316471664738794,0.6566840328696537,0.2805649997361655,0.49698391193193336,0.0748946663353931,1.0,0.23047265309444417,0.2529117370488933,0.36941534357620154,0.33105735405958514,0.10560047178852106,0.35254995482639867,-0.1886915484347513,0.2770540679295595,0.4673540546568585,0.06736486661174923
SupraMarginal_L,0.6509010772500439,0.5817147797065116,0.37511548488887886,0.5824493693639536,0.4903585196214275,0.7315907706901792,0.6541785391157822,0.6477472849622418,0.30212490870727937,0.7213988819179344,0.2586148816721258,0.06084531843975751,0.5111395418033067,0.4829985501759888,0.23047265309444417,1.0,0.7537583419774184,0.8019606600356607,0.5985371820960014,0.16456842097046676,0.44025266679965896,0.33924653765793183,0.7571736740888539,0.7171315144504352,0.5945954729061502
Frontal_Mid_2_R,0.7661409224195401,0.5541388990531413,0.5727480377393241,0.4743085658099508,0.6228607278833339,0.7498949810045831,0.7735835208840356,0.7059980666364267,0.3462933130221436,0.6399550461386649,0.2996763404303201,0.03195396922792022,0.6269983827480704,0.5032640521234353,0.2529117370488933,0.7537583419774184,1.0,0.650361633035772,0.7255170585924307,0.26723126944886405,0.6142462558899071,0.4416593306977163,0.7153954798324957,0.8289415637611836,0.7271020329321591
Frontal_Sup_Medial_L,0.6827816704314494,0.3641458077549831,0.21989887050892998,0.4888525467276937,0.3314027799718057,0.7213016085370171,0.5693853818124259,0.7092176031617534,0.2781411349323022,0.7220092390813886,0.41428244043999435,0.252698379789075,0.5767881019174339,0.6343267179942798,0.36941534357620154,0.8019606600356607,0.650361633035772,1.0,0.6441385708598504,0.20986268191063379,0.34847464906579734,0.029711052223703918,0.8173923381644843,0.707290435572565,0.6350281651156102
Thal_PuI_L,0.7441873020366175,0.35900001257147773,0.39632050100804617,0.3779368221971773,0.5349046259717717,0.7494916384263551,0.6836925365274744,0.6955619045330903,0.3594808764525278,0.6485050929406264,0.34194994394272915,0.07767836288113072,0.6030938113614642,0.2939380949789,0.33105735405958514,0.5985371820960014,0.7255170585924307,0.6441385708598504,1.0,0.21091791640320112,0.5726144803294546,0.18022030183471208,0.7112932619733118,0.7065974138934324,0.4557935036901385
VTA_R,0.05364230523074047,0.11214969661040904,0.09950138500575421,0.17292658884157094,0.03572180013170856,0.12678806148581337,0.27712836298948484,0.12287165268755722,0.08927063584992365,0.041548330036026954,-0.24871310473022612,-0.018649392519282562,0.0168102189570053,0.26439200547343233,0.10560047178852106,0.16456842097046676,0.26723126944886405,0.20986268191063379,0.21091791640320112,1.0,0.20746402598819869,0.05385531825645463,0.10929213473962546,0.27903505696124137,0.2828119261782567
Temporal_Inf_R,0.5888756371858904,0.45868316453810537,0.29771792865546576,0.41850176733221645,0.8559755045615058,0.41172583538335783,0.5052156116829468,0.6382488114681024,0.8480279590610347,0.20658308931066613,0.2972771105242558,-0.4461148976537526,0.5506725689922325,-0.13273331655869522,0.35254995482639867,0.44025266679965896,0.6142462558899071,0.34847464906579734,0.5726144803294546,0.20746402598819869,1.0,0.2751557610658093,0.38107698954907104,0.6550539426998812,0.04872926410061914
Cerebellum_8_L,0.3261308238015666,0.762029241590291,0.785564576350397,0.5739735658534945,0.5180907554133121,0.32301582969830844,0.31435278410509215,0.16446848565567423,0.11076981701150872,0.3917273059118544,-0.1315924291176276,-0.30999114988575494,0.1777319322348728,-0.0025608625987843447,-0.1886915484347513,0.33924653765793183,0.4416593306977163,0.029711052223703918,0.18022030183471208,0.05385531825645463,0.2751557610658093,1.0,0.29843637525073546,0.29800146522332277,0.3000802839481037
Rolandic_Oper_L,0.7328055388146602,0.4256105018869086,0.4460467388789778,0.4271935523835683,0.4165106413596745,0.8825952924011995,0.6394484424289222,0.7319581681925649,0.22989820436991726,0.86960083628279,0.33751390696357536,0.23696952449048797,0.5253677715557326,0.45027766567244215,0.2770540679295595,0.7571736740888539,0.7153954798324957,0.8173923381644843,0.7112932619733118,0.10929213473962546,0.38107698954907104,0.29843637525073546,1.0,0.7027971282902008,0.6023847935413149
ACC_sup_R,0.7321155416475554,0.446526659527042,0.37092154423734414,0.5001784941972927,0.580461861858495,0.7263977483712755,0.8829904619395571,0.7760711011142464,0.5241338239243155,0.5343709050551154,0.3714180291284146,-0.019526162949692064,0.6514737212107092,0.4843287547571902,0.4673540546568585,0.7171315144504352,0.8289415637611836,0.707290435572565,0.7065974138934324,0.27903505696124137,0.6550539426998812,0.29800146522332277,0.7027971282902008,1.0,0.6027091824181413
Precentral_R,0.5017221719087599,0.3396457448498101,0.431845047580436,0.3562796782420304,0.11067768918461784,0.5992735331222182,0.625348800350285,0.4099757508063086,-0.21382393781928588,0.5881496277797273,0.0935957334369935,0.3739191832606337,0.4149511941139342,0.8933012381822112,0.06736486661174923,0.5945954729061502,0.7271020329321591,0.6350281651156102,0.4557935036901385,0.2828119261782567,0.04872926410061914,0.3000802839481037,0.6023847935413149,0.6027091824181413,1.0
