,LC_R,Vermis_1_2,SN_pr_R,Cerebellum_Crus2_R,Occipital_Sup_R,Cerebellum_3_L,Calcarine_L,Postcentral_R,Parietal_Inf_R,Raphe_D,Caudate_L,Temporal_Inf_R,Thal_MGN_L,Thal_VA_L,Frontal_Mid_2_L,Amygdala_R,Frontal_Med_Orb_R,Thal_VPL_R,Supp_Motor_Area_L,Cerebellum_7b_R,SN_pc_R,Cerebellum_6_R,Vermis_7,Thal_PuM_R,Thal_LP_L,Heschl_L,Cerebellum_9_R,Rectus_L,Thal_MDm_R,Occipital_Mid_L
LC_R,1.0,0.3140852838670264,0.3508169373805558,0.38570633524265524,0.15318911430476873,0.6316377862591971,0.3127591555330336,0.0240036554235392,0.2118070139200811,0.43906917485352864,0.4542532653313289,0.5867106709173081,0.3143950158000228,0.2798997942974819,0.3924613089295029,0.019452913668136947,0.12930024759718856,0.5502106906173873,0.33380994710926115,0.30055821721725456,0.5259794798800396,0.24598663837993964,-0.054071999883380996,0.4097086787066938,0.24742416935165176,0.5355041379991171,0.30385596466787124,0.5244012291032463,0.4193749393022814,-0.0032387371368521028
Vermis_1_2,0.3140852838670264,1.0,0.5431240287497174,0.2009684991784874,0.47340272242978176,0.6920419921524061,0.5236943153872547,0.3619492196172964,0.5004873865867174,0.6683965709836542,0.6741564598763263,0.46354002033060177,0.5431977390622929,0.1339573745906879,0.6828838201570022,0.17451659525758761,0.0698921790584812,0.5804148794935676,0.676783233617933,0.1486254515795364,0.51369090938432,0.4459583615768055,-0.13976547767083972,0.5760970780315566,0.37362138268025274,0.31193237775595567,0.5077562719278854,0.33028141538138867,0.569852766380117,0.41859253733723134
SN_pr_R,0.3508169373805558,0.5431240287497174,1.0,0.10558189793026053,0.2234551963911788,0.6974838373940804,0.22660824989866787,0.2765239347412485,0.40499356225768995,0.35048572262505606,0.5847005087599558,0.3571780910095511,0.5472194367707602,0.4799292454960266,0.5972251384514529,-0.18087403390510526,0.33848655415098594,0.4643285614022607,0.6020756168027933,-0.021133421404411875,0.4483174458294012,0.10216529299538099,0.10483555722699422,0.38589771100834913,0.22642196474270906,0.48885857241980235,0.2388780680736848,0.34584385193661743,0.6653786490956402,0.07811979464155898
Cerebellum_Crus2_R,0.38570633524265524,0.2009684991784874,0.10558189793026053,1.0,0.6357573152285795,0.42701877328325416,0.6376967387477387,-0.18386655834223373,0.13729091171488472,0.24688599501368888,0.28729295455822285,0.769235441948841,0.3386722547566852,-0.2075982095328991,0.3517110340301998,0.516966028555009,-0.243687206479218,0.3201573301850163,0.3841408903323268,0.8345626096707801,0.5565031725124278,0.7957045360719635,-0.5423591221864462,0.6905711481250971,0.4803637576733211,0.45685329227665883,0.7062901146022165,0.2621227334377936,0.2795789048112489,0.587324882403589
Occipital_Sup_R,0.15318911430476873,0.47340272242978176,0.2234551963911788,0.6357573152285795,1.0,0.32179328463282586,0.747276184279445,0.25148575640353915,0.5362742292643179,0.4315333709648139,0.4145736538817056,0.5826627441488689,0.4199657155143683,-0.45390632588312146,0.623357974531338,0.5733686155123864,-0.21617329078746653,0.2820363656062725,0.6200976423443444,0.6722842110109697,0.5149939101033891,0.710807209589506,-0.3137563062922128,0.7680163545164419,0.3576100739515003,0.272648585942842,0.6120053474416431,0.07165674623288452,0.34344096730016843,0.9127200771669921
Cerebellum_3_L,0.6316377862591971,0.6920419921524061,0.6974838373940804,0.42701877328325416,0.32179328463282586,1.0,0.4810297235658461,0.20113079133963652,0.39864879710378726,0.5892921861509268,0.7441028895175205,0.625030406495673,0.61824661083553,0.4292514926914701,0.645337918544939,0.04366697438175326,0.13118154775990065,0.6718806906453987,0.661731334771405,0.25052707774370864,0.6919794958239576,0.4072324769333428,-0.16894136085472639,0.6480251687560208,0.48594834039525686,0.6728398069577256,0.5418032310953955,0.5826327359599963,0.6406940004208554,0.16631205559061835
Calcarine_L,0.3127591555330336,0.5236943153872547,0.22660824989866787,0.6376967387477387,0.747276184279445,0.4810297235658461,1.0,0.1492525463423913,0.3768715273917446,0.5747657845512542,0.5553794236322985,0.618942557531161,0.47284135491120804,-0.32802672909382663,0.5218276878875263,0.5352073702641381,-0.26577259754215027,0.5565011518930644,0.4852991837922044,0.5892525265891522,0.5451009828337451,0.7777286838264528,-0.36547273357345617,0.8672368271097071,0.3621772987148492,0.3587288083667717,0.7136492772426175,0.15287587023383734,0.5138644657905044,0.7504208469116768
Postcentral_R,0.0240036554235392,0.3619492196172964,0.2765239347412485,-0.18386655834223373,0.25148575640353915,0.20113079133963652,0.1492525463423913,1.0,0.8389923675631705,0.3660699630541936,0.3990293861343584,-0.13273331655869522,0.008215516661342955,0.01256016650870907,0.5842469738113188,-0.051546667393001254,0.1604918190751658,0.23479712266205882,0.5648755719660405,-0.2976756604967476,0.23534610731226807,-0.20433826546377679,0.2695014963545127,0.16072777018526807,0.13612984222912383,0.26070648602276114,-0.18594902770858315,0.0714449680314609,0.1715950456790195,0.18530203000709017
Parietal_Inf_R,0.2118070139200811,0.5004873865867174,0.40499356225768995,0.13729091171488472,0.5362742292643179,0.39864879710378726,0.3768715273917446,0.8389923675631705,1.0,0.4548636027674567,0.6140592033142472,0.16398628184242395,0.2822233772504586,-0.07933858332842225,0.8267635209392566,0.16565683363882533,0.13839602023520794,0.3844825950962566,0.7573271031490495,0.04637714528403322,0.4531867367709281,0.12085497984951543,0.12738161706919626,0.45801059517560583,0.33935940879218474,0.44138452117846544,0.12767990315596542,0.1808797432072058,0.34300719922131623,0.43489092074755775
Raphe_D,0.43906917485352864,0.6683965709836542,0.35048572262505606,0.24688599501368888,0.4315333709648139,0.5892921861509268,0.5747657845512542,0.3660699630541936,0.4548636027674567,1.0,0.6432540906302859,0.47116186759367884,0.32595181310695215,0.0813356181534845,0.5574006124089373,0.17913733955692415,-0.15385389707220978,0.6062891734803646,0.6101871727344177,0.16857969405924117,0.4555577599875969,0.4277174419610894,-0.1450176565922969,0.5918759491219285,0.3155671863615252,0.3448108642555327,0.4371514920646379,0.35972607466038664,0.5498778154826413,0.4025734528708805
