,SN_pc_R,OFCant_L,Vermis_10,Cerebellum_10_L,Calcarine_R,Fusiform_L,Olfactory_L,Lingual_L,Thal_Re_L,Temporal_Sup_R,Supp_Motor_Area_R,Frontal_Mid_2_R,Thal_IL_L,ACC_sup_L,ACC_sup_R,SN_pr_R,Thal_VL_L,Thal_PuA_R,Parietal_Sup_R,Frontal_Sup_Medial_L,Temporal_Pole_Sup_R,Temporal_Sup_L,Vermis_4_5,Cerebellum_6_R,Insula_L,Thal_LGN_R,OFClat_L,SupraMarginal_R,Thal_PuM_R,N_Acc_R,Angular_R,Cerebellum_7b_R,Thal_MGN_R,Thal_MDm_R,Thal_PuA_L,Cerebellum_Crus2_L,Parietal_Sup_L,Cingulate_Mid_L,Thal_LP_R,LC_R,Thal_VA_L,Vermis_8,Cingulate_Post_R,Thal_MDl_L,Thal_MDl_R
SN_pc_R,1.0,0.5252867303079518,0.16996767509348593,0.4695588269253125,0.4671665002283157,0.40638932529744026,0.47068835496127176,0.44252309094031106,-0.1396345437309379,0.5436723463789025,0.688861107447996,0.6196504669467829,0.27843594173731134,0.6092953302958873,0.6703235233407676,0.4483174458294012,0.6034904163632212,0.44085014754589813,0.05123691269678749,0.6431813493541326,0.5535147573846317,0.47898016026495877,0.6403439760940893,0.43365862383246606,0.6227256565076668,0.21816608443876198,-0.025647467391008746,0.353380340092462,0.6323292738875462,0.2709933494120188,0.5326911986120274,0.4524457952893785,0.21476663273530192,0.5094009795796763,0.6668922701001501,0.03647782565732144,0.44381963592999635,0.6657854296035218,0.46642314098109716,0.5259794798800396,0.15541968571622466,0.362908539878545,0.6651294414942976,0.6282329364822776,0.4186590530865704
OFCant_L,0.5252867303079518,1.0,0.5596127984220419,0.2703778080167237,-0.008052432500731326,0.17598566143291794,0.5562808769668628,0.04546727107651166,0.32558572736462515,0.32886916473396655,0.49943550923240837,0.4776949747485778,0.17573123289536488,0.47767875943711635,0.4411180612294177,0.7149627731619864,0.7601547506703299,0.08972158378426404,0.015133630820111524,0.522488606371803,0.2956918492220824,0.41930489228205264,0.4100938034969567,0.06502814748771674,0.38730595558172215,0.22275248518456872,0.47735587460969436,0.10604537541468352,0.23547741722197085,0.32502642271376886,0.2120208719352384,-0.04164217541391605,-0.07909925577879431,0.5340656963901448,0.4464940162016607,-0.31573268853960634,0.3283568184373565,0.6246715625839695,0.5619995162619694,0.36712150418488027,0.7114387786569236,-0.039663392244055344,0.6174323322989312,0.5211100928491179,0.643114253499922
Vermis_10,0.16996767509348593,0.5596127984220419,1.0,-0.10236774093097653,-0.4603016089284143,-0.26473174410022926,0.3745558514233092,-0.5273342563560036,0.5368052111966761,-0.22845434240721618,0.0546305772205413,0.06726478697674627,0.11685941914519303,0.2440794661554802,0.17793234154211457,0.49182685368967893,0.40402039772757903,-0.10818425109662744,0.46740779923726866,0.33823828062419103,-0.14355378377678507,0.03250960165698642,-0.04109773294872534,-0.6207792116694343,0.03208567128840922,-0.011759809726572552,0.6541092629898428,0.018512347295692056,-0.23384644573248256,0.14674357405146554,-0.15647444599615556,-0.5716804806094739,-0.18846576505450469,0.2187092532209788,-0.005499531050704771,-0.5225062340809744,0.4174269724860314,0.13192252408824046,0.4285153528701605,0.27465156934639234,0.7427224144057731,-0.626590237498059,0.16056360366941247,0.09295820568956006,0.6191613411238602
Cerebellum_10_L,0.4695588269253125,0.2703778080167237,-0.10236774093097653,1.0,0.7403956050606464,0.8051328756066642,0.380354934224639,0.757400758216939,-0.09149083854052627,0.6777885166081355,0.7455138355520405,0.7842552130013488,0.1761512806518933,0.6836286502759408,0.6584891288057305,0.41501209607847606,0.49934974704489077,0.5888314373997163,-0.24564142335038386,0.29860308907717054,0.33774382767513716,0.42019130369765084,0.7728934180192191,0.6775061321057871,0.6635885628642336,0.40704025188770177,-0.12940762827052382,0.5032932051196993,0.7331021071346566,0.21576347406661694,0.29316941879126207,0.3979388507144086,0.24454424854624685,0.46118395154793623,0.62618337825688,0.18880183953192378,-0.00017829740951686002,0.559495492603904,0.35715245267380696,0.24656520421681463,0.030101536713737293,0.6224196321101254,0.43207283779249456,0.6218998139897618,0.18819585636132002
Calcarine_R,0.4671665002283157,-0.008052432500731326,-0.4603016089284143,0.7403956050606464,1.0,0.832217975842001,0.19265583275607584,0.8863817826379613,-0.43265142882090923,0.7064190250978221,0.6894773246108429,0.6654129316516235,0.28011077798187095,0.5310534321276061,0.6184040363041678,0.16311546670795665,0.22814223409966627,0.6761016448982908,-0.12669132996780796,0.388362826350743,0.40058576326186346,0.4722094523828106,0.7842851196857232,0.8044473289238369,0.6767450464885163,0.22041427203134456,-0.40022964045978693,0.5406083813951166,0.8553156752257025,0.12573782534348146,0.5508044111812903,0.6245427263424205,0.2935292058386546,0.36722426852033957,0.5797412719877918,0.46909019126203017,0.08335720507984871,0.4944030106687456,0.04351331107892735,0.18314389037596904,-0.4434278878976006,0.7699786088007391,0.3440036598724911,0.5752383341516285,-0.05933911637559125
Fusiform_L,0.40638932529744026,0.17598566143291794,-0.26473174410022926,0.8051328756066642,0.832217975842001,1.0,0.38220983422305244,0.874314077344448,-0.156358908250832,0.7035428270898431,0.6885186620904307,0.7081029175973168,0.37801735031168276,0.5818150110899036,0.5613891667383428,0.38623324649722335,0.46856593952860665,0.6799877162610842,-0.2777566695880529,0.31994268454571134,0.1955756426986706,0.5970362300883517,0.8447668911295662,0.723996396386722,0.6623263161246878,0.3853833006156596,-0.08855816660393227,0.44315498293349925,0.7932089165264251,0.19306614805145356,0.33995432618365096,0.3601096230615486,0.3087562522021363,0.5492843916223803,0.5172699216322334,0.4021251059938209,-0.11795762156791972,0.5456464906446297,0.2528940835022497,0.13960109030609627,-0.14485516451533317,0.6200337447648461,0.34912942208286024,0.64582988035304,0.10523098683485595
Olfactory_L,0.47068835496127176,0.5562808769668628,0.3745558514233092,0.380354934224639,0.19265583275607584,0.38220983422305244,1.0,0.250451360290674,0.12374638971992652,0.3207051023543935,0.516143917553988,0.466861275737436,0.40801770872552057,0.5907152654953316,0.5406766809082334,0.4808112499876747,0.5861840473470882,0.4013350259453473,0.05167671041238864,0.42387457022998937,0.19897004286993464,0.44300614883488115,0.49162002414771755,0.15835403709442422,0.46759746741161184,0.2270921538982003,0.37779117836792325,0.22665706552032214,0.36414341095665076,0.30645566150072995,0.1184880234412542,-0.019677973262287107,0.10080012385388532,0.5004788677240484,0.44423422654849,0.027797254335965912,0.15269173343742815,0.40966013695664294,0.5563090083914862,0.316203094563178,0.41585677326504933,0.1743652849379047,0.4127524177858872,0.47882390819527837,0.39655710093835717
Lingual_L,0.44252309094031106,0.04546727107651166,-0.5273342563560036,0.757400758216939,0.8863817826379613,0.874314077344448,0.250451360290674,1.0,-0.35439459558824765,0.774660534226215,0.670842919207284,0.664201035701157,0.27020602463425253,0.5499720423761343,0.5824339031811617,0.1729202572201489,0.3482116255266725,0.6513732176794237,-0.4410546724321068,0.2464893326824916,0.4255446622301909,0.5051331794056122,0.7698705792066126,0.9261367005369627,0.6399365015830915,0.33411034495843384,-0.3967209628567693,0.4448254290120078,0.8585216002366256,0.1645330826379665,0.4408987109527792,0.6537726207128906,0.3931161346344064,0.46949191558734926,0.6145173624772784,0.4526114101011819,-0.1842855195190142,0.5265655834549741,0.20021558777792303,0.23064614503580058,-0.3478355115023584,0.820901052209102,0.4021183447625584,0.5950315876928616,-0.07082393330905688
Thal_Re_L,-0.1396345437309379,0.32558572736462515,0.5368052111966761,-0.09149083854052627,-0.43265142882090923,-0.156358908250832,0.12374638971992652,-0.35439459558824765,1.0,-0.1531892378245761,-0.14590527866937944,-0.04269182210754561,0.01882840732827322,0.07421453031837265,-0.08996018735732275,0.24275597788086536,0.2865370530122457,-0.20318565902916091,0.022968771084776882,-0.06717709527438841,-0.2750070852216156,-0.08118102669748954,-0.11462917538187882,-0.4213349048754012,-0.1554817740977424,-0.017417437006259334,0.48174653862660466,-0.11202095538442894,-0.2625980324242474,-0.04122069609849729,-0.3376509412476886,-0.39355566284411464,-0.10122236414977588,0.13243279850811154,-0.2279986058073207,-0.3174752234646411,-0.05585848556830307,0.019885838218095718,0.2780689842650619,0.11158795162575688,0.6006486650581673,-0.4939531902421038,0.08142927175763762,-0.0026439978256145875,0.48473411060678756
Temporal_Sup_R,0.5436723463789025,0.32886916473396655,-0.22845434240721618,0.6777885166081355,0.7064190250978221,0.7035428270898431,0.3207051023543935,0.774660534226215,-0.1531892378245761,1.0,0.7772736500259197,0.8062779546493075,0.18500850262858928,0.5253843270994362,0.6963590830007828,0.4399278537887968,0.5306114256847837,0.6229746435274167,-0.266392483025998,0.4861242553928663,0.578527042088359,0.5161094805119243,0.7519045402023652,0.7621441628555706,0.7474857889733734,0.3260655645508435,-0.27720589680453445,0.6653948936880857,0.7679263176862954,0.23519028705801334,0.6578014778868837,0.5690036831892583,0.27999596382505915,0.5336723686127918,0.6342772700100788,0.11213001354096519,0.16351631100123212,0.6979364022900065,0.3848828650867187,0.4344612855651775,-0.11014066140767456,0.5490092615845632,0.5316312634552753,0.7349265485242624,0.22125527077215562
