,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L
SN_pc_R,1.0,0.6282329364822776,0.669844734149642,0.5436723463789025,-0.025647467391008746,0.6227577208018014,0.3682555622088733,0.295009416672186,0.6372792545223497,0.6070935639528601,0.362908539878545,0.36864111566183205,0.21816608443876198,0.4518150657788219,0.3209879942353536,0.20298721616422508,0.47898016026495877,0.35642870887268424,-0.1396345437309379,0.7560112524848086,0.4555577599875969,0.6140850222793346,0.6227256565076668,0.6708079224815031,-0.18510860882899347,0.3461258513287198,0.5391629176741703,0.44381963592999635,0.6601687385760243,0.353380340092462,0.24193923104092013,0.2918793968841669,0.5149939101033891,0.37771318258533393,0.6419780640418993
Thal_MDl_L,0.6282329364822776,1.0,0.5610963523518697,0.7349265485242624,0.08780060053642366,0.7396345457362983,0.32697701522844685,0.33987091313289175,0.5888756371858904,0.7118567006125224,0.37078072856616284,0.5967558620044378,0.3547824585521123,0.4286111975558724,0.42374190968356423,0.31376541972633093,0.6770677337417,0.24275486316897776,-0.0026439978256145875,0.7230224360645163,0.5801765496418173,0.5875927034582531,0.7544595064213084,0.530777776397359,-0.0944325578429239,0.2774485997452042,0.7252134659412265,0.28819626933760994,0.7183223852879218,0.4756019349345812,0.38129150318343197,0.24906032496749547,0.5101539903364903,0.44543409303368553,0.7162760318540728
OFCpost_R,0.669844734149642,0.5610963523518697,1.0,0.579915437930474,-0.1931843336342301,0.6552899074702853,0.3568976784847918,0.3490550261860715,0.6988606222718807,0.4690816885164868,0.2931012511990642,0.15124829415381635,0.267174443711124,0.2906279707183999,0.29994824934582837,0.39123864826724397,0.36809193743763363,0.28803171939494016,-0.260999055622187,0.6401835330229156,0.2275065429922921,0.730091118363881,0.5648489207835325,0.622903832232261,-0.13609729373865587,0.12516846444848584,0.45684329909394,0.49121285751150107,0.6273847778770558,0.2894801150006103,0.29023194895641247,0.23659149804888727,0.5228362165875564,0.20552817296441092,0.49662043038426956
Temporal_Sup_R,0.5436723463789025,0.7349265485242624,0.579915437930474,1.0,-0.27720589680453445,0.8043779213738083,0.48770413715720284,0.5910549185565122,0.7722508633423293,0.6555579980818774,0.5490092615845632,0.39387642291427666,0.3260655645508435,0.23674557667467358,0.6385203109863379,0.43014967757498185,0.5161094805119243,0.16599508969237992,-0.1531892378245761,0.6226806606497622,0.5905895074460173,0.5621803325710869,0.7474857889733734,0.3789166252030961,-0.25863748844894313,-0.009188164490632825,0.8311965690284941,0.16351631100123212,0.6423918484755797,0.6653948936880857,0.6564279069713846,0.0022994417555571873,0.6984416775712546,0.1795464228812249,0.6797764567578938
OFClat_L,-0.025647467391008746,0.08780060053642366,-0.1931843336342301,-0.27720589680453445,1.0,-0.03995113813466419,-0.413893192321236,-0.5769131757982433,-0.4461148976537526,0.06644156776976169,-0.41165830636102874,0.4447754803130054,0.1094872426537717,0.3555696902049739,-0.45756823597347474,-0.5209917202454553,0.3308872182942525,0.14677311023898668,0.48174653862660466,0.1487546254579849,0.008006645256923694,0.07508339684402345,0.024501205582473387,0.16363175246635292,0.3323482321776107,0.6503887836334653,-0.013398123065241522,0.06476810729748582,0.042973501363750055,-0.12202516127158547,-0.5052584235349514,0.4507983798904437,-0.4756502107765064,0.6437372595825939,0.15994468711859952
Heschl_R,0.6227577208018014,0.7396345457362983,0.6552899074702853,0.8043779213738083,-0.03995113813466419,1.0,0.5240375887582647,0.4451952868061524,0.6155396301310843,0.6505335047307966,0.5023137794935576,0.360093755326501,0.3359950565110201,0.4589494548319166,0.5444801854031565,0.39081204489972665,0.7240011566953541,0.40902734515200423,-0.2096334817114551,0.8072379380511998,0.5631040280448979,0.568027649704407,0.8258415049903904,0.5918897608315199,-0.21182876775106285,0.13312307366810777,0.75933661930275,0.34121264107734567,0.7274143916627936,0.6185001245104654,0.5344015459014507,0.07302285845197777,0.6808351428452792,0.36906182537106713,0.8087385387801846
Cuneus_L,0.3682555622088733,0.32697701522844685,0.3568976784847918,0.48770413715720284,-0.413893192321236,0.5240375887582647,1.0,0.53152603180965,0.4252331327139496,0.30076326465168773,0.6086277360868576,-0.11855054021160197,0.043191706140397204,0.18632441816034892,0.6053257632938891,0.5098670894131525,0.30723198045165484,0.3482997921226256,-0.5407585110742998,0.3952782959340599,0.3615741873159203,-0.007369909989250492,0.4644375749207384,0.23670517005015113,-0.40330057784240714,-0.2785750818454303,0.4056914945691368,0.2411328675313992,0.43295062236628845,0.4191979429118021,0.5721887352396521,-0.3051394638939993,0.7910389123233181,-0.10113033835902646,0.5168779776496922
Occipital_Inf_R,0.295009416672186,0.33987091313289175,0.3490550261860715,0.5910549185565122,-0.5769131757982433,0.4451952868061524,0.53152603180965,1.0,0.560366955435487,0.17742136885535104,0.8690071325060066,-0.16707964587196747,0.3417044564948084,-0.21163218920483443,0.9190343625815316,0.6611689227784662,0.22113535313860735,0.09103676989525782,-0.44721381622010575,0.24819116229331592,0.2674587153675627,0.23331708353055527,0.3855683360879992,-0.056986311076304995,-0.6775839187295,-0.578342959979752,0.5236811652414127,-0.2683217329539292,0.2638902479499838,0.2107316855444337,0.9009221613244232,-0.497720151090956,0.6273549996632466,-0.3233165189254305,0.24087912059397643
Temporal_Inf_R,0.6372792545223497,0.5888756371858904,0.6988606222718807,0.7722508633423293,-0.4461148976537526,0.6155396301310843,0.4252331327139496,0.560366955435487,1.0,0.6501727804777274,0.46209916026188325,0.2701140280201465,0.19450428510158915,0.05708964242384683,0.5288528610554656,0.33501509327208967,0.20658308931066613,0.017558897279099313,-0.1633366948937901,0.6110339167861524,0.47116186759367884,0.6258941701637856,0.5146303259134307,0.4612641654159849,-0.3266160531313005,0.07063931992511152,0.6465659751666799,0.21518190903265608,0.5176053467981442,0.42357587704797206,0.5166917978807606,0.15362896931110695,0.5826627441488689,0.0665522408674094,0.49862989321886886
Red_N_R,0.6070935639528601,0.7118567006125224,0.4690816885164868,0.6555579980818774,0.06644156776976169,0.6505335047307966,0.30076326465168773,0.17742136885535104,0.6501727804777274,1.0,0.22551944851261363,0.5326932988518959,0.06096254004925334,0.253463151798934,0.3040259733523875,0.1750400852856784,0.48254580217167253,0.14254742508125473,0.053678674915750034,0.6755971166728159,0.7698881532596463,0.4279043126709687,0.6070056206490986,0.46020908205258554,-0.10351172491970337,0.38888050103943783,0.7030991808507858,0.17211593519254773,0.44139120225141865,0.5259117143516713,0.27501367261455584,0.4564664501584901,0.34343183143047695,0.5471239040008535,0.6802141286145542
