,Cerebellum_10_L,Parietal_Inf_R,Frontal_Sup_Medial_L,Supp_Motor_Area_R,ACC_pre_R,Hippocampus_R,Cingulate_Post_R,Paracentral_Lobule_R,Temporal_Pole_Mid_L,Thal_AV_L,Vermis_3,Thal_MDm_L,Cerebellum_8_R,OFClat_L,Parietal_Sup_L,Occipital_Sup_R,Occipital_Inf_L,Thal_PuM_R,Frontal_Inf_Orb_2_L,Temporal_Pole_Sup_R
Cerebellum_10_L,1.0,0.3587492087433444,0.29860308907717054,0.7455138355520405,0.37974907421528714,0.08136242507935755,0.43207283779249456,0.23249175508413536,0.07609532830400662,0.3185207575388091,0.7142792512681972,0.5356836096363476,0.673332533636627,-0.12940762827052382,-0.00017829740951686002,0.5544818456476329,0.5131252705748612,0.7331021071346566,0.32968267478899127,0.33774382767513716
Parietal_Inf_R,0.3587492087433444,1.0,0.815415914669181,0.6600939173254271,0.5484962287730932,0.3617748671134211,0.34385766790688566,0.8142209491678793,0.25185617464156207,0.2687859599030593,0.4206626583441407,0.4696773470822253,0.16810584329207834,0.23699287270591418,0.5894840812909011,0.5362742292643179,0.12719649047652914,0.45801059517560583,0.5067674532093317,-0.007366295800290481
Frontal_Sup_Medial_L,0.29860308907717054,0.815415914669181,1.0,0.7282102577337569,0.7297988426791565,0.468516269341523,0.5547420159334191,0.8136996349566884,0.21999182716974075,0.3877858320646793,0.5087630814301887,0.5767881019174339,0.22227004905739503,0.252698379789075,0.7082607855220426,0.5145827035475056,-0.01997867998737729,0.5341414248805453,0.6339055932155649,0.2781411349323022
Supp_Motor_Area_R,0.7455138355520405,0.6600939173254271,0.7282102577337569,1.0,0.631761947741697,0.2734977625277287,0.5809125204970623,0.5159992642142138,0.13981637344120798,0.4035065254166174,0.7280052713508635,0.6616338823731744,0.67463782755931,0.043927316327592794,0.30644193342214127,0.6321843429889612,0.3802405950657013,0.7758668875354067,0.4954179431889382,0.4553400563350822
ACC_pre_R,0.37974907421528714,0.5484962287730932,0.7297988426791565,0.631761947741697,1.0,0.6911965400970483,0.5135735561974469,0.5840525629531416,0.1895521585244441,0.4647659410973109,0.5766075397034924,0.5174151913754607,0.22096836331167335,0.41864702026667033,0.4896656093116502,0.14255345935388683,-0.253382669105305,0.3736839348865608,0.6508700532918916,0.31212687390131605
Hippocampus_R,0.08136242507935755,0.3617748671134211,0.468516269341523,0.2734977625277287,0.6911965400970483,1.0,0.3898338686944649,0.5510067423787655,-0.045621771765061055,0.6360940288243114,0.30095533831002297,0.33272429744238113,-0.22464479729198875,0.6503887836334653,0.4596251888474843,-0.2179237350902269,-0.6506255256970243,-0.05558660287842401,0.51446152705549,-0.06693120753047233
Cingulate_Post_R,0.43207283779249456,0.34385766790688566,0.5547420159334191,0.5809125204970623,0.5135735561974469,0.3898338686944649,1.0,0.40708270708284505,-0.07724098931300379,0.509424761961682,0.5666577206112167,0.5091523209496407,0.4033812568782299,0.09744239688580228,0.28850984579698896,0.36673670101238215,0.05904362860222529,0.5528887545348988,0.4927023100538834,0.4063450867133448
Paracentral_Lobule_R,0.23249175508413536,0.8142209491678793,0.8136996349566884,0.5159992642142138,0.5840525629531416,0.5510067423787655,0.40708270708284505,1.0,0.10119537818774087,0.3349302043766603,0.35304880226218904,0.449893492230186,-0.042131973083511666,0.3555696902049739,0.7839509136559782,0.3861515455824081,-0.18046381036244127,0.2918042428510403,0.6255024302974199,-0.036348087100867045
Temporal_Pole_Mid_L,0.07609532830400662,0.25185617464156207,0.21999182716974075,0.13981637344120798,0.1895521585244441,-0.045621771765061055,-0.07724098931300379,0.10119537818774087,1.0,0.14346451941694802,0.18180743053280965,0.10481998914671457,-0.18639161173722357,0.4316345084382912,-0.14224673480357852,0.012886613597627711,0.3207725993203577,0.09119308579768354,0.32487706882790907,-0.3285110800834058
Thal_AV_L,0.3185207575388091,0.2687859599030593,0.3877858320646793,0.4035065254166174,0.4647659410973109,0.6360940288243114,0.509424761961682,0.3349302043766603,0.14346451941694802,1.0,0.5960585015020855,0.4989985472410892,0.005004434800306181,0.4447754803130054,0.2026629709824243,0.0646010662942145,-0.13678684228141472,0.28467088158659803,0.46431730163261326,0.003594887087957208
