,N_Acc_L,Cerebellum_6_R,Thal_PuM_R,Amygdala_L,ACC_pre_R,Thal_AV_L,Insula_R,Olfactory_L,Temporal_Pole_Mid_R,Cerebellum_Crus2_R,ACC_sub_L,OFCpost_L,Thal_Re_L,Thal_VL_R,Lingual_R,Thal_VPL_L,Paracentral_Lobule_L,SN_pc_L,Fusiform_R,Lingual_L,LC_R,Pallidum_R,Cingulate_Mid_L,Thal_MGN_R,Frontal_Mid_2_R,Frontal_Med_Orb_R,Thal_IL_L,Thal_PuL_R,Raphe_D,Thal_VA_R,Frontal_Inf_Orb_2_L,SN_pr_R,Precuneus_L,Cuneus_R,Cerebellum_Crus1_L,OFCant_L,Thal_LP_L,Angular_L,Cerebellum_3_R,Temporal_Inf_R
N_Acc_L,1.0,0.1319732896602686,0.3399361984543716,0.2947323804838187,0.39129768723367,-0.09134990349104856,0.4243678775517306,0.46693257992566056,0.2337834922632414,0.16720398064973407,-0.10276008363126696,0.26004912207178577,-0.20012545539243193,0.30622809274854923,0.28681930022463326,0.3933043076719455,0.39610720638842517,0.3307349040489076,0.1770905191883529,0.2430651697425254,0.02037671630202997,0.24616003572508696,0.27429511610609614,0.17931390007607828,0.3550619117329901,0.1408488755485965,0.5038404522939558,0.23962388973217535,0.10868480221491457,0.05555748638776603,0.40557253211442523,0.138434644173265,0.324249466783635,0.3441999409689701,0.22036304904341827,0.057263574248329153,0.446738749415539,0.31231034703149335,0.07965860929988441,0.017558897279099313
Cerebellum_6_R,0.1319732896602686,1.0,0.7979158031387794,0.4310798188607275,-0.003140781756150643,0.036510981836840976,0.6910444844196241,0.15835403709442422,0.564906775696983,0.7957045360719635,-0.35402511617843463,0.4510247345839838,-0.4213349048754012,0.2450038913814855,0.9393991575040387,0.2906682022232008,0.2275346895699349,0.2997441326675528,0.8776109377979713,0.9261367005369627,0.24598663837993964,0.4782366039043739,0.49239978838764215,0.32813077684009234,0.569009533282052,-0.42095306492009243,0.06622348297974115,-0.03022125336975811,0.4277174419610894,0.266044689139599,0.010600353488582884,0.10216529299538099,0.4003830442523029,0.5995769184428115,0.722312550317104,0.06502814748771674,0.5420949063446331,0.34125816339944853,0.7477200874342548,0.72157499924227
Thal_PuM_R,0.3399361984543716,0.7979158031387794,1.0,0.4643139671511409,0.3736839348865608,0.28467088158659803,0.8424130008036644,0.36414341095665076,0.3574836456015399,0.6905711481250971,-0.08660234799756815,0.6385404886799201,-0.2625980324242474,0.5296910346099473,0.8692641607044195,0.5244246241964382,0.4635014991812342,0.565909613938165,0.8944373949247474,0.8585216002366256,0.4097086787066938,0.6740679479276515,0.6643730280531654,0.40732569569241595,0.7233101272510551,-0.21021170651559393,0.3291037463517348,0.18443020534202528,0.5918759491219285,0.32456624313136584,0.32532928969914515,0.38589771100834913,0.666474723881308,0.6692245740387083,0.5443684518177369,0.23547741722197085,0.586164913899607,0.5185924399470908,0.7246539608434408,0.7112278062569917
Amygdala_L,0.2947323804838187,0.4310798188607275,0.4643139671511409,1.0,0.21818754847867158,0.07446666135058147,0.4761168005583933,0.299651663200082,0.37336679161670744,0.2592272496913645,-0.12032481407896203,0.43002425927105364,-0.2581094942420623,0.20858427498289425,0.48092205999417603,0.3885502716332006,0.19624579558068192,0.3851819251826164,0.41827448252555804,0.5349508770922603,0.07294016797719886,0.23946182078390385,0.21959815531577384,0.04168781960620774,0.30441327727475387,0.022561799741244785,0.263212231705364,0.14745067727581876,0.20814128996185435,0.19821084425267693,0.1814449967689361,0.15068204179307843,0.22739258441473378,0.33514218316361194,0.5578815231236471,0.0010379773606285,0.6886102506670462,0.11248454625736462,0.4479003190164674,0.1978622718611221
ACC_pre_R,0.39129768723367,-0.003140781756150643,0.3736839348865608,0.21818754847867158,1.0,0.4647659410973109,0.47650112608930195,0.5898359116092293,-0.2264308099547424,0.20056727725485743,0.5873446082470074,0.7231963509425926,0.19701060912330998,0.682395580888666,0.15689550734455796,0.7612062096714574,0.548716438704401,0.6470050217442914,0.34462188172111285,0.11711271453556026,0.5215235667883813,0.5657823743059843,0.5240190018753602,0.03319978138888846,0.5596221765338127,0.4678182313195799,0.32494604090787815,0.70135879835831,0.4262906241759881,0.39105772252944754,0.6508700532918916,0.559125279350275,0.5246543620111614,0.06586726912698054,-0.19324913343032477,0.6152891397585852,0.37928427465371084,0.32825333968792975,0.3039787376433215,0.3730992589976912
Thal_AV_L,-0.09134990349104856,0.036510981836840976,0.28467088158659803,0.07446666135058147,0.4647659410973109,1.0,0.36937497306139966,0.45886077929204044,-0.23783478317642662,-0.09984918324819973,0.5582438666450844,0.5086514704497626,0.4480103079601013,0.6911703024714239,0.13783530783408451,0.4582641961942442,0.41480736494860865,0.5343451254767342,0.3424986762819335,0.13943977185281872,0.343503260597065,0.5783398952339377,0.5768256269676793,0.01562130727201675,0.4567421408059045,0.26935273127629444,0.2872813864399615,0.36659413945123004,0.49278446838917245,0.4958649345395599,0.46431730163261326,0.72087481054401,0.4615964429240249,-0.121920201828855,-0.03656980209624196,0.6437240746574624,0.059624876441024315,0.2469414585935532,0.3894968852867623,0.2701140280201465
Insula_R,0.4243678775517306,0.6910444844196241,0.8424130008036644,0.4761168005583933,0.47650112608930195,0.36937497306139966,1.0,0.46897653632612907,0.3096052699128132,0.5548213354789422,0.036748888254452466,0.7275853501241503,-0.21251278156828152,0.6498736777212142,0.8098479571188119,0.588094084497417,0.5752644532758647,0.641608798183328,0.8048912054704804,0.7839859005108403,0.38659547913151476,0.7943134688797951,0.7910054462861665,0.37855130436518347,0.8513478087866077,0.00944644184635643,0.4454491779984016,0.29185489737561654,0.581798570079392,0.4794591827478239,0.5566357922861848,0.4540106488256682,0.7126517477670428,0.5479709831137325,0.5456342563031735,0.352281829924191,0.5625364727361526,0.573067135431409,0.7154413171637118,0.6256769555192965
Olfactory_L,0.46693257992566056,0.15835403709442422,0.36414341095665076,0.299651663200082,0.5898359116092293,0.45886077929204044,0.46897653632612907,1.0,-0.06846874754119846,0.1706949457095443,0.4833425753563939,0.6463024942846207,0.12374638971992652,0.6460444085962725,0.2774601145161567,0.6400115737158937,0.3561528543492677,0.5125680261658081,0.3627677000322392,0.250451360290674,0.316203094563178,0.3835371615919695,0.40966013695664294,0.10080012385388532,0.466861275737436,0.29151404295237715,0.40801770872552057,0.5378356874904321,0.3790612666191112,0.33955729358175735,0.6530700274311269,0.4808112499876747,0.3735213352371748,0.0547610294101893,0.10546287714906279,0.5562808769668628,0.3491890724121266,0.16045952547892192,0.37922322259493274,0.2914210389658435
Temporal_Pole_Mid_R,0.2337834922632414,0.564906775696983,0.3574836456015399,0.37336679161670744,-0.2264308099547424,-0.23783478317642662,0.3096052699128132,-0.06846874754119846,1.0,0.2935542801365715,-0.5584983834299523,0.02184018687121273,-0.34814462488867753,-0.04742769494341349,0.6023046191158818,0.12077132030943881,0.034677581001846376,0.040644928955417464,0.3040611863661881,0.5892524601568098,-0.2438352765959214,0.11234419598603806,0.1530079649361441,0.11145247315758215,0.2694807774395013,-0.5446400492032785,0.22149365177880084,-0.07757660132401295,0.18962011773061974,-0.017059148755963482,-0.10758288023246604,-0.239745440097255,-0.008152861226380407,0.44388556913534855,0.7147251276164793,-0.2432221010637999,0.4349467520767227,0.01671129562067908,0.3282903192946902,0.045174203255740376
Cerebellum_Crus2_R,0.16720398064973407,0.7957045360719635,0.6905711481250971,0.2592272496913645,0.20056727725485743,-0.09984918324819973,0.5548213354789422,0.1706949457095443,0.2935542801365715,1.0,-0.1368202599240732,0.5564947794907363,-0.35243414995320294,0.21751843997200884,0.692739073019562,0.3499917061449494,0.2749852674523587,0.2838982514733082,0.768723531225114,0.6454703068706721,0.38570633524265524,0.39447807987397665,0.426181021215546,0.28839425298839766,0.43299657046388246,-0.243687206479218,-0.08051357759873935,0.08003442764644511,0.24688599501368888,0.13470542796399773,0.09161995252055738,0.10558189793026053,0.46658494149992535,0.5083167932759317,0.35557592652802583,0.22755469882742352,0.4803637576733211,0.43125842498989664,0.5140130808180923,0.769235441948841
