,Thal_PuA_R,Heschl_R,Angular_R,SupraMarginal_L,Hippocampus_L,Cerebellum_Crus2_R,Cerebellum_7b_R,Occipital_Inf_R,Thal_LP_L,Vermis_3,Raphe_M,Cerebellum_6_R,Thal_MDm_R,Frontal_Sup_2_R,Thal_LGN_L,Postcentral_L,Cerebellum_9_L,Occipital_Inf_L,Precentral_R,Cerebellum_3_R,Parietal_Inf_R,Thal_PuL_R,Cerebellum_10_L,ParaHippocampal_R,Thal_LP_R,Temporal_Pole_Mid_R,Fusiform_R,Frontal_Med_Orb_R,Thal_VA_R,Putamen_L,SupraMarginal_R,Thal_MDm_L,Cerebellum_3_L,Vermis_4_5,Red_N_L,Vermis_8,Thal_PuA_L,Thal_PuM_R,Frontal_Mid_2_R,Supp_Motor_Area_R,Pallidum_R,Cerebellum_Crus1_R,Temporal_Mid_R,Precuneus_L,Cerebellum_6_L,Cerebellum_7b_L,ACC_pre_R,Insula_L,Cingulate_Mid_R,OFCant_R,Temporal_Inf_R,Temporal_Pole_Mid_L,Thal_IL_L,Temporal_Sup_R,Cerebellum_9_R,Calcarine_R,Frontal_Sup_Medial_L,Vermis_1_2,Fusiform_L,Frontal_Mid_2_L,Parietal_Sup_R,Cerebellum_8_L,Temporal_Pole_Sup_L,Thal_MDl_R,Frontal_Inf_Tri_R
Thal_PuA_R,1.0,0.6063927080247807,0.435328119379611,0.5221512333432123,0.6452398625343178,0.4391314431617535,0.39009062325175153,0.4677581583183389,0.6187058400063098,0.5949110195256953,0.13051789016627433,0.5504081538305768,0.41845700360818366,0.5106185183861705,0.5098801365285532,0.32474807035823705,0.612127272773112,0.450411085669028,0.44239778109707795,0.5399276160696559,0.4712821438443801,0.2997773267099142,0.5888314373997163,0.44731021765606654,0.3903351954747607,0.35690819654590805,0.6350458272086743,-0.1478165110797302,0.3410659697785103,0.3979820285828484,0.5210282042739096,0.6157613558767165,0.400404194277593,0.7100310596469933,0.30220226412203355,0.4608599953811735,0.574625518437755,0.7390958634265653,0.5771745302085524,0.5895078314009238,0.5173069792279776,0.47157733118538336,0.5420454446781746,0.5305653162367624,0.5249058124192164,0.09950562668776351,0.3845216547571171,0.7146741108763083,0.4651473250378425,-0.09984134085362957,0.47704903352673833,0.2531779644818697,0.3783226668448303,0.6229746435274167,0.6220700134368415,0.6761016448982908,0.47025590263025463,0.4644346505176237,0.6799877162610842,0.5773485366361891,0.03798559194032536,0.49429967553512305,0.5355081489886963,0.03631395834570334,0.5164258940488151
Heschl_R,0.6063927080247807,1.0,0.6719637405429102,0.7796152446066117,0.6942524694908332,0.5456028039256338,0.45254009771852144,0.4451952868061524,0.5397316113370104,0.6674252060743803,0.31207762603301886,0.6204011468893599,0.5294632316629102,0.7573416962710847,0.6332760481833447,0.5918897608315199,0.6381635969054333,0.40592783804059396,0.5227187937854784,0.6808273321321275,0.6295481374040347,0.27871701544450184,0.6306950996329204,0.557157262108416,0.2893328372092369,0.25846146223046146,0.7700760675857291,0.04866508307414907,0.46322073510426787,0.6065059937516944,0.6185001245104654,0.6105252436262583,0.673361877063201,0.7366282636236828,0.4340250336641945,0.5023137794935576,0.6796353447094765,0.7898711002155637,0.79150629048733,0.8569594419841737,0.7659704680693966,0.6042283683535477,0.6679256906464336,0.7274143916627936,0.5734060964277131,0.06359479710300593,0.5172304582351884,0.8258415049903904,0.6200865644100565,0.09176134454162435,0.6155396301310843,0.1390860567870914,0.38009074330720555,0.8043779213738083,0.6553607207915222,0.6813181393372156,0.7088137416448211,0.6504839556784286,0.6656784845030647,0.7857818169642462,-0.01928047361500268,0.4551983771683134,0.5308336177064755,0.26035838082426943,0.6951847313335152
Angular_R,0.435328119379611,0.6719637405429102,1.0,0.7006817746970129,0.2942280833012816,0.46996373922325546,0.5015401364948907,0.32386957651265597,0.20929121999058226,0.3754205033638399,0.23740862090962406,0.459095865011569,0.33927940641622667,0.6810770924542452,0.575969956427314,0.5718767035390387,0.30034728179006037,0.25342703023577884,0.411228186761544,0.3019502597641186,0.7116525246420846,-0.16210221418210372,0.29316941879126207,0.2687881829804584,0.0005708084742330513,0.14376339666122578,0.5722067623792837,-0.011837434924310754,0.23821514733081145,0.40481557588668776,0.6171576651935939,0.47461331088620634,0.31315569236381025,0.4893566177386263,0.14088159420585256,0.3788431859100647,0.48509554197680477,0.6037626579476444,0.6033026883510945,0.5745859985699094,0.5859662976135284,0.5721321583874583,0.6386710705602031,0.7357853362228496,0.3642930739890762,0.03726780854475473,0.26000792405346296,0.6451164801669208,0.45243882732607,-0.22348278367886126,0.4978170349761668,-0.06953488728694328,0.25542646508263067,0.6578014778868837,0.34052395422232,0.5508044111812903,0.7031329927145054,0.4556885607764807,0.33995432618365096,0.7278912828786742,0.27660871682157256,0.26848687485922174,0.37435291775325263,0.13577185663357413,0.42785660069497944
SupraMarginal_L,0.5221512333432123,0.7796152446066117,0.7006817746970129,1.0,0.5924288160549408,0.4396275246453826,0.33612121376881426,0.3032754601779685,0.41793526707697193,0.5591704733335113,0.34200804582644306,0.4420378318428102,0.4651037054920283,0.7343017640099291,0.5142187731456833,0.7017803048627556,0.44682398421323893,0.3044089406588371,0.5945954729061502,0.42603092246249186,0.7433256925394697,0.26225559942563026,0.4913133177304097,0.4727053434668211,0.14545261218024835,0.2274179147636603,0.5684548739581337,0.010232996662379808,0.3269309173293994,0.643391460966035,0.633683474965555,0.5111395418033067,0.49640229427308397,0.587524996139015,0.4720159495510726,0.42769067488455664,0.5200668970590813,0.6867055092154197,0.7537583419774184,0.7910820985980596,0.7208695048255569,0.5225455975800878,0.4903585196214275,0.6789025935804256,0.35051656942673043,0.1188072737713228,0.5022862836500009,0.806911223545703,0.7201418187308811,0.03891439432578496,0.44025266679965896,0.10572959147987274,0.5190622188423303,0.5692372002558852,0.39505726879566727,0.5449294693571484,0.8019606600356607,0.49747561825292386,0.5132525460406415,0.8101562493224103,0.20590835985097364,0.33924653765793183,0.4830026231024964,0.3131764871912643,0.6192645425978484
Hippocampus_L,0.6452398625343178,0.6942524694908332,0.2942280833012816,0.5924288160549408,1.0,0.33588502585338403,0.17135537591596461,0.3101621979361802,0.6243571706154082,0.717068509567763,0.12247439597473284,0.42744221746120065,0.6131399467369759,0.5834444439445158,0.6571567881909198,0.4291288830390627,0.6389113109054202,0.3041217936679745,0.5188191663962908,0.605044399671157,0.49978009834563253,0.5950213453849919,0.6260327623478082,0.694609704000064,0.5685810982605999,0.18346982338075982,0.6043489340429966,0.16019144235187338,0.5134363427566324,0.6209775111482058,0.32462090671973776,0.6654294935796112,0.7338315166156416,0.725754325597073,0.5760402818424813,0.34019223547468147,0.643197782011825,0.6493132910736992,0.6830329699588448,0.7305512707597379,0.7043716182821547,0.3687703966755705,0.3698786475121207,0.6178725555651091,0.4696944121429594,0.06584125714640915,0.6326921842594665,0.7416574100801987,0.6041175680898717,0.37086507878444164,0.37950467165266877,0.4425664418452797,0.44259194056871526,0.5680018378646303,0.5851728012475373,0.4608688712074087,0.5830898291388359,0.5847860677394068,0.6890322938527128,0.7154621417483437,-0.06499034703959637,0.35383224267865854,0.5760174692296057,0.2698783617676634,0.689104538727872
Cerebellum_Crus2_R,0.4391314431617535,0.5456028039256338,0.46996373922325546,0.4396275246453826,0.33588502585338403,1.0,0.8345626096707801,0.7730177798721388,0.4803637576733211,0.4104532193564318,0.35849277859712525,0.7957045360719635,0.2795789048112489,0.44568583834244296,0.4580954893610113,0.3910794253210092,0.6256260799428756,0.3869793742960244,-0.06021521493425346,0.5140130808180923,0.13729091171488472,0.08003442764644511,0.4759001045653473,0.23462514246951086,0.2649118275033666,0.2935542801365715,0.768723531225114,-0.243687206479218,0.13470542796399773,0.442486770452972,0.25985931573854065,0.45221306971430647,0.42701877328325416,0.5365661892254163,0.00500188079578118,0.6580144616522079,0.6969475305039705,0.6905711481250971,0.43299657046388246,0.5427390327311965,0.39447807987397665,0.9321055263267165,0.8255168972771861,0.46658494149992535,0.5600006913650186,-0.1710961534800746,0.20056727725485743,0.44386888387444956,0.2648148390429728,0.00043292566024921757,0.769235441948841,-0.21507158049137842,-0.08051357759873935,0.6003017241264904,0.7062901146022165,0.5782279846978242,0.2942531570486675,0.2009684991784874,0.3773652598556554,0.3517110340301998,-0.31167555332903735,0.3994614848581241,0.25112114269209973,-0.0768217199979504,0.44293644675165994
Cerebellum_7b_R,0.39009062325175153,0.45254009771852144,0.5015401364948907,0.33612121376881426,0.17135537591596461,0.8345626096707801,1.0,0.7499431239017721,0.3807916976725586,0.26251296110917366,0.33615310312767843,0.7960907636579972,0.1578384500485289,0.31055161709877055,0.556962912515041,0.2515284807618705,0.6122682562294836,0.44492819695179064,-0.16197125078326757,0.45557630617102457,0.04637714528403322,-0.12884331572418478,0.3979388507144086,0.051728039601750424,0.09229573908985322,0.24841796676600592,0.7319783543479316,-0.27544873135280595,0.11570522811005632,0.2382738048957857,0.19404068539890648,0.2742615392239555,0.25052707774370864,0.4563442490236496,-0.10081033890974526,0.6313996788890125,0.5429615750215365,0.6519298870621276,0.34748046276891914,0.40393767011805465,0.30984407703996286,0.8733402939128638,0.8307650985061465,0.350857562805993,0.614676655507482,-0.09252189602396821,0.012946069909725265,0.37019436898827357,0.20647036811286568,-0.22032887956428257,0.7401381943557303,-0.2520803295405914,-0.10338844528669708,0.5690036831892583,0.6987722538101329,0.6245427263424205,0.1615048384237895,0.1486254515795364,0.3601096230615486,0.26324187198244325,-0.3881858792562359,0.4749222942636036,0.2518273842357492,-0.1338354721644999,0.28462694786411075
Occipital_Inf_R,0.4677581583183389,0.4451952868061524,0.32386957651265597,0.3032754601779685,0.3101621979361802,0.7730177798721388,0.7499431239017721,1.0,0.47690253257922394,0.38088143785232126,0.37771554377119915,0.9354195426866135,0.20411104710611638,0.10196366532953828,0.5452789807382703,-0.056986311076304995,0.8253395204135744,0.8063825388740735,-0.014780530628300686,0.5819509403764342,-0.010283141200369404,-0.1099114004208291,0.5838809642930953,-0.03705014930058518,0.08583830814954072,0.6335111015164692,0.735741534181896,-0.5054962591318373,0.09413734922140098,0.11014739476401184,0.2107316855444337,0.300635570240916,0.22384604191364263,0.5370110531102973,-0.0648574487322678,0.8690071325060066,0.5417457904877746,0.6811439409297485,0.38730367461283266,0.42041611703357895,0.30894328239368796,0.8049097851735517,0.7837220755960079,0.2638902479499838,0.8412947874325585,0.22725944090478478,-0.1541920908872027,0.3855683360879992,0.1838480673875145,-0.34469076474698507,0.560366955435487,-0.014613350820565382,-0.02426861338993406,0.5910549185565122,0.8327569026221219,0.7324189823439279,-0.003459707041563786,0.2366339230050444,0.6204721841424827,0.18413005733398224,-0.5484437680932611,0.7791429756775262,0.44525023345519266,-0.33911214893055946,0.3272226820201748
Thal_LP_L,0.6187058400063098,0.5397316113370104,0.20929121999058226,0.41793526707697193,0.6243571706154082,0.4803637576733211,0.3807916976725586,0.47690253257922394,1.0,0.3775326722034694,0.33468423159486477,0.5420949063446331,0.2322037469088083,0.3987602672065579,0.42274599617928754,0.21638257204422323,0.7005618212420363,0.439250922545493,0.3518025111131978,0.5985329318087433,0.33935940879218474,0.45298639764148607,0.5669015013578123,0.4117790594811365,0.2341016843635411,0.4349467520767227,0.5809805294935614,-0.13285044759771952,0.39291011783790025,0.27693492811908405,0.3298285961516899,0.4599323745143705,0.48594834039525686,0.5052920878521967,0.1044739050862688,0.44215660623882697,0.7248266423154685,0.586164913899607,0.5395662526775189,0.6349028471090049,0.367764965784742,0.44031444966185823,0.39127035683051176,0.30860124900366037,0.5400848014719889,0.04009024253057372,0.37928427465371084,0.555808583065952,0.38942702598531187,0.09280212215555508,0.44900559041438276,0.28279452216493367,0.20089407444335333,0.46974720894298017,0.7003251647753755,0.5359375666233586,0.34356720351257164,0.37362138268025274,0.560115065439437,0.47092337479838503,-0.20178111727228626,0.4956539273313125,0.5081233867833436,0.029512263692982755,0.45338882450904383
Vermis_3,0.5949110195256953,0.6674252060743803,0.3754205033638399,0.5591704733335113,0.717068509567763,0.4104532193564318,0.26251296110917366,0.38088143785232126,0.3775326722034694,1.0,0.3541967484838916,0.5261324483578329,0.789527879124094,0.5927544914422481,0.5065915943513305,0.4271500063947723,0.6165029312937156,0.29657326576933823,0.4826229403183243,0.7215592580812739,0.4206626583441407,0.44020036934899115,0.7142792512681972,0.7079997137438191,0.5648551228213969,0.14436774928852475,0.7311419396347124,-0.0307993557867766,0.39963198607774325,0.6503876711544357,0.5032240668498761,0.693446367229255,0.782065898656903,0.8688922733029992,0.6400991774368954,0.40175968927466277,0.5697258509933812,0.7732215469221276,0.7193369855608251,0.7280052713508635,0.6919292868391116,0.4375600654916411,0.5958277489521094,0.611676877897095,0.5011090409250327,0.012720037048004378,0.5766075397034924,0.6545467512782337,0.594295999178398,0.1647674212304636,0.6018663086655434,0.18180743053280965,0.34286023049328923,0.709262383165677,0.5865813759426496,0.6138112038606043,0.5087630814301887,0.7225538402335498,0.7465330120930215,0.6290332174026392,-0.1057302693598458,0.3369333140436694,0.37846142669904975,0.46082974243780217,0.7788903300867444
