,Fusiform_L,Rectus_R,Cerebellum_9_L,Thal_IL_R,Heschl_L,Frontal_Med_Orb_R,Fusiform_R,ACC_sup_L,Frontal_Sup_Medial_L,Frontal_Sup_2_R,Angular_L,Supp_Motor_Area_R,Cerebellum_Crus2_R,Cerebellum_3_L,ACC_sub_L,Occipital_Sup_L,Thal_PuL_L,Temporal_Pole_Mid_L,Temporal_Inf_L,OFCant_R,Parietal_Sup_L,Cerebellum_3_R,Caudate_L,Amygdala_R,SupraMarginal_L,OFCmed_R,Red_N_L,Precuneus_R,Cerebellum_10_L,Temporal_Sup_R,Parietal_Inf_R,Putamen_R,Frontal_Sup_Medial_R,SupraMarginal_R,ParaHippocampal_L,Cerebellum_8_L,Thal_LP_R,Postcentral_R,Raphe_D,Heschl_R,Thal_PuM_R,Precentral_R,Putamen_L,Frontal_Inf_Orb_2_L,Cuneus_R,Thal_LP_L,SN_pc_L,Vermis_7,Paracentral_Lobule_R,Occipital_Mid_R
Fusiform_L,1.0,0.021141208230513207,0.8416815581768332,0.29144075466996583,0.146316296899025,-0.23332396621985962,0.7723146238086054,0.5818150110899036,0.31994268454571134,0.39795101403535776,0.20566265830681243,0.6885186620904307,0.3773652598556554,0.5614060196941745,-0.17975710345652104,0.5372247642629604,0.5439143644330297,0.33518699170716276,0.8940156496218301,-0.1627189476751177,-0.11795762156791972,0.7608456485537859,0.6639769843710982,0.47811204406816066,0.5132525460406415,0.03472954734968422,0.37458547494778177,0.42342451352747007,0.8051328756066642,0.7035428270898431,0.3646471303407929,0.5294449561016829,0.026811947210538912,0.44315498293349925,0.3019538097137052,0.769217501351216,0.2528940835022497,0.18769040781379612,0.5899191282828327,0.6656784845030647,0.7932089165264251,0.49614451721551506,0.3281267038351694,0.32821245895400636,0.56659309788835,0.560115065439437,0.5193833744595167,-0.29677301686639124,0.15196336998858717,0.47446500735774594
Rectus_R,0.021141208230513207,1.0,0.10129897830755301,0.4756687511895612,0.4523987184200188,0.23067333272893648,0.1652227245161704,0.4167498893063041,0.2733236778210402,0.31921472506088433,0.18138813415381452,0.3704973943431154,0.1448609805906586,0.3930867979784254,0.6445747684965623,-0.044085450878817024,-0.07828590837281059,-0.03115769980162178,-0.07223665720118047,0.5006026554389779,0.135350706624387,0.25986684813957134,0.39955082071493436,-0.17547019503448083,0.31173181618292284,0.5861471523865652,0.5001436939616062,0.2122092163938695,0.1439562873979231,0.089934830689405,0.11669290957721885,0.27191792254345126,0.1981783515553357,0.12227497844914811,0.4552696861231408,-0.13960646978232683,0.33290826823882547,0.0908934483597767,0.41650860216609487,0.21817700401928308,0.14076198858558553,0.12859315230856505,0.48149682030822455,0.2382401434325306,-0.07777937589317453,0.08282237538102483,0.39295629949970073,-0.14418711750958663,0.10782137128335463,-0.11893144717278777
Cerebellum_9_L,0.8416815581768332,0.10129897830755301,1.0,0.24312394396835552,0.1618912491976212,-0.35505117854769747,0.8335237190112516,0.6346239286483015,0.1725135649395398,0.2618154207264227,0.18196810287446138,0.676614856080819,0.6256260799428756,0.5468603005863321,-0.28297496087371554,0.4602431704869723,0.5507176599751675,0.17188306917126844,0.7840485817917549,-0.12482925220083523,-0.30287517863697505,0.8411182435520195,0.5701218407697255,0.5200473987912938,0.44682398421323893,0.1045181278444885,0.26738422119462024,0.20502537695168113,0.7743293855968378,0.7289748374540987,0.20608286207789409,0.5011353765465487,-0.1816837433250142,0.3540122655600293,0.0820963064583923,0.8030760707014465,0.2716377998697817,-0.07050582545485812,0.5154704079948434,0.6381635969054333,0.7964801267068369,0.2849893138825938,0.3053472476602905,0.17562635959409933,0.4658058684763625,0.7005618212420363,0.41777230982667396,-0.5368676711927355,-0.08409732822522144,0.5410989057536032
Thal_IL_R,0.29144075466996583,0.4756687511895612,0.24312394396835552,1.0,0.34232235380281334,0.015929340131400325,0.30954595792180745,0.48866919689033556,0.40488413073197543,0.3852322371642559,0.3000615160372656,0.431098801867901,0.1580284380180365,0.35328344802255124,0.45082590431530317,0.2572029198755209,0.2583375190115587,0.04874059763436782,0.12775185988795276,-0.03974772191046641,0.23502991235814602,0.35269654473721435,0.519448524860941,0.16982423567341512,0.46516609272503506,0.06748583358209362,0.650322267974876,0.4077669350103286,0.2618400343796638,0.38270864859796255,0.39894693148267163,0.30057693632103816,0.28743972257566647,0.49086275228025905,0.3326484511733084,0.12618658136580718,0.24607101942364526,0.336260888965548,0.6040800724470199,0.3621506142139909,0.4610871762307783,0.37279698567862946,0.43182436627935056,0.2452108488897282,0.20344457288889556,0.07189445267672159,0.5604791188394327,0.13511681778638274,0.2906849320416041,0.2481479329910288
Heschl_L,0.146316296899025,0.4523987184200188,0.1618912491976212,0.34232235380281334,1.0,0.24884683598180968,0.45268512735403227,0.6005673420609986,0.649523831252483,0.7123626572745538,0.5074878430180014,0.5656977041118961,0.45685329227665883,0.6728398069577256,0.4910122654804615,0.24732266552271903,0.23795914353009195,-0.09013998374312339,-0.06044581038377388,0.5374980151201848,0.5592306309541286,0.2632890956041291,0.5707120427805508,-0.028187087047612542,0.538433694316565,0.25561146811780316,0.39367940834519033,0.627873003303523,0.3546587746386437,0.35416704116097636,0.44138452117846544,0.6911086559972761,0.5696005527135151,0.2666325027720457,0.4951891569252662,-0.18224488440364167,0.47646833140123424,0.26070648602276114,0.3448108642555327,0.5278142658948409,0.44869017536473027,0.25836587196889804,0.7992407868497526,0.557997693594815,0.11602624411407264,0.23044850840933714,0.4988437444076715,-0.012978825499189446,0.5509064773954123,0.12844169955675952
Frontal_Med_Orb_R,-0.23332396621985962,0.23067333272893648,-0.35505117854769747,0.015929340131400325,0.24884683598180968,1.0,-0.18416076823766003,-0.03308951048097327,0.3528411782970544,0.33202663276993116,0.08742888697304174,0.0612294412892616,-0.243687206479218,0.13118154775990065,0.4971660993667122,-0.19661219880644967,-0.18063561132106498,0.1956047066247587,-0.2136115461494405,0.5046645470082383,0.31522519658890114,-0.19256217826072072,0.18348242754007663,-0.3591633820712802,0.010232996662379808,0.19480371256209592,0.2193852394270031,0.17836803738639345,-0.20619619866482225,-0.10255571762672828,0.13839602023520794,0.29133544652830534,0.503358978751868,-0.09512760028859513,0.3490699452353196,-0.4175875606384934,0.22360055748170587,0.1604918190751658,-0.15385389707220978,0.04866508307414907,-0.21021170651559393,0.07258015681124806,0.21037163943054038,0.3883790550682374,-0.2475498271426369,-0.13285044759771952,0.17828908005920852,0.34194777343594734,0.27697584060184677,-0.3478275332511261
Fusiform_R,0.7723146238086054,0.1652227245161704,0.8335237190112516,0.30954595792180745,0.45268512735403227,-0.18416076823766003,1.0,0.6129672193159267,0.4325843877478237,0.5900731133432727,0.47009024270183236,0.774689781321957,0.768723531225114,0.7026549216756754,-0.056881238029342106,0.6264823163547905,0.5245765252104103,-0.03258597671914126,0.6435780007242504,0.011457741134958729,0.154432941344847,0.8107990949881245,0.596978419315891,0.46113743803391083,0.5684548739581337,0.06440871740717062,0.23061097209725295,0.5448645006993076,0.7794165050145677,0.8598135397376538,0.32356617818871874,0.6962288913254867,0.18403924000119723,0.4474356167055639,0.1466973357211689,0.5615206276569901,0.40659525038309824,0.007589566386699658,0.5540313818324318,0.7700760675857291,0.8944373949247474,0.27225585153179893,0.5580218050629985,0.23969570397503442,0.5913808256135988,0.5809805294935614,0.5356313232322791,-0.4439376480584053,0.17834002191196738,0.6849971166318708
ACC_sup_L,0.5818150110899036,0.4167498893063041,0.6346239286483015,0.48866919689033556,0.6005673420609986,-0.03308951048097327,0.6129672193159267,1.0,0.5693853818124259,0.6007104733955264,0.3086824995950064,0.7916172229713766,0.4607647151826528,0.7265981468247955,0.18601394937961344,0.3354682369186347,0.5798345518527861,0.12531710131634963,0.40126805422349376,0.3436847161916576,0.1571788331941078,0.5848595682820327,0.7505051499365367,0.1396996958816131,0.6541785391157822,0.2681320737799454,0.5605356124864038,0.5600680187628694,0.6836286502759408,0.5253843270994362,0.5879449040911796,0.64614159393275,0.2593989656989493,0.5044559041100473,0.6281445975347667,0.31435278410509215,0.45485575950627055,0.4452879065248041,0.5732900818335284,0.6603767536136235,0.6769073404623418,0.625348800350285,0.7201199580267706,0.5842974867272525,0.2647304892303259,0.6628538583809631,0.6231861425062615,-0.19430350530412602,0.44392715706276864,0.21823440776423547
Frontal_Sup_Medial_L,0.31994268454571134,0.2733236778210402,0.1725135649395398,0.40488413073197543,0.649523831252483,0.3528411782970544,0.4325843877478237,0.5693853818124259,1.0,0.9017557692982362,0.7377564323470189,0.7282102577337569,0.2942531570486675,0.5570975162602354,0.37689072709808746,0.4888525467276937,0.5522716787437537,0.21999182716974075,0.21989887050892998,0.2139723415001891,0.7082607855220426,0.2500732769597744,0.7213016085370171,0.1818633605807021,0.8019606600356607,-0.00928180364892214,0.44677656563684026,0.8388816028932732,0.29860308907717054,0.4861242553928663,0.815415914669181,0.6994688859452365,0.8870728255284748,0.5458882905761373,0.5383564600810863,0.029711052223703918,0.22204199374386901,0.6343267179942798,0.4363357240196923,0.7088137416448211,0.5341414248805453,0.6350281651156102,0.6377552438972395,0.6339055932155649,0.41074207765831217,0.34356720351257164,0.6362851747583937,0.12697368796585287,0.8136996349566884,0.3610100631544401
Frontal_Sup_2_R,0.39795101403535776,0.31921472506088433,0.2618154207264227,0.3852322371642559,0.7123626572745538,0.33202663276993116,0.5900731133432727,0.6007104733955264,0.9017557692982362,1.0,0.6796274803600514,0.7943130836926587,0.44568583834244296,0.6630074287697901,0.35388566282231126,0.5819413268860898,0.5578183758234232,0.1128563620403327,0.24812683345930553,0.2705138839044984,0.7396246468430263,0.3850001517851901,0.7010760568213353,0.23731756592629774,0.7343017640099291,0.04902368709731844,0.41535702703869964,0.8992890241186683,0.4704453587014661,0.5667798610911255,0.7350110640592937,0.7494001741636451,0.8416902858254799,0.5730437839096083,0.5516213887561525,0.05065520707815249,0.33752981211745947,0.5366437729842587,0.46521230741611796,0.7573416962710847,0.6302582387050805,0.5321093060532217,0.7134524774849803,0.5462592530339779,0.5065317396311588,0.3987602672065579,0.658910721529272,0.034798841286694915,0.7255153600510731,0.4243185892053843
