,SN_pc_L,Thal_MDm_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_LGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pr_L,Temporal_Mid_R,Frontal_Inf_Orb_2_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Temporal_Inf_L,Vermis_1_2,Thal_VL_L,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L,Thal_VPL_R,Caudate_L,Parietal_Inf_R,Cerebellum_Crus1_R,Thal_VA_L,Frontal_Sup_Medial_L,SN_pc_R,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,Thal_MDm_L,Postcentral_R,Thal_PuI_R,Lingual_L,Red_N_L,Thal_VA_R,LC_R,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,Thal_AV_R,Olfactory_L,Thal_PuI_L,Frontal_Sup_Medial_R,OFCmed_L,Thal_PuM_L,Temporal_Mid_L,Thal_IL_L
SN_pc_L,1.0,0.34849220974413614,-0.2312821991736143,-0.10686495589224271,0.022269875985119012,0.09621696285408206,-0.02075095305328983,-0.28083729141385605,-0.25573455217203805,0.1140171487569189,0.20474524622120238,0.06516721249256353,0.41117581103144973,0.2631753192077389,0.029400632148134966,0.3897657120435254,0.22311283778803842,0.2148594706316857,0.2654020361782745,0.11914769285550814,0.42561786431330256,-0.02434241192814425,0.3530422298129555,0.05061419333134365,0.12787366120800858,0.4667904332973907,-0.2200643034721338,-0.0742554994484375,0.01636275577065073,-0.17105912700994697,-0.1747531809366697,-0.016823808545066654,-0.25541558447795387,0.5297787920622616,0.13937874380269522,0.44234105230761456,-0.09831623366308412,-0.1084982974942478,0.11652719066423918,0.08036132840396742,0.303307660651842,-0.06771918681354971,0.26650288406797407,-0.11733387182928669,0.010984211698340305,0.12617461605171837,0.29601452111386817,0.22135292981867105,0.023546022762828838,-0.041011437206592734,0.3048079674914294,0.0229953240849739,0.16340456515482227,0.1360946047798807,0.3691700407399366,0.28266806743780254,-0.06786365253825653,0.4281414198105828,0.06681363554267113,0.5324682764289115,-0.13226230539555067,0.24764998022066614,0.332767761855299,0.07673413493228996,0.2879889513715536,0.13395055874211811,0.20796730331999627,-0.1387513780382985,0.2250640969771904,0.401348964784131,0.06688323047782509,0.02966051953948774,0.39241155127595506,0.22207773073471512,0.544384888025312
Thal_MDm_R,0.34849220974413614,1.0,-0.1508746939229187,0.11412451671312555,-0.21975484670414921,0.43786099642168047,-0.385458399626663,-0.24889234043440844,0.07793498774459644,0.5060423325540205,0.25092919390485413,0.3060478456380107,0.6504814721331837,0.2521420998965808,-0.3965485999587918,0.40934612883631816,0.2206535553827819,0.6452836008982568,0.3466374493627305,0.3903541366278446,0.5493253414221881,-0.17194003954839418,0.6189513099123967,-0.049944074357253926,0.09306414152416488,0.380696580817542,-0.162004314239577,-0.28711794008105834,-0.310092634731884,-0.28594292384224496,-0.43622716178146526,-0.2510726352766123,-0.35192128644550225,0.553059073783234,0.5328558849234665,0.19097920048414263,0.16119904093067436,-0.19539198992099974,0.23525337859796885,0.2941060232912771,0.10129648723380408,-0.16410017063406276,0.7979053477253554,0.26567180474184476,0.3289114690331943,-0.24624246100622263,0.6564968342748364,0.5266973399974244,-0.33282534374420336,-0.13989649287398423,0.7033617400608123,-0.04594109495211977,0.053284803086568064,0.012176304873112786,0.6900782161908516,0.20343343180070256,-0.21766433824087325,0.8196288158963937,-0.011907494334991562,0.49530846381002575,-0.16147814333192428,0.5780369939135822,0.48101882844182475,-0.13597379014024585,0.31488413719542047,0.30068364762897415,0.12395159358957406,0.23987067546613516,0.5165881579951468,0.4000025223819214,0.2606810586415361,0.028923263639869766,0.7000191352047617,0.1427698678516023,0.5826162723719758
OFCpost_R,-0.2312821991736143,-0.1508746939229187,1.0,0.6656220572909655,0.5750172718500534,0.047222332138183234,0.6437168187169111,0.5664948623574132,0.26206011887370656,-0.43853210969593687,-0.5903596694591748,0.45913428088046515,-0.1552806188827063,0.3845458941827216,0.44163899801007744,-0.08846036812820886,0.4424985491773179,-0.3176685831305834,0.03319859745067225,0.3124404136071912,-0.4521814539851858,0.5978178729258055,-0.2858836270674183,0.5573437121548458,-0.15162503820481835,-0.22857982163740526,0.7416837504581617,0.634439120241207,0.6810905047380627,0.738300016024905,0.6839329305014149,0.14650648737010707,0.6024456101057851,-0.29421156539144405,0.12776388147164322,0.13287621851536757,0.6050244244554356,0.7632753585057959,0.29267559913079194,0.4004787628680098,0.09105407937967343,0.6522591035116455,0.09633552276241958,0.17045485826010334,0.28950910027899796,0.3287863948400733,0.18773045539594152,-0.04048982915091855,0.6366767158073889,0.4770784932195271,-0.05275543590263164,0.11848874688194097,0.2665803193262873,-0.5017033533791033,0.08922819857216074,-0.5309894325120348,0.6021053038580998,-0.12553579497467846,0.5947150337909217,-0.37324604134348927,0.771234041322615,-0.3118044490202663,0.305270811916746,0.6433722129364831,-0.4311370227006207,0.3749742246245844,0.5563408359916128,0.6096044396166448,0.04070129402560519,0.20579329165726176,0.1839956869321933,-0.45805042630176024,-0.14826270630928692,0.2775811707813824,-0.13759156668142283
Temporal_Sup_R,-0.10686495589224271,0.11412451671312555,0.6656220572909655,1.0,0.4205754548960098,0.42657869838128987,0.4929032629960089,0.5860130381844854,0.5353257256563662,-0.18010921107228686,-0.6000855799552919,0.35969145912637074,0.12344253711014712,0.545178078368846,0.20770948250058213,0.13633250671470679,0.4423452094261186,-0.18726605541271202,0.0611118521609436,0.5902532053810977,-0.2942295402155217,0.32548152915034506,-0.09941097620607206,0.6235681281226632,-0.042007391475632684,0.03349350921506817,0.6247187737565976,0.479196522560047,0.5847092282454962,0.728444305283872,0.5091691243485286,-0.037816939647438284,0.5554167114044717,-0.031098421887906003,0.2385457878342424,0.14875934200434984,0.8838113865556746,0.560387826742833,0.3205260041669098,0.37081164674636574,-0.042438772567705424,0.4862098334198846,0.2671802065120701,0.09799027904814854,0.6540818729449489,0.22625642530963763,0.49224519054598503,-0.026589102953872453,0.5408779940334061,0.1172048174950922,0.020068880317568597,-0.16241389145585028,0.33670383569268036,-0.21409298160498144,0.16220963683073453,-0.3333743909229696,0.38200339756003265,-0.0030660096262262143,0.6954293628422294,-0.09693863623845052,0.7284005387352225,-0.17914727901184235,0.4775147915974581,0.5199132445124449,-0.2450885609111817,0.6028289730553829,0.5551673210098058,0.5734118523608391,0.15706523238631914,0.35658529073376743,0.3203542783637987,-0.17610114984190706,0.17628627020579313,0.03158792037070017,-0.04654551468354893
OFClat_L,0.022269875985119012,-0.21975484670414921,0.5750172718500534,0.4205754548960098,1.0,-0.12244143207613883,0.7283880458369207,0.32129631854795476,-0.02272761403062793,-0.4238969086664596,-0.4680811634134852,0.3699483992424069,-0.03299148831088419,0.35284071510951565,0.6307873965376316,-0.00683488651006789,0.34791689865957187,-0.30004780242898327,0.17551028429222237,0.2840806602942926,-0.33254434042733344,0.47804004804433675,-0.20945199877603657,0.6277536650428759,-0.2497091677310881,0.022654433036092818,0.5189710002184214,0.6084470242689042,0.6890104870949302,0.6837723027759354,0.6787958813929056,0.10603504449869948,0.546326574633852,-0.12646579099837127,-0.013593363710025985,0.3271907130635847,0.35208940501814595,0.7794808412305968,0.22908662224018864,0.24862211151410224,0.2617531228888107,0.5984281320355099,-0.05339053579174118,-0.0645321790908237,0.12950994566923274,0.4263776912633841,0.11726634746325568,-0.2742533250131623,0.7080491087590384,0.3158738886146023,-0.1304944722797274,-0.014117780910077184,0.1429579806885596,-0.3151924629163443,-0.03326709649900975,-0.3308289468958389,0.5232019092498852,-0.15313996072331815,0.5850348089452616,-0.14412744603017694,0.6527534269478712,-0.32528990276781006,0.2277154486848128,0.5242997396713642,-0.35371492168072505,0.3023725962933636,0.5151425825230731,0.31465058241413285,-0.1402327155579641,0.39068871174604,0.15684969445738503,-0.15295585347905744,-0.07558380451340592,0.22669456937775323,0.01853754382208958
Heschl_R,0.09621696285408206,0.43786099642168047,0.047222332138183234,0.42657869838128987,-0.12244143207613883,1.0,-0.2311943627418891,-0.06666700005162832,-0.06122721491389289,0.2853350206704434,0.08412016837389882,0.24932794823009322,0.4249766397055457,0.47730791052823046,-0.19386076745862604,0.33609572073830046,0.44197660575266073,0.22192120316880382,0.13214878059099222,0.6194954205504282,0.22115403814348053,-0.14716352054481738,0.40617187791225984,0.2532556301122358,0.005573619149423903,0.41181033361254044,-0.10575038113110898,0.0058055811252724085,-0.10746043882371246,-0.023446428629507975,-0.22964151454517556,-0.34047266352884265,-0.1919929535249472,0.4214700036495313,0.38855535724368234,0.1031733570534584,0.25063145506524864,0.07670170826305944,0.2573243862456202,0.14419244533591152,0.21423451428212856,0.17055335756425238,0.4695146605386959,0.17142698704655243,0.7524662558177325,-0.23187490067970845,0.5979242365956764,0.21481840250988796,-0.11953807640396243,-0.22233350810827202,0.23724166889429552,-0.3330598106863098,0.13753943988131048,0.08918532555449217,0.28199237907566316,-0.011307383849264701,-0.035001284248613124,0.3665237693174696,0.34318006065798773,0.4207712381950048,0.20729514898233967,0.259644242396314,0.3386796423569189,0.13472760406691708,0.04980892755370882,0.5091425643820224,0.30905415414835447,0.26228102237993356,0.3768447824787472,0.2946635531612083,0.4078279147606476,0.16641032427029948,0.5649697526715052,0.16885915385395125,0.29503468475766476
Cuneus_L,-0.02075095305328983,-0.385458399626663,0.6437168187169111,0.4929032629960089,0.7283880458369207,-0.2311943627418891,1.0,0.5405887816293159,0.15700635736221014,-0.5721117997353345,-0.5896997141156888,0.27118698100131916,-0.18578477819944147,0.4214457623462645,0.7743563273246591,-0.03363007718585701,0.21455223651613492,-0.4231960439690582,0.14601598245846767,0.23835428140525494,-0.5459872532694542,0.4480922880707547,-0.4411642361854494,0.7105850460972626,-0.11244519161965452,-0.13321414889936967,0.6535818842261616,0.7454538144213941,0.9278883047217255,0.8683658789257868,0.8727991310281539,0.17368232313512505,0.7643037145556637,-0.266023387649682,-0.09813629851592756,0.2060554951834482,0.4176043125745631,0.7341580598486077,0.07885166767408867,0.2114004027878486,0.17960698923906873,0.5800500153546015,-0.1514539810344213,-0.14018651505275428,-0.02116412163883467,0.6980925361118652,0.06163472046993936,-0.3839835774233055,0.9299460994251372,0.39019624993986085,-0.16290590837018937,0.10739179088256898,0.35162125999234256,-0.34150111001582617,-0.07090520069001381,-0.32155689721273595,0.6096756448935053,-0.22916318801493085,0.6912934214492605,-0.2856964284954664,0.7239988159002733,-0.4451488799514478,0.21247629997720263,0.6365426275372545,-0.33744304533451625,0.2845895949415952,0.5200823950913297,0.33030278260472745,-0.1821615130757697,0.3165438125732557,0.016348412893235367,-0.2400217183296575,-0.21047170112955413,0.10561806291493435,-0.00960771269733032
Occipital_Inf_R,-0.28083729141385605,-0.24889234043440844,0.5664948623574132,0.5860130381844854,0.32129631854795476,-0.06666700005162832,0.5405887816293159,1.0,0.4541645709935644,-0.41143334272972365,-0.7142417777078214,0.12168664169236357,-0.3462787026178256,0.12252963921163491,0.23354972636530977,-0.1864033198096483,-0.01616684642522519,-0.3749661750452481,-0.10878579517589985,0.1801724949399211,-0.5487120394303757,0.30757796703299783,-0.5186092477576908,0.3884455754519319,0.10172434605677451,-0.3930245659776369,0.5611473682526621,0.44431940930815417,0.528070943822536,0.6893098540119497,0.625276082740546,0.17577671698043573,0.6165004532607649,-0.4287319715018372,-0.06468146432392761,-0.06282100133890235,0.5148574381954268,0.4119223734177495,0.07708245944752096,0.11589527997291865,-0.3364449255006066,0.30903361888188224,-0.10691903303449814,-0.00475440385561788,0.18430840503126927,0.319842928739541,-0.016096362848066276,-0.26577342466048326,0.5017518299258725,0.16920801497971855,-0.21061356233127274,-0.0598784482341048,0.1929027560134192,-0.32758770591651937,-0.06822593414314548,-0.40808097502428436,0.37818699988511584,-0.3263578471377757,0.4020449514258275,-0.49467862557775205,0.5315656606375301,-0.41638573124831857,0.18488706936749924,0.3222931289912515,-0.3850276142088438,0.24348262269467003,0.1487027162616396,0.4273962150183958,-0.08995986388576742,-0.06418777031572523,-0.015194689509390178,-0.2243682189144692,-0.3056631511499371,-0.24186056254507535,-0.3476723027034885
Temporal_Inf_R,-0.25573455217203805,0.07793498774459644,0.26206011887370656,0.5353257256563662,-0.02272761403062793,-0.06122721491389289,0.15700635736221014,0.4541645709935644,1.0,0.06174200274106225,-0.36533389460583154,-0.012494829917119145,-0.06180417117001791,-0.023668293849379605,-0.18866632038237677,0.06506377912812987,-0.184079032551839,-0.03831523977731839,-0.06192498843148815,0.07987914291235892,-0.1952328817422614,0.05679170852186503,-0.18137323735461847,0.0897395855284295,0.10688084851405012,-0.2195266237586163,0.4109109276822247,0.00231516715189421,0.21064437161336041,0.3398100818029843,0.20426502085934423,0.05514149183964659,0.3665553387671444,-0.1839200265027569,-0.01951235353686197,-0.14360588559820087,0.6437393255556343,0.0377620971349832,-0.015587605161626543,0.14250242834772375,-0.48972463396787524,-0.1214795092834409,0.03724950929601633,-0.041836363747465494,0.11683006917492077,0.10096890720759034,0.07527840063995551,-0.01576305157198274,0.15398290708719586,0.009273686805229645,-0.0020301896841911173,0.08593106619648527,0.11393654624566797,-0.002256555887706956,-0.012545737724398981,-0.11660084387513044,0.049489526070348844,-0.10005376444905092,0.09009151407985853,-0.2473564291518285,0.1657952003075181,-0.07168650040102259,0.0928522648808825,-0.005867672121179368,-0.030827226684271607,0.07039138955605112,0.01357138036070629,0.26670078016066834,0.058217156198856,-0.012556800392269524,0.012946112056002062,-0.03993818104613184,-0.06529326071312769,-0.39691502839566767,-0.24207754709539156
Red_N_R,0.1140171487569189,0.5060423325540205,-0.43853210969593687,-0.18010921107228686,-0.4238969086664596,0.2853350206704434,-0.5721117997353345,-0.41143334272972365,0.06174200274106225,1.0,0.5280394523506654,-0.01889348798962392,0.5810197470181471,-0.1031493607431994,-0.386440240726902,0.5667868067470175,-0.1477041829957699,0.5856291546823489,0.2060869560440387,0.19407333161044105,0.533031796258886,-0.39841238254706735,0.631791132572002,-0.24077464898303647,-0.1626858532080558,0.44823772266939416,-0.39703706382876325,-0.462298131887529,-0.5885613514989978,-0.48230729211365925,-0.6174862503273938,-0.4567062801253231,-0.5257333009116251,0.4856782959819174,0.192558607556964,0.08769106489089765,-0.15819368281729795,-0.3637721769405743,-0.058091975448056825,-0.03810617017839798,0.11175264075637535,-0.264095690698689,0.33603062575106435,0.039628404697141593,0.13073595051864945,-0.27723709550327713,0.27119184833827475,0.058346415156281625,-0.5618853231393476,-0.42866577967136843,0.35793408177957803,-0.0751203674692022,-0.16054915199072015,0.3857743748955258,0.14541113610939183,0.29654310008936513,-0.5658074293645527,0.4177455384141325,-0.24381884340861631,0.4401351026014623,-0.343273097218184,0.8037614427302453,-0.13561682676668124,-0.35109160267056627,0.28767098197514906,0.06273972398828868,-0.11481987368512551,-0.1775435653800486,0.26273254744990027,0.1427567632128878,0.29043733398841387,0.5250494863489702,0.5304046455709459,-0.13592622143831698,0.32872372244941
