,Occipital_Mid_R,Paracentral_Lobule_L,Hippocampus_R,Frontal_Sup_Medial_R,Thal_MGN_L,Cerebellum_Crus1_L,Cerebellum_3_R,Thal_MDl_R,Temporal_Mid_L,Fusiform_R,Frontal_Inf_Orb_2_R,Angular_R,OFClat_R,OFCmed_R,SupraMarginal_L,Red_N_R,Thal_PuL_L,Raphe_M,Cerebellum_3_L,Temporal_Inf_R,OFCpost_R,OFCmed_L,ParaHippocampal_R,Thal_PuI_L,Caudate_L,Frontal_Med_Orb_R,Cerebellum_4_5_R,Cerebellum_10_L,Precuneus_L,Temporal_Pole_Sup_R,Insula_L,Thal_PuA_L,Temporal_Inf_L,Cerebellum_4_5_L,Thal_VPL_R
Occipital_Mid_R,1.0,0.0982416147954643,-0.4468632030781986,-0.18954783118538923,-0.09649649947602336,0.040037809216094775,0.13582646509639257,-0.036820185046921514,-0.24183312131847728,0.4613770822475394,0.2402408190098012,0.6048033536826124,0.1808031052673811,-0.338374223036841,0.5257190503870031,-0.5263343535674854,-0.4358024894002425,0.03387452662900866,0.5157739406819617,0.4585460118410237,0.4949777378017935,-0.25760762909423635,-0.34536165875188,-0.06646847560116485,-0.27224461600946637,-0.3408717609590126,0.6549671490868604,-0.4912491834554606,0.5814167432278544,0.08009527667743457,-0.5621446862926727,-0.37753875939020237,-0.3598781614994479,0.4598875738218218,-0.17166709628852542
Paracentral_Lobule_L,0.0982416147954643,1.0,0.36148875090682053,0.32743368536604484,0.49715544631449676,0.2894122334091565,0.3009696927580158,0.6351119104789932,0.33178485317156836,0.1956360934297103,0.1297044087913059,0.09203944197033245,0.16401650701700368,-0.1421409456860509,0.46822968610682053,-0.1249100117571424,0.011166330413568687,0.48722800479952616,0.3942594299798271,0.04558957154861064,0.4354324212483684,-0.1817779980049432,0.09334202257295715,0.651995527702814,0.11168154618855446,-0.33549433856484145,0.41518734763677184,-0.06764492970505172,0.5882147981736093,0.23830965329543627,0.08062262778053059,0.41404034258283623,0.4481339300098689,0.5760421727418008,0.7014751104895092
Hippocampus_R,-0.4468632030781986,0.36148875090682053,1.0,0.5601659334900799,0.5257980173644692,0.20066116314837398,0.32466690073555426,0.2784978903280794,0.30914016489018964,0.11140383957713368,-0.027631839715589628,-0.36914993630390225,0.21405111622067496,0.28513088939421655,-0.005126584614539308,0.44823772266939416,0.4658203485190795,0.15384328117364734,-0.04385143508905805,-0.2195266237586163,-0.22857982163740526,0.3316101734129172,0.806812298594967,0.5707723443162709,0.11758597434064041,0.35296954917001716,-0.2762013440316703,0.5211733648760383,-0.04158370936184736,0.054677895234742084,0.653048581364476,0.4991061993202437,0.5760063057520198,-0.01896844966004868,0.511614717063089
Frontal_Sup_Medial_R,-0.18954783118538923,0.32743368536604484,0.5601659334900799,1.0,0.49560570890580297,0.17816509732849523,0.3059077188859381,0.3033443938066331,0.2841678054927093,0.28974805144500365,0.33916488468742706,-0.23597510921891882,0.30214428162954543,0.21492828356949495,0.12552309506144202,0.29043733398841387,0.5494997447640848,0.13414138958685745,0.2719297671374556,0.012946112056002062,0.1839956869321933,0.2885301283771813,0.38096412224960796,0.45946104866940835,0.024604232110854208,0.34702664442402337,-0.02553647568065517,0.06058317849825192,0.08518550875348811,0.37737597583353105,0.5242396361788592,0.47125417344906795,0.3903468825592619,0.26543576368837685,0.45893901302085294
Thal_MGN_L,-0.09649649947602336,0.49715544631449676,0.5257980173644692,0.49560570890580297,1.0,0.20952624353277557,0.5185736392235136,0.49463921631282537,0.34544023794161366,0.30681782793400786,0.2482430519043927,-0.17859984128128586,0.35131283549634723,0.15885186045396296,0.3296855928499359,0.3128052971978027,0.35021390296171645,0.48423266775536405,0.33835200293127154,-0.028056489646322277,0.25622865261167255,0.16459346916065415,0.3376806283462131,0.7883054430701061,0.06723338530754763,0.055717956359704335,0.2404008074940729,0.050373818237417385,0.2559251642586866,0.39325330321333596,0.5162442537139855,0.4388764456277703,0.5291710569651189,0.46868681283579033,0.6119779660894491
Cerebellum_Crus1_L,0.040037809216094775,0.2894122334091565,0.20066116314837398,0.17816509732849523,0.20952624353277557,1.0,0.6141832150140634,0.1390229469396833,0.5643887423594283,0.22628871667713177,0.3647410875201126,0.19739182874944816,0.5063955693304447,-0.07567039620940552,0.3961511092006782,-0.2874802271102586,-0.272458601059709,0.35388531275216134,0.11371798386816215,-0.19993220599817285,0.319017457901846,-0.3796325253058087,0.3654879077471441,0.27777292709090995,0.05352056039285825,-0.1617633939710163,0.35318084647027376,0.08713569012902517,0.4928308924737667,0.11470438713478096,0.045508432846910814,-0.0038347161610075274,0.5423209103913638,0.33553124352803904,0.11540166073120454
Cerebellum_3_R,0.13582646509639257,0.3009696927580158,0.32466690073555426,0.3059077188859381,0.5185736392235136,0.6141832150140634,1.0,0.14009086306902804,0.5157889655777316,0.5164266010311909,0.5900158443403395,0.2576328804157141,0.69971720247651,-0.09114717164900697,0.5525854019888303,-0.20614274154160897,-0.08538025269193718,0.49611368153091184,0.3106715295213519,-0.04585373950188777,0.4241582369860977,-0.20337560835777213,0.43276308387214835,0.488614133917739,-0.0049700982678605714,0.02725296459077304,0.580799080418142,-0.07770482088900761,0.5827524788915549,0.29355219475271294,0.17160000373269582,-0.003400805170424748,0.5369486240658208,0.5585580889266513,0.20714422615886027
Thal_MDl_R,-0.036820185046921514,0.6351119104789932,0.2784978903280794,0.3033443938066331,0.49463921631282537,0.1390229469396833,0.14009086306902804,1.0,0.23407793219154888,0.22793759874812783,0.0007321732642453101,-0.06527809799307603,0.0027428358635674267,0.1101428607587771,0.13941166720288795,0.18618474572402294,0.21601487499885635,0.46499630264533276,0.18254431160183668,0.16061052855054841,0.24718150046244158,-0.08109401625628775,0.12265561214086446,0.5541878887544889,0.29940155018416265,-0.3068409458364461,0.19577515347781577,-0.0172051437016938,0.20661656302611145,0.2575546448162551,0.32858700923813294,0.5492211596413134,0.3079710290068741,0.37446996968994933,0.7895314456837532
Temporal_Mid_L,-0.24183312131847728,0.33178485317156836,0.30914016489018964,0.2841678054927093,0.34544023794161366,0.5643887423594283,0.5157889655777316,0.23407793219154888,1.0,-0.017265440711668523,0.44975206861482636,0.044490869856311836,0.36838507558610706,0.021012030872111998,0.09729965934928238,-0.13592622143831698,0.009951708136795542,0.579863050097398,-0.1526734302115898,-0.39691502839566767,0.2775811707813824,-0.366902675626352,0.3258424623341473,0.34515708812481,0.5495390803421754,-0.0811516152785173,0.17250670432236553,0.0993296736111016,0.170160605832189,0.16407715914778248,0.4275813045997377,0.18678230794795117,0.780757755199929,0.3225529568023417,0.331685874605647
Fusiform_R,0.4613770822475394,0.1956360934297103,0.11140383957713368,0.28974805144500365,0.30681782793400786,0.22628871667713177,0.5164266010311909,0.22793759874812783,-0.017265440711668523,1.0,0.4772262528609984,0.41307980070008277,0.3141360221545606,0.10693012457159923,0.33780311468208374,-0.08953057682589338,0.01808378713628409,0.21340859718268054,0.37209448124822697,0.7114269184162877,0.4166423597916083,-0.11024722013522453,0.27838649782382835,0.34378180315787793,-0.03285997083584192,0.08167436407270637,0.5673201524257372,-0.20138559432063863,0.5386736614300236,0.422033869115204,-0.009304018669803644,0.028412229480500237,-0.04570014371167216,0.46418586634008124,0.20523278381457052
