,ACC_pre_R,Putamen_L,Heschl_R,Occipital_Inf_L,Cerebellum_9_L,Rolandic_Oper_L,Temporal_Sup_R,Rectus_R,Paracentral_Lobule_R,OFCmed_R
ACC_pre_R,1.0,-0.15201683906236393,-0.17162230276121693,0.034169713328751766,0.4084221467517337,-0.03834616514767361,-0.003123027069221259,0.3312164280016871,0.043482332016918396,0.09966078578780999
Putamen_L,-0.15201683906236393,1.0,0.38254570080635647,0.12732077525119023,-0.14905580214414754,0.42683693500100717,0.2793555052158102,0.03718709096609733,0.4050260085420297,0.03987426060146628
Heschl_R,-0.17162230276121693,0.38254570080635647,1.0,-0.1503994398880409,-0.2709312670734592,0.7899765758687258,0.42657869838128987,0.04980892755370882,0.47730791052823046,0.01866368124062268
Occipital_Inf_L,0.034169713328751766,0.12732077525119023,-0.1503994398880409,1.0,-0.012941011791827038,-0.12443266093931771,0.3772683472298453,-0.07013024961863648,0.2907101589326029,-0.2631813382528484
Cerebellum_9_L,0.4084221467517337,-0.14905580214414754,-0.2709312670734592,-0.012941011791827038,1.0,-0.12553622201075246,-0.32919334854450544,0.5325084830978906,-0.08016887769154891,0.3046159357256733
Rolandic_Oper_L,-0.03834616514767361,0.42683693500100717,0.7899765758687258,-0.12443266093931771,-0.12553622201075246,1.0,0.3889258634542188,0.12402603770239344,0.5090072772057168,0.125684004724568
Temporal_Sup_R,-0.003123027069221259,0.2793555052158102,0.42657869838128987,0.3772683472298453,-0.32919334854450544,0.3889258634542188,1.0,-0.2450885609111817,0.545178078368846,-0.18820161507939004
Rectus_R,0.3312164280016871,0.03718709096609733,0.04980892755370882,-0.07013024961863648,0.5325084830978906,0.12402603770239344,-0.2450885609111817,1.0,-0.08188149920719137,0.5538796124263412
Paracentral_Lobule_R,0.043482332016918396,0.4050260085420297,0.47730791052823046,0.2907101589326029,-0.08016887769154891,0.5090072772057168,0.545178078368846,-0.08188149920719137,1.0,-0.05260722127880551
OFCmed_R,0.09966078578780999,0.03987426060146628,0.01866368124062268,-0.2631813382528484,0.3046159357256733,0.125684004724568,-0.18820161507939004,0.5538796124263412,-0.05260722127880551,1.0
