,SN_pc_L,Vermis_1_2,Frontal_Mid_2_R,Cuneus_L,Rolandic_Oper_R,Paracentral_Lobule_R,Amygdala_L,ACC_pre_L,N_Acc_L,Red_N_L,LC_R,Fusiform_L,Vermis_4_5,Thal_IL_L,Thal_AV_L,Raphe_D,Parietal_Inf_R,Supp_Motor_Area_L,Thal_VA_L,Temporal_Pole_Sup_R
SN_pc_L,1.0,-0.06771918681354971,0.11652719066423918,-0.02075095305328983,0.010984211698340305,0.2631753192077389,0.08613086436895549,0.06549562565237906,0.2148594706316857,0.24764998022066614,0.07673413493228996,0.20796730331999627,-0.18488698309447793,0.544384888025312,0.06516721249256353,0.42561786431330256,0.023546022762828838,0.13937874380269522,0.3048079674914294,-0.1336774641818994
Vermis_1_2,-0.06771918681354971,1.0,0.21077083476994263,0.5800500153546015,0.27383479353680057,0.5064565897451564,0.1999456943346112,-0.19535308675186566,-0.14017179980420116,-0.054797187101096816,0.6797171246088383,0.6835264743640265,0.6977519747125245,0.09704347041275645,0.6228058352346765,-0.2819392485908775,0.5609969134555861,0.23162215559606594,0.051774804186819616,0.32222887698868174
Frontal_Mid_2_R,0.11652719066423918,0.21077083476994263,1.0,0.07885166767408867,0.3825774798776205,0.2199369574267553,-0.10268993245677124,0.49681083966696143,-0.22986269340992507,-0.02683053638015281,0.18537513548885123,0.41014104610265506,0.2168119122130039,0.0578007356841988,0.22764520653377138,0.2536954981722625,0.06160539415800992,0.2433346349120018,-0.04829694721189021,0.2852015216998236
Cuneus_L,-0.02075095305328983,0.5800500153546015,0.07885166767408867,1.0,-0.02116412163883467,0.4214457623462645,-0.07932167537290943,-0.10289948055923762,-0.4231960439690582,-0.4451488799514478,0.6365426275372545,0.5200823950913297,0.5386136351206278,-0.00960771269733032,0.27118698100131916,-0.5459872532694542,0.9299460994251372,-0.09813629851592756,-0.16290590837018937,0.1676227428023358
Rolandic_Oper_R,0.010984211698340305,0.27383479353680057,0.3825774798776205,-0.02116412163883467,1.0,0.41522429077657497,0.4664494614981382,0.26938704109176786,0.006394136502851646,0.07281438827842976,0.20361706394253745,0.33262642512658874,0.3057935114734053,0.067464183674246,0.3028649170448823,0.026723811558467512,0.04201215131917817,0.39324800988618713,0.07768871821732462,0.3192849553129602
Paracentral_Lobule_R,0.2631753192077389,0.5064565897451564,0.2199369574267553,0.4214457623462645,0.41522429077657497,1.0,0.3433699869102537,0.06575753298602499,0.11146038669505318,0.09632244461905806,0.6135891738380598,0.7568275567491457,0.37770445854127516,0.5254401944956268,0.5727988120137507,0.066312976144785,0.5482829246685814,0.48958067049492743,0.39632903462443375,0.20321978028666549
Amygdala_L,0.08613086436895549,0.1999456943346112,-0.10268993245677124,-0.07932167537290943,0.4664494614981382,0.3433699869102537,1.0,-0.11447512757712285,0.3678023719595372,0.24241921404145322,0.17703449711170072,0.1758442620832384,0.06880215789306338,0.2745162032397064,0.2921720425683085,-0.04934316249232434,0.028921938958597865,0.3823538080378123,0.3276136601147708,0.09038976535738852
ACC_pre_L,0.06549562565237906,-0.19535308675186566,0.49681083966696143,-0.10289948055923762,0.26938704109176786,0.06575753298602499,-0.11447512757712285,1.0,-0.20153321100462207,-0.060540546983175215,0.021101660724617933,0.11121850036920872,0.06494944222573976,0.004836504445953715,-0.1476655691088943,0.18871220799084304,-0.0697321272853912,-0.12380323460222314,-0.16459563358459942,0.22563565162942326
N_Acc_L,0.2148594706316857,-0.14017179980420116,-0.22986269340992507,-0.4231960439690582,0.006394136502851646,0.11146038669505318,0.3678023719595372,-0.20153321100462207,1.0,0.6970183291180334,-0.2627858254105119,-0.01096653516835694,-0.28938872311486186,0.549560046513134,0.25980848559062947,0.42548118426463805,-0.36385408414020276,0.4211491007874152,0.6998048195388415,0.048506421942695464
Red_N_L,0.24764998022066614,-0.054797187101096816,-0.02683053638015281,-0.4451488799514478,0.07281438827842976,0.09632244461905806,0.24241921404145322,-0.060540546983175215,0.6970183291180334,1.0,-0.11621136531863849,0.10115033466798701,-0.3355478585289848,0.5254508350173585,0.228528473653065,0.6208436889041637,-0.4230641350561205,0.4474523711034153,0.5418294003269419,0.167946313746201
LC_R,0.07673413493228996,0.6797171246088383,0.18537513548885123,0.6365426275372545,0.20361706394253745,0.6135891738380598,0.17703449711170072,0.021101660724617933,-0.2627858254105119,-0.11621136531863849,1.0,0.7513451745389721,0.675786281606061,0.2268026322750756,0.43372981712864145,-0.2092554670354058,0.673749894331142,0.15462813235755316,0.023613118735780723,0.1869676797370018
Fusiform_L,0.20796730331999627,0.6835264743640265,0.41014104610265506,0.5200823950913297,0.33262642512658874,0.7568275567491457,0.1758442620832384,0.11121850036920872,-0.01096653516835694,0.10115033466798701,0.7513451745389721,1.0,0.590583607264816,0.3782276399278706,0.554854667388892,0.01896597015089415,0.5787122150280708,0.37130296896354875,0.25376491762330033,0.4032599355547621
Vermis_4_5,-0.18488698309447793,0.6977519747125245,0.2168119122130039,0.5386136351206278,0.3057935114734053,0.37770445854127516,0.06880215789306338,0.06494944222573976,-0.28938872311486186,-0.3355478585289848,0.675786281606061,0.590583607264816,1.0,-0.04189196523749375,0.4140804453271426,-0.39375013934900566,0.5515551542621142,0.06102661133315349,-0.038297000130679944,0.33991226247186296
Thal_IL_L,0.544384888025312,0.09704347041275645,0.0578007356841988,-0.00960771269733032,0.067464183674246,0.5254401944956268,0.2745162032397064,0.004836504445953715,0.549560046513134,0.5254508350173585,0.2268026322750756,0.3782276399278706,-0.04189196523749375,1.0,0.3962392391765714,0.5066066313030296,0.07737089315698742,0.3933659947048281,0.6913501952432395,0.00697708388313193
Thal_AV_L,0.06516721249256353,0.6228058352346765,0.22764520653377138,0.27118698100131916,0.3028649170448823,0.5727988120137507,0.2921720425683085,-0.1476655691088943,0.25980848559062947,0.228528473653065,0.43372981712864145,0.554854667388892,0.4140804453271426,0.3962392391765714,1.0,0.06058116357538421,0.2652357583759184,0.5431627702079588,0.48873000294446994,0.27102453699905227
