,Thal_MGN_L,Frontal_Inf_Tri_L,Thal_LP_R,Putamen_L,SN_pc_R,Cerebellum_Crus1_R,Thal_MDm_L,OFCpost_L,Thal_IL_L,Cingulate_Post_R,Thal_PuM_L,Thal_VPL_L,Vermis_7,Occipital_Sup_R,Vermis_1_2,Caudate_L,Heschl_R,Occipital_Mid_L,VTA_L,Cerebellum_8_L,Olfactory_R,Precentral_L,Frontal_Inf_Orb_2_R,Occipital_Inf_L,Temporal_Pole_Sup_R,Temporal_Sup_R,Thal_MDm_R,Cerebellum_8_R,Occipital_Sup_L,Temporal_Mid_L,Cerebellum_4_5_R,Thal_AV_L,Parietal_Sup_L,Postcentral_L,Cerebellum_Crus2_R,Cerebellum_7b_L,Cingulate_Mid_R,Calcarine_R,ParaHippocampal_R,Calcarine_L,SupraMarginal_L,Red_N_L,Insula_R,Frontal_Sup_2_L,Pallidum_R,Thal_VA_L,Olfactory_L,Putamen_R,Thal_LGN_R,Angular_L
Thal_MGN_L,1.0,0.45801921912611465,0.156183091984564,0.4694046300119096,0.11298365382142016,0.05157118641367699,0.47020464678509605,0.38285249840421365,0.5434828502723568,0.5108900425897399,0.6327576307255879,0.6253536469909113,-0.3064607248933391,0.060316092707763114,0.4777828638023831,0.06723338530754763,0.30548109619982067,0.061326378160686756,-0.03522944196250518,0.40988939696551885,0.22877293496345763,0.5807470670492408,0.2482430519043927,0.15702079300528266,0.39325330321333596,0.3593680492758194,0.43170706334435216,0.25619676692205057,0.1712208006267876,0.34544023794161366,0.2404008074940729,0.5183800899090969,0.2124713836156622,0.4635762365895739,0.08757959743590911,0.3268553958769968,0.3744095511865608,0.2015028151326122,0.3376806283462131,0.26089662460672863,0.3296855928499359,0.43447295977863576,0.3911468406238295,0.4421237070876265,0.23558710567861996,0.3623721618160345,0.27806468585276556,0.3529213604308123,0.6022708328312202,-0.08062973447167052
Frontal_Inf_Tri_L,0.45801921912611465,1.0,0.1533689188870316,0.26470033541466365,0.04951429186239905,0.07844490518225322,-0.00850870686592275,0.4620640833088936,0.0009182256143330363,0.010234269573498295,0.3668350429962479,0.5190812808122964,-0.1418220276484381,0.15807626838980526,0.3694166595550913,-0.11560657551801577,0.4704404622666013,0.10515914768422148,-0.15959604309226896,0.08357398705283657,-0.23377230957670037,0.5336654051914229,0.4003882807708093,0.15383727357523658,0.40260756190930574,0.5469314386320365,0.190663347977393,-0.04565993907268923,0.05202956822024067,0.14896389638303692,0.24896883088367033,0.24993607827058026,0.32642685308378133,0.42593758917433705,-0.034305097131476114,-0.16305237267613665,0.18412705354010056,0.2555323358544727,-0.06575438201047268,0.3426321703536235,0.3604675624669122,-0.02593171346204206,0.34711734753830287,0.33763366300498876,0.2568844054118026,-0.03703514835858493,0.05867919692691391,0.41390006978605876,0.26062649051543557,-0.02262265610653917
Thal_LP_R,0.156183091984564,0.1533689188870316,1.0,0.3604202431710587,-0.023506374552838903,0.1546518043109464,0.22185395679839207,0.11369950692166393,0.06122050615628128,0.037688989846837224,0.16699726961246192,0.2338300046920424,-0.007252920886531261,-0.016050172713093572,0.13243469249398818,0.3981627378688739,0.17142698704655243,-0.22595679969735855,0.028537558570782,-0.12226401591815829,-0.043334981775820285,0.11169222860781722,0.25660318936847665,0.06728188021740189,0.08221043343165571,0.09799027904814854,0.26567180474184476,-0.12238925599635811,-0.2077738738584767,0.1579115669843179,-0.004894613613028893,0.35401068343285,-0.0631864432938938,-0.08559569763651256,-0.10570490944593462,-0.12456292278938343,0.4103744747276938,-0.058201029469173424,-0.06945071545112042,-0.0466156105346058,-0.12036181425907473,0.061093334243201465,0.12656587013215917,0.28002277053150176,0.45812337716264745,0.18605339424472056,0.17659980031875813,0.4152332463509571,0.04263698464566528,-0.08553422227989685
Putamen_L,0.4694046300119096,0.26470033541466365,0.3604202431710587,1.0,0.2033116759165288,0.08620292433371357,0.7172748440542621,0.22033702332917163,0.5603248381426126,0.2010019308854444,0.4756970103242534,0.6073431769008609,-0.02213598690310665,-0.10533815364201288,0.206072858350955,0.59796313489158,0.38254570080635647,-0.2017548865412553,0.20241809840627853,-0.14688465189305644,0.22827938306084278,0.3950283549908412,0.06934901077518912,0.12732077525119023,0.20083937101855345,0.2793555052158102,0.73671758139622,-0.16555728062542385,-0.1165454677221991,0.3674923471451257,0.07498530626706422,0.5131889534015392,-0.006501183090622715,0.09875413064791931,-0.12804842446588902,-0.053819914408310396,0.5483498472604301,-0.03652399589226938,0.040982032584737565,-0.04907779062880023,-0.10942201512577057,0.4785801166773235,0.17438692208656875,0.5575414283548771,0.6517580641717108,0.7033820536821042,0.6567482210960883,0.6278350723804775,0.3354344682315441,-0.04292510994909426
SN_pc_R,0.11298365382142016,0.04951429186239905,-0.023506374552838903,0.2033116759165288,1.0,0.2126347029971052,0.15639229054935863,0.01795787399644879,0.24425433797180326,0.07898679750913216,0.05960041987115176,0.09538710222809921,0.1430085262069662,0.3147806907221999,0.17618435311588088,0.09778817490715669,0.13753943988131048,0.2547409929959815,0.2146196179631766,0.15837863520991396,-0.10754936082069017,0.25550717255749705,-0.0186760308234279,0.23057889314311955,0.0745982967339077,0.33670383569268036,0.053284803086568064,0.1556312887568593,0.1869252729649175,0.1355858690124115,0.39726754218585175,0.028849665107797746,0.32185653695535393,0.39935996103119203,0.2537046546075714,0.19610696283484963,0.030069171203373813,0.3615422263079453,0.07348158700457105,0.34094064164137516,0.327082752802284,-0.10951558197678825,-0.1372521317165407,-0.045508065596340644,0.17543860790184215,0.16061488791687026,0.1497495139268122,0.034687434817650006,0.2923568776939283,0.16708564965141864
Cerebellum_Crus1_R,0.05157118641367699,0.07844490518225322,0.1546518043109464,0.08620292433371357,0.2126347029971052,1.0,-0.14250318041901597,0.07688386263265223,-0.07240720750597407,-0.24630207128987025,-0.21739991222515118,-0.039549972489718664,-0.04450824977654552,0.28318005308356675,0.23997959920895048,0.14705302493672903,-0.22233350810827202,0.27165717222245117,-0.13166798385456516,0.29945605081163895,-0.4133511532277789,-0.14841468915692066,0.5736613895973534,0.4587182167192586,0.11316299310486744,0.1172048174950922,-0.13989649287398423,0.25166608070303725,0.2973871376834868,0.453910466953607,0.43992306712180523,0.007910284784216494,0.329728601876161,0.1728909494619694,0.4396280191306971,0.24604572506399502,0.03749692172134802,0.373446454318357,0.15670853094563283,0.3572167318997901,0.30959500467617695,-0.2995162602754182,0.10217722537236702,0.20078434591503475,0.3947370306089238,-0.13482510508938642,-0.21291633486012354,0.21661686078714826,0.08178046536264053,0.13844408847902798
Thal_MDm_L,0.47020464678509605,-0.00850870686592275,0.22185395679839207,0.7172748440542621,0.15639229054935863,-0.14250318041901597,1.0,0.030288098693422656,0.7933640666308073,0.4052853661888806,0.682227402047852,0.6422122726998629,0.06248421956445349,-0.30712315811645585,0.01898185199189197,0.5010089836781276,0.3665237693174696,-0.2750256348958722,0.3498511298069298,0.05874734850115205,0.4447001451091399,0.4131376500989195,-0.23931550676519842,-0.1374319096503101,0.11670923221146676,-0.0030660096262262143,0.8196288158963937,0.11157008719405212,-0.11916942829290825,0.3029303699421352,-0.21976512572027512,0.4936037929540217,-0.15744878769733675,0.0716158502709557,-0.202023997694464,0.14265001339526226,0.4523162404890259,-0.28267111376174037,0.2654262805708723,-0.24857239013061072,-0.21266329244365423,0.6170991144855915,0.222961205608537,0.3017461971213112,0.2844502758914596,0.8394025489356072,0.5710458748011644,0.38028775765945877,0.36516786256611383,-0.08883118598344321
OFCpost_L,0.38285249840421365,0.4620640833088936,0.11369950692166393,0.22033702332917163,0.01795787399644879,0.07688386263265223,0.030288098693422656,1.0,-0.047071150143443916,0.2784915403156018,0.05005441246378674,0.17006789431947747,-0.30205091536122886,0.3374954150657979,0.6076450344722122,-0.07722158877543173,0.13736860552762503,0.3019041816546808,-0.37554572947594944,0.05822972413469807,-0.03936057739612458,0.3469774004481974,0.35065376857985325,0.21266942071656378,0.5523700252419841,0.4654724980670783,-0.018322789314249598,-0.19575074503536227,0.1951638544180663,0.2297463164991732,0.5180884415441243,0.5288860486223128,0.40196552421970494,0.4039234749453539,0.05430275360566846,0.06211264685744997,0.18428515117005365,0.5097814079085377,-0.2787502574916648,0.5551897971358073,0.47312984664480445,-0.04304691991067669,-0.03374990963955776,0.4511859403964762,0.051353451786143624,0.09864170673898079,0.18801926695055365,-0.009143109904527467,0.04338794651109443,0.039239867236907845
Thal_IL_L,0.5434828502723568,0.0009182256143330363,0.06122050615628128,0.5603248381426126,0.24425433797180326,-0.07240720750597407,0.7933640666308073,-0.047071150143443916,1.0,0.46284375699606245,0.6248015311020796,0.5975377847310699,-0.021767408150410502,-0.23988632000835833,0.09704347041275645,0.270915975668218,0.29503468475766476,-0.06471058689425738,0.4214723888039204,0.3576412264643102,0.46983173218823593,0.4493879860741386,-0.19191084441647352,-0.07565830647103976,0.00697708388313193,-0.04654551468354893,0.5826162723719758,0.3849334044819917,0.03543831056333239,0.3433443895214814,-0.12391071833028346,0.3962392391765714,-0.001979919956118851,0.27970638749003646,-0.025824004522474346,0.3522381586085654,0.29130274127293243,-0.17752879626229556,0.4833133891460889,-0.15269474998894972,0.05657559584893391,0.5254508350173585,0.16907485981585915,0.18059020240668702,0.205355411516165,0.6913501952432395,0.46756063845734624,0.2594155033995633,0.5726556470169374,-0.0859137526044436
Cingulate_Post_R,0.5108900425897399,0.010234269573498295,0.037688989846837224,0.2010019308854444,0.07898679750913216,-0.24630207128987025,0.4052853661888806,0.2784915403156018,0.46284375699606245,1.0,0.48399091988113996,0.41273254386482633,-0.2441532254379791,-0.0670163496123036,0.32715495501953656,0.061147128130962,0.3399778578461852,-0.018413180782581043,0.07941302331827936,0.25439018236635424,0.5149474878627206,0.5370238212064096,-0.10703138674677178,-0.10904637748636563,0.216574470205698,0.2142453801687833,0.2620216813869576,0.15428442940477752,0.05289879075116303,0.1547991387810674,0.07428159970539276,0.46805130220489866,0.16345675911922883,0.3983407276997288,-0.08479870270156309,0.2928065442793799,0.34164919951544387,0.05630130998837229,0.3140158592662652,0.11659749864883663,0.19146334002458093,0.35696929815596923,0.1016176317563958,0.23884649271481745,-0.11424499439664476,0.3547205944238822,0.3502914469926493,-0.0502615747655168,0.4175944973628907,-0.1952122151359876
