,Cerebellum_4_5_L,Thal_VA_R,Pallidum_R,OFClat_R,Pallidum_L,SN_pc_L,N_Acc_L,Vermis_1_2,OFCmed_R,Cerebellum_9_R,Cingulate_Post_L,OFCant_L,Occipital_Mid_R,Heschl_R,Cerebellum_3_L,Cerebellum_6_L,Frontal_Mid_2_R,Thal_PuM_R,Thal_PuL_R,OFClat_L,Rectus_R,Cuneus_R,Frontal_Sup_Medial_L,Amygdala_L,Frontal_Med_Orb_R,Frontal_Sup_2_L,SN_pr_R,Red_N_L,Cerebellum_3_R,SN_pr_L,Thal_PuL_L,Thal_PuA_R,Thal_Re_R,Frontal_Inf_Tri_L,Cuneus_L,OFCant_R,Thal_MGN_R,Cingulate_Post_R,ACC_sup_L,Thal_VL_L,Temporal_Sup_L,Postcentral_R,Cingulate_Mid_L,Cerebellum_Crus1_L,Cerebellum_8_L,OFCmed_L,Occipital_Inf_R,SupraMarginal_L,Thal_MDl_R,Precuneus_R,Occipital_Sup_L,Amygdala_R,Parietal_Inf_R,Hippocampus_R,Cerebellum_Crus1_R,Thal_MGN_L,Thal_MDm_R,Temporal_Mid_L,Precentral_L,N_Acc_R,Frontal_Inf_Oper_R,Heschl_L,Insula_R,Caudate_L,Lingual_R,Cerebellum_4_5_R,Calcarine_R,Fusiform_R,Cerebellum_Crus2_R,Vermis_9,Insula_L,Olfactory_L,Paracentral_Lobule_L,Raphe_M,Temporal_Pole_Sup_L,Parietal_Sup_R,ParaHippocampal_R,Rectus_L,Angular_L,SupraMarginal_R
Cerebellum_4_5_L,1.0,0.33094544606997406,0.18192963447508767,0.4543359215030033,0.10541738911436552,-0.0815986935580225,-0.229786482922736,0.7767717784558072,-0.19598437518254785,-0.2135477573097177,0.39933691839970276,0.509548917771236,0.4598875738218218,0.11603186667403863,0.7294464728392529,0.7448505464158237,0.29444716721232367,0.13432667135653825,-0.12665818147484023,0.700535095626918,-0.32515951634460705,0.6496024449976278,-0.010942525110225247,0.1331971967560201,-0.33175074944845584,0.4212271284817309,-0.16111678038987254,-0.25395043500824943,0.5585580889266513,0.33207429291994556,-0.17631199658332125,0.2974146773752582,-0.03629865041852027,0.4316087748602114,0.7384905409029568,-0.37578658882931615,-0.5287801864035611,0.3266547212236393,0.23680395769341406,0.1316479443819041,0.55772381036633,0.7159504852989004,0.31848842642765557,0.33553124352803904,0.25746420090680855,-0.16655746269979255,0.46684869357539327,0.754236320265951,0.37446996968994933,0.7900104420940623,0.3746657792995696,0.0809269471403438,0.7298791108439818,-0.01896844966004868,0.30260790294815537,0.46868681283579033,-0.10369245752146702,0.3225529568023417,0.46802297040861307,-0.37698302982378545,0.45478726448543333,0.13636815930167492,-0.01903971727909001,-0.08331042433432621,0.832552694156654,0.8262161518927895,0.8182924021547916,0.46418586634008124,0.29804750223747295,0.5575521417349716,-0.135197159499066,0.03209576543195429,0.5760421727418008,0.4913211092977517,-0.6844510549809932,0.5714390950617234,-0.133689851990843,-0.3474033293052978,0.04534144111494646,0.7724538064142598
Thal_VA_R,0.33094544606997406,1.0,0.5400457955217516,0.1375025968262539,0.5855532335115162,0.332767761855299,0.028703340605422234,0.19426445619422705,-0.18414188026155076,-0.0403325260970063,0.47121507762604636,0.29519114044979144,0.06765467322473688,0.3386796423569189,0.18086013521139532,0.24629159914823262,0.3544697573549002,0.481011133592966,0.18957556732076808,0.2277154486848128,0.0644833381471819,0.13222648486603447,-0.08404848301478825,0.20983675072417027,-0.23818577110443123,0.3525046858777011,0.1584487914987014,0.007969151263635989,0.2805160335094241,0.2372472542430973,0.26628414085536034,0.2767806813017682,0.12053452328222626,0.42599286025049393,0.21247629997720263,-0.10882187067803825,0.10549859044969141,0.028018757243599125,-0.008377545210441754,0.6056839605302256,0.4688251345649587,0.383036384251414,0.41656449294938663,0.187926671122845,0.01455684002733583,-0.30439609240624466,0.18488706936749924,0.17410382835278881,0.5415024229191181,0.3231708171596421,0.15949742007822143,0.1739831828394933,0.2783161094371841,0.23789103675597637,0.16390452796746402,0.35907711519111696,0.48101882844182475,0.2731294666878649,0.3687373427835077,0.02170806251181491,0.5763655067019667,0.296337768835891,0.2768200785965706,0.24762447480415323,0.3548803417832122,0.2610837641507413,0.2578295696936134,0.28674444292965134,0.10935004695715975,0.07162911101821196,0.13798674558422552,0.23275947402073027,0.5394249615718941,0.29347988167849764,-0.12943733907850208,0.24711952900865364,0.12258818476312205,-0.04924737041355673,0.02058708214339484,0.2800340779541762
Pallidum_R,0.18192963447508767,0.5400457955217516,1.0,0.1524520430382851,0.6043461048552514,0.21094507911869803,0.041896953807661744,0.1326222283521611,-0.17680078421536882,-0.0998736310606916,0.1388932767514394,0.23106449281989747,0.03702612966738726,0.21053362161070024,-0.08414036442548328,0.14454974096778522,0.5278566017706219,0.2582034623287722,0.14195457434886086,0.06119731909960646,0.16392729170059778,0.00048051766781321984,0.17062644412814754,0.038364191106071144,-0.17162137574587913,0.4983774946062888,0.12097508935345697,0.050400415391143746,0.2203491686405056,0.176290184487905,0.15954695365202762,0.20043962871577134,0.18184642131404993,0.2568844054118026,-0.0033204080960991277,-0.15923741391372126,0.18381403519585152,-0.11424499439664476,0.3085830203093475,0.43277640965751335,0.5309599058718544,0.07944361209770762,0.5057193016742141,0.14821350790217402,-0.1223303719790219,-0.469953822847692,0.05665914693237459,-0.07357180901855563,0.3215699948596346,0.0848229802437913,-0.06994841256317791,0.0204077156686178,0.058400435914622705,0.04464821483409394,0.3947370306089238,0.23558710567861996,0.4128198858213529,0.4775823807091315,0.0611981118951914,0.14129823966924993,0.21819309915233256,0.24602952679678666,0.2696578291160279,0.6376685232852227,0.16114455327833413,0.18194744562287365,0.09236994701497689,0.17086818799181996,0.07844485560091781,-0.10684987607391579,0.25915922495457167,0.29222862669379307,0.24452230515878384,0.2968652291861106,0.06499515459197752,0.10806979010604911,0.0897809627678224,0.020598164125655682,-0.03909167170560088,0.01196170418635542
OFClat_R,0.4543359215030033,0.1375025968262539,0.1524520430382851,1.0,-0.060256659203134964,0.14215013880770655,-0.28772300836759396,0.42062237848612793,-0.23462399528615158,0.2715426912086715,0.14973083926544414,-0.06455162491355236,0.1808031052673811,-0.2079593172990717,0.30639032326925447,0.6499066406884848,0.3761177924482979,-0.061002753146371866,-0.1415659595167385,0.6573765846006258,0.013398367483571245,0.4583541777238825,0.22531626628713358,-0.37714271027129237,-0.0820833213425032,0.2084214297308286,-0.016103003172461855,-0.25549864323597654,0.69971720247651,0.26706001945734664,-0.17153850501419263,0.09053923302595443,-0.1848719654616251,0.27188458196963833,0.5761503543155326,-0.13995053315320347,-0.2009381876259247,0.052662143931459536,0.02940273946915192,-0.16854337506689343,0.39441120593530377,0.3960989462484403,-0.028438615718407563,0.5063955693304447,0.5700223419968508,-0.07905295852297894,0.1559906567272957,0.6239296910547468,0.0027428358635674267,0.47297207538388747,0.4685780345140728,0.03822649629237052,0.5519038131393286,0.21405111622067496,0.501245972274555,0.35131283549634723,-0.2534918688052377,0.36838507558610706,0.09513004105749163,-0.05989157252417488,0.287483673790283,0.05086828217483187,0.24816868399423533,-0.21139739467906624,0.22482993109894117,0.42211862318059995,0.44230087803061374,0.3141360221545606,0.4590505980147051,0.6980120486620202,0.049936761494718464,-0.24723891240716447,0.16401650701700368,0.38676694340035034,-0.15741277358713598,0.34795984964055415,0.3432832093373772,0.05956134295517657,0.053416591435856434,0.4294141314135053
Pallidum_L,0.10541738911436552,0.5855532335115162,0.6043461048552514,-0.060256659203134964,1.0,0.3691700407399366,0.4863388541200226,0.08536017055743875,0.00816143136911771,-0.01812844795555547,0.2903855333077226,0.1910798725333286,-0.09638979065395495,0.28199237907566316,-0.11894297397290775,-0.0012460538954153209,0.18815941070107284,0.4941451323502208,0.3968146208525726,-0.03326709649900975,0.1523226821388534,-0.10274551307429791,0.0791549145588971,0.2761276974729176,-0.29354736948542365,0.42481105297986294,0.33542159392738924,0.39758409181086096,0.1107743195115818,0.2695051322861018,0.21431847839976387,0.3949659768782353,0.49611920049565505,0.12583151152378858,-0.07090520069001381,0.0069922880530436365,0.2638402978568478,0.14747728890735837,0.33120857145467913,0.7547188195745803,0.33281018856407035,0.17784355963778645,0.48074431763838804,0.11622591508613993,-0.045797492740603366,-0.2905331880701296,-0.06822593414314548,-0.07726307588624472,0.6408297739597832,0.07616438171266748,-0.07457930485540874,0.3067454496973322,0.010274619168352352,0.23048083990697668,0.12415490664068984,0.37999281556191444,0.6900782161908516,0.32217261276050235,0.32690804674622614,0.47223279582636507,0.2545942635777087,0.29266195947022916,0.12400291875540952,0.5512869191084808,0.07370532153959815,0.04049314111839798,-0.04961416110562976,0.051772170947845496,-0.04141301410711861,-0.15262285237520953,0.37964877413467457,0.5308967522610307,0.4390759594307785,0.41271189664851554,0.10570542543271803,0.02458380113231285,0.17519142017603379,0.03565831889864696,-0.03389359726816321,-0.044356798023148944
SN_pc_L,-0.0815986935580225,0.332767761855299,0.21094507911869803,0.14215013880770655,0.3691700407399366,1.0,0.2148594706316857,-0.06771918681354971,0.15280830588127,0.3887691297528977,0.226687001891392,-0.1200940040853764,-0.24899761925678568,0.09621696285408206,-0.20745942381894283,-0.024460682418950067,0.11652719066423918,0.36198171448690386,0.27635022511472046,0.022269875985119012,0.2879889513715536,-0.0693601786290886,0.0229953240849739,0.08613086436895549,0.1360946047798807,0.08036132840396742,0.24443664159757045,0.24764998022066614,0.21509460073134118,0.44234105230761456,0.12895165291936642,0.24962135331283497,0.14714382242841953,-0.04114749888936917,-0.02075095305328983,0.30087859411979645,0.4276789750723332,0.1614995319829939,0.11725631062768269,0.26650288406797407,0.22311283778803842,0.06681363554267113,0.14022704639923417,0.18223930987509981,0.2788691027157631,0.02966051953948774,-0.28083729141385605,-0.04421419483675491,0.22836857397872506,0.005056563572744832,0.12617461605171837,0.3897657120435254,0.023546022762828838,0.4667904332973907,-0.041011437206592734,0.31654866652332453,0.34849220974413614,0.22207773073471512,0.11914769285550814,0.3734409891784265,0.13395055874211811,0.24995874692976386,0.24118828291412642,0.22135292981867105,-0.16839750609441723,-0.17960900253982054,-0.1636426268888484,0.0031258561829587447,0.06749207848214259,0.029400632148134966,0.3530422298129555,0.2250640969771904,0.17579097456489146,0.21507551855677567,0.29153266768331115,-0.061916551094573696,0.4755327030674404,0.28266806743780254,-0.08626057189791843,-0.17105912700994697
N_Acc_L,-0.229786482922736,0.028703340605422234,0.041896953807661744,-0.28772300836759396,0.4863388541200226,0.2148594706316857,1.0,-0.14017179980420116,0.35997163827996875,0.0710811789719281,0.15722842102141799,0.010600411827667881,-0.38837927489639956,0.22192120316880382,-0.2622975597322267,-0.4775576387900125,-0.22986269340992507,0.37981713810075396,0.43168678051628945,-0.30004780242898327,0.12093432930367312,-0.35756132938850244,-0.0444528689170585,0.3678023719595372,-0.07946244288657005,0.12268242787415694,0.22565993906218254,0.6970183291180334,-0.24975904281607175,0.27570921704729373,0.24831354984392323,0.4554631583279023,0.6403040628029769,-0.14629101478747827,-0.4231960439690582,0.23416089758574862,0.36060179819071436,0.3507164026609505,0.3225057960365234,0.5506384859268251,-0.10346001251722363,-0.12017688600961841,0.11287653975335962,-0.16401416175772646,-0.08860182041363941,0.22987600596665925,-0.3749661750452481,-0.3457354188240165,0.4718053402195365,-0.29180223530794264,-0.29252280447525886,0.46271503772845396,-0.36385408414020276,0.2879315976173107,-0.310233111519978,0.28251131851365285,0.6452836008982568,0.006465963593015632,0.2174360733978955,0.7207940032193725,-0.07152706609176994,0.25717500936171306,0.09496879717590366,0.2987167944572056,-0.21383174452323309,-0.38443985152298493,-0.44050914991824724,-0.17953845145833947,-0.29330952961238516,-0.3570258359526626,0.5221349340803569,0.6698347357003898,0.1165847642136005,0.15938691837503913,0.40180792849494107,-0.4071715435499939,0.1856901082529593,0.08624563014539334,-0.08868940235786779,-0.3680159463988814
Vermis_1_2,0.7767717784558072,0.19426445619422705,0.1326222283521611,0.42062237848612793,0.08536017055743875,-0.06771918681354971,-0.14017179980420116,1.0,-0.21956717167504688,-0.2082045222584323,0.30536679696393493,0.471414585201341,0.2806718052175103,0.17055335756425238,0.5984392136300662,0.5650682383116852,0.21077083476994263,0.05914411191241852,-0.1202645417933922,0.5984281320355099,-0.42458965563965895,0.46454905376799716,-0.06593282792494942,0.1999456943346112,-0.34841425917851776,0.38074004697300823,-0.25911421246217997,-0.054797187101096816,0.4933996827409256,0.42435748496182,-0.17986139158027437,0.41563662892567965,0.1212638005128695,0.3694166595550913,0.5800500153546015,-0.3244816807791868,-0.5127955864641072,0.32715495501953656,0.27660432769295207,0.14589695609006495,0.5183267374079257,0.6246525148220776,0.3305480551684375,0.31193435160974614,0.2453577974506795,-0.12342599374094411,0.30903361888188224,0.682867024725593,0.315017325278607,0.6320784926845899,0.29535298161220364,0.12449681104669316,0.5609969134555861,-0.033096882775503794,0.23997959920895048,0.4777828638023831,-0.16410017063406276,0.43177554915610117,0.4067551165275372,-0.28024694117032856,0.3552689987993683,0.10450323070630665,-0.14077953305684282,-0.09941847751203023,0.6957269703627607,0.6957668946033086,0.6466031890427641,0.11895389746134075,0.12799506526270554,0.5192555912030771,-0.060865159936059676,0.0648555215904972,0.4945577590057968,0.5825337702132047,-0.54466219952316,0.40296750191971514,-0.21365115763955952,-0.4157959500918637,-0.0500060244431773,0.6055918354596466
OFCmed_R,-0.19598437518254785,-0.18414188026155076,-0.17680078421536882,-0.23462399528615158,0.00816143136911771,0.15280830588127,0.35997163827996875,-0.21956717167504688,1.0,0.26110202421451445,0.09752233798914672,-0.17897480479104005,-0.338374223036841,0.01866368124062268,-0.3294784051550106,-0.2541859859670073,0.03663600192144726,0.27312971744116543,0.24696392366744682,-0.3178643837959287,0.5538796124263412,-0.22069432240264644,0.2109576453078731,-0.11615877643611582,0.5456435256688,0.11916719666902717,0.09800015446640815,0.4595724433254418,-0.09114717164900697,0.06177357614762819,0.28065442594833984,0.22803874753572775,0.20299729200094663,-0.12984085318175365,-0.33569638349793773,0.6693741499363716,0.41927853361040707,0.2708868119296695,0.2447977773625208,0.13559521588365006,-0.0677757841712841,-0.2601582570307945,0.030452611336712784,-0.07567039620940552,0.14775565720432735,0.48591810126364693,-0.3324808851495822,-0.3890957344787226,0.1101428607587771,-0.31254351217418236,-0.16548572185967822,0.33340254464935765,-0.3596170950788463,0.28513088939421655,-0.2506470710566671,0.15885186045396296,0.30245267322310626,0.021012030872111998,-0.06809031129459735,0.31701888137815165,-0.11462406838339007,0.2021297112023856,0.40576500050823666,0.20814424227174216,-0.25556365501777095,-0.38349358095627395,-0.3885588542277516,0.10693012457159923,-0.1297552493159096,-0.2304869986979026,0.5364278425434198,0.02523808748862088,-0.1421409456860509,-0.027057374918764282,0.49809270472894496,-0.4212553468207154,0.37446327694985665,0.5278561216308422,-0.09642207048382903,-0.4141688487003901
Cerebellum_9_R,-0.2135477573097177,-0.0403325260970063,-0.0998736310606916,0.2715426912086715,-0.01812844795555547,0.3887691297528977,0.0710811789719281,-0.2082045222584323,0.26110202421451445,1.0,0.2018024047535331,-0.6581005619818147,-0.40495109301956367,-0.002707008727496324,-0.25633625924232034,0.04304660481542034,0.11106632421496532,0.289266701225874,0.41330407563830446,-0.03881674090470949,0.5421597140155426,-0.1214704353912905,0.24153151419307217,-0.2690637483165216,0.3735045186463096,-0.08502059823948271,0.30351736631240545,0.1925800077529241,0.30246424179719167,0.06049413805286504,0.08860894361940533,0.13185939156556237,-0.1041947869632723,-0.11197582241067976,-0.030150649360409013,0.5774545478150491,0.5660304422723772,0.20349288534884075,-0.022995541230220004,-0.021889144585964065,0.17646787946733405,0.026565196201838476,-0.1582227026475255,0.4923126090330915,0.7976238824081748,0.154656744235169,-0.4957733342001302,-0.026277292820047295,-0.02715449684605064,-0.05226278384356448,0.11980716077399776,0.33138807944654375,0.038455377041888325,0.627006519906136,0.12735894825445132,0.2056624011575585,0.05700771708052453,0.29683314063149974,0.013593423009746908,0.45653653257369187,0.08667247451317542,0.261533742150883,0.35430800178419974,-0.006757695289119895,-0.3646763159087621,-0.3493359163718669,-0.3071688879651694,-0.020270647170514123,0.12179061448794748,0.3383003207803568,0.40799630984515556,-0.10827842171857989,0.053504981530770344,-0.00987988907255148,0.5036368430831561,-0.0676227560848335,0.7520373157496486,0.5439889937646855,-0.09074115715425182,-0.27140123681701267
