,Supp_Motor_Area_L,Putamen_R,Fusiform_L,Paracentral_Lobule_R,Occipital_Inf_R,Occipital_Inf_L,Frontal_Inf_Orb_2_L,Cerebellum_Crus1_L,N_Acc_R,Parietal_Sup_L,Rectus_L,Occipital_Mid_L,Fusiform_R,N_Acc_L,Vermis_10,Occipital_Mid_R,Cerebellum_Crus2_R,Thal_VA_L,Thal_PuL_L,Thal_LP_L,Parietal_Sup_R,LC_L,Cuneus_L,Cuneus_R,Thal_MGN_R,Paracentral_Lobule_L,Temporal_Pole_Mid_L,Angular_L,Thal_MGN_L,Frontal_Med_Orb_L,ParaHippocampal_R,Cingulate_Post_L,Frontal_Inf_Orb_2_R,OFClat_L,Cerebellum_4_5_R,Red_N_R,SN_pc_L,Frontal_Mid_2_L,Lingual_L,Pallidum_R,SN_pr_L,Temporal_Mid_L,Thal_MDm_L,Thal_LP_R,OFCmed_L,VTA_L,Pallidum_L,Cingulate_Post_R,Thal_IL_L,Postcentral_L,Cerebellum_9_L,Frontal_Sup_2_R,Frontal_Sup_Medial_R,Cerebellum_3_L,Heschl_R,Thal_LGN_L,Thal_AV_L,SupraMarginal_R,Amygdala_L,Frontal_Med_Orb_R,Frontal_Inf_Oper_R,Cerebellum_8_R,ACC_sup_R,Rolandic_Oper_R,Hippocampus_R
Rectus_L,-0.2628187065261247,0.28678430176230124,-0.11213987041947819,-0.17432004966555534,-0.40808097502428436,-0.15867671429588465,-0.5678033274810589,0.1838922629439832,0.409270899350074,-0.3687657259470411,1.0,-0.2863041363484109,0.07329154052089756,0.08624563014539334,0.5024445137372651,-0.33571592816718154,0.01500727114475507,0.019658309550248294,0.26627210294547016,-0.1651399930310819,-0.36770518707245764,-0.48665973809596424,-0.32155689721273595,-0.27358707377441754,0.6620914815918384,-0.2738266756472753,-0.07799448819819838,-0.09557981567626844,0.022737296210453582,0.703126482056831,0.6703504392465723,0.0021204428856421327,-0.054775671186544556,-0.3308289468958389,-0.4553468915034864,0.29654310008936513,0.28266806743780254,-0.1615810291560084,-0.4849307853844788,0.020598164125655682,-0.14203902102259625,0.14988263101175597,0.11006826552792967,-0.033033767299645,0.2775571123168147,0.2854444372466137,0.03565831889864696,-0.0683748898729527,0.22123259457803698,-0.24518962303820602,0.5227980874364829,-0.08362135606991217,0.18904143626462974,-0.3840482286766171,-0.011307383849264701,0.2509149998989769,-0.38326587786007793,-0.44913372927198003,-0.456013051814401,0.6225228848405346,-0.025510293556429503,0.49616588983546456,-0.07412708085575904,-0.19230111559920904,0.42249029077610606
Occipital_Mid_L,-0.14061625708131434,-0.34979520946078857,0.28732128333722445,0.24158974767164157,0.4009705896087252,0.38531270055040623,0.5539942371760576,0.3260994549440623,-0.32152811671113585,0.5498298856750491,-0.2863041363484109,1.0,0.35169213636945124,-0.34717335012504874,-0.22774487280688788,0.49055571694759154,0.5371264918993991,-0.165477167848363,-0.45370283073595286,-0.1636414052854813,0.5742122854949698,0.517892773049272,0.7637508264659961,0.6661501856519109,-0.5492998607846517,0.28575580414825835,-0.1353970316207322,0.3358419329210299,0.061326378160686756,-0.3376715943373045,-0.08861404168916089,0.027293932252583177,0.31387643807343885,0.5936773428281434,0.6164785439408952,-0.500062506151989,-0.07836417973357271,0.01933450381328598,0.5118419358136462,-0.12948867049859164,0.05298803807037068,-0.028242866581568236,-0.2750256348958722,-0.22595679969735855,-0.19240871905877502,-0.24159959481401652,-0.14604383601900503,-0.018413180782581043,-0.06471058689425738,0.5588883062753818,-0.0031214021781267812,0.014862519605422661,0.0013496378545200822,0.4836854919905067,-0.27931510739824694,-0.2587397183639755,0.09796666361787848,0.693183821536258,-0.06598504619980762,-0.2869752084216314,0.16968698699140697,0.21532484812155553,0.011927136503043475,-0.05367778783765588,-0.16848828573568336
Fusiform_R,-0.07523611715700518,0.07860508399613285,0.4075228846299387,0.2049749507684228,0.4176972029653376,0.4117332780319889,0.24813725123897765,0.22628871667713177,-0.2305393646275269,0.24110073205599078,0.07329154052089756,0.35169213636945124,1.0,-0.17953845145833947,-0.03991132915517368,0.4613770822475394,0.6825241738394249,-0.043143203494931046,0.01808378713628409,0.07202485056521674,0.3027134254201385,0.22261504843229826,0.4982625761951164,0.4876201671967887,-0.20116462670371424,0.1956360934297103,-0.1287792450849845,0.1455727234167756,0.30681782793400786,0.056301981056251414,0.27838649782382835,0.20891879630118487,0.4772262528609984,0.375040651628932,0.5673201524257372,-0.08953057682589338,0.0031258561829587447,0.2787214445444823,0.3711757051117967,0.17086818799181996,0.0951075744230259,-0.017265440711668523,-0.10380976199619067,-0.0521447448680842,-0.11024722013522453,-0.18216714381195778,0.051772170947845496,0.06720814413210249,-0.049930135820289406,0.3617349460609952,0.24194504194778077,0.1684484236999485,0.28974805144500365,0.37209448124822697,-0.15682236655266005,0.0963016040922612,0.1015085930334253,0.5216530899226998,-0.17925914200971343,0.08167436407270637,0.3207565571473966,0.18756798193478266,0.267882686445581,0.08407038955514988,0.11140383957713368
N_Acc_L,0.4211491007874152,0.12717585319308922,-0.01096653516835694,0.11146038669505318,-0.3749661750452481,-0.3326655642969884,-0.19066430315679306,-0.16401416175772646,0.7207940032193725,-0.398035955509718,0.08624563014539334,-0.34717335012504874,-0.17953845145833947,1.0,0.218388382309227,-0.38837927489639956,-0.29330952961238516,0.6998048195388415,0.24831354984392323,0.23822907464935822,-0.4071715435499939,-0.32091888744808017,-0.4231960439690582,-0.35756132938850244,0.36060179819071436,0.1165847642136005,0.22135690638577832,-0.08868940235786779,0.28251131851365285,-0.08269727837814561,0.1856901082529593,0.15722842102141799,-0.4349546298400023,-0.30004780242898327,-0.38443985152298493,0.5856291546823489,0.2148594706316857,0.13267699902377286,-0.24447656770329168,0.041896953807661744,0.27570921704729373,0.006465963593015632,0.6801822957937887,0.08698765361466985,0.22987600596665925,0.20084565967346701,0.4863388541200226,0.3507164026609505,0.549560046513134,-0.13894622968751827,0.0864589080035695,0.12277943212160139,0.017839770865266655,-0.2622975597322267,0.22192120316880382,0.5544806129227724,0.25980848559062947,-0.3680159463988814,0.3678023719595372,-0.07946244288657005,-0.07152706609176994,-0.028271824992749543,0.3223313244901046,0.006394136502851646,0.2879315976173107
Vermis_10,-0.018255489648949737,0.2148900809453615,-0.09835747487007213,-0.00972131584987717,-0.4544256864436063,-0.14201015950798915,-0.39156319319057753,0.06208820077004438,0.38136095696315403,-0.37070262335036297,0.5024445137372651,-0.22774487280688788,-0.03991132915517368,0.218388382309227,1.0,-0.42155807530253747,-0.05555470803362279,0.11841996198349905,0.16752119387920236,-0.08563267336390687,-0.3181873940243702,-0.470170989716568,-0.29724464284029123,-0.2181439295132893,0.5432700338515503,-0.12982761502194134,0.15854360502135692,-0.10937045132094063,0.10240425376374719,0.40829764753692976,0.5439611822202148,0.08038098761885629,-0.09175799352492817,-0.2044677285590589,-0.5244120307015724,0.25077710584703944,0.3550748616115046,-0.024403523932473126,-0.4708364032530964,-0.02919868879604858,0.12452644336339933,0.1350100741396757,0.20911186441381596,-0.06561908466423955,0.24532091447995225,0.3033694259348983,0.031106798590634917,0.06205328205917535,0.26837397967738,-0.25639382996487853,0.540338659699414,0.05978969387284089,0.17511605465613564,-0.455747829539146,-0.00413266332784474,0.3632769773290191,-0.13460148321372492,-0.47724143534356034,-0.2830182094539545,0.4064166592896354,-0.11789788072883892,0.4617985544060761,0.11098096206124668,-0.17366213478113032,0.43053462385162766
Occipital_Mid_R,-0.221739056940854,-0.27101894571600044,0.13151679699504296,0.04744077037766364,0.657814589456635,0.39993111966902334,0.4075596155164545,0.040037809216094775,-0.546887781655702,0.3826588051092699,-0.33571592816718154,0.49055571694759154,0.4613770822475394,-0.38837927489639956,-0.42155807530253747,1.0,0.5306619761306745,-0.24818344280456656,-0.4358024894002425,-0.13619544371777295,0.4912470648448081,0.44967363092951457,0.5824152331309852,0.5830175399625865,-0.6532355817244092,0.0982416147954643,-0.24639368329326558,0.17095020752522785,-0.09649649947602336,-0.3738786016714823,-0.34536165875188,-0.12179145663982476,0.2402408190098012,0.4013567431942215,0.6549671490868604,-0.5263343535674854,-0.24899761925678568,0.03258586001218464,0.44801535642215745,0.03702612966738726,-0.04182143453069807,-0.24183312131847728,-0.38971725460453993,0.0017410148570337054,-0.25760762909423635,-0.2960280172908304,-0.09638979065395495,-0.1571274462952559,-0.3241211632925005,0.35016460537015776,-0.23269562722591267,-0.19219560425749072,-0.18954783118538923,0.5157739406819617,-0.20271439036019212,-0.4570468994099822,0.0726256839210314,0.688374282094038,0.02923627544271835,-0.3408717609590126,0.08652828002242915,-0.21421437427054935,-0.04088652007670973,0.026143399885159242,-0.4468632030781986
Cerebellum_Crus2_R,-0.23522565790010908,-0.13730945109505796,0.22564975769499937,0.0632525563902457,0.3465180948432027,0.4223423428397655,0.2384609478011575,0.3376816989726857,-0.19351132168189725,0.29865962393802,0.01500727114475507,0.5371264918993991,0.6825241738394249,-0.29330952961238516,-0.05555470803362279,0.5306619761306745,1.0,-0.17569942499140243,-0.2990344279776988,-0.19907982826153955,0.38943260899916843,0.23660143396320693,0.6083035255067962,0.5896384883381681,-0.2938187341875614,0.07656031393067252,-0.18470479893719663,0.282830489083359,0.08757959743590911,-0.11784360435906695,0.2095719352522944,-0.05002915508547763,0.38946784891010006,0.40119827657277995,0.556236922281267,-0.38458472003788696,0.06749207848214259,0.04812607401064128,0.24710187129075561,0.07844485560091781,0.06444633451449872,-0.042155494725174825,-0.202023997694464,-0.10570490944593462,-0.20933490227083823,-0.0588638799073038,-0.04141301410711861,-0.08479870270156309,-0.025824004522474346,0.32821510310742896,0.28291478498567824,-0.026072859575275397,-0.02669325304897303,0.2659107069141349,-0.3320260867807262,-0.1874605372094853,-0.03507109358372589,0.5236858343101726,-0.20341984076826833,-0.06591294775517265,0.09742659335365468,0.37895761819124096,0.06998579975488968,-0.18562106088918165,-0.050807435065145186
Thal_VA_L,0.6017384357759785,0.2523625188438358,0.25376491762330033,0.39632903462443375,-0.21061356233127274,-0.09908919791018984,-0.0067231765935461315,0.0615703204941668,0.5612803220250878,-0.09371547525998328,0.019658309550248294,-0.165477167848363,-0.043143203494931046,0.6998048195388415,0.11841996198349905,-0.24818344280456656,-0.17569942499140243,1.0,0.2023115295597502,0.44198045097168376,-0.08802218547530474,-0.0820198867550745,-0.16290590837018937,-0.17858671807125467,0.2798993710784124,0.4087255588057311,0.24041728763458567,-0.11109917903632817,0.3623721618160345,-0.16513516971744624,0.1740847065001178,0.274691979891033,-0.25835398977368723,-0.1304944722797274,-0.11789073202067951,0.35793408177957803,0.3048079674914294,0.309588073757541,-0.005086038361365188,0.22433321744917167,0.30238853708976693,0.19718813650675107,0.8394025489356072,0.18605339424472056,-0.036307547187891163,0.30650099659149993,0.7360763323418026,0.3547205944238822,0.6913501952432395,0.07963771719770808,0.053507291622931615,0.33692756496556964,0.09166916293583571,-0.13577855796587776,0.23724166889429552,0.5623748242445475,0.48873000294446994,-0.13814840425964692,0.3276136601147708,-0.24980214768711403,0.16026997363271284,0.02521721970050695,0.48876660387509735,0.07768871821732462,0.26693105092656216
Thal_PuL_L,0.25816132172848,0.5043991962478135,0.04512954881045768,0.024602172022558887,-0.22906084941521054,-0.2825363951858459,-0.2658094051107122,-0.272458601059709,0.2150427460348441,-0.3165596862547158,0.26627210294547016,-0.45370283073595286,0.01808378713628409,0.24831354984392323,0.16752119387920236,-0.4358024894002425,-0.2990344279776988,0.2023115295597502,1.0,0.5607411171596499,-0.46755017054560327,-0.37370057740262036,-0.4811358865803539,-0.4953242375396705,0.4954415973603875,0.011166330413568687,-0.04630586834959407,-0.1274200422318999,0.35021390296171645,0.5143370132918195,0.2632270853555046,0.5037093940816528,-0.03280326510036386,-0.2809868409740278,-0.3948551805312303,0.580109439291706,0.12895165291936642,0.33506911215510143,-0.13848151147066312,0.15954695365202762,0.009705964271875119,0.009951708136795542,0.33356284100603406,0.18909005639476162,0.3682578976056324,0.16352965127745783,0.21431847839976387,0.16993203315675423,0.21429137428134507,-0.13571042491813678,0.04039667095908546,0.21576068381243926,0.5494997447640848,-0.022198427070470466,0.48532421569464496,0.5116723795321987,0.030390397878270563,-0.34351603220574156,0.17298926532177478,0.43034344339639796,0.47570609442751094,-0.01121734414173296,-0.10340260166050998,0.5483741685860932,0.4658203485190795
Thal_LP_L,0.6652085097292255,0.5734084492749086,0.4821691315376831,0.48638352800465734,0.025894911824752728,0.1291272794529028,0.27447948485803675,0.010239194731441931,0.1322876524681675,0.11864384114263198,-0.1651399930310819,-0.1636414052854813,0.07202485056521674,0.23822907464935822,-0.08563267336390687,-0.13619544371777295,-0.19907982826153955,0.44198045097168376,0.5607411171596499,1.0,-0.023769246065915583,0.17261452393017493,-0.06816848742410488,-0.11118980419386307,0.11849454228152825,0.5084699738279882,0.21116250028385167,-0.20633394859147278,0.4825572180597358,0.026991962568772114,0.03348554590378998,0.6535720278107973,0.22580717791127694,0.08705058363893176,0.06928066064957121,0.19611847646372352,0.07413383706628306,0.6723976962160965,0.3609035167613506,0.4747605733215664,0.3374064566147415,0.2990895675731836,0.4538473397590424,0.47096308649747587,-0.011434120161896665,0.08489867962569005,0.49116493206961187,0.3050067532225134,0.299645226514736,0.1934780484611531,-0.2003383031179667,0.5019958311254968,0.4847196420332503,0.2146908022659294,0.578132271677157,0.476607284904318,0.5984782540685175,0.0460930333067025,0.3351759053121184,-0.07013154151838992,0.5856889727925707,-0.14236853381741824,0.21835846838397868,0.6654296725903808,0.2835674075985871
