,Vermis_9,Cingulate_Mid_R,Thal_PuM_R,Cerebellum_6_R,Thal_PuL_R,Frontal_Mid_2_R,OFClat_L,Olfactory_R,Thal_LP_R,Vermis_4_5,ParaHippocampal_L,OFCant_L,Temporal_Pole_Mid_L,OFCmed_R,SN_pc_L,Frontal_Med_Orb_L,Frontal_Inf_Tri_R,Frontal_Mid_2_L,Frontal_Inf_Oper_L,Cerebellum_7b_L,Vermis_3,Insula_L,Hippocampus_R,Frontal_Inf_Oper_R,Cerebellum_6_L,OFCpost_L,Paracentral_Lobule_L,Red_N_L,Vermis_7,Temporal_Pole_Sup_R,Lingual_L,OFCant_R,Fusiform_R,Frontal_Sup_Medial_R,ACC_pre_L,Cuneus_L,Parietal_Sup_L,Olfactory_L,ACC_sup_L,SupraMarginal_R,OFCpost_R,Cerebellum_4_5_L,Amygdala_R,Temporal_Sup_R,LC_R,Cerebellum_10_R,Frontal_Inf_Orb_2_R,Precuneus_R,Caudate_L,Precentral_L,Thal_VA_L,Thal_VPL_L,Rectus_R,Calcarine_L,Parietal_Sup_R,Occipital_Mid_R,Amygdala_L,Cerebellum_7b_R,Lingual_R,Raphe_D,Rectus_L,Fusiform_L,Thal_LGN_R,Thal_VPL_R,Occipital_Inf_R,N_Acc_L,Occipital_Sup_L,ParaHippocampal_R,Calcarine_R,Angular_L
Vermis_9,1.0,-0.14138246234174884,-0.06930481821632185,0.5430685167120834,-0.06518517829830155,0.12143560157357979,0.6307873965376316,-0.0884866390316052,-0.11195304835772783,0.42950890950925974,-0.0671056162176414,-0.0903568893309311,-0.02361062846969862,-0.2304869986979026,0.029400632148134966,-0.20763061735502017,0.29474445537669397,0.0806445617107237,0.07268236311591057,0.5621198847514182,0.6287404805908761,-0.20296099284642488,0.10905559936492393,0.265569889627377,0.7800021956816592,0.24931527954857097,0.28786113655762097,-0.28818548459219234,-0.22527015044891563,0.0531054023827201,0.5345757914267183,-0.12895711243739993,0.28569311856226737,0.16699689267642132,0.04144098343135153,0.7743563273246591,0.651404758093195,-0.24503416637779826,-0.014444685657261218,0.6045200091645849,0.44163899801007744,0.5575521417349716,0.058657990252918124,0.20770948250058213,0.5701970675983733,0.3182627542958665,0.40240818415009144,0.6732962399357241,-0.424411151238069,0.16655200391438704,-0.17128381169868945,0.00922498015404638,-0.12568702390628053,0.6332212707370439,0.5170059714117659,0.3141771482840688,-0.1915580115760886,0.28674860283860704,0.3327813059745409,-0.3492820039681803,-0.06251987561652174,0.4703660854107661,0.19892105852832925,0.000797614995590977,0.23354972636530977,-0.3570258359526626,0.5624696633896772,0.19238563362031888,0.6095167295730556,0.07401867805133647
Cingulate_Mid_R,-0.14138246234174884,1.0,0.4742845200482976,0.02337921401741911,0.3186654325196176,0.5470066437417642,0.017822350106938868,0.13050046605187082,0.4103744747276938,0.07438848725462598,0.4148895761678469,0.2461533970010147,0.37235462924887314,0.13993033886493378,0.23936066733640063,0.0779194724164608,0.2259485096560646,0.628362430619449,0.2473800050164459,0.06680018560759982,0.16653261285244988,0.36208876491742814,0.26991060363791297,0.24641444475451962,0.012007777440186178,0.18428515117005365,0.4994119566667129,0.26285402524048856,-0.01881365522123091,0.19053169090330754,0.18423001167557118,0.0823725168605554,0.039850295087440674,0.31928392547751716,0.15483266348723357,-0.07881812868466358,0.08134186165978907,0.36055533810041135,0.6043355418914522,-0.11610084884929733,0.1632357406315778,0.22933954566121328,0.2620613539542531,0.24554382830052823,0.2572584860474644,0.13100351191193513,0.31151436098106944,0.11815969375412795,0.6206912789690202,0.30840261765980886,0.34415563063266674,0.5155083320992603,0.09616157368942746,0.032123502772575294,0.06531874481536872,-0.2076691138690117,0.19041912015231643,-0.1366078190204582,0.24339711432143968,0.3753220378971311,-0.07414964435897824,0.4628048526728323,0.42851793966655466,0.5722221320785321,-0.09517476018017851,0.1505263240216211,-0.12156508292215083,0.14560983233908997,-0.01819551453261136,-0.23104188574744616
Thal_PuM_R,-0.06930481821632185,0.4742845200482976,1.0,-0.06216645143869768,0.6129003025997082,0.32422405208646893,-0.07279593938299697,0.35369260793819624,0.10645220489098921,-0.005013083304807534,0.7122568537809602,0.0027461825065477714,0.2526368679290024,0.27312971744116543,0.36198171448690386,0.25208462870544,0.4056903410152067,0.41749635483821157,0.555528050385083,0.09347295081151322,-0.1288216384217444,0.596736268992462,0.6566698605115387,0.5274444913099324,-0.1160907709680617,0.051235188493483096,0.5225850272053666,0.44982164741766,-0.029975928223562057,0.2157815588755778,0.1493687747018504,0.4033374215465261,0.12148030308891171,0.48986197867402587,0.30153811176846534,-0.11557604548494561,-0.004040971006233266,0.3904693278744342,0.08622115648961216,-0.10451283175554887,-0.06231486962323841,0.13432667135653825,0.6243216882887614,0.28260864229578236,0.15724579516492815,-0.09814598408984782,-0.07786478545433487,0.028385832372024834,0.31901623910987353,0.5689189500125317,0.510430668846955,0.8272503810553328,0.3065720455834142,-0.09354967558140638,-0.11362701182588794,-0.35482397643538577,0.3068164445578333,0.07021896667893918,0.14355516472005206,0.4576371678534127,0.20659153166500702,0.45559142353296506,0.6281428502141765,0.8360927951754064,-0.23843984070906143,0.37981713810075396,-0.035539143984192514,0.4322622608827318,-0.17174518006009665,-0.17100625681644274
Cerebellum_6_R,0.5430685167120834,0.02337921401741911,-0.06216645143869768,1.0,-0.08720942321021315,0.2855265989118859,0.5232019092498852,-0.4553108408385167,0.09493115407496032,0.6315059093229828,-0.20655829884152072,0.12079219141118756,-0.19460972123701892,-0.37692538425145233,-0.06786365253825653,-0.1419088575644909,0.3830341756636111,0.18912769579482858,0.14828772946991592,0.1615926673485147,0.6391379964753517,-0.21110911464379714,-0.10405920284021589,0.24665223608165157,0.7653557303582975,0.2731353838207207,0.3037543762605156,-0.5113007338967137,-0.1101539206609219,0.09239639037701375,0.5114168321109893,-0.2806856260785787,0.33768832323750514,0.06280732034112269,0.1427546950637982,0.6096756448935053,0.5737028038404728,-0.1992343768313046,0.006266712281796022,0.5651435136531855,0.6021053038580998,0.6276179764323522,-0.19786516381837552,0.38200339756003265,0.5332140002273962,0.4789980856138832,0.4789686983524589,0.5888717221534335,-0.0017401458897960615,0.14215507806895425,-0.13003282516591735,0.0301955060343994,0.0017559640173643264,0.6279702319706363,0.5608417752761802,0.44595423148141483,-0.19087307852671956,0.1913481728911697,0.4411752098126519,-0.3695766400731811,-0.019673805627438447,0.47561908872422975,0.26233630033365807,0.025393091968985877,0.37818699988511584,-0.4523635710922688,0.3318189033041507,-0.00823021756686788,0.6169649331748976,0.08461903911154188
Thal_PuL_R,-0.06518517829830155,0.3186654325196176,0.6129003025997082,-0.08720942321021315,1.0,0.05285141545246842,-0.2621274265226817,0.39471288504715785,0.041043148995256865,-0.10007583470127938,0.5615404374505192,-0.28039397396368365,0.31526645422172184,0.24696392366744682,0.27635022511472046,0.14852102829781239,0.0041107052853581435,0.1141887941527977,0.13636094337885724,0.20502491462627181,-0.13173914321173538,0.43266798951608887,0.4802612412569128,0.1692652264437377,-0.17870736654577757,-0.1456128491115369,0.3426677821132553,0.382038587201305,0.07703794101997233,-0.002643111750750029,-0.11939499495976254,0.3882272212128324,-0.13591691926806157,0.11918761815841122,0.1483580748415151,-0.19185661561496356,-0.09744886316496491,0.38664912592086675,0.23765387139457744,-0.25932144154185666,-0.21062652064220083,-0.12665818147484023,0.37178685800835193,-0.07631860295796057,0.03096034677673762,-0.23400862816600118,-0.2526556453199358,-0.028670592063123817,0.3854868096754275,0.28906283903053037,0.5218861197067179,0.4670833570491213,0.33949908515330773,-0.22767303051410653,-0.10606895377536957,-0.36548419883612193,0.23708424920402288,0.10926647349410076,-0.13187116112814454,0.39158879831905796,0.24870630946988181,0.23038844352044374,0.3206351612541564,0.4876668965701972,-0.347804793666855,0.43168678051628945,-0.10096277171346718,0.388147341315981,-0.28198549220396524,-0.1479384475622674
Frontal_Mid_2_R,0.12143560157357979,0.5470066437417642,0.32422405208646893,0.2855265989118859,0.05285141545246842,1.0,0.22908662224018864,-0.260759542415779,0.3162770811106188,0.2168119122130039,0.2939027564125576,0.16579408747022203,0.012303252603688627,0.03663600192144726,0.11652719066423918,0.4139259416695678,0.7273018843663722,0.6995987055544851,0.4701448340563893,0.012910931703071688,0.11490919850199963,0.3971505332155306,0.28585798173615556,0.5684482966046455,0.2936002020387309,0.22955045352146844,0.2163166016129882,-0.02683053638015281,-0.07438532315819082,0.2852015216998236,0.19029156194094823,0.1590209578450655,0.305141034833175,0.6081436532830475,0.49681083966696143,0.07885166767408867,0.15474027094185633,-0.055039280812853086,0.1285605851756925,0.059057091972969815,0.29267559913079194,0.29444716721232367,0.09588048675510812,0.3205260041669098,0.18537513548885123,0.06336430422313832,0.6747619353435061,0.06213444589953727,0.3419325220093587,0.2678442645283001,-0.04829694721189021,0.44594686046851945,0.24885458356598578,0.14528646813330712,0.05252474342614356,-0.07217418896455885,-0.10268993245677124,0.13221006387261838,0.20097723286464023,0.2536954981722625,0.13743824624968287,0.41014104610265506,0.4695922808795466,0.3089533472005438,0.07708245944752096,-0.22986269340992507,0.023230945850571755,0.2233082917553142,0.08700021773688607,-0.113672418815996
OFClat_L,0.6307873965376316,0.017822350106938868,-0.07279593938299697,0.5232019092498852,-0.2621274265226817,0.22908662224018864,1.0,-0.2221939119261045,-0.0645321790908237,0.4980852006526947,-0.12646579099837127,0.39120476212319893,-0.08248188274176145,-0.3178643837959287,0.022269875985119012,-0.35542561243379667,0.34783406465403366,0.29789119729637686,0.25920248369812166,0.3821474974684146,0.6636245955325664,-0.20945199877603657,0.022654433036092818,0.3023725962933636,0.7296068169876883,0.5221398893698547,0.3636715701010258,-0.32528990276781006,-0.2497091677310881,0.17094036327154682,0.6527534269478712,-0.3343896200874285,0.375040651628932,0.15684969445738503,-0.10225903226506546,0.7283880458369207,0.6084470242689042,-0.1402327155579641,0.10414976876655131,0.6837723027759354,0.5750172718500534,0.700535095626918,-0.00683488651006789,0.4205754548960098,0.5242997396713642,0.5189710002184214,0.47804004804433675,0.6809210174085092,-0.2742533250131623,0.2840806602942926,-0.1304944722797274,0.05911033076619674,-0.35371492168072505,0.7176546604554457,0.5070748819739447,0.4013567431942215,-0.07001998141766973,0.11654563458865978,0.572213366700257,-0.33254434042733344,-0.3308289468958389,0.5151425825230731,0.2893222177802833,0.11726634746325568,0.32129631854795476,-0.30004780242898327,0.4263776912633841,-0.027140122625702312,0.7197295695554212,0.0927949507962921
Olfactory_R,-0.0884866390316052,0.13050046605187082,0.35369260793819624,-0.4553108408385167,0.39471288504715785,-0.260759542415779,-0.2221939119261045,1.0,-0.043334981775820285,-0.4433454210803341,0.5172796973442392,-0.19796504265541923,0.36175066575624765,0.31053798732879945,0.2571171104111094,-0.15808705424621633,-0.24604208651082105,0.05700318282458564,-0.007482927293367233,0.16271767313820648,-0.22335061275247528,0.29884549714636877,0.43620259800678585,-0.051444624296402744,-0.3618599889216171,-0.03936057739612458,0.1687451642123903,0.5488311124463976,0.004666193071480234,-0.0788172315436649,-0.13332901992829516,0.190002457676961,-0.05436876934585842,0.044714133976604495,-0.08457400942088451,-0.18895442643483876,-0.20302088993305167,0.5818771005922675,0.26373952163180325,-0.2312676221675625,-0.3650495131142171,-0.21613970701309085,0.6613155846145282,-0.21227471085565616,-0.12418531847487724,-0.23330127103608844,-0.35354671622339395,-0.06493339550792596,-0.004106365322464358,0.21728950256112498,0.46303788322340445,0.26831774202404196,0.05884301654598516,-0.26998470495232024,-0.17467457584436138,-0.2942346210087374,0.33254863214841773,0.0468215946812289,-0.16016922415818516,0.29246140592283765,0.046620338041038344,0.05071739931229583,0.08702214878486418,0.30416684984395337,-0.28562972166116113,0.6620266658977434,-0.04407733906996656,0.3976299881321172,-0.28674680158673344,-0.05606299823156229
Thal_LP_R,-0.11195304835772783,0.4103744747276938,0.10645220489098921,0.09493115407496032,0.041043148995256865,0.3162770811106188,-0.0645321790908237,-0.043334981775820285,1.0,0.17334938540931366,0.009315308288615251,0.25018997596038434,-0.0033972405790092548,-0.0036102470506890216,-0.11733387182928669,0.02808127045454124,0.12301011647890518,0.3574153012225233,0.17727639834257988,-0.12456292278938343,-0.029899592512297506,0.19779975684166887,-0.061994136353862375,0.1185883642686236,0.0021969800479950553,0.11369950692166393,0.057324459098307114,0.061093334243201465,-0.007252920886531261,0.08221043343165571,0.033309503018371774,-0.055368090156545674,-0.0521447448680842,0.15271841448521162,0.10423424887056773,-0.14018651505275428,-0.0631864432938938,0.17659980031875813,0.2235557694345743,-0.08811065452127462,0.17045485826010334,0.0809214081348822,-0.03411263314642977,0.09799027904814854,0.05760615576676804,0.003225228708031854,0.25660318936847665,-0.08954975025079155,0.3981627378688739,0.11169222860781722,0.18605339424472056,0.2338300046920424,0.04124719349295598,-0.0466156105346058,-0.08935812952176785,0.0017410148570337054,0.039000801811983565,-0.16438539035168456,0.013133336673109808,0.1564340975733162,-0.033033767299645,0.06422682746597426,0.04263698464566528,0.2098804728810929,-0.00475440385561788,0.08698765361466985,-0.2077738738584767,-0.06945071545112042,-0.058201029469173424,-0.08553422227989685
Vermis_4_5,0.42950890950925974,0.07438848725462598,-0.005013083304807534,0.6315059093229828,-0.10007583470127938,0.2168119122130039,0.4980852006526947,-0.4433454210803341,0.17334938540931366,1.0,-0.21014278687456162,0.3539386375021822,-0.11978520224273036,-0.3666797784275297,-0.18488698309447793,-0.24698093607550187,0.37928782408941053,0.19847679479578362,0.334670279307891,0.10485014288866723,0.6442366562639802,-0.17742464946128597,-0.142975085020267,0.39772623796612416,0.6126363301979233,0.48655669847609284,0.3761148739428315,-0.3355478585289848,-0.20319941038348838,0.33991226247186296,0.7532149546179655,-0.4041699144236406,0.2359847462350237,0.1347818538543774,0.06494944222573976,0.5386136351206278,0.6066326657561081,-0.04449974204532792,0.03597073664191446,0.6385110655419415,0.7501223129815876,0.7338488641224982,-0.1715823687944782,0.5618722919857784,0.675786281606061,0.58106484506555,0.43049300980177024,0.5930415591575897,0.04305172425637063,0.29626880381281767,-0.038297000130679944,0.10056303703833766,-0.22634879614174108,0.6815415337785434,0.46061847591358424,0.3883242177342616,0.06880215789306338,-0.07917361954699981,0.7082581682026757,-0.39375013934900566,-0.25606326660291734,0.590583607264816,0.16506139046512658,0.1845041317304402,0.40073339626849236,-0.28938872311486186,0.25229626216604045,-0.1921961751738414,0.6578008618280075,0.08032984151355003
