,SN_pc_L,Thal_MDm_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8
SN_pc_L,1.0,0.34849220974413614,-0.2312821991736143,-0.10686495589224271,0.022269875985119012,0.09621696285408206,-0.02075095305328983,-0.28083729141385605,-0.25573455217203805,0.20474524622120238
Thal_MDm_R,0.34849220974413614,1.0,-0.1508746939229187,0.11412451671312555,-0.21975484670414921,0.43786099642168047,-0.385458399626663,-0.24889234043440844,0.07793498774459644,0.25092919390485413
OFCpost_R,-0.2312821991736143,-0.1508746939229187,1.0,0.6656220572909655,0.5750172718500534,0.047222332138183234,0.6437168187169111,0.5664948623574132,0.26206011887370656,-0.5903596694591748
Temporal_Sup_R,-0.10686495589224271,0.11412451671312555,0.6656220572909655,1.0,0.4205754548960098,0.42657869838128987,0.4929032629960089,0.5860130381844854,0.5353257256563662,-0.6000855799552919
OFClat_L,0.022269875985119012,-0.21975484670414921,0.5750172718500534,0.4205754548960098,1.0,-0.12244143207613883,0.7283880458369207,0.32129631854795476,-0.02272761403062793,-0.4680811634134852
Heschl_R,0.09621696285408206,0.43786099642168047,0.047222332138183234,0.42657869838128987,-0.12244143207613883,1.0,-0.2311943627418891,-0.06666700005162832,-0.06122721491389289,0.08412016837389882
Cuneus_L,-0.02075095305328983,-0.385458399626663,0.6437168187169111,0.4929032629960089,0.7283880458369207,-0.2311943627418891,1.0,0.5405887816293159,0.15700635736221014,-0.5896997141156888
Occipital_Inf_R,-0.28083729141385605,-0.24889234043440844,0.5664948623574132,0.5860130381844854,0.32129631854795476,-0.06666700005162832,0.5405887816293159,1.0,0.4541645709935644,-0.7142417777078214
Temporal_Inf_R,-0.25573455217203805,0.07793498774459644,0.26206011887370656,0.5353257256563662,-0.02272761403062793,-0.06122721491389289,0.15700635736221014,0.4541645709935644,1.0,-0.36533389460583154
Vermis_8,0.20474524622120238,0.25092919390485413,-0.5903596694591748,-0.6000855799552919,-0.4680811634134852,0.08412016837389882,-0.5896997141156888,-0.7142417777078214,-0.36533389460583154,1.0
