,Angular_L,Amygdala_L,ACC_sub_L,Thal_PuM_L,Olfactory_R,OFCant_R,Thal_VL_L,Calcarine_R,Temporal_Mid_R,OFCpost_L,Thal_PuL_L,OFClat_L,Frontal_Inf_Oper_L,Precentral_L,Cerebellum_3_R,Vermis_10,Paracentral_Lobule_L,Vermis_8,Rolandic_Oper_L,Parietal_Inf_R,Temporal_Mid_L,Hippocampus_R,Raphe_M,Vermis_7,Thal_VL_R,Postcentral_L,Temporal_Pole_Mid_L,LC_L,Temporal_Pole_Mid_R,Thal_LGN_L,Heschl_L,Thal_VPL_L,ACC_pre_L,Frontal_Inf_Orb_2_L,Paracentral_Lobule_R,Supp_Motor_Area_R,Cerebellum_7b_R,Insula_R,OFClat_R,Cerebellum_9_L,Frontal_Mid_2_R,Parietal_Sup_L,Thal_PuI_L,SupraMarginal_R,Supp_Motor_Area_L
Angular_L,1.0,0.11097735195779639,-0.4071006613537445,0.06855782464562868,-0.3628094978297978,-0.012880383066387243,-0.5511212430962991,0.3958183583401584,-0.11801442199749933,0.027017141487773986,0.28430108190551956,0.1866243509887575,0.7165130951578993,0.3778873973721365,0.11450345305234762,0.477958439402259,-0.34263965729930307,0.3503469808586462,0.24115513504726865,0.021466214991169987,0.7293871882471991,-0.45012209693636895,-0.3416077240691393,0.18063422683484567,-0.5172778748526979,0.6717375616867914,0.376452923684358,-0.3011201829958488,-0.3338651688505597,-9.685886602943321e-05,-0.13412698537729903,-0.44347849027583386,-0.6937442877084409,0.37962131941460886,-0.19350269235837236,-0.37762978334173974,-0.08792256107817427,0.3900576082130715,-0.7093321543615555,0.3030897180491436,0.06648968840343528,0.8101175013036367,0.01759047564849881,-0.4108726478958954,0.32773046457570726
Amygdala_L,0.11097735195779639,1.0,0.08817867755194447,-0.3721836379526365,0.4068127231300788,0.4352864949747618,0.534118294685622,0.07920901876501338,-0.46879390406791493,-0.08594834454971563,-0.5345920626042383,0.4691120547812863,0.21940082775164998,0.38198496477804955,-0.09056532928127854,-0.18545036138016982,0.08594507078929842,-0.06585334083481661,0.5667624431195166,-0.41825938856621414,0.4456100158434608,0.3987777741525466,0.3249716103240723,0.1710940271694961,0.19397418929945934,0.34798940510072573,0.1683079589656042,0.3936557404658193,0.22978860097073042,0.0847703771514483,0.38913479753949937,0.18290980525846076,0.24535786084747474,0.18338123477645718,0.48487919985849837,-0.01881413091034,-0.10890523436143676,0.5186096178758456,0.12887527408949373,-0.264234281568908,0.42489124434967973,-0.09237942663941846,-0.14731724910930544,-0.49952929586291583,0.34489537991238095
ACC_sub_L,-0.4071006613537445,0.08817867755194447,1.0,0.008004288062475003,0.478620051697875,0.1500759414138404,0.3907701793151318,-0.37814902448657317,-0.11020919718591284,-0.030783073301307022,-0.3261750268376996,0.17782650797302518,-0.31805943729779873,-0.3015674230699941,0.22621979321349572,-0.5526837447288215,0.415344804702528,-0.47804988783019714,-0.07445853851566785,0.12909912097966758,-0.521467745452521,0.5091153328987,0.24631151235082532,-0.2599851079426969,0.5137493134513799,-0.4605436952898302,-0.45074867530249946,0.30430911304001196,0.325503633426323,-0.06193518716055447,0.1467652081470737,0.48466215130194906,0.601206046454351,-0.411893086608597,0.2016545630028773,0.27829617497350584,0.2177418355227401,-0.12529746742548797,0.6645297669330484,-0.46878720284239533,0.07554556233233856,-0.2282470862999886,0.007680522059837514,0.32388950947964895,0.06412995787172203
Thal_PuM_L,0.06855782464562868,-0.3721836379526365,0.008004288062475003,1.0,-0.2488923774648124,-0.4567964895439769,-0.2805573648208795,0.387338102154865,0.7098898767606909,0.4249706794058881,0.6557077970306449,-0.3812965488154679,-0.056307708033949994,-0.5505484314286685,0.14657943813218663,0.22990572481264557,0.08837301398529662,0.13327949984400833,-0.36736126571026284,0.5909035130878437,-0.24159809168877525,-0.06526877674922332,-0.3322880287088085,-0.1477830686833455,0.13632355158654008,-0.412931603767277,-0.12761560946881542,-0.006626192413238982,0.1791134541052968,0.16780030777809524,-0.33313628796423295,0.09761812667189874,-0.23460589513730112,0.06910578730853553,-0.04468520155076331,0.2772600632519871,0.024103757814020552,-0.03735258511093977,-0.14045363031865568,0.21953989251390835,-0.17644629003768678,0.24126979804839627,0.5687355664722877,0.599384427608636,-0.17940174922832444
Olfactory_R,-0.3628094978297978,0.4068127231300788,0.478620051697875,-0.2488923774648124,1.0,0.061206407626040966,0.4796272687041624,-0.0586491836146964,-0.24816897194204357,0.16329524291997977,-0.370912280286066,0.18524335296443054,-0.19301324850708482,-0.12284535239899984,0.1485906323021499,-0.3416477861959311,0.18364178599143566,-0.3272223902763951,0.2666447535506939,-0.23693261378862143,-0.09467752463259305,0.6331540967326622,0.3291889684016762,0.28496502077614405,0.4258486025561159,-0.2794188508257534,-0.12252947913438506,0.336346505761028,0.6062346679915,-0.2868974438500248,0.3572274686885681,0.46453092545245045,0.612949448388916,-0.13765556515399416,0.3752843708189727,0.43586188940883047,0.04384530381045269,0.3181112579267453,0.4485322432016834,-0.3453307560488234,0.2863479159812304,-0.4278171660685277,-0.19383640233444735,0.060920912967018355,0.25246683038362605
OFCant_R,-0.012880383066387243,0.4352864949747618,0.1500759414138404,-0.4567964895439769,0.061206407626040966,1.0,0.2527097646627769,-0.4897543732472827,-0.6695022276352589,-0.47215182225597535,-0.6542861398270794,0.7013111886158582,0.3487291632525462,0.33086011672017634,-0.2374388863270635,-0.4120665088294755,0.21264983164334478,-0.25025607666597277,0.34255351757311514,-0.425037805376371,0.02955664784094738,0.1453594844333572,0.262275215044483,-0.12363294874383637,0.07425839980685461,0.2032517158057243,-0.022292130242640533,0.07122856035254868,-0.2876968084515693,-0.07536499094605821,0.30469396382158653,-0.02251736478689697,0.2771654957794197,0.01655943662528966,0.0835425013391746,-0.32085989400102016,-0.10118679350865448,0.006393146786728318,0.2744575194996944,-0.3397371091223548,0.1639664525960556,-0.10564302575662705,-0.3030807228143865,-0.5604800483372661,0.1716541419153458
Thal_VL_L,-0.5511212430962991,0.534118294685622,0.3907701793151318,-0.2805573648208795,0.4796272687041624,0.2527097646627769,1.0,-0.22696068805639233,-0.15751138044544122,0.07711863662988558,-0.5759033406812115,0.24528768586910085,-0.4419703232597397,-0.06365849374552016,-0.16966802920860166,-0.3644079461890717,0.21787803450255375,-0.31393324288688973,0.16778536903713986,-0.1548888850731003,-0.15063618014387944,0.6103947171651741,0.40947831386420114,-0.14139329237450057,0.6595963989852771,-0.19698642456847454,-0.15627591448655098,0.5691724189874017,0.492185475882869,0.28504601784373995,0.3648690209525494,0.6300616586220802,0.6787704404313663,0.05660357914968454,0.4699581991668191,0.22329209587740415,0.10934727434658113,0.10309690420156077,0.6438070816136628,-0.26950942606664113,0.3678174416201685,-0.5258007089076038,-0.06429543682355163,0.03904276297151772,0.07989945445498846
Calcarine_R,0.3958183583401584,0.07920901876501338,-0.37814902448657317,0.387338102154865,-0.0586491836146964,-0.4897543732472827,-0.22696068805639233,1.0,0.5113497874714883,0.5140999576195586,0.5857721152712415,-0.2877693480811621,0.19812989422382396,-0.08054332562793326,0.3184051497384689,0.652116025024273,-0.27301540382657336,0.47522991090609157,0.09723881033832898,0.16962156492625333,0.551924838258983,-0.14567506862569068,-0.22531731245948522,0.4173558173924972,-0.24608402946902444,0.16325389237212334,0.34093737457940404,0.03266163003314286,0.20781726415665802,0.09138732885011099,-0.13883251345166212,0.0458105103928659,-0.47823352212588566,0.3965881435020606,0.24347492074966948,0.26238473827924647,-0.09850486422696265,0.5619527933016242,-0.567287758344225,0.519992551175657,0.22027574784151047,0.27185387972108377,0.28156714932010474,0.15453385189009375,0.18019225657616605
Temporal_Mid_R,-0.11801442199749933,-0.46879390406791493,-0.11020919718591284,0.7098898767606909,-0.24816897194204357,-0.6695022276352589,-0.15751138044544122,0.5113497874714883,1.0,0.585854610042118,0.752097151228952,-0.5963321234592254,-0.38279744427238865,-0.5359878177248781,0.2549662494135403,0.35925040923259266,-0.07588161862249816,0.11132005445214992,-0.5299315048918259,0.6706234697111125,-0.21898910537575259,-0.1347671001428671,-0.27447443410322797,-0.15182435287452103,0.1176496045153144,-0.38570667662515323,-0.09742530729973554,0.0037987819385674393,0.2550345630493268,0.31737828217054764,-0.4241806280439202,0.15771918850576616,-0.26962610383265095,0.19077952031707165,-0.09125377598246487,0.3752114571060459,0.06321341386137606,-0.07809632043841809,-0.10782789846198541,0.38427919895378115,-0.09047572485610716,0.05321486823189973,0.43938648595264357,0.7901973222930532,-0.36099070133149946
OFCpost_L,0.027017141487773986,-0.08594834454971563,-0.030783073301307022,0.4249706794058881,0.16329524291997977,-0.47215182225597535,0.07711863662988558,0.5140999576195586,0.585854610042118,1.0,0.4289245609019788,-0.017868713967815603,-0.22082779709713438,-0.5018879715344399,0.22374321821796228,0.47943505927069247,-0.08497184658407791,0.230673970671576,-0.18465502707237383,0.4029081260865344,0.10785144394580809,0.08442185439126175,-0.19192255939293779,0.14675983831788686,0.2357326485293343,-0.3002186407279853,0.08424570611446015,0.059926459471436974,0.6074427911498634,0.20900727389268287,-0.17569678512119408,0.3667710072688506,0.021518038227198645,0.5258391094247217,0.2007008326122665,0.3109754939635429,0.03979005963563423,0.33505981047457073,-0.04666117280372608,0.5351766879658738,0.28474983048321284,0.08381349111599316,0.2425854659424727,0.4875312986736195,0.1476190813560806
Thal_PuL_L,0.28430108190551956,-0.5345920626042383,-0.3261750268376996,0.6557077970306449,-0.370912280286066,-0.6542861398270794,-0.5759033406812115,0.5857721152712415,0.752097151228952,0.4289245609019788,1.0,-0.5368628460333809,-0.05345663383081265,-0.2929815061349449,0.2516555786256675,0.5266089618573202,-0.2725518753708984,0.3568487413949561,-0.44220127736306236,0.5248188310386022,0.027855860877196503,-0.4856378736529498,-0.4698519728717861,0.046863666958738816,-0.36057443072014916,-0.05996967010550585,0.05147850286341882,-0.2748800455090064,-0.07746963967004579,0.02320500522660027,-0.4835914246977684,-0.1511785435983741,-0.5625169142868472,0.13657747966919842,-0.29507284358908753,0.15592699992104886,-0.02857315854449779,-0.06176907669947821,-0.49766669340857245,0.4467439678320106,-0.23001372278290338,0.43353063571309514,0.37201334734855895,0.49037681938696703,-0.2623983867411156
OFClat_L,0.1866243509887575,0.4691120547812863,0.17782650797302518,-0.3812965488154679,0.18524335296443054,0.7013111886158582,0.24528768586910085,-0.2877693480811621,-0.5963321234592254,-0.017868713967815603,-0.5368628460333809,1.0,0.3526664255013503,0.0870611342510213,-0.18793090540160268,-0.12755992794003707,0.12104249483212216,-0.08803852354513964,0.2785270038316762,-0.2685035380633823,0.2553536206097703,0.09385162001213884,0.04515370948363215,-0.012654506911245795,0.08687821104017826,0.12864828176116075,-0.06348140788324663,0.08924236452424358,0.025023303991868882,-0.11343327330495788,0.18908853136502238,0.1344206337735099,0.3066447588987834,0.3199589793481917,0.15949829608047192,-0.24636309504981097,-0.016410452524429613,0.22165928423270953,0.2346511162720825,-0.05556521504715288,0.389541189142309,0.09791484661683818,-0.3661478895689573,-0.47206420982260583,0.4617664301093358
