,VTA_R,Cerebellum_Crus2_L,Precuneus_L,Frontal_Inf_Tri_L,Lingual_R,Parietal_Inf_R,Raphe_D,Calcarine_R,OFCmed_L,Thal_VPL_R,Postcentral_L,Thal_PuM_R,Thal_MGN_R,Cuneus_L,Vermis_8,Cingulate_Post_L,Thal_PuL_R,Temporal_Sup_R,ACC_sub_L,Putamen_L,Angular_R,Cerebellum_Crus1_L,Caudate_L,ParaHippocampal_L,Cerebellum_4_5_L,Temporal_Inf_R,Temporal_Pole_Mid_L,Thal_VL_L,Cerebellum_9_L,Cingulate_Mid_L,Frontal_Med_Orb_L,Vermis_1_2,Cerebellum_9_R,Cingulate_Post_R,Precentral_L
VTA_R,1.0,0.13158910674361052,-0.19407519263564038,-0.05195277745722168,0.16455456054452383,-0.012461753116303891,0.13489005549232255,0.37561639595348745,-0.09380849823961428,-0.13093619163162118,-0.105474244455427,-0.06912291741084713,0.15533877327794704,0.2115287001011396,0.33530892369887877,-0.060455052637453995,0.14118213694314943,0.2559256166111157,-0.26513794101490623,-0.0872765318552732,0.2399873696130462,0.3435559130741946,-0.18634654040935994,0.05296300213394546,0.08138636561774427,0.3004759762892633,-0.004287029830615033,-0.1675701048988576,0.08932119637607304,-0.17680041023887152,-0.224968585309571,0.18545098010375266,0.05514186743549713,-0.03765986817176322,-0.07887485100933035
Cerebellum_Crus2_L,0.13158910674361052,1.0,0.12132356436254711,0.04719434179775241,0.524945815906933,-0.16556631543402842,0.16810192009259925,0.42654530733106055,-0.36648090451572285,-0.25213483095869565,0.39272000946619157,0.3257802401139959,-0.1455134485197101,0.3848914938675471,0.4036492895787303,-0.31595005656060005,0.24955193980235976,-0.29120128080680435,-0.4573197025358102,0.23125103454441956,0.020867942317941392,0.5603698819469629,-0.28011764941311834,-0.4843836456304964,0.24854441789670767,0.35595814589057845,0.5961564624968846,-0.16030015138925688,0.49153219887577354,0.08294707487221747,-0.49009955784997467,-0.09672154770472485,0.4663309505455594,-0.4312769696702163,0.2553426675218757
Precuneus_L,-0.19407519263564038,0.12132356436254711,1.0,0.2086291867646908,0.47824208558890147,0.4391702541850671,0.17317705650052484,0.3219255019688384,-0.1477543232108247,-0.14664319777032467,0.4281927907957006,0.6324126085519313,-0.011005843967239349,0.44091950753043335,0.11619899432100128,0.21129935601132555,0.28555600567340617,-0.10593525593327585,-0.13150281397086483,0.13547152809611612,0.27864195455488366,0.11352137871995088,0.20226000065967437,-0.12427482503015125,0.6727732325849337,-0.12220808888357931,0.10652768247224577,-0.0995273096100855,0.19144582795476264,0.44086611165879763,-0.19416417041105727,-0.21386428566261795,0.21480654727213355,0.2383453051985496,0.19923414841877857
Frontal_Inf_Tri_L,-0.05195277745722168,0.04719434179775241,0.2086291867646908,1.0,-0.06974865940624372,-0.4335556462800209,0.23197198226555882,0.06089245395253,-0.3466253917887082,0.1939888705004175,0.6250948701842153,0.3312707221510319,-0.16155171061330031,0.23643459146309415,0.11824576521216465,0.026674317054004453,0.3851183974586401,-0.5869934808931727,-0.1545133924961401,-0.3837841460324817,-0.5897667846496805,0.04459186434312376,0.2631539284287189,0.2339302590806548,0.3705675788603087,-0.18297222933167107,0.3460564201710439,-0.1263200181766251,-0.124520306302417,0.6142025201061508,-0.0699888187511788,0.21130634256578493,-0.08136631204600558,-0.16821359517982012,0.6046376509910896
Lingual_R,0.16455456054452383,0.524945815906933,0.47824208558890147,-0.06974865940624372,1.0,0.3532043804739395,0.32474300358504316,0.8075633596999718,-0.30835129808531553,-0.41398670069345794,0.16286559502347922,0.640818266723158,0.12164423994893216,0.7015354765131575,0.42786067125293886,-0.21031428071314584,0.2544518600987055,0.06872839608850968,-0.4300389689479166,0.0661503190500977,0.5285004940232558,0.6795842062138967,-0.39098423402338883,-0.6665998476866309,0.636617289596624,0.5308230923707273,0.4235937274329049,-0.31880926998612596,0.699080070417118,0.10364383959052648,-0.4417656579360686,-0.3017199823367436,0.6226294140364405,-0.24526416671682105,-0.13782271118568956
Parietal_Inf_R,-0.012461753116303891,-0.16556631543402842,0.4391702541850671,-0.4335556462800209,0.3532043804739395,1.0,-0.06524736138815769,0.16962156492625333,0.15671641174274445,-0.38727879588330894,-0.23812778913058139,0.11857232675215493,0.25809645301745754,0.1697396658385296,-0.008002399414383634,-0.14214448811042152,-0.10671329508553896,0.49277709250952295,0.12909912097966758,0.03045781582134556,0.7312581202995959,-0.1528259629368518,-0.11038276899194573,-0.14660434745445408,0.21503178396265848,-0.027362313707133316,-0.32564494421806284,-0.1548888850731003,0.10983495723193319,-0.12567410164011047,0.09770268099569533,-0.30294321286787257,0.036016159447049216,0.17371208632817337,-0.4497400256456508
Raphe_D,0.13489005549232255,0.16810192009259925,0.17317705650052484,0.23197198226555882,0.32474300358504316,-0.06524736138815769,1.0,0.4245572292199637,0.22304398927498473,0.29770182217243185,0.015442274476361572,0.25979545567232887,0.1381690974888928,0.25948345537158496,0.09042746027713816,0.07520718805856032,0.036637712667591166,0.0232687290911934,0.062242446260542615,-0.3181506289696549,-0.01869399909269831,0.2987291413592988,0.0622420675977233,0.03823324412701506,0.564624195420977,0.32823127073926145,0.22338429201755544,0.10411669841810563,0.28383590338434006,0.4594022121058823,0.18909166240360276,0.2758153066334055,0.19800496905343284,-0.1774417454565696,-0.11211536042463383
Calcarine_R,0.37561639595348745,0.42654530733106055,0.3219255019688384,0.06089245395253,0.8075633596999718,0.16962156492625333,0.4245572292199637,1.0,-0.19668171607614837,-0.2940672642223402,0.16325389237212334,0.602566300463172,0.19837061195280142,0.7951912990080227,0.47522991090609157,-0.1932526965479259,0.352244786143167,0.1724508636965558,-0.37814902448657317,-0.10781847805379781,0.4633498712752943,0.7301893103557877,-0.3156559863107102,-0.39928788185703545,0.6375590674842145,0.5893038409846406,0.34093737457940404,-0.22696068805639233,0.519992551175657,0.13631329778235976,-0.3182137388547887,-0.030450517477187137,0.43783292076061936,-0.23641524884915413,-0.08054332562793326
OFCmed_L,-0.09380849823961428,-0.36648090451572285,-0.1477543232108247,-0.3466253917887082,-0.30835129808531553,0.15671641174274445,0.22304398927498473,-0.19668171607614837,1.0,0.5830269995459959,-0.5678678147815895,-0.354392626924674,0.3012566289673427,-0.37664819323594245,-0.4738134352675247,0.08923910054722244,-0.4745826264005154,0.6083734664507285,0.6370468033347663,0.04129829374175924,0.04446681213306009,-0.33810624701796793,0.34237833289137254,0.4938400064039858,-0.10982363897348475,-0.05910575242228059,-0.4550549624814784,0.6909444253295586,-0.3098314330936003,0.05503499679592458,0.7334936346873396,0.36642674153397387,-0.3800346203768044,0.17604643548812646,-0.4761004267630669
Thal_VPL_R,-0.13093619163162118,-0.25213483095869565,-0.14664319777032467,0.1939888705004175,-0.41398670069345794,-0.38727879588330894,0.29770182217243185,-0.2940672642223402,0.5830269995459959,1.0,-0.1958057381616687,-0.1916060103800096,0.12239426980974949,-0.39834168290909805,-0.4272338601614754,0.24676014380427738,-0.15950507538382466,0.10732240509978726,0.400177751019385,-0.031146812990229273,-0.45087660040784605,-0.25861054094874697,0.5542164251577194,0.5063567207396524,-0.05142597075739137,-0.2518393734364561,-0.2011489039609815,0.6979045441904821,-0.28442988064194324,0.3192813830572393,0.5293806954668587,0.47595897926707226,-0.3090118132437895,0.11738759057013472,-0.050919437313084466
