,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7
SN_pc_R,1.0,-0.14395244669186655,-0.04368399526143476,0.3406432755482929,0.07535575181926062,0.1549917565185351,-0.04696789379410301,-0.3277426039668464,0.07838926177362565,-0.059118099356559636,-0.30392832352043264,0.017252077574017356,0.3196200808849697,0.252032776696822,-0.02995205348951175,0.24867532755130684,0.024661458129106393,0.15605488051559882,-0.2269844531467491,-0.18039289235784137,0.3199238121078373,0.24287855411801332,0.38322643879927293,-0.299548304701121,0.4775088873751846
Thal_MDl_L,-0.14395244669186655,1.0,0.2374216891862838,0.021126838648804335,0.24140592845662837,0.1889316192957708,-0.29965299300829257,0.09064037413778933,-0.14271453665343412,0.41404419187552965,-0.14809955826129556,0.7380066241716308,0.0328890740067991,0.3575156446144408,0.12344088170973695,0.31951902438932883,0.2835255420301185,-0.0668851689769876,0.3884634802214313,0.10300170808440029,0.14955671384050107,0.4955063673006876,0.1554630779149077,0.07718110058249189,-0.1742482528208442
OFCpost_R,-0.04368399526143476,0.2374216891862838,1.0,-0.3067056393914664,0.5055721836600577,0.20559978279256633,0.1747492152178845,0.10276289818655256,0.042945242879516315,0.202870039562513,0.11498375683952457,0.33920608894095633,0.3587018029202038,0.26610137663387023,0.3845283199323709,0.27851820939691674,0.3532836457065855,0.09758684137722994,-0.0972206179705564,0.23588347989028588,0.39677236781415215,0.1676843863539628,0.5187351578498827,0.3290350886809665,0.23801399811964769
Temporal_Sup_R,0.3406432755482929,0.021126838648804335,-0.3067056393914664,1.0,-0.3710796730045443,0.21598624014942552,-0.10664598098175733,-0.35186523519867013,0.23454210923229799,-0.0669359740599369,-0.17280742461137555,0.038188224892082394,0.26980921003418884,0.31848328075441684,-0.06396175118856572,0.40015882281681925,-0.4273788356257687,-0.022325490276098692,-0.06350925263609837,-0.6525832993070433,0.0232687290911934,0.3136919845324951,0.3071928135337076,-0.7288787675851325,-0.09901835927546793
OFClat_L,0.07535575181926062,0.24140592845662837,0.5055721836600577,-0.3710796730045443,1.0,0.10492258046039911,-0.2046211133038023,-0.21551261074733483,-0.516514179284462,0.08990789580371454,-0.08803852354513964,0.1846275291524307,0.32308788826627177,0.15949829608047192,-0.024579533490972964,-0.1356937664533822,0.5529969788943705,0.2661530489098299,0.015037395553463036,0.0870611342510213,0.24120610206181306,0.38962492930043274,0.14900923514833567,0.12864828176116075,-0.012654506911245795
Heschl_R,0.1549917565185351,0.1889316192957708,0.20559978279256633,0.21598624014942552,0.10492258046039911,1.0,0.07029307018326494,-0.485385253369962,-0.2636172176100822,-0.012743446875210437,-0.0552739132997326,0.08591792731287096,0.3635771730908515,0.3992040849108462,0.024442181767786984,-0.016059438114701938,0.056158660974443525,0.03344459828865027,0.36421808751400053,0.13866937095175183,0.007729157463413315,0.21758646568074375,0.5084251403191276,0.11245638329700527,0.04159643085959273
Cuneus_L,-0.04696789379410301,-0.29965299300829257,0.1747492152178845,-0.10664598098175733,-0.2046211133038023,0.07029307018326494,1.0,0.3269477006070897,0.49428104447861926,-0.08516501686714578,0.46017887269437535,-0.07038330698085198,0.23765718128192118,-0.038461894920165406,0.5650633584802633,0.05094722470272931,0.19169488269221957,-0.0063379722547555525,-0.1448805404275577,0.07983264802989089,0.25948345537158496,-0.6530936439370469,0.19115806476520578,0.3628342989576104,0.29971452231216855
Occipital_Inf_R,-0.3277426039668464,0.09064037413778933,0.10276289818655256,-0.35186523519867013,-0.21551261074733483,-0.485385253369962,0.3269477006070897,1.0,0.5174245599435459,0.04872414761582651,0.3705869097922002,0.1884268992606117,-0.3343218662528983,-0.10666117174978824,0.3560756197369649,0.17430796195506723,0.23015853402605566,-0.38334888937203293,-0.06123888420316066,0.2990654915066254,0.19872342380074123,-0.3366887635712203,-0.04570347617820182,0.4071081916358336,0.12775528022155988
Temporal_Inf_R,0.07838926177362565,-0.14271453665343412,0.042945242879516315,0.23454210923229799,-0.516514179284462,-0.2636172176100822,0.49428104447861926,0.5174245599435459,1.0,0.014468106375864969,0.22835476297471527,0.1396807790301332,0.08683477398607344,0.024144839833389522,0.5866116675534169,0.5225362608887341,-0.1176537083905705,-0.08385969517357537,-0.34547472129761353,-0.2086219812339076,0.32823127073926145,-0.37004374091422504,0.2626536096659554,-0.15431732768695341,0.3745340786669996
Red_N_R,-0.059118099356559636,0.41404419187552965,0.202870039562513,-0.0669359740599369,0.08990789580371454,-0.012743446875210437,-0.08516501686714578,0.04872414761582651,0.014468106375864969,1.0,-0.5016163527967171,0.5516010336141572,0.028799046884651115,-0.16433810203300042,0.11936855302042985,0.18034215332489326,-0.19885243611174333,0.5056482418110012,-0.3831176774472429,-0.09222751023030887,0.11713125310389445,0.2412097894303716,0.02012037774962958,-0.07078218422172242,-0.14873967248729603
Vermis_8,-0.30392832352043264,-0.14809955826129556,0.11498375683952457,-0.17280742461137555,-0.08803852354513964,-0.0552739132997326,0.46017887269437535,0.3705869097922002,0.22835476297471527,-0.5016163527967171,1.0,-0.2682152193286399,-0.011200806047019778,0.09258277824180257,0.5079263880641728,-0.14996393337218,0.2556974335728296,-0.49241842650397377,0.23207581688699003,0.05872502132077478,0.09042746027713816,-0.5266000598681012,0.018726945976726823,0.269828647726427,0.2531586765350787
Thal_AV_L,0.017252077574017356,0.7380066241716308,0.33920608894095633,0.038188224892082394,0.1846275291524307,0.08591792731287096,-0.07038330698085198,0.1884268992606117,0.1396807790301332,0.5516010336141572,-0.2682152193286399,1.0,0.1622030554169183,0.23352912805205348,0.26572690522365905,0.45630542881593994,0.18379044808764913,0.13611908230054906,0.011238167039769159,-0.0020130441050157316,0.2750169866759348,0.3702107550325712,0.3040969154453032,0.021017073100641468,-0.010599874557649366
Thal_LGN_R,0.3196200808849697,0.0328890740067991,0.3587018029202038,0.26980921003418884,0.32308788826627177,0.3635771730908515,0.23765718128192118,-0.3343218662528983,0.08683477398607344,0.028799046884651115,-0.011200806047019778,0.1622030554169183,1.0,0.2980806708522444,0.3338022487200468,0.2824309438164985,0.2177167645841997,0.3489085859779258,-0.2275980147552871,-0.35367084236566515,0.5300637360513694,0.12272584642191876,0.519547843730151,-0.22137528738330878,0.2842857413375077
Paracentral_Lobule_R,0.252032776696822,0.3575156446144408,0.26610137663387023,0.31848328075441684,0.15949829608047192,0.3992040849108462,-0.038461894920165406,-0.10666117174978824,0.024144839833389522,-0.16433810203300042,0.09258277824180257,0.23352912805205348,0.2980806708522444,1.0,0.19963053657680013,0.36900694151846436,0.3169332756915625,-0.19756503264109884,0.251834274715483,0.03448209984413106,0.27753970847123044,0.3522142367060682,0.49513459029138157,-0.06666736465161201,0.21665781783663646
Vermis_9,-0.02995205348951175,0.12344088170973695,0.3845283199323709,-0.06396175118856572,-0.024579533490972964,0.024442181767786984,0.5650633584802633,0.3560756197369649,0.5866116675534169,0.11936855302042985,0.5079263880641728,0.26572690522365905,0.3338022487200468,0.19963053657680013,1.0,0.2993523950311252,0.20873004422576028,-0.011219210221208607,-0.20422665426126638,-0.16705708935108288,0.5072147557931784,-0.3859418870206265,0.35121727311062817,0.06425731082542972,0.4570971265500623
Amygdala_R,0.24867532755130684,0.31951902438932883,0.27851820939691674,0.40015882281681925,-0.1356937664533822,-0.016059438114701938,0.05094722470272931,0.17430796195506723,0.5225362608887341,0.18034215332489326,-0.14996393337218,0.45630542881593994,0.2824309438164985,0.36900694151846436,0.2993523950311252,1.0,0.06386680260646732,-0.05237736110887312,-0.15914805770929671,-0.17211349431478049,0.4107034985365142,0.34095525455806397,0.485174827901026,-0.22428544547871537,0.19667861192524308
Temporal_Sup_L,0.024661458129106393,0.2835255420301185,0.3532836457065855,-0.4273788356257687,0.5529969788943705,0.056158660974443525,0.19169488269221957,0.23015853402605566,-0.1176537083905705,-0.19885243611174333,0.2556974335728296,0.18379044808764913,0.2177167645841997,0.3169332756915625,0.20873004422576028,0.06386680260646732,1.0,-0.10914366810079829,0.28290064015150185,0.4577429322121169,0.36977032864136733,0.0392181500712177,0.12032298643175961,0.5185881535482147,0.16359518602541848
N_Acc_L,0.15605488051559882,-0.0668851689769876,0.09758684137722994,-0.022325490276098692,0.2661530489098299,0.03344459828865027,-0.0063379722547555525,-0.38334888937203293,-0.08385969517357537,0.5056482418110012,-0.49241842650397377,0.13611908230054906,0.3489085859779258,-0.19756503264109884,-0.011219210221208607,-0.05237736110887312,-0.10914366810079829,1.0,-0.4971079933728837,-0.29715518837854143,0.10306920129844116,0.06541020675949721,-0.10160624240356943,-0.23965288549006464,-0.05818657671519445
Thal_Re_L,-0.2269844531467491,0.3884634802214313,-0.0972206179705564,-0.06350925263609837,0.015037395553463036,0.36421808751400053,-0.1448805404275577,-0.06123888420316066,-0.34547472129761353,-0.3831176774472429,0.23207581688699003,0.011238167039769159,-0.2275980147552871,0.251834274715483,-0.20422665426126638,-0.15914805770929671,0.28290064015150185,-0.4971079933728837,1.0,0.40846729124078873,-0.24722731518787058,0.08426057390311831,-0.0414823609943116,0.36035718596794053,-0.1700026448243763
Precentral_L,-0.18039289235784137,0.10300170808440029,0.23588347989028588,-0.6525832993070433,0.0870611342510213,0.13866937095175183,0.07983264802989089,0.2990654915066254,-0.2086219812339076,-0.09222751023030887,0.05872502132077478,-0.0020130441050157316,-0.35367084236566515,0.03448209984413106,-0.16705708935108288,-0.17211349431478049,0.4577429322121169,-0.29715518837854143,0.40846729124078873,1.0,-0.11211536042463383,-0.06314974784695318,-0.010498314396290459,0.8777160636533272,0.06673822775693893
Raphe_D,0.3199238121078373,0.14955671384050107,0.39677236781415215,0.0232687290911934,0.24120610206181306,0.007729157463413315,0.25948345537158496,0.19872342380074123,0.32823127073926145,0.11713125310389445,0.09042746027713816,0.2750169866759348,0.5300637360513694,0.27753970847123044,0.5072147557931784,0.4107034985365142,0.36977032864136733,0.10306920129844116,-0.24722731518787058,-0.11211536042463383,1.0,0.04615404992481547,0.41027544601625243,0.015442274476361572,0.46999323967952095
Frontal_Inf_Orb_2_R,0.24287855411801332,0.4955063673006876,0.1676843863539628,0.3136919845324951,0.38962492930043274,0.21758646568074375,-0.6530936439370469,-0.3366887635712203,-0.37004374091422504,0.2412097894303716,-0.5266000598681012,0.3702107550325712,0.12272584642191876,0.3522142367060682,-0.3859418870206265,0.34095525455806397,0.0392181500712177,0.06541020675949721,0.08426057390311831,-0.06314974784695318,0.04615404992481547,1.0,0.2843333934557949,-0.2978625465507525,-0.23289122286578906
Insula_L,0.38322643879927293,0.1554630779149077,0.5187351578498827,0.3071928135337076,0.14900923514833567,0.5084251403191276,0.19115806476520578,-0.04570347617820182,0.2626536096659554,0.02012037774962958,0.018726945976726823,0.3040969154453032,0.519547843730151,0.49513459029138157,0.35121727311062817,0.485174827901026,0.12032298643175961,-0.10160624240356943,-0.0414823609943116,-0.010498314396290459,0.41027544601625243,0.2843333934557949,1.0,-0.02738815394741759,0.3583988599897242
Postcentral_L,-0.299548304701121,0.07718110058249189,0.3290350886809665,-0.7288787675851325,0.12864828176116075,0.11245638329700527,0.3628342989576104,0.4071081916358336,-0.15431732768695341,-0.07078218422172242,0.269828647726427,0.021017073100641468,-0.22137528738330878,-0.06666736465161201,0.06425731082542972,-0.22428544547871537,0.5185881535482147,-0.23965288549006464,0.36035718596794053,0.8777160636533272,0.015442274476361572,-0.2978625465507525,-0.02738815394741759,1.0,0.06431021803710854
Vermis_7,0.4775088873751846,-0.1742482528208442,0.23801399811964769,-0.09901835927546793,-0.012654506911245795,0.04159643085959273,0.29971452231216855,0.12775528022155988,0.3745340786669996,-0.14873967248729603,0.2531586765350787,-0.010599874557649366,0.2842857413375077,0.21665781783663646,0.4570971265500623,0.19667861192524308,0.16359518602541848,-0.05818657671519445,-0.1700026448243763,0.06673822775693893,0.46999323967952095,-0.23289122286578906,0.3583988599897242,0.06431021803710854,1.0
