,Parietal_Inf_R,Frontal_Mid_2_L,OFClat_R,Calcarine_L,Vermis_1_2,Cerebellum_10_R,Frontal_Sup_2_R,OFClat_L,SN_pc_L,ACC_sub_R,Amygdala_L,Thal_PuL_R,LC_L,Frontal_Inf_Orb_2_L,SupraMarginal_R,Parietal_Sup_R,Thal_VA_R,Vermis_9,Temporal_Sup_R,Temporal_Mid_R,Cerebellum_4_5_L,SupraMarginal_L,ACC_pre_R,Cerebellum_4_5_R,Thal_MDm_R,Angular_R,Thal_PuA_R,Thal_AV_L,Insula_L,Temporal_Sup_L,Cerebellum_8_R,Thal_IL_L,Cerebellum_Crus1_R,Fusiform_R,Thal_VL_R,ParaHippocampal_R,Cingulate_Mid_L,Amygdala_R,Caudate_R,Precuneus_L,SN_pc_R,Temporal_Pole_Sup_R,Temporal_Inf_R,OFCant_L,Cerebellum_3_L,Cerebellum_Crus2_L,Precentral_L,N_Acc_L,Vermis_4_5,Hippocampus_R,OFCpost_R,Parietal_Sup_L,Cerebellum_9_L,Parietal_Inf_L,Cerebellum_3_R,Cerebellum_7b_R,Thal_MDl_R,Temporal_Pole_Mid_R,Cerebellum_8_L,Thal_VPL_L,Thal_LP_L,Thal_VL_L,Vermis_8,Temporal_Pole_Sup_L,Cingulate_Post_R,Occipital_Mid_R,OFCpost_L,Olfactory_L,Heschl_R,Cerebellum_Crus1_L
Parietal_Inf_R,1.0,-0.16060695953172766,0.04694604715715003,0.3718125364465104,-0.30294321286787257,-0.03054846444785443,0.36722591595158666,-0.2685035380633823,-0.14319805648021722,-0.1037615447155491,-0.41825938856621414,-0.10671329508553896,-0.19337134240243753,-0.04895711593445447,0.7762362738302131,0.8507878443731692,-0.23953704399511117,-0.14111784023646792,0.49277709250952295,0.6706234697111125,0.21503178396265848,-0.3353176553029323,0.019368293454671927,-0.08072037644609668,0.2326193611512259,0.7312581202995959,0.0098505027302912,-0.1847744463561425,-0.14974983840075157,-0.3838635595157095,0.35334122620659897,-0.028763247468449497,0.15331883231797885,0.2898529834662111,0.08198069218347856,-0.014062499714689562,-0.12567410164011047,-0.07314902525648151,0.28815587815791927,0.4391702541850671,-0.08883398440512115,0.277478965315839,-0.027362313707133316,0.01905441072438347,-0.2784794618499251,-0.16556631543402842,-0.4497400256456508,0.06347318189201473,-0.2442676039015576,-0.12681277536809302,-0.32897040685855644,0.4536605202838737,0.10983495723193319,0.08604488254373278,0.21232201941498105,0.25018502541952825,0.1791923873345488,0.2660646255230041,0.059793445767303104,0.17859180699116253,0.4523480769109517,-0.1548888850731003,-0.008002399414383634,0.07873940156503674,0.17371208632817337,0.5224584779447046,0.4029081260865344,-0.15507786256477032,-0.06443283754567909,-0.1528259629368518
Frontal_Mid_2_L,-0.16060695953172766,1.0,0.027647866311676133,-0.062273656302970486,0.19181693328452232,-0.2439515639808892,-0.06752627949327578,0.49757773047120263,0.22736061292826992,0.12194109657767113,0.40604551892367097,0.2316197222885284,0.06296968605229139,-0.14946010138154223,-0.49695326757927827,-0.014984864446247463,0.14590127235107347,-0.3038027685346908,-0.4342248093451502,-0.5652940142406863,0.13540133988734823,0.4797312779693828,0.12168942681022556,0.15004722305308313,0.12292766473476018,-0.443433064509809,-0.020841403848893023,-0.007079813657349939,-0.09431451298390464,0.5298925142332508,-0.3803479602383778,-0.008970715764690046,-0.3497419014393328,-0.4523498504204136,-0.24398001094186245,0.107721090163873,0.494157745266654,-0.3432576968707031,-0.30663003547909834,0.32836110536927443,0.014833592875484834,-0.5290977634934715,-0.5850118496763866,0.024742448072835273,0.4111053420023445,-0.17429418831778543,0.5687415584125995,0.16171510551805315,0.3273786773000847,-0.0230758476705276,0.04347112588726651,0.3168008929172713,-0.3762426380643157,0.5135700677488936,0.009967610574054517,-0.014205395383967251,0.1130900316509673,-0.3638803775078841,-0.1898665802530189,-0.11596176372882035,-0.2689575927511034,0.026622764144499444,-0.18939410485615596,-0.3619738313219437,0.07820822813396884,-0.3317471230765351,-0.4836443795716968,0.020926045863425387,0.25315742807424485,-0.3219710311839001
OFClat_R,0.04694604715715003,0.027647866311676133,1.0,-0.6342899821380907,0.34761236863669404,0.051551354085804614,0.5180431852537187,0.2346511162720825,-0.2721348131671257,0.7011797695099962,0.12887527408949373,-0.5513978950928455,0.40823268944572516,-0.3271407842227682,0.3033062924135433,-0.14081822551274206,0.4805927125374343,-0.5455024356005048,0.5079950221345125,-0.10782789846198541,-0.4155567831377351,-0.6439553796044042,0.7509907014958728,0.0627442743189729,-0.3026524997332705,-0.13077077983692603,-0.7513922055585924,0.16620198270058206,0.19476089692610832,-0.18593059829466388,-0.325191481376298,0.022850830728273656,-0.282476116001006,0.1311601164371847,0.6251688982531945,0.7690909860647972,-0.07746809677096199,0.20678773792361924,0.7696826240572676,-0.26423895061204516,0.2705712121944509,0.10911828996448174,-0.39689472953691957,0.8864800729212103,0.34075208946939367,-0.5196913102568039,-0.270141668457751,0.12892849284047966,0.004226650780705454,0.5737607755660857,-0.1029149204566011,-0.5217955847709514,-0.5711228760123161,-0.5978905185329222,-0.08198985645740131,0.1914146194705596,0.3056266085526105,0.38920166648885895,-0.6446224032814498,0.49255414182333795,-0.2234855486956807,0.6438070816136628,-0.5796054936856201,-0.7483656800679939,0.41448930533504114,-0.5149038922413446,-0.04666117280372608,-0.12561642553080898,0.2159662522713403,-0.6001951599765849
Calcarine_L,0.3718125364465104,-0.062273656302970486,-0.6342899821380907,1.0,-0.3116691735991301,0.15600351023732328,-0.018058770202667895,-0.16940728349320985,0.30331299928173394,-0.5619434502927753,-0.10395504521635289,0.5754700445285407,-0.15841365904895635,0.3426565561994308,0.07721182036583081,0.4114426677713259,-0.5692224691585192,0.46067633875266845,-0.009914625012231148,0.45038650729978214,0.5771518910784369,0.3559821984669693,-0.38189945675650677,0.05810036179102515,0.3184369292839397,0.4281227047429433,0.6988382703449201,-0.23433820743717684,0.0411044566013078,0.16901473633443415,0.41939988451005444,-0.1849993077085492,0.30313163703540097,0.12406142720948779,-0.47574105071866424,-0.4542613816221115,0.13539300422905423,-0.1795974869186579,-0.4164830384186759,0.5181316424816776,-0.24086165065908907,0.20037032327201806,0.2653149286310648,-0.6567785877565048,-0.2598973902560473,0.31053524113825737,-0.0025409177249256674,-0.21815642456143314,0.09656615316678914,-0.47445994360011323,0.07445266251033479,0.5936159158325875,0.5034611306570215,0.5190989129497356,0.1001012209973923,-0.09270322779917502,-0.06769555050147504,-0.004057387791608922,0.5387711142694057,-0.2605618597915761,0.44822057394356735,-0.44520050501285074,0.6477331073135152,0.6213800093433225,-0.14728877107580365,0.581991455267359,0.36474629273488673,0.03742717128706202,0.13993561013326633,0.5911295523915653
Vermis_1_2,-0.30294321286787257,0.19181693328452232,0.34761236863669404,-0.3116691735991301,1.0,0.08773020813266512,0.3331695535389531,0.041452708104866724,0.34080001320943687,0.341221173392543,0.513858821273955,-0.18774673329367622,0.5254061678908178,-0.2704841928699894,-0.1309734382127055,-0.43637822884306954,0.5141470299882931,-0.06561271595785921,0.27239634664185736,-0.2962527191802482,-0.007335080414278477,-0.05683005189331152,0.3865693516121774,0.48802261056201135,-0.3859630831697049,-0.35769464634848047,-0.23229035091344497,0.27278666026850773,0.42723591506106623,0.36263930953628887,-0.5306690747164526,0.22689711725831938,-0.3108808516447133,0.16736928275859292,0.3715618003066526,0.6923901603038604,0.3883414115686755,0.49028736384762817,0.318437877941235,-0.21386428566261795,0.43538926675845757,0.21897208246462216,0.04544954773001501,0.45372991844220656,0.7699433943695196,-0.09672154770472485,0.19920917215637213,-0.23195398388401445,0.42489289106660655,0.7339144774000208,0.06002733144901813,-0.386543390234183,-0.49075213166306986,-0.2172607076886633,0.12174352537588766,-0.11393060087460101,0.03988807637752486,0.3914806841247887,-0.5396216572140811,0.4209808350027829,-0.25044724087696624,0.49818649400721915,-0.14425148967353457,-0.3278083429598344,0.06096314037232462,-0.451507119877349,-0.14747860355094494,0.2554780258477967,0.21464735911523622,-0.019051170436603967
Cerebellum_10_R,-0.03054846444785443,-0.2439515639808892,0.051551354085804614,0.15600351023732328,0.08773020813266512,1.0,0.3423300329417685,-0.0689531919124089,0.08210353816167597,-0.06732868394678183,-0.055013979932486544,-0.004911310805481827,0.3234808828747293,0.2524234079604771,0.19408274223335234,-0.22926044811304794,-0.18854936727187596,0.5261111736444775,0.3660402776204979,0.32653309074835835,0.11593993384296064,-0.20553666837933385,0.05925138648132482,0.24986129413892846,0.02249172274602919,0.2986902759699263,0.09169520169969143,0.10842420206843717,0.48056279930681783,-0.15163645404609855,0.386034869751692,0.0013203963895415296,0.4161042746829202,0.5419858811241921,0.09436120901102256,0.021448198542018876,-0.1430932438137163,0.2168040159700649,0.24429944677607815,-0.0733837936197146,0.23547165622526436,0.3920627074081399,0.3564573580799826,-0.02034053167845144,0.018781059644636666,0.1683732004029834,-0.37629905401690716,0.030927599297016176,0.17727081299904152,0.008085746582489022,0.11077872197266647,-0.3178217345749687,0.425758284006198,-0.285513961827309,0.12360878463525372,-0.04185690574900254,0.1333406524990042,0.280071164041443,0.17576354030023178,0.2846593879705642,-0.008341065268692011,0.13496076182420666,0.19812498544775808,0.12181755876981408,-0.08274742225349618,0.11344266448186045,0.4455656486350937,0.08412004005460147,0.251275391434019,0.46252765799510526
Frontal_Sup_2_R,0.36722591595158666,-0.06752627949327578,0.5180431852537187,-0.018058770202667895,0.3331695535389531,0.3423300329417685,1.0,0.13126926655162102,0.07000010939066498,0.3560370878516253,0.20013894878710878,-0.2830251146894193,0.34221458421547657,0.04156348809077257,0.4749795601405054,0.10655277045718817,0.25316778456287103,-0.0021273905221656703,0.6153611616203262,0.2117141180293772,0.23844281147967086,-0.38512154330640325,0.5628785870336681,0.32289397251271057,0.010591645910701957,0.2622359131579876,-0.192066727235425,0.2197480881081983,0.5589882898678977,-0.0034009194144836268,-0.07600167721470336,0.23348559215239947,-0.041456549842492,0.42784658762466465,0.4946598077131394,0.5536635199443342,0.26254118709727403,0.4531641610237603,0.6857612553718254,0.16766550602905378,0.37434366494372107,0.6197084721527316,0.017428859256110138,0.5729105490541573,0.3839771558049399,-0.22675821761435666,-0.34947368029993753,0.009785147678865133,0.18950242991566155,0.4907387406928855,0.14684171156489512,-0.15575515141280083,-0.12044561666037103,-0.2734346011835622,0.24203043936105556,0.10692050799337265,0.405010590200185,0.7377765225017405,-0.2696289867498736,0.6383031064559093,-0.048746183948552554,0.4619536358979241,-0.19073306606349422,-0.257023514999591,0.2843274380171226,-0.10020303383611429,0.4931588323622829,0.14085720910873883,0.26518029525826486,-0.06257766481964981
OFClat_L,-0.2685035380633823,0.49757773047120263,0.2346511162720825,-0.16940728349320985,0.041452708104866724,-0.0689531919124089,0.13126926655162102,1.0,0.18950488520762113,0.42586763171811454,0.4691120547812863,0.08580483988563191,0.08924236452424358,0.3199589793481917,-0.47206420982260583,-0.23512324872792353,0.31589730639606883,-0.024579533490972964,-0.3710796730045443,-0.5963321234592254,0.14310204338480204,0.22137595827078627,0.44703439513683535,-0.08294378542494384,0.09167224835486408,-0.5454712370473309,0.0016842076104186378,0.1846275291524307,0.14900923514833567,0.5529969788943705,-0.08152004175366236,0.15711413142591968,-0.386085183982137,-0.40240774889897685,0.08687821104017826,0.10987341684870547,0.47774464836404096,-0.1356937664533822,-0.05191625271546081,0.12765872619225624,0.07535575181926062,-0.14446999652036746,-0.516514179284462,0.26633144725680635,0.23482655400392105,-0.2158892598305773,0.0870611342510213,0.2661530489098299,0.1392313603117269,0.09385162001213884,0.5055721836600577,0.09791484661683818,-0.05556521504715288,0.1760229327633862,-0.18793090540160268,-0.016410452524429613,0.34584317682163784,0.025023303991868882,0.05211076989194328,0.1344206337735099,-0.27064868393864877,0.24528768586910085,-0.08803852354513964,-0.22149677804457588,-0.031570696847651285,-0.49218638064465636,-0.017868713967815603,0.04422684936856291,0.10492258046039911,-0.2634775442682469
SN_pc_L,-0.14319805648021722,0.22736061292826992,-0.2721348131671257,0.30331299928173394,0.34080001320943687,0.08210353816167597,0.07000010939066498,0.18950488520762113,1.0,-0.04695137926727813,0.29418974099405826,0.27398083694154185,0.03157401676884743,0.04439215414585009,-0.3269574607969169,-0.1554665719079444,-0.0058628437318849844,0.2767076898375164,-0.10150098936426817,-0.21867928062263178,0.2354478902626489,0.30165391044031714,0.15572645742972674,0.214774949017238,-0.15260896319462613,-0.28184939820089217,0.25120310026325965,-0.09433487471878234,0.14225075218361352,0.5382090116849644,0.054170195006205915,-0.03732852309549447,-0.20140077733369277,-0.14460066132166,-0.1921458872366999,0.06417701309312879,0.48885160461327787,-0.00046450022743504553,-0.25037749915261803,0.031145616591583564,0.19512065114463384,0.07706674319191001,-0.0029773410045751095,-0.22414917960871886,0.32998797563960075,0.17064622573090954,0.20743308825326418,-0.47564028151095616,0.15855345102289323,0.09726565689174249,0.04818894936673509,0.12176195618359172,0.08570400383472127,0.2173016324900332,-0.055142829223665056,-0.21948285433958523,-0.024527012904083524,0.08876972248893532,0.1503226726329866,0.03153199303290122,0.11370434599260343,-0.06428587402593545,0.5264424907069182,0.17731211261645807,-0.20494934899623782,-0.07615188365511703,0.004389510520298794,0.36611942107635137,0.010261940172952642,0.34300995205333823
ACC_sub_R,-0.1037615447155491,0.12194109657767113,0.7011797695099962,-0.5619434502927753,0.341221173392543,-0.06732868394678183,0.3560370878516253,0.42586763171811454,-0.04695137926727813,1.0,0.3758612269783901,-0.4297838497804247,0.4039554861304579,0.05609146464551246,-0.0012824872872003277,-0.3576856759783415,0.6627486243802928,-0.24702931472954356,0.20774020313569497,-0.25080912531970173,-0.27248072960425845,-0.364187533697869,0.685205283529486,-0.05656722830224643,-0.061886550047904075,-0.41616638593921945,-0.3752059142536338,0.5485462137341579,0.14981437558074603,0.12036381494582632,-0.256994419788931,0.2252130936687299,-0.20012081268716203,0.044265343420750954,0.7376539136423617,0.5728388928265269,0.28087199462770535,0.31696651014234606,0.5410784750619201,-0.1322738957839701,0.08541768387754899,0.1270441370254851,-0.3767521718089155,0.7032126239226445,0.3212968898840752,-0.3377954776423529,-0.13421054383065403,0.08081186609147173,0.19007192539239004,0.6181036616041198,0.0919592503076425,-0.42571410393746145,-0.3559717392917401,-0.3410809494253255,-0.27382335721509765,0.01050777831886706,0.5583096973140168,0.32645155285720756,-0.35965222329228674,0.46640935407677914,-0.23909099806705633,0.7706302860325794,-0.45262964282788504,-0.5004691928072608,0.1399643236685599,-0.563237054992601,-0.022281937045828808,-0.3819448910011872,0.09870830116035882,-0.40786360388230464
