,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pr_L,Temporal_Mid_R,Frontal_Inf_Orb_2_L,Frontal_Sup_2_L,Thal_IL_L,Temporal_Inf_L,Vermis_1_2,Thal_VL_L,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L,Thal_VPL_L,Caudate_L,Parietal_Inf_R,Cerebellum_Crus1_R,Thal_VA_R,Frontal_Sup_Medial_L,Raphe_M,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,Thal_MDm_L,Postcentral_R,Cerebellum_10_L
Vermis_8,-0.30392832352043264,-0.14809955826129556,0.11498375683952457,-0.17280742461137555,-0.08803852354513964,-0.0552739132997326,0.46017887269437535,0.3705869097922002,0.22835476297471527,-0.5016163527967171,1.0,-0.2682152193286399,-0.011200806047019778,0.09258277824180257,0.5079263880641728,-0.14996393337218,0.2556974335728296,-0.49241842650397377,0.23207581688699003,0.05872502132077478,0.09042746027713816,-0.5266000598681012,0.018726945976726823,0.269828647726427,0.2531586765350787,-0.3846007697306435,0.19812498544775808,0.3038538847363318,0.11619899432100128,-0.2066211531112542,0.061901340875854596,-0.47804988783019714,0.13555484573725574,-0.4364365743749014,0.20601468356433664,0.4119497154701396,0.11132005445214992,0.22746093065717907,-0.2315200413314745,-0.31049169882951677,0.42586387439798,-0.14425148967353457,-0.31393324288688973,0.3683948339538115,-0.1734331442705225,0.465005751777266,-0.2754419888118958,-0.35115915815350707,-0.008002399414383634,0.22452267008849933,-0.43559162587401756,-0.19332647267387276,-0.27790872342310946,-0.40887539274820855,-0.5972920435172511,-0.2686782405629452,0.5960094857420409,-0.04011342885036489,-0.2835200473408951,0.5547687729964422
Thal_AV_L,0.017252077574017356,0.7380066241716308,0.33920608894095633,0.038188224892082394,0.1846275291524307,0.08591792731287096,-0.07038330698085198,0.1884268992606117,0.1396807790301332,0.5516010336141572,-0.2682152193286399,1.0,0.1622030554169183,0.23352912805205348,0.26572690522365905,0.45630542881593994,0.18379044808764913,0.13611908230054906,0.011238167039769159,-0.0020130441050157316,0.2750169866759348,0.3702107550325712,0.3040969154453032,0.021017073100641468,-0.010599874557649366,0.45271685411755086,0.10842420206843717,-0.26725631161050883,0.0663907338894411,-0.08121419684669334,0.4405725200539392,0.10123402075063777,-0.22743156454578453,0.07501417446807182,0.23648772536793108,-0.3152519636322547,-0.02572686551974502,0.36810135011136075,0.08993718911459277,0.42797717706812743,0.25362207226623956,0.27278666026850773,0.5802482478420518,0.10790641831180521,0.12729887941169762,-0.13138736083687014,0.35725968822176174,0.13553903481403523,-0.1847744463561425,0.14408455989531616,0.5176488758089536,-0.0025093627688053716,0.16024878089292688,0.2151291017360687,0.3941387498361133,0.16615000313687753,0.13178571662374955,0.39362490964323854,-0.29657726405763274,0.0006942263796235505
Thal_LGN_R,0.3196200808849697,0.0328890740067991,0.3587018029202038,0.26980921003418884,0.32308788826627177,0.3635771730908515,0.23765718128192118,-0.3343218662528983,0.08683477398607344,0.028799046884651115,-0.011200806047019778,0.1622030554169183,1.0,0.2980806708522444,0.3338022487200468,0.2824309438164985,0.2177167645841997,0.3489085859779258,-0.2275980147552871,-0.35367084236566515,0.5300637360513694,0.12272584642191876,0.519547843730151,-0.22137528738330878,0.2842857413375077,0.20311676706201506,0.3339664497726729,0.022833434911821156,0.11577074886663942,0.10512927542665944,0.3909099869988461,0.22542725497977026,0.12416507544776825,0.16866566800166366,0.28248038347671317,-0.005863242946563605,0.007962566805264392,0.23161174223196293,0.34575222599838734,0.3283115534564823,0.23354112463867877,0.21794461702719392,0.23204310326199706,0.14265243561242893,0.06092392899642432,0.08810636357231642,0.4085004831662965,0.3068069951297004,0.03059493747008904,-0.11981705469495618,0.1640202541790724,0.3583741213797248,-0.13325928570295445,0.1454731407505459,-0.15350146564549627,0.15799195338223312,0.16898646478311247,-0.04727023389397485,-0.16519598054522644,0.03745928215005452
Paracentral_Lobule_R,0.252032776696822,0.3575156446144408,0.26610137663387023,0.31848328075441684,0.15949829608047192,0.3992040849108462,-0.038461894920165406,-0.10666117174978824,0.024144839833389522,-0.16433810203300042,0.09258277824180257,0.23352912805205348,0.2980806708522444,1.0,0.19963053657680013,0.36900694151846436,0.3169332756915625,-0.19756503264109884,0.251834274715483,0.03448209984413106,0.27753970847123044,0.3522142367060682,0.49513459029138157,-0.06666736465161201,0.21665781783663646,0.43926821185304477,0.34338676002511365,-0.24938676233131157,0.13380547426406628,-0.022706000689179655,0.1176156762852159,0.2016545630028773,-0.21421170262979336,0.39155057173665203,0.42525737434970773,0.3169118896551696,-0.09125377598246487,0.03384065882071454,0.34968989688511753,0.09598279866376475,0.3436845174761405,0.5264002470791735,0.4699581991668191,0.15415051650842448,0.4011978104825298,-0.18713629237638726,0.3925980703978181,0.2874762899900713,-0.13763669148230212,-0.06964734227649387,0.27604518714253173,0.27042918367023633,0.29024273800198136,0.16955456266356045,0.01906170624192725,0.5164714484339227,0.3984504771234736,-0.0632159271000428,-0.07444310341778362,-0.07609104507546684
Vermis_9,-0.02995205348951175,0.12344088170973695,0.3845283199323709,-0.06396175118856572,-0.024579533490972964,0.024442181767786984,0.5650633584802633,0.3560756197369649,0.5866116675534169,0.11936855302042985,0.5079263880641728,0.26572690522365905,0.3338022487200468,0.19963053657680013,1.0,0.2993523950311252,0.20873004422576028,-0.011219210221208607,-0.20422665426126638,-0.16705708935108288,0.5072147557931784,-0.3859418870206265,0.35121727311062817,0.06425731082542972,0.4570971265500623,-0.1609093287425004,0.5261111736444775,0.011837718340797053,0.09940221470907802,-0.12348506910416869,0.6656084848305882,-0.42651864251955224,0.21852018345250893,-0.537006508603166,0.2551814550943941,0.00408315997779931,0.261419825677226,0.6317809952340306,-0.16004261070551612,0.22043038167925016,0.5556625505436481,-0.06561271595785921,-0.10170676829607513,0.24649771946688226,-0.11093714555306697,0.439941266697685,-0.005105295535459375,-0.3233710461448364,-0.14111784023646792,0.4516895022262014,-0.20543672837845997,-0.18754411756158199,-0.3038671568889033,-0.3907448752267655,-0.4967098835872052,-0.3407978708157899,0.7093584607450211,0.13389163036876348,-0.4849132500945904,0.6056975993045716
Amygdala_R,0.24867532755130684,0.31951902438932883,0.27851820939691674,0.40015882281681925,-0.1356937664533822,-0.016059438114701938,0.05094722470272931,0.17430796195506723,0.5225362608887341,0.18034215332489326,-0.14996393337218,0.45630542881593994,0.2824309438164985,0.36900694151846436,0.2993523950311252,1.0,0.06386680260646732,-0.05237736110887312,-0.15914805770929671,-0.17211349431478049,0.4107034985365142,0.34095525455806397,0.485174827901026,-0.22428544547871537,0.19667861192524308,0.6970640018003667,0.2168040159700649,-0.39060244508760156,-0.10410406675167364,0.20536755838855436,0.3777834151571543,0.24752112286564443,-0.08732726181887164,0.18449464315257913,0.24424664601988383,-0.019549452766864962,0.15974362476238801,0.1665975766054918,0.16856542240152525,0.5535071856605941,0.1983266723605979,0.49028736384762817,0.43088422454480035,-0.2607258837337135,0.5910514802851272,-0.10349743137072442,0.4364186902005163,-0.14684498336771806,-0.07314902525648151,0.03592901041834828,0.4604460249920553,0.05837025135035656,0.28058960775144176,0.11982900201374656,0.057893501889550225,0.35652615720161107,0.27921802364360593,-0.08362808600281242,-0.0727476265170789,-0.1856700172786735
Temporal_Sup_L,0.024661458129106393,0.2835255420301185,0.3532836457065855,-0.4273788356257687,0.5529969788943705,0.056158660974443525,0.19169488269221957,0.23015853402605566,-0.1176537083905705,-0.19885243611174333,0.2556974335728296,0.18379044808764913,0.2177167645841997,0.3169332756915625,0.20873004422576028,0.06386680260646732,1.0,-0.10914366810079829,0.28290064015150185,0.4577429322121169,0.36977032864136733,0.0392181500712177,0.12032298643175961,0.5185881535482147,0.16359518602541848,0.18732098086638113,-0.15163645404609855,0.24283538907259303,0.28358039116674255,-0.6680760363035733,0.29988023904021677,-0.052532264134737335,-0.4405332225137046,0.2918027212434924,0.690730877235187,0.33209835882855615,-0.5844138428723373,0.20060855441461678,-0.05530085934752305,0.21981339223954716,0.8063614566804486,0.36263930953628887,0.061397210173636765,0.32143701042791567,-0.1515965710194092,0.16819010184549685,-0.11325413151123787,0.20098152644343692,-0.3838635595157095,-0.4470921199505537,0.27202732526865775,-0.19511043444540865,0.13000974788677802,-0.3052141570992631,0.1385786954673242,0.08767044810430791,0.09210417182273731,-0.011893456168742591,-0.6800711490632577,0.05883041998735413
N_Acc_L,0.15605488051559882,-0.0668851689769876,0.09758684137722994,-0.022325490276098692,0.2661530489098299,0.03344459828865027,-0.0063379722547555525,-0.38334888937203293,-0.08385969517357537,0.5056482418110012,-0.49241842650397377,0.13611908230054906,0.3489085859779258,-0.19756503264109884,-0.011219210221208607,-0.05237736110887312,-0.10914366810079829,1.0,-0.4971079933728837,-0.29715518837854143,0.10306920129844116,0.06541020675949721,-0.10160624240356943,-0.23965288549006464,-0.05818657671519445,-0.10055017746951878,0.030927599297016176,0.06631812779684784,0.18650209102387508,0.07503063117427386,0.32279552412002727,0.3207668372259856,0.22669085014642681,-0.04907706806866375,-0.1524373251988135,-0.6020142957002228,0.008349752005965827,0.1667895103580626,0.06276985948444298,0.38088276461849774,-0.1393857736999411,-0.23195398388401445,-0.04783093115519764,-0.1785238542746117,-0.2684136092079795,0.010646970506821053,0.06249946908869509,0.2808791774105715,0.06347318189201473,-0.05012561826620791,0.17030275955039337,0.1316547356704481,-0.20660106974003853,0.06771998362726943,0.32252492305003083,-0.2211032697097247,-0.24262717384605723,0.21962342001061153,0.013572922980839291,-0.02009296677134233
Thal_Re_L,-0.2269844531467491,0.3884634802214313,-0.0972206179705564,-0.06350925263609837,0.015037395553463036,0.36421808751400053,-0.1448805404275577,-0.06123888420316066,-0.34547472129761353,-0.3831176774472429,0.23207581688699003,0.011238167039769159,-0.2275980147552871,0.251834274715483,-0.20422665426126638,-0.15914805770929671,0.28290064015150185,-0.4971079933728837,1.0,0.40846729124078873,-0.24722731518787058,0.08426057390311831,-0.0414823609943116,0.36035718596794053,-0.1700026448243763,0.05454708147290672,-0.2386893034869,0.0044326173047780585,-0.008207007639431477,-0.32213212121918977,-0.3249081608969689,-0.1277543504018222,-0.37635543577991143,0.3363140362223446,-0.01898064777717049,0.4494476561181973,-0.25992403365753297,-0.2736792873136206,-0.21381948761331215,-0.43892836125240475,0.1624821899994571,0.3189257293086948,0.2916179832916882,0.28666410992930946,-0.00036962841558458936,-0.1735631231077096,-0.1208695474227001,0.22071076214306284,-0.13841129436184293,-0.08756937988592187,0.03737703605866999,-0.16473959969293878,0.2816584105498797,0.09687239484566862,0.0018094955196940182,0.2308276820880452,0.025393954786028752,0.05763284549834329,-0.14843200671699375,-0.26682384857759206
Precentral_L,-0.18039289235784137,0.10300170808440029,0.23588347989028588,-0.6525832993070433,0.0870611342510213,0.13866937095175183,0.07983264802989089,0.2990654915066254,-0.2086219812339076,-0.09222751023030887,0.05872502132077478,-0.0020130441050157316,-0.35367084236566515,0.03448209984413106,-0.16705708935108288,-0.17211349431478049,0.4577429322121169,-0.29715518837854143,0.40846729124078873,1.0,-0.11211536042463383,-0.06314974784695318,-0.010498314396290459,0.8777160636533272,0.06673822775693893,-0.09355726723830601,-0.37629905401690716,0.2077425108496052,0.19923414841877857,-0.678588102828042,0.08850683811469601,-0.3015674230699941,-0.47956765936187995,0.2026562909892548,0.18484867709098948,0.22999688727933884,-0.5359878177248781,-0.03054991053850983,-0.442640345787754,-0.15558323748891242,0.46972250915288855,0.19920917215637213,-0.06365849374552016,0.02138402070532809,0.01907804526380684,0.0716561982210983,-0.4076047148269516,0.2080364341129422,-0.4497400256456508,-0.06375604990631002,0.026909704377644048,-0.5047560032593295,0.3356236723630933,-0.2649003305604773,0.21406906712872947,-0.10739840871511457,-0.24333319043518403,-0.0657506099284755,-0.46678016934166616,-0.13242490411448513
