,Cuneus_L,Frontal_Med_Orb_R,Lingual_R,Calcarine_L,Supp_Motor_Area_L,Raphe_M,Red_N_L,Cerebellum_8_L,Thal_PuA_L,Thal_PuL_L
Cuneus_L,1.0,-0.5637369271878733,0.7015354765131575,0.756939069650418,0.1703739435820256,-0.3228622533429876,0.2567420877839183,0.35452742979988794,0.3364760742624547,0.6205625570229466
Frontal_Med_Orb_R,-0.5637369271878733,1.0,-0.5213905024478559,-0.5269070375137066,-0.22314495698074813,0.2553580549531154,-0.2344285956471052,-0.440312536826859,-0.19146008482286922,-0.35933873411397804
Lingual_R,0.7015354765131575,-0.5213905024478559,1.0,0.7521358044906016,0.1183307825456527,-0.35600186460737315,0.21293046034206067,0.6013010433576228,0.5870022474041413,0.6692998434376862
Calcarine_L,0.756939069650418,-0.5269070375137066,0.7521358044906016,1.0,0.1349635909535981,-0.33900862504427637,-0.0926877742700135,0.5387711142694057,0.38127653805112144,0.6569860858559
Supp_Motor_Area_L,0.1703739435820256,-0.22314495698074813,0.1183307825456527,0.1349635909535981,1.0,0.0609387234869425,0.09235051096034001,0.07972388828023141,-0.06673918385595579,-0.2623983867411156
Raphe_M,-0.3228622533429876,0.2553580549531154,-0.35600186460737315,-0.33900862504427637,0.0609387234869425,1.0,-0.2505311906510942,-0.48820184380951415,-0.35743799437976465,-0.4698519728717861
Red_N_L,0.2567420877839183,-0.2344285956471052,0.21293046034206067,-0.0926877742700135,0.09235051096034001,-0.2505311906510942,1.0,0.25806710142612704,-0.11252725081263718,-0.014196864844098402
Cerebellum_8_L,0.35452742979988794,-0.440312536826859,0.6013010433576228,0.5387711142694057,0.07972388828023141,-0.48820184380951415,0.25806710142612704,1.0,0.15144437042234485,0.3123956538309031
Thal_PuA_L,0.3364760742624547,-0.19146008482286922,0.5870022474041413,0.38127653805112144,-0.06673918385595579,-0.35743799437976465,-0.11252725081263718,0.15144437042234485,1.0,0.6323527119576448
Thal_PuL_L,0.6205625570229466,-0.35933873411397804,0.6692998434376862,0.6569860858559,-0.2623983867411156,-0.4698519728717861,-0.014196864844098402,0.3123956538309031,0.6323527119576448,1.0
