,Supp_Motor_Area_R,Temporal_Sup_R,Precuneus_R,Cerebellum_4_5_L,Vermis_1_2,Thal_VPL_R,Insula_L,Thal_LP_R,LC_R,Occipital_Sup_L,Lingual_L,Putamen_L,Lingual_R,Cerebellum_9_L,Thal_IL_R,Red_N_L,Postcentral_R,Vermis_3,ParaHippocampal_L,SupraMarginal_R,Raphe_D,Frontal_Inf_Tri_L,Thal_PuM_R,Thal_MGN_L,Vermis_4_5,VTA_L,Frontal_Inf_Oper_L,Temporal_Pole_Mid_L,SN_pc_L,Occipital_Inf_L
Supp_Motor_Area_R,1.0,0.6317889938995105,0.2218219045826262,0.050358733639519294,0.23683808969092474,0.22252279172853145,0.5126890891411274,-0.10350997693950324,0.15949132779483935,-0.11266336409685634,0.21223770195651134,0.08988034097199088,0.08301111401551348,-0.10603971752944945,0.12807960831803658,-0.11571167319460283,0.3787079512285641,0.15833967182241462,0.20053858826545634,0.5248297277755347,0.15276631686938094,-0.2204896719978082,-0.13416186016481804,0.09531640235999052,0.16181171230383318,0.22247734399679375,-0.2865642152555946,-0.28852826666270354,-0.10531133418516761,-0.06721074542340714
Temporal_Sup_R,0.6317889938995105,1.0,0.2836567963451617,-0.07658818501166033,0.27239634664185736,0.10732240509978726,0.3071928135337076,-0.11800935132683403,0.1327919344727002,-0.23226696801567245,0.15219155591784633,0.054082118085259395,0.06872839608850968,-0.14187730636641885,0.32921026995112507,-0.500967938650121,0.6481416612049263,0.05570542258866759,0.20390682908613572,0.799248502747929,0.0232687290911934,-0.5869934808931727,-0.28176578172110145,-0.10610218566617434,0.013893177790933638,0.2153139233945867,-0.5967017791748005,-0.44952022611474174,-0.10150098936426817,-0.2369270507915888
Precuneus_R,0.2218219045826262,0.2836567963451617,1.0,0.6375065622730007,-0.07590511808440749,-0.04471618815402266,0.2005069457617592,0.24052265717213084,0.0005014567370338415,0.4580497121984838,0.4537354051184589,0.01713934734815631,0.4084110631385532,0.10333187191255644,0.37939605987760516,-0.03355127124301708,0.2543744936783638,0.49640229430825134,0.054345497156104615,0.33696719365072064,0.2573099933054368,0.04091295454147603,0.47988446766932363,0.14287776566004423,0.25904429664518575,0.16891352201262316,0.013529190119104889,-0.1828138052107616,0.05075709272449183,0.4046059065745194
Cerebellum_4_5_L,0.050358733639519294,-0.07658818501166033,0.6375065622730007,1.0,-0.007335080414278477,-0.05142597075739137,0.26090018775884355,0.17209132186693302,-0.041697371338122756,0.5762697134767132,0.5957331554014902,-0.17536493668401604,0.636617289596624,0.38270034539985665,0.14134831858714642,0.23723186166197902,-0.2095229332570895,0.6347257566698074,-0.14823568350381366,-0.011403496531327365,0.564624195420977,0.3705675788603087,0.5721537886976709,0.31501548182426314,0.49079013408944844,0.26664877028941636,0.37456480601386105,0.33890056583869654,0.2354478902626489,0.6686521760152603
Vermis_1_2,0.23683808969092474,0.27239634664185736,-0.07590511808440749,-0.007335080414278477,1.0,0.47595897926707226,0.42723591506106623,-0.17749752261396184,0.6181919464729465,-0.3836612943264871,-0.1925053174534095,-0.10375107476191131,-0.3017199823367436,-0.49075213166306986,0.12336420727367756,-0.23551659237342173,-0.14895187191434173,-0.38251481215450145,0.6764758591820186,-0.1309734382127055,0.2758153066334055,0.21130634256578493,-0.2602142922629673,0.21443883398689173,0.42489289106660655,-0.08717835846928312,0.008419101585824193,0.02927198640365224,0.34080001320943687,-0.21476664172547494
Thal_VPL_R,0.22252279172853145,0.10732240509978726,-0.04471618815402266,-0.05142597075739137,0.47595897926707226,1.0,0.4242194946357067,-0.05629432577085496,0.4215759003510573,-0.5387949357586564,-0.1930705111882463,-0.031146812990229273,-0.41398670069345794,-0.28442988064194324,0.34627067295933467,0.2005768180789741,-0.27450054986649536,-0.38719952274611624,0.5063567207396524,-0.19768814681004113,0.29770182217243185,0.1939888705004175,-0.1916060103800096,0.1565043145228221,0.39368527209453813,-0.32513194491384795,-0.041506578454666855,-0.2011489039609815,-0.009546227162136333,-0.2107836339024713
Insula_L,0.5126890891411274,0.3071928135337076,0.2005069457617592,0.26090018775884355,0.42723591506106623,0.4242194946357067,1.0,0.06292594672923622,0.34020337010468155,-0.06698247858004706,0.221729451114674,0.22867400882143823,0.13460405109689355,0.03512942267316699,0.12689063150796867,0.023950621344396898,-0.17757659261730793,0.13920611592929544,0.2504671401615348,0.056927547634504264,0.41027544601625243,0.05295079483594206,0.0875917692382212,-0.03294042768058096,0.39336359161883167,0.24613700492876903,-0.15567176863091306,0.06091457352133846,0.14225075218361352,0.22314341156432943
Thal_LP_R,-0.10350997693950324,-0.11800935132683403,0.24052265717213084,0.17209132186693302,-0.17749752261396184,-0.05629432577085496,0.06292594672923622,1.0,0.04711588660008314,0.3568342911549569,0.3871672860719725,-0.009790343974373495,0.3198963098739395,0.2968838029003476,0.27235297855503937,-0.0291373054993766,-0.15886035251608438,0.008983721785119515,-0.20027921284236838,-0.10820805502740607,0.07334229578057735,0.15364131518691387,0.5159260334988478,0.10912543305061292,0.08780885756250581,0.010041314660863188,0.20944324563796218,0.16159194432792484,0.24625011164323096,0.35149138469398655
LC_R,0.15949132779483935,0.1327919344727002,0.0005014567370338415,-0.041697371338122756,0.6181919464729465,0.4215759003510573,0.34020337010468155,0.04711588660008314,1.0,-0.34483157260823294,-0.19633469194846406,0.18271630819307663,-0.258781496350717,-0.49185245849345277,0.15658203207369534,-0.06603355283967738,-0.06977892564895417,-0.4563322404855335,0.584526455320415,-0.10843304607644136,0.046487313085380975,0.17704256701944615,-0.11289288166530098,0.12958009629849054,0.4844879691657257,-0.1052230317552713,-0.11651358569024961,-0.09375274531318249,0.03754445875049093,-0.2269301858876559
Occipital_Sup_L,-0.11266336409685634,-0.23226696801567245,0.4580497121984838,0.5762697134767132,-0.3836612943264871,-0.5387949357586564,-0.06698247858004706,0.3568342911549569,-0.34483157260823294,1.0,0.5979966278554824,-0.15846091194405565,0.7274227227282128,0.4798035294933253,-0.01864822451784966,0.27384210945282045,-0.08694581790931757,0.6385589540350737,-0.5157458664260207,0.050410268372116436,0.25758526501060264,0.19506984932946314,0.7370193679713252,0.18510310300749633,-0.0082773184783787,0.38624820001149,0.5006858549255526,0.39227998080370996,0.1488993192315948,0.6739607103198874
