,Precuneus_L,Rolandic_Oper_L,SN_pc_R,Insula_L,Temporal_Pole_Mid_L,Cerebellum_Crus1_L,N_Acc_L,OFCant_L,Raphe_M,VTA_R,OFCmed_L,ACC_pre_L,Thal_LP_L,Thal_MDm_L,Thal_VL_L,Cerebellum_9_R,Cerebellum_Crus1_R,Amygdala_L,ACC_sub_R,Thal_PuI_R,SupraMarginal_L,Cingulate_Post_L,Cerebellum_7b_L,Cerebellum_6_R,Supp_Motor_Area_L,Frontal_Sup_Medial_L,Vermis_4_5,Thal_VPL_L,Hippocampus_R,Putamen_R,Thal_MGN_L,Thal_MDl_R,Rolandic_Oper_R,Lingual_L,Precentral_R,ACC_pre_R,Paracentral_Lobule_R,ACC_sup_L,Fusiform_L,Caudate_R,SN_pc_L,Frontal_Sup_Medial_R,Angular_L,Occipital_Mid_L,Frontal_Inf_Tri_L,Caudate_L,Cerebellum_3_R,Fusiform_R,Rectus_L,Cingulate_Mid_R
Precuneus_L,1.0,0.4536763096562259,0.07847523335210375,0.2763674030116113,0.1171551896224371,-0.26176911001103836,0.08877049918463525,0.39339914971266116,0.07036035618273091,0.05274042129117408,0.15845603778167486,0.5526301378469508,-0.2295932175483798,-0.09116579586693205,0.07609679803943362,-0.22638175662077603,-0.07102844132177077,0.23212965853698175,0.010317406198335514,0.13877312936456435,0.5848524298942305,0.34854680025472723,-0.2719450997237198,0.05181121292313028,0.6814771494351172,0.6741671638769784,0.516853017014163,0.06333580330517363,0.2187725831625282,0.4066992084551074,0.2885091624852248,0.3239214522748691,0.38158352060976947,0.32134497400012363,0.09015751823332556,0.453976846840092,0.8626193615778562,-0.09494407954997211,0.027800859164671586,0.36571629993458077,0.188275849184326,0.576093634697903,0.6361669568831688,0.37554496587722164,0.3709722297946867,0.26953524767400266,0.4803424050522815,0.33201169688306575,0.17090469051158,0.26568593730321755
Rolandic_Oper_L,0.4536763096562259,1.0,-0.056931504296612666,0.283001910674195,-0.2438026245214267,-0.06118302513844189,-0.027605271027892,0.03515543602651558,0.09654108169835038,-0.019307240598714862,0.046074071533682946,0.1126160849062044,-0.07502000199479136,0.019520882045729784,0.23146989163643622,-0.0070015593156079,0.20143230413708862,-0.1421472641571115,-0.06296999410199376,0.22755497925945553,0.5227233129148678,0.3730020583079049,-0.1538367591938525,0.3306483913631632,0.5011522071003589,0.2686391016561279,0.44721896433793357,0.2610695823087434,0.3619948414064085,0.5204882144428371,0.16399590118503884,0.3412386308611801,0.5116897476152017,0.39117345787323704,-0.058310402548371665,0.11896019185120821,0.4254478780569118,0.3381121943601234,0.09875102922826627,0.400611056596866,0.1801460122968162,0.2718923258860352,0.3351313604073401,0.10833921004978475,0.2750770158770385,0.15457995547817258,0.4066398264591032,0.5723014195809786,0.0421682029864351,0.4416799802970984
SN_pc_R,0.07847523335210375,-0.056931504296612666,1.0,-0.06577723464115195,0.15294297422702408,-0.20059253507886296,0.025810413022736803,0.22867059945861906,-0.14589147377763564,0.0014436127378631353,0.0018761073759754842,0.0739899963634449,0.2867355410458483,0.2586544070454193,0.241165353370171,-0.13625195895140985,-0.308507829409002,0.25781639673942647,0.14427445926066684,0.22289359591042388,-0.09740514845482871,0.18561633509452508,0.006630461011781047,-0.3142102922465425,0.1290945872252897,0.116732606648146,0.011387426392165332,0.1115279691817862,0.12698042089345743,-0.015867725655963023,0.3326357872183031,0.32333251499452226,0.12653493602271793,-0.1952059505549267,0.17153494332730831,0.22841641776554777,0.07358386441250399,0.17967904428662737,0.03613774903326145,0.24095911595000025,0.2399829850839354,0.07516890185593673,-0.04317381861222199,-0.18571531283159512,0.16906758389659302,0.22255935083476244,0.05050212882199328,-0.08042771810921005,0.01319579370041117,0.2640972295448401
Insula_L,0.2763674030116113,0.283001910674195,-0.06577723464115195,1.0,0.20908560634779413,0.4595741150752093,0.0014196460442258765,-0.0626746842166246,0.3346877407135007,-0.06000938123191265,0.21140826505960553,0.23057839221673318,0.013174789115304274,-0.19835204291078898,0.010431613905655163,0.3281558220919931,0.13227399654990574,0.5321200239171126,-0.21247031628736657,0.04279312592513977,0.32123873071954684,0.12454547799021758,0.21006692116319378,0.05899619358515957,0.14090973260932643,0.24040423624359225,0.2353559218400926,0.1172566768328648,-0.33486769513957104,0.6817829481200437,0.054259227537954396,0.13349195000983996,0.36831627699309144,0.46517651350635375,0.3928736438523882,0.07070191443235674,0.33698020438188664,-0.03279594735722789,0.6184274247291074,0.29229559012892525,-0.19788442950686103,0.12967254900175296,0.09909494373130147,0.4696430180663706,0.5338892659998299,0.5381304637392864,-0.036535659977622294,0.08407100728966048,0.06062132547467148,0.2236757645806452
Temporal_Pole_Mid_L,0.1171551896224371,-0.2438026245214267,0.15294297422702408,0.20908560634779413,1.0,-0.030343075262153043,0.2482736912249191,0.048762751812894724,-0.1900621331769493,0.43678085319504634,0.039529418707147435,-0.017449634765540047,0.1445363410178926,0.20431723501476626,0.1338640445269605,0.04722558867551678,-0.5479486277347754,0.3687084148114162,0.012223933547385253,0.29313553976621237,-0.17785839140116153,-0.02741575475602628,0.17952687514558024,-0.5063071671748335,-0.0785202108145046,-0.03860511967824178,-0.08424965048998591,0.017259628846934005,-0.20348276242487465,0.2303547147573668,0.07667029677290133,0.05843817295000039,0.11394831921645414,-0.013922489747145037,0.5215511932073583,-0.023503851435197936,0.19465650135809484,-0.04322277344988629,0.25374005949859924,0.15032936630660781,-0.18174806059860696,-0.2525876126546093,-0.05239101714473923,0.14323600944207618,0.3003142440046544,0.33488829366676326,-0.21994362294509104,-0.5147214214586443,-0.127964139297394,0.07155539249176986
Cerebellum_Crus1_L,-0.26176911001103836,-0.06118302513844189,-0.20059253507886296,0.4595741150752093,-0.030343075262153043,1.0,-0.2474450784537197,-0.6543727036918986,0.6203617742643162,-0.45176822741290645,0.17007096327862822,-0.3708937751285509,-0.035983346034656014,-0.04736041171476847,-0.13900567421214108,0.7908469030195995,0.5788266130552566,0.14479095010459972,-0.4284190227038697,-0.35729568621060387,0.021983898038585824,-0.10060359720165328,0.6429964642727009,0.4390824263792827,-0.2004091939977185,-0.22143844614813493,0.22840974633433453,0.15846091425435632,-0.697528736174749,0.05441411686043818,-0.2504936887894708,-0.35848352367175895,-0.2349428297194072,0.5924177064119213,0.1897234699665953,-0.5407167508344954,-0.2462875441577786,-0.2680197687386428,0.5835079449979552,-0.2713079780997941,-0.5976419022317846,-0.3433265612170777,-0.05487179424663735,0.5990108532259618,-0.07711280890233431,0.2020029848361553,-0.34681985498379236,0.03126324306985581,-0.23834063799830116,-0.12081904243002484
N_Acc_L,0.08877049918463525,-0.027605271027892,0.025810413022736803,0.0014196460442258765,0.2482736912249191,-0.2474450784537197,1.0,0.17151943136516365,-0.12980274547380755,0.1557718217213286,-0.1831891703622336,0.30340497091089413,-0.03442369600983185,0.16459431673392033,0.18936862646067773,-0.16499418836738888,-0.033914605306039035,-0.08837287740606989,0.16616265173569733,0.155161873104412,-0.009412044889524636,-0.016734654527607893,-0.059772413577792935,0.01452550933067867,-0.05373240875043281,0.03502273372122057,-0.09072263827446503,0.04899926178908969,0.30493014987188244,-0.0005981005632224379,0.09882526668325514,0.029443469257857624,0.018196793339148594,-0.06847550347113161,-0.14795445690349035,0.1571144627547989,0.053443712001431186,-0.09775047800356318,-0.26315819653774275,0.31987754754430753,0.43280508892743813,0.11612369660794547,0.08182217273116008,-0.14564662515530508,-0.061229183828442516,0.008115890909036298,0.22562500362181018,0.0015434772389157597,0.17301078600686665,0.031067145535427255
OFCant_L,0.39339914971266116,0.03515543602651558,0.22867059945861906,-0.0626746842166246,0.048762751812894724,-0.6543727036918986,0.17151943136516365,1.0,-0.5288399665187389,0.4089169772826948,0.08358399177921585,0.5963318089818739,0.34032920566221925,0.06954388773745052,0.37825667735101565,-0.5502539983642637,-0.4517518452989266,0.2934905582140624,0.3895321638044669,0.38370905188150445,-0.09580263875765607,0.3425759773861073,-0.4713247579478062,-0.31990405043981085,0.3221352857603822,0.47738133598818344,0.01942493277966414,0.06971476542271166,0.49104518482424525,0.11132428507653427,0.40914820185034934,0.6040700071802296,0.3558558071483643,-0.3509087457702377,-0.05797693227869145,0.7860227319698547,0.33046044436768895,0.2551626505885737,-0.18343893248639892,0.372326297723352,0.6457647710362141,0.586581685365664,-0.05470719352771171,-0.468048511399693,0.3755570726729622,0.10603616286184489,0.3218020808777236,0.07952982782641299,0.48074961029350644,0.21446810619027512
Raphe_M,0.07036035618273091,0.09654108169835038,-0.14589147377763564,0.3346877407135007,-0.1900621331769493,0.6203617742643162,-0.12980274547380755,-0.5288399665187389,1.0,-0.599363492076846,0.20330084933163617,-0.02939512976187543,-0.44082976738336166,-0.12476936790360879,-0.20250773156016805,0.5838160912805328,0.6607977150046047,-0.12317119790115294,-0.33533235969912545,-0.4693971328881291,0.31395086296962194,-0.15143169696324604,0.3383134612555157,0.5436199431551796,-0.044689157632950706,0.07398267396350833,0.33318246851174327,0.1131831071168718,-0.34992784059303494,0.01442497784915765,-0.1703333331600499,-0.30707570450962407,-0.2761964855332462,0.5376518477345721,-0.06222713787059223,-0.30774508465052275,0.019907535715480963,-0.4293843718147008,0.08093045441344451,-0.13015433592070302,-0.29890798498673454,0.003950318681596396,0.416892658675779,0.6906989959523268,-0.3080659112131573,0.09590607616099518,0.06236849835478558,0.1552705386957769,-0.05708124352407289,0.007006930123081025
VTA_R,0.05274042129117408,-0.019307240598714862,0.0014436127378631353,-0.06000938123191265,0.43678085319504634,-0.45176822741290645,0.1557718217213286,0.4089169772826948,-0.599363492076846,1.0,-0.10157447424672257,0.14119745085071567,0.384083030101622,0.18001762545889405,0.22715442372221273,-0.3920693448376615,-0.6497041090561593,0.28029424116131735,0.23306005755260972,0.6177126505315692,-0.24748466639826802,0.2131332645580819,-0.26830505463065435,-0.4431609458667284,0.05181787832163465,0.04766252434429298,-0.1718656922561703,0.033402248212069136,0.2747459895593166,0.24746319818372572,0.23853765361677262,0.35421328775337857,0.21317096148754927,-0.27191753895263954,0.14026381706050725,0.3092518338971383,0.04047747513669886,0.36188509812111924,0.09889417861455221,0.2559579402692338,0.194607072918405,0.016099156232769394,-0.2825768699749412,-0.40985704792313843,0.4096978041613901,0.18026239680197234,-0.013388167447761714,-0.23465215767518177,-0.008156162439121777,0.06698285316515695
