,ACC_pre_L,Temporal_Pole_Sup_R,Cerebellum_3_R,Rolandic_Oper_R,Cerebellum_10_L,Supp_Motor_Area_R,Paracentral_Lobule_R,Frontal_Inf_Orb_2_L,N_Acc_L,Precentral_R,Rectus_L,Frontal_Sup_2_L,Temporal_Inf_L,Thal_PuM_L,ACC_sub_L,Angular_L,Frontal_Med_Orb_L,OFCant_L,Paracentral_Lobule_L,Caudate_L,Thal_MGN_L,Insula_R,Amygdala_R,Cingulate_Post_R,Putamen_R
ACC_pre_L,1.0,0.4333445743967028,0.4869667632386902,0.131285213646487,0.1882575464512184,0.1654937796277122,0.427760863528987,0.3652830156052146,0.30340497091089413,-0.2772268643558987,0.4117923734987617,0.6833910029224862,-0.19008061623834097,0.0004007948495100018,0.4298814776148321,0.3350748761009893,0.4458972926212164,0.5963318089818739,0.4497859017670376,0.38655721342865296,0.22811507302298092,0.48455897103028256,0.37744039682614766,0.09315782768868766,0.3153102194036707
Temporal_Pole_Sup_R,0.4333445743967028,1.0,0.6207266333051219,-0.2020764374767329,-0.20981065299811597,-0.14392329206654106,0.0971949232690286,-0.23859200379915793,0.255204164588364,-0.6525785711896366,0.2251087992723557,0.3077876928983186,-0.7870807050496431,-0.5260837622104582,0.2259677008087763,0.5019573442854166,0.09826984216248981,0.1895568926982617,0.18423161706202568,-0.21710465247599425,0.026780347695366052,0.7875127825576091,0.7729609533902155,-0.02939886673369959,-0.24238454477192303
Cerebellum_3_R,0.4869667632386902,0.6207266333051219,1.0,0.15233893947667668,0.03799457429720489,0.1080307549483736,0.40760243942565283,0.10211139803196959,0.22562500362181018,-0.35285037225308724,0.34095174496404346,0.5000388753424857,-0.4546613889641182,-0.22659389159485985,0.15587536450273876,0.36110715055740866,0.1842141340350545,0.3218020808777236,0.4819728038081639,0.04701388271594974,0.05373243702971214,0.5963726074589369,0.48898713410849093,0.2444731711140024,0.16218586802135998
Rolandic_Oper_R,0.131285213646487,-0.2020764374767329,0.15233893947667668,1.0,0.20051001150512768,0.4562846719807693,0.517420074296549,0.5603338045497617,0.018196793339148594,0.4556378549685288,0.1829731544064231,0.35393642182922946,0.22150605793346645,0.28562224144597875,0.165767345346461,-0.115695343293284,0.08027300514126598,0.3558558071483643,0.6022263942970801,0.06164377280932139,0.1907770820339259,0.11541133331114861,-0.2176121688080811,0.24764821931302827,0.5065176408102005
Cerebellum_10_L,0.1882575464512184,-0.20981065299811597,0.03799457429720489,0.20051001150512768,1.0,0.281716960720864,-0.06091108358115848,0.33614904479376057,-0.10282512535793263,0.054102302858500935,0.1420299820823787,0.344975644754879,0.20963359799293885,0.4197106318265811,0.19688816264191825,-0.27629965302978515,-0.01810239000066846,0.35093968296955363,0.07300464089372288,0.3043177116464123,0.2761318370962208,-0.1820943964180202,-0.09482178985613667,0.34752986215485027,0.23589482103411433
Supp_Motor_Area_R,0.1654937796277122,-0.14392329206654106,0.1080307549483736,0.4562846719807693,0.281716960720864,1.0,0.4653713752849064,0.37063953489818846,-0.14167068032506103,0.3159535216269119,-0.022180568669066394,0.6128024038583667,0.18672009633603437,0.27169077039719747,0.07734880372818975,0.13519389748759372,-0.14825845810193305,0.19152538205617622,0.5672864035636684,0.39937479123079034,0.24864395230533692,0.004026684578164768,-0.024100780361632684,0.2634241215439223,0.5103850098428084
Paracentral_Lobule_R,0.427760863528987,0.0971949232690286,0.40760243942565283,0.517420074296549,-0.06091108358115848,0.4653713752849064,1.0,0.3646440188210829,0.053443712001431186,0.3320105464299204,0.2017673290652285,0.5052124987818616,0.033987413027892724,-0.17957062622944767,0.04854889374848454,0.5191079481536872,0.28476513923765123,0.33046044436768895,0.8626792576217545,0.18908568574054033,0.1352359282886495,0.2702331455796664,-0.0077016555327931455,-0.01220083132166775,0.4723704510634711
Frontal_Inf_Orb_2_L,0.3652830156052146,-0.23859200379915793,0.10211139803196959,0.5603338045497617,0.33614904479376057,0.37063953489818846,0.3646440188210829,1.0,0.30116346506831687,0.23220198852453938,0.18406232694456273,0.44473960069195456,0.2900820304920361,0.43040154460640484,0.34106852310740554,-0.13874164313319956,0.06930447300631494,0.5424963505180594,0.4768744113949861,0.32069329484579634,0.36432577238812974,0.10482609951403953,-0.2554671489933958,0.2639109489009646,0.5805546880744855
N_Acc_L,0.30340497091089413,0.255204164588364,0.22562500362181018,0.018196793339148594,-0.10282512535793263,-0.14167068032506103,0.053443712001431186,0.30116346506831687,1.0,-0.14795445690349035,0.17301078600686665,0.09682781179171102,-0.25077514521228467,-0.03822134741269439,0.36008963757105705,0.08182217273116008,-0.015761186159487784,0.17151943136516365,0.04622337004392035,0.008115890909036298,0.09882526668325514,0.4603592342753536,0.06539452600546183,0.06486971675533731,-0.0005981005632224379
Precentral_R,-0.2772268643558987,-0.6525785711896366,-0.35285037225308724,0.4556378549685288,0.054102302858500935,0.3159535216269119,0.3320105464299204,0.23220198852453938,-0.14795445690349035,1.0,-0.04773989564433784,-0.08884470299140217,0.6000334114974596,0.24325954827033708,-0.22938641207529184,-0.13091110912051127,-0.011545088682936197,-0.05797693227869145,0.15872593983193928,0.18619164775182814,0.047265580473070286,-0.4990798788189691,-0.6497297651316956,0.03215689340140908,0.3235715714026822
Rectus_L,0.4117923734987617,0.2251087992723557,0.34095174496404346,0.1829731544064231,0.1420299820823787,-0.022180568669066394,0.2017673290652285,0.18406232694456273,0.17301078600686665,-0.04773989564433784,1.0,0.3641524917458397,-0.10978617285062511,0.08770453802578344,0.2322044725252179,0.03306219429022051,0.2769300134869405,0.48074961029350644,0.28303796862271735,0.022121557029687034,-0.037859685100506545,0.26950141779688475,0.18786630046236644,0.21501250224818091,0.07738428872877183
