,Cerebellum_6_R,Frontal_Sup_Medial_L,Occipital_Sup_L,SN_pc_L,Thal_MDm_R,Cerebellum_4_5_R,Thal_LGN_R,Supp_Motor_Area_L,Thal_PuI_R,Rolandic_Oper_R,SN_pr_R,Cerebellum_3_L,Cingulate_Mid_R,OFCant_R,Temporal_Sup_L,Frontal_Sup_2_L,ACC_sup_R,Heschl_R,Paracentral_Lobule_R,Cerebellum_3_R,Thal_PuA_L,Temporal_Mid_R,ACC_pre_L,Temporal_Pole_Mid_L,Frontal_Inf_Orb_2_R,Precentral_R,OFCmed_L,Thal_MDl_R,VTA_L,Insula_R,Temporal_Pole_Mid_R,Red_N_R,Angular_R,Angular_L,Cerebellum_9_R,Frontal_Inf_Tri_L,Frontal_Inf_Oper_L,VTA_R,Thal_MDm_L,Thal_VL_R,Temporal_Pole_Sup_R,Paracentral_Lobule_L,Frontal_Inf_Oper_R,Pallidum_R,OFCpost_L,Frontal_Mid_2_L,Rolandic_Oper_L,Cerebellum_7b_R,ACC_sub_R,Thal_AV_L,Thal_VPL_R,Cerebellum_10_R,Supp_Motor_Area_R,OFCant_L,ParaHippocampal_L
Cerebellum_6_R,1.0,0.09412252901549889,0.2739815647729676,-0.0688221177349429,0.11531778174663515,0.14888459635228227,-0.4625544734405419,0.10371922331512477,-0.31731278004180996,-0.2473236662056626,0.10167599231376753,-0.08298667916990857,-0.021825760874043094,-0.3422887086569342,-0.3459419260835882,0.06269532407150381,-0.052469477121071556,0.5256965151557105,-0.12443035013594692,0.36803811871438896,-0.011190428250248323,0.7226989766055107,0.03403336034840779,-0.5063071671748335,0.18045630692792614,-0.5110603251401731,-0.10730273180404461,-0.15646646003248954,-0.4417050729051694,0.48334226878391495,0.3804096005735445,-0.6149073390469822,-0.22596915696854722,0.28345132290511565,0.4269292728443681,-0.411218034260465,-0.3559134272069337,-0.4431609458667284,0.06850200255594034,0.11177888081946455,0.5677038185139336,-0.024778287304929387,-0.002077196132633792,-0.16314228443912718,0.1449959020969577,-0.14242590369231609,0.3306483913631632,0.7970663113653718,-0.13384325808783598,0.07983132781743421,0.194359863467328,-0.49410018124338045,0.004803666697385044,-0.31990405043981085,-0.5794087877876642
Frontal_Sup_Medial_L,0.09412252901549889,1.0,0.3589551550766564,0.2956760350971842,0.19799777685860756,0.327689347438406,0.3257772587541907,0.5905964407560057,0.23775708847286264,0.1611507551618785,0.050728126356029,0.39887645843246106,0.2905315660188281,0.3647718588525277,0.1332496185360233,0.8242742376229463,0.2616591941046927,0.29309773268072686,0.4816762497530235,0.461252940550102,0.20444832162470028,0.07789684703606431,0.7829992855424923,-0.03860511967824178,0.321453537243426,-0.18153317273537925,0.22008947795558542,0.4112729163828405,0.045083219723049316,0.36704773931454215,-0.18522603692798334,0.12178708879288715,0.06095619268723404,0.4455499776197907,-0.14489991520945206,0.35160175160569307,0.20712902016233584,0.04766252434429298,0.02785916591959181,0.3532180080478815,0.3286944332012811,0.48813335519113704,0.2125060516484185,0.2093968101137504,0.6516442811456741,0.5650210841063973,0.2686391016561279,0.021292015412439007,0.1756278768427997,0.08052780912975643,0.41576658777718234,0.07523217715095848,0.4436157866560598,0.47738133598818344,0.28061050601667537
Occipital_Sup_L,0.2739815647729676,0.3589551550766564,1.0,-0.29746370613693,-0.12748592337021059,0.0875518918806101,-0.2606309635422034,0.2583025137657173,-0.27513615270628167,-0.03718435254396739,0.08674379901940696,-0.05513607310966598,0.019974884818721603,-0.324514614565982,0.0913822312367847,0.142764364786718,-0.18636185463673638,0.019840145562055628,0.5344249665221319,0.20596512013489923,0.10246501259346794,0.36111822557887385,0.23928841780082838,0.09792746552620288,-0.11270166081656685,0.09612608111432303,0.13542888213830354,-0.14398779915645915,-0.38443958001883677,0.27402443997478454,0.057501485746018016,-0.47263637019200605,0.5875970188650853,0.7630783053673592,0.27568071378764447,-0.0013437052150485978,-0.053478385779894784,-0.307738075188567,-0.13168039080902397,-0.18096546626197632,0.22631396986313201,0.33792301542476777,0.022380492123376627,0.2811483310129241,0.16508883310454342,0.0365370683853339,0.24870902653603608,0.2942660613951143,-0.2352672177258177,0.050421682289376615,-0.06296337976280396,-0.3773698225026897,0.11169697718729651,-0.21918308233505243,-0.31248404293218984
SN_pc_L,-0.0688221177349429,0.2956760350971842,-0.29746370613693,1.0,0.3509908240006289,0.326843856768175,0.27287457432413903,0.2781605079569019,0.2449773847872374,0.26346746517123626,0.4796877519829704,0.049582421578116556,0.2699451583631531,0.6291663556702549,-0.07020144593657324,0.47187040140330033,0.39402477861305174,0.46674425852248247,0.15878088623315278,0.4033315308632195,0.07112542817874273,0.05638752710051943,0.41062074155317946,-0.18174806059860696,0.6400668815702021,-0.2545114319332306,0.06306408971508946,0.5132174425211513,0.4566211256533671,0.42081848295355895,-0.3174625497527493,0.5066039301667291,-0.2540548980871525,-0.021101886686497418,-0.4632463338612805,0.17483187568404546,0.10257540990058872,0.194607072918405,0.07748495354026017,0.5676478336532754,0.30450126484104373,0.29734236383613677,0.4312995250249464,-0.2745807763955914,0.3775295169587352,0.31086364144243367,0.1801460122968162,-0.10129762721249597,0.36403063760444826,0.057548785862497676,0.5067924726084949,0.17493678274161037,0.0810336985303497,0.6457647710362141,0.3426316663103734
Thal_MDm_R,0.11531778174663515,0.19799777685860756,-0.12748592337021059,0.3509908240006289,1.0,0.4800912762076249,0.24268969759209302,0.2257407783298257,0.42511609128141103,-0.03073249974017491,0.1123869494103356,0.2725351149304025,0.34938418154999035,0.33804325599475354,-0.20585338679131912,0.35436143951615584,0.44090641564024846,0.4112196345507964,0.00814699799269136,0.32046774425629193,0.6210208816931543,0.07611350349773181,0.13353942390270687,0.1213319618059391,0.43171840168272924,-0.0724006768575198,-0.031081332971068236,0.5755416655747162,0.2683004973418345,0.267936063403348,0.21466089089231358,0.23803546764408992,0.016287812644922267,0.09060726108574796,0.06282765601525962,-0.026610226616960705,-0.041335378047131076,0.27750413745259517,0.8264758221622794,0.7907999324071545,0.2640803324187277,0.08551368773971765,0.10333855399390214,0.02158726305660017,0.15522178012737942,0.3750451366929207,0.22883625144958084,0.018937277200462167,0.2162081093096687,0.5382541003652452,0.7124041237995354,0.45523683462036263,0.1264100809472457,0.3282199720292367,0.249142615217926
Cerebellum_4_5_R,0.14888459635228227,0.327689347438406,0.0875518918806101,0.326843856768175,0.4800912762076249,1.0,0.4148350840041678,0.4695960361912047,0.4603161060907471,0.40596610912279185,0.05246171815086067,0.4383591065291096,0.35412238507375354,0.3663346234033338,0.1341261834962686,0.5289955358218906,0.36142960889281606,0.29298687405305884,0.4550153651018657,0.5565219249049106,0.19921940198372803,0.01564444340390244,0.3026256050429492,0.094842481977475,0.3854101719156062,0.07375445844293275,0.007385448790806215,0.5231843310820042,0.23966467838574948,0.2813515289708979,-0.11238778429416076,0.2371808763060246,0.051455083611403725,0.08190192146107214,-0.21781290230899944,0.3061284873130662,0.17140649838924826,0.3501767672708709,0.30418305431654297,0.4904318299703494,0.1737060993739886,0.5588325976815822,0.42507167036472066,0.19355312583327786,0.3363367305242314,0.4390214435180181,0.4564605993542834,-0.06310164933344624,0.16943730130780502,0.23107075556289652,0.48574564830939804,0.263364730138224,0.33601869249861704,0.4540350753285294,0.3955916004265909
Thal_LGN_R,-0.4625544734405419,0.3257772587541907,-0.2606309635422034,0.27287457432413903,0.24268969759209302,0.4148350840041678,1.0,0.3926326821428518,0.7454484239251018,0.5224527551240092,-0.14382546266064933,0.44872707566611103,0.3610631353294711,0.5051436040748034,0.4822361582982965,0.4369411733108658,0.5037654634655365,-0.22070898542916373,0.26344766854155993,0.0591111699057918,0.21355064340214666,-0.6022285874571977,0.1938755001956545,0.24038614246433831,0.09234304790688411,0.30741893061767894,0.16067388758082934,0.574194942336426,0.5669219018688646,-0.1699415158605831,-0.3005797184709513,0.689049105891699,-0.0633852954551934,-0.21701989974956276,-0.3537952148166333,0.6891181204324891,0.5556255635952427,0.5833325519600295,0.10987169533355833,0.2892428235503499,-0.39747111180177586,0.3570323426375593,0.2525647061272188,0.4176035750420154,0.13227682203183566,0.5714696855512726,0.26324645854891415,-0.564035090658913,0.1427601639206216,0.08641335034382454,0.2645945392585263,0.561926031301571,0.48708563629678353,0.4628786388499153,0.7247086116915739
Supp_Motor_Area_L,0.10371922331512477,0.5905964407560057,0.2583025137657173,0.2781605079569019,0.2257407783298257,0.4695960361912047,0.3926326821428518,1.0,0.26788768500926247,0.40583323837498814,0.062064110001345284,0.23755373911022676,0.48902002350450313,0.2744592880232411,0.15396177884010273,0.777210068978213,0.36925929038625194,0.20817908255840215,0.6015346666928592,0.32163325911609864,0.13350365248096208,0.05089379522447471,0.31481904027396634,-0.0785202108145046,0.2637595929891874,0.12682430178215442,0.14277886343265803,0.4319363783780154,0.10893420150641764,0.21500953857688004,-0.0806520210109598,0.18086428477328803,0.12238008364177409,0.3843282345884325,-0.14640008126599316,0.43282352191239654,0.2730118965248006,0.05181787832163465,0.0834767358588552,0.33915659441653656,0.1255054065685891,0.7095467656009887,0.3544529993626354,0.3497194652080728,0.32712439029197915,0.68865811511012,0.5011522071003589,-0.01339830390741782,0.001932546537297181,0.11721841286114965,0.31710918527749715,0.0574606854483673,0.8203290349573569,0.3221352857603822,0.2764682311676011
Thal_PuI_R,-0.31731278004180996,0.23775708847286264,-0.27513615270628167,0.2449773847872374,0.42511609128141103,0.4603161060907471,0.7454484239251018,0.26788768500926247,1.0,0.355136042503642,-0.19156941326449625,0.4493483312889558,0.3320781737130253,0.47614277744356087,0.30362213785556436,0.3454453699539506,0.48794230475270284,-0.031801371179182664,0.1496450259677937,0.15934648344241714,0.2660660204563926,-0.4413164815517274,0.21096688177031928,0.29313553976621237,0.21190444401359143,0.18394643807091723,0.0050017493522356874,0.5384120737518253,0.5568006541537133,-0.03044773395841306,-0.16252713250131703,0.5539382494593361,-0.08603265918028723,-0.20320907766210497,-0.260491917769028,0.5080562821375733,0.3866904213418969,0.6177126505315692,0.27681949910460246,0.4644870340855629,-0.20841414012359502,0.2394657855214193,0.25901142977163044,0.31312814053895616,0.1050987456423523,0.47112986692018305,0.22755497925945553,-0.44772547148565905,0.1900015925266593,0.17987224764211274,0.4282289454804374,0.5799788562575642,0.34801891082439895,0.38370905188150445,0.6158553910864732
Rolandic_Oper_R,-0.2473236662056626,0.1611507551618785,-0.03718435254396739,0.26346746517123626,-0.03073249974017491,0.40596610912279185,0.5224527551240092,0.40583323837498814,0.355136042503642,1.0,-0.013216668669173618,0.23860483520673959,0.40821341357531216,0.27811145116984337,0.4798916527824755,0.35393642182922946,0.4152068934416935,-0.016437720920900917,0.517420074296549,0.15233893947667668,0.06234595400162722,-0.18568483279645603,0.131285213646487,0.11394831921645414,0.17577107393283992,0.4556378549685288,0.13655088782990818,0.414686559378303,0.2408978644145262,0.11541133331114861,-0.3346197737188809,0.3804221794543103,0.16341496156400792,-0.115695343293284,-0.265630806857171,0.6184949749739729,0.48277839028237407,0.21317096148754927,-0.223944347857126,0.11230491918562663,-0.2020764374767329,0.6022263942970801,0.6387068529683171,0.3845321711800995,0.16668034336624624,0.41046795333899067,0.5116897476152017,-0.36605429439016224,0.04330066378347475,-0.05690893893789191,0.047550340035229066,0.14356837641861978,0.4562846719807693,0.3558558071483643,0.35302578057952083
