,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_Re_R,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L
SN_pc_R,1.0,0.28982104797578245,0.11170679787623924,-0.05765687300613236,0.2791429964196447,-0.021703892179490654,-0.023749203321218812,-0.28798690632330276,-0.15565260675389295,0.5947627276568516,-0.2426555304347097,0.12368768299232161,0.24298228109148004,0.07358386441250399,-0.15149973105581632,-0.12683753524007688,0.03841444924508179,0.025810413022736803,0.12246400998422237,-0.006225418622911508,0.21045635222258538,0.049596381737416054,-0.06577723464115195,-0.016013889863929154,-0.2568218038354207,0.12698042089345743,0.30314567257135516,0.02196130177050635,0.07847523335210375,0.11899086830295585,-0.009072170043204562,0.05837147521855452,-0.1143142852767363,0.4417280087037412,0.1290945872252897
Thal_MDl_L,0.28982104797578245,1.0,0.3162400998972016,0.24946281363586803,0.3391085055434811,0.2521751390097806,-0.022784898581521815,-0.36460164180151156,-0.12015112536811001,0.5597831287071412,0.07874715477228575,0.4272695035803409,0.4157081236890488,-0.01025979795279083,0.06371451982731619,-0.06787866389334585,0.011225941966003565,0.18867113232999122,0.10545947982537894,-0.009997595896926592,0.3842345217639263,0.37617985981939994,-0.1926190522373153,-0.25517138443433646,-0.04860377565914277,0.4333025372809626,0.5706410224645762,-0.19797833578100307,0.034054783143764714,-0.06648317153654526,0.1596093991884663,0.24015968342174956,-0.43689609297043247,0.5316676979546965,0.22149470811483196
OFCpost_R,0.11170679787623924,0.3162400998972016,1.0,0.7217704976779409,-0.09641981567055694,0.7018909317666975,0.24778031552421384,-0.011877382885552928,0.4922203251843261,0.08026989953966884,-0.10213297234396439,0.01770675480608997,0.07398559985884214,0.26569386650535104,-0.15809271333947864,0.45812084763352573,-0.3602701075090677,0.35679913849596306,-0.07760082176126681,0.5644543080262023,0.32274138532774754,0.8592656208016743,-0.29839930329079917,0.46345353381018767,0.014613623707461047,0.8316829193490074,0.05887206589768271,0.4871648438633737,0.42398904228785494,-0.4356088566484916,0.10545639722417359,0.4702459855382861,-0.09154759616123895,0.08162691102608549,0.297981083617216
Temporal_Sup_R,-0.05765687300613236,0.24946281363586803,0.7217704976779409,1.0,-0.30565213200839203,0.7747821036904337,0.037762556922187336,0.17977803507424908,0.5859137854819702,-0.040517904994034445,-0.008715691145791135,-0.016278709175151878,-0.011298723333753573,0.24247474197553198,-0.018407268040709867,0.43999086695460987,-0.275404619674997,0.2877941818435476,-0.0825962509953208,0.4697711891767833,0.3598304972935683,0.8246502346488892,-0.13923206373792926,0.4297638966363754,0.01396228370793619,0.7677738498266651,-0.05588087991896814,0.3452569994269966,0.28998332463672155,-0.2240922124927076,0.08724320616243303,0.3452600908134959,-0.10666151369598585,-0.12772356680077185,0.23136542475784913
OFClat_L,0.2791429964196447,0.3391085055434811,-0.09641981567055694,-0.30565213200839203,1.0,-0.4930174718344738,-0.1106910212725757,-0.8095813463945097,-0.7598115279310197,0.6847982369778065,-0.49762087965171936,0.05028652640767147,0.6968387659154741,0.29187306396966173,-0.335176763869107,-0.48721590401109444,0.7093094461204114,-0.03441371481784267,0.20666064972600146,-0.30768533535560294,0.47327045083167674,-0.1819604770242278,0.31523544931881187,-0.315539600779878,-0.4954028617994085,-0.10866890304376475,0.5182373508234756,-0.07529618733120175,0.23469364145113555,0.4750423224565191,0.07666149761175008,0.1599087994150921,-0.12977969190525307,0.8140868947065983,0.1983368645341972
Heschl_R,-0.021703892179490654,0.2521751390097806,0.7018909317666975,0.7747821036904337,-0.4930174718344738,1.0,0.25542704196217053,0.41565527015587705,0.7623933385476982,-0.17454664501905717,0.34413151316234203,0.10935821997798259,-0.22070898542916373,0.04239628252003645,0.26216457902568224,0.7285359468546136,-0.4925237748779127,0.2211952307953469,-0.07847345544840896,0.5173472312037597,0.07039901624724935,0.7535910569862813,-0.2088373964681086,0.3493803427364734,0.37173082659164325,0.7236199598167592,-0.10328179812561471,0.2196722608086423,0.19573149305550155,-0.6189687047920792,0.19553260658904603,0.2646804582708631,-0.10900304958369274,-0.22523337083953437,0.20817908255840215
Cuneus_L,-0.023749203321218812,-0.022784898581521815,0.24778031552421384,0.037762556922187336,-0.1106910212725757,0.25542704196217053,1.0,0.2002219861828963,0.2924467479133854,-0.31393476114735663,0.2060773804719836,0.195716081397436,-0.15281607018076632,0.4411053341084446,0.30889686718971476,0.3067305153090862,-0.12501862309073675,0.03368992881283817,0.131541356618588,0.5163238202947186,-0.4461793841682505,0.10259635673916796,0.15271060875195344,0.3959191812422827,0.5244653336789401,0.03912806637960036,-0.19735509017419947,0.5836163258808075,0.6974183459994979,-0.14675646838609668,0.38547939772874024,-0.062309685687886224,0.6422463750332232,-0.10909811462894357,0.44374870571316494
Occipital_Inf_R,-0.28798690632330276,-0.36460164180151156,-0.011877382885552928,0.17977803507424908,-0.8095813463945097,0.41565527015587705,0.2002219861828963,1.0,0.785952508922556,-0.7158499593936807,0.6156216600521432,-0.013717008802782267,-0.6717368512191865,-0.257682842708906,0.5176983137622433,0.586628343011964,-0.4844108517613678,-0.06944344852973364,-0.06050444475230688,0.27960415216572876,-0.5504868454360734,0.0563451449094941,0.013948321078127919,0.22743355967252935,0.6531925227939064,-0.06771008001643124,-0.6341868580744503,0.014939195244920418,-0.1544424032242706,-0.4148445038061161,0.003426491690613441,-0.19440990173015102,0.2317683999280126,-0.7383566092782226,-0.08935150241056242
Temporal_Inf_R,-0.15565260675389295,-0.12015112536811001,0.4922203251843261,0.5859137854819702,-0.7598115279310197,0.7623933385476982,0.2924467479133854,0.785952508922556,1.0,-0.5083791022813865,0.46654153319284414,-0.0696024644945845,-0.4910630511622464,-0.08597597281227251,0.41321784148765733,0.7372060489290393,-0.6193705935499099,0.09033897508203607,-0.08441365328663807,0.5770385203798435,-0.23389298122907054,0.5229322680077289,-0.19631317875053053,0.46462182742010744,0.5518539486605285,0.4178480693886253,-0.471624179858505,0.24981263882490048,0.11214066919727968,-0.6132624990091828,0.1695119937231294,0.11290707259807743,0.0736944050024893,-0.5521702848702045,0.11982952898338846
Red_N_R,0.5947627276568516,0.5597831287071412,0.08026989953966884,-0.040517904994034445,0.6847982369778065,-0.17454664501905717,-0.31393476114735663,-0.7158499593936807,-0.5083791022813865,1.0,-0.4204814028842347,0.09261062356162723,0.689049105891699,0.07882994980077858,-0.3379189757349715,-0.4303901271337293,0.3689249193858902,0.06629991239669644,0.17233248874863205,-0.15101401363368688,0.7076854691629118,0.08667735162993359,-0.07192805468215842,-0.22321789466437164,-0.5547089636789065,0.2232132244769734,0.5864673647409829,-0.23323770828855267,0.004779511011796238,0.21219178544896028,-0.03667808929794739,0.2439550411671417,-0.5164540169688309,0.7740650768250633,0.18086428477328803
