,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,Thal_Re_R,Red_N_L,Precentral_L,Frontal_Inf_Orb_2_R
SN_pc_R,1.0,0.28982104797578245,0.11170679787623924,-0.05765687300613236,0.2791429964196447,-0.021703892179490654,-0.023749203321218812,-0.28798690632330276,-0.15565260675389295,-0.2426555304347097,0.12368768299232161,0.24298228109148004,0.07358386441250399,-0.15149973105581632,-0.12683753524007688,0.03841444924508179,0.12246400998422237,0.24815291771742617,-0.006225418622911508,0.049596381737416054
Thal_MDl_L,0.28982104797578245,1.0,0.3162400998972016,0.24946281363586803,0.3391085055434811,0.2521751390097806,-0.022784898581521815,-0.36460164180151156,-0.12015112536811001,0.07874715477228575,0.4272695035803409,0.4157081236890488,-0.01025979795279083,0.06371451982731619,-0.06787866389334585,0.011225941966003565,0.10545947982537894,0.6059838457666503,-0.009997595896926592,0.37617985981939994
OFCpost_R,0.11170679787623924,0.3162400998972016,1.0,0.7217704976779409,-0.09641981567055694,0.7018909317666975,0.24778031552421384,-0.011877382885552928,0.4922203251843261,-0.10213297234396439,0.01770675480608997,0.07398559985884214,0.26569386650535104,-0.15809271333947864,0.45812084763352573,-0.3602701075090677,-0.07760082176126681,0.16071259134218036,0.5644543080262023,0.8592656208016743
Temporal_Sup_R,-0.05765687300613236,0.24946281363586803,0.7217704976779409,1.0,-0.30565213200839203,0.7747821036904337,0.037762556922187336,0.17977803507424908,0.5859137854819702,-0.008715691145791135,-0.016278709175151878,-0.011298723333753573,0.24247474197553198,-0.018407268040709867,0.43999086695460987,-0.275404619674997,-0.0825962509953208,0.08286315855096167,0.4697711891767833,0.8246502346488892
OFClat_L,0.2791429964196447,0.3391085055434811,-0.09641981567055694,-0.30565213200839203,1.0,-0.4930174718344738,-0.1106910212725757,-0.8095813463945097,-0.7598115279310197,-0.49762087965171936,0.05028652640767147,0.6968387659154741,0.29187306396966173,-0.335176763869107,-0.48721590401109444,0.7093094461204114,0.20666064972600146,0.6833980870166559,-0.30768533535560294,-0.1819604770242278
Heschl_R,-0.021703892179490654,0.2521751390097806,0.7018909317666975,0.7747821036904337,-0.4930174718344738,1.0,0.25542704196217053,0.41565527015587705,0.7623933385476982,0.34413151316234203,0.10935821997798259,-0.22070898542916373,0.04239628252003645,0.26216457902568224,0.7285359468546136,-0.4925237748779127,-0.07847345544840896,-0.09825218705749036,0.5173472312037597,0.7535910569862813
Cuneus_L,-0.023749203321218812,-0.022784898581521815,0.24778031552421384,0.037762556922187336,-0.1106910212725757,0.25542704196217053,1.0,0.2002219861828963,0.2924467479133854,0.2060773804719836,0.195716081397436,-0.15281607018076632,0.4411053341084446,0.30889686718971476,0.3067305153090862,-0.12501862309073675,0.131541356618588,-0.28773529296009465,0.5163238202947186,0.10259635673916796
Occipital_Inf_R,-0.28798690632330276,-0.36460164180151156,-0.011877382885552928,0.17977803507424908,-0.8095813463945097,0.41565527015587705,0.2002219861828963,1.0,0.785952508922556,0.6156216600521432,-0.013717008802782267,-0.6717368512191865,-0.257682842708906,0.5176983137622433,0.586628343011964,-0.4844108517613678,-0.06050444475230688,-0.6961677820211053,0.27960415216572876,0.0563451449094941
Temporal_Inf_R,-0.15565260675389295,-0.12015112536811001,0.4922203251843261,0.5859137854819702,-0.7598115279310197,0.7623933385476982,0.2924467479133854,0.785952508922556,1.0,0.46654153319284414,-0.0696024644945845,-0.4910630511622464,-0.08597597281227251,0.41321784148765733,0.7372060489290393,-0.6193705935499099,-0.08441365328663807,-0.4787816799898531,0.5770385203798435,0.5229322680077289
Vermis_8,-0.2426555304347097,0.07874715477228575,-0.10213297234396439,-0.008715691145791135,-0.49762087965171936,0.34413151316234203,0.2060773804719836,0.6156216600521432,0.46654153319284414,1.0,0.2655588930981427,-0.44079070391909875,-0.4166197336768518,0.8419621811232758,0.35150060514100445,-0.3271892930653042,-0.015208339618232248,-0.39057482745130506,-0.0184329812166153,-0.029234630045355137
Thal_AV_L,0.12368768299232161,0.4272695035803409,0.01770675480608997,-0.016278709175151878,0.05028652640767147,0.10935821997798259,0.195716081397436,-0.013717008802782267,-0.0696024644945845,0.2655588930981427,1.0,0.08641335034382454,-0.03175379391640435,0.21038774412111313,0.01605022752396542,-0.00232678502418341,0.18352777019137806,0.10516430764706552,-0.0017080046491392527,0.060580935500023796
