,Frontal_Inf_Tri_R,VTA_L,Rolandic_Oper_L,Cerebellum_Crus2_R,ParaHippocampal_R,Thal_VL_R,Lingual_R,SN_pr_L,Insula_L,SN_pc_L,Frontal_Inf_Tri_L,Temporal_Pole_Sup_R,Rectus_R,Frontal_Inf_Orb_2_L,N_Acc_L,OFCant_R,Frontal_Mid_2_L,Thal_LP_L,Thal_VA_R,Cerebellum_10_L,ParaHippocampal_L,OFClat_R,Caudate_L,Pallidum_R,Thal_MDm_R,Cingulate_Post_R,Olfactory_L,SN_pr_R,Cerebellum_7b_L,Frontal_Inf_Oper_R,Occipital_Sup_R,Frontal_Mid_2_R,Thal_MGN_L,Frontal_Sup_Medial_R,Cuneus_R,Temporal_Sup_L,Cingulate_Mid_R,Rectus_L,Cerebellum_Crus2_L,Frontal_Sup_2_R
Frontal_Inf_Tri_R,1.0,0.3430882460984496,0.1026918925432136,-0.3112885541838956,0.4405155749936264,0.13728359809090035,-0.2655324639203706,0.3021522941540722,-0.07857726125467533,0.30545032844337067,0.22766055475207228,0.039629496722807196,0.057663969631428946,0.4601157799745804,0.20683633337087334,0.4288417467504317,0.15212561987084955,0.12476045971512625,0.30400635751411803,0.07368183149337333,0.20805886896173648,0.37635488389183336,-0.22060700553163906,-0.148095298024626,0.10253416985862779,0.18755233316940456,0.23208648308940774,0.033827292134589966,-0.21590771703056685,0.7015537505017635,-0.22073532186957634,0.3395687403080095,0.16672356991980247,-0.00041156121098684444,-0.2685458686897259,0.1439743951737632,0.1007326245136358,0.18007551286133625,-0.3083787935585037,0.01873036318611827
VTA_L,0.3430882460984496,1.0,0.008231874097552787,-0.5208652347071034,0.5071878829449336,0.31701334687929306,-0.28008813621992074,0.5729425943725582,0.0011106071994606997,0.4566211256533671,0.4242491305209081,-0.27306222130474983,0.32690829876085403,0.5923337438884232,0.40777717104329947,0.43004925625705354,0.27546597600311956,0.42482360658316737,0.40020648976644657,0.24378820938035944,0.6867484062954328,-0.010834755479778262,0.21490316068837387,0.10284437453667983,0.2683004973418345,0.35161705771531504,0.5388929684273256,0.15617561615681244,-0.18876687509845336,0.22613112011193562,-0.3582718998973874,0.4823128600623853,0.3565266617036239,0.028517976281634803,-0.4245741252005204,0.29863054091316465,0.20967525879412857,0.028833413224790747,-0.48955610383926507,0.2541489372658287
Rolandic_Oper_L,0.1026918925432136,0.008231874097552787,1.0,0.18662251051432277,0.24982289838010985,0.3019850791946867,0.45079710740138124,0.11268339976344578,0.283001910674195,0.1801460122968162,0.2750770158770385,0.21601329254460475,-0.06252130799466948,0.2569750148249819,-0.027605271027892,0.09265022446145621,0.3101673122718019,-0.07502000199479136,0.20171057777808235,0.0658736436309137,-0.04952141432736092,0.03223996182998765,0.15457995547817258,0.31134241345267366,0.22883625144958084,0.35866854973897677,-0.12735943168874642,0.0433980845453807,-0.1538367591938525,0.4582617086909322,0.14844184524819837,-0.036195403811093825,0.16399590118503884,0.2718923258860352,0.27926602700305175,0.18246115612008923,0.4416799802970984,0.0421682029864351,-0.008199846414645821,0.06661478682642694
Cerebellum_Crus2_R,-0.3112885541838956,-0.5208652347071034,0.18662251051432277,1.0,-0.3664456672811468,-0.08313225533741014,0.4898654578585165,-0.43924395391417115,0.14654349402809025,-0.1897003001189773,-0.3374610694064485,0.39074261851556813,-0.24076012818111078,-0.4408378470286357,-0.13943823390635432,-0.43243118386666934,-0.10338546574209008,-0.21588278544012587,-0.26324940123694796,-0.15754921809139544,-0.5503935549078264,0.0659480877612502,-0.08934694649772087,-0.10000254367529124,-0.1195612659702318,-0.14259269002885608,-0.43077534970192577,0.08299864699977041,0.16845738513439046,-0.06845962343650257,0.13190017340205648,-0.3923025424884575,-0.14228418757646755,0.14487424963945283,0.35691275218371854,-0.29540794043963314,-0.04578274252095992,-0.018416543340190154,0.7262969908083258,-0.12304550453758804
ParaHippocampal_R,0.4405155749936264,0.5071878829449336,0.24982289838010985,-0.3664456672811468,1.0,0.5644624257126586,-0.20698974484833743,0.6177960922894984,-0.2440052380563819,0.6509725278075834,0.17180857583721318,0.33390833668523345,0.3266642520988606,0.4857998323145871,0.4217563426266104,0.7496647385886805,0.33313365261465755,0.230906853188903,0.6065478583716474,0.23748751887840167,0.48659254897209014,0.1830666404153435,-0.008216882117649702,-0.18745860716654392,0.4031981457670199,0.4045190215981142,0.4544681702944875,0.15312489078722574,-0.45199193656261455,0.4622870218854843,-0.39607230858260384,0.1957552305998955,0.34782367107184864,0.3770199767027079,-0.2873120864780319,-0.10654247634135049,0.2314463721458233,0.18995840204062822,-0.4873360328467776,-0.042872034722415096
Thal_VL_R,0.13728359809090035,0.31701334687929306,0.3019850791946867,-0.08313225533741014,0.5644624257126586,1.0,0.03238966391430455,0.48490877473160376,-0.14420783151995484,0.5676478336532754,0.07672112439245235,0.403832352160318,0.10050296186899783,0.20754977664440916,0.25242055888948206,0.4532239027482136,0.42897784920422055,0.3464454827057159,0.7786840024042342,0.21519152153154691,0.3008464604938899,-0.010260952714161598,0.2657701482536969,-0.030347925562084585,0.7907999324071545,0.6369615684785379,0.23608590198679003,0.1999338796814445,-0.17326238216310477,0.29710647015869257,-0.25570992641461143,0.24047218553903718,0.25518540573499954,0.48180972897488034,-0.20164178347685316,-0.21639269342810016,0.4432735240557482,0.3239011903276059,-0.3080314403261174,0.15683852579898652
Lingual_R,-0.2655324639203706,-0.28008813621992074,0.45079710740138124,0.4898654578585165,-0.20698974484833743,0.03238966391430455,1.0,-0.19193703684607163,0.43435387353847876,-0.22967062307741387,0.06323823413444676,0.14812088795425615,-0.07228032559804551,0.003660802121185608,-0.09200293493708121,-0.3339076985136143,0.1446761722702604,-0.08992952311241714,-0.1211422226992961,-0.03807338618093943,-0.16207707143808325,-0.19583809440887198,0.32259967524450917,0.3267933794262372,0.16770802668789758,0.12969156866089832,-0.2707127112166005,-0.006028748579447034,0.28249190011025027,0.0032097344561952948,0.4398579852513587,-0.2122597572556893,0.06543138479263402,0.1674480689364336,0.6328272571458424,0.1342091215949335,0.1086479180875549,-0.08776624725717794,0.3808417415072747,0.11613154427873118
SN_pr_L,0.3021522941540722,0.5729425943725582,0.11268339976344578,-0.43924395391417115,0.6177960922894984,0.48490877473160376,-0.19193703684607163,1.0,-0.09030571422705574,0.4750961359338162,0.4053311628988813,-0.14408344063732606,0.40689122685696655,0.5256382944675021,0.1876591509538212,0.5991638291268435,0.4671110282239484,0.5954548437253399,0.6023526735005132,0.43458633820386755,0.7009738970946372,-0.010939491495911825,0.24017833120014664,0.04151984900073346,0.4568999748307289,0.5276623069306507,0.5342437776251816,0.0918607146558141,-0.20954016385885246,0.23220143496019646,-0.4870812174258245,0.5183497755830675,0.4116319523524193,0.2006787102119576,-0.464957380899591,0.15598585396251785,0.31782865728582366,0.14345446256374025,-0.5075740095747452,0.3039828094199761
Insula_L,-0.07857726125467533,0.0011106071994606997,0.283001910674195,0.14654349402809025,-0.2440052380563819,-0.14420783151995484,0.43435387353847876,-0.09030571422705574,1.0,-0.19788442950686103,0.5338892659998299,-0.22765028281693486,0.0898664558364061,0.35425384612851385,0.0014196460442258765,-0.25870983641281275,0.23847489705364402,0.013174789115304274,-0.1951234632853186,0.011689898324651376,0.17879324167760718,-0.16750005608522567,0.5381304637392864,0.5394878287091194,-0.14586000828808685,-0.03921638669813873,0.1376219544295411,0.02406843120509687,0.21006692116319378,0.21131768377087737,0.4755663692905538,0.00902185389444557,0.054259227537954396,0.12967254900175296,0.37863927274289133,0.6606348691544444,0.2236757645806452,0.06062132547467148,0.08875726958128244,0.3342372716300297
SN_pc_L,0.30545032844337067,0.4566211256533671,0.1801460122968162,-0.1897003001189773,0.6509725278075834,0.5676478336532754,-0.22967062307741387,0.4750961359338162,-0.19788442950686103,1.0,0.17483187568404546,0.30450126484104373,0.10215770684292315,0.2825270484769799,0.43280508892743813,0.6291663556702549,0.31086364144243367,0.23241057330294476,0.5787956443999644,0.12275359228668084,0.3426316663103734,0.14942342431731348,-0.06241926024154228,-0.2745807763955914,0.3509908240006289,0.42999802974810397,0.5078716674586401,0.4796877519829704,-0.3614229826899194,0.4312995250249464,-0.36706416424845834,0.19546856520348987,0.2302355420793455,0.4230842472297232,-0.27070530728713044,-0.07020144593657324,0.2699451583631531,0.44190000974911664,-0.4244357096466194,-0.022685025022188277
