,OFCmed_R,Occipital_Mid_L,Frontal_Inf_Tri_R,Thal_PuI_L,Rectus_R,Cerebellum_Crus2_L,Parietal_Sup_R,Caudate_R,Cerebellum_8_L,Thal_VA_L,Cerebellum_7b_R,Thal_PuM_L,Cerebellum_Crus2_R,Raphe_M,Thal_VL_R,Cerebellum_8_R,Amygdala_R,Thal_VPL_R,Thal_PuI_R,Raphe_D,SupraMarginal_L,SN_pc_R,SN_pr_L,Cerebellum_3_R,Thal_VPL_L,Precentral_L,Frontal_Inf_Orb_2_R,Frontal_Sup_Medial_R,Thal_PuM_R,Fusiform_L,Postcentral_R,Thal_VA_R,Thal_MGN_L,Thal_PuA_R,Temporal_Pole_Sup_L
OFCmed_R,1.0,-0.06387619759511382,0.17056629434777287,0.34349660953580896,0.13660015123193225,-0.4358258137531101,0.07865116850945429,0.3425954887610742,-0.23096255168188157,0.40399361521374344,0.08375078534545898,-0.1727827179306943,-0.1986070464187259,-0.17332938530101746,0.4790511377157008,-0.14586982077762461,0.4045166303183607,0.5246577811266775,0.19144710089737357,0.17162959573186068,0.08998710720958787,0.08368805330723872,0.2725240582245126,0.5022930863605274,0.13577219956278674,0.357975791735433,0.5836684207175525,0.5967601006961711,0.2502184709626793,-0.42899124218877865,-0.34301446078512876,0.45291850106316844,0.196367076860197,0.28811749850958057,-0.22274316935372174
Occipital_Mid_L,-0.06387619759511382,1.0,-0.3627172478126182,-0.38673072254970964,-0.1262289239749255,0.3463729694026322,0.3863793285476748,-0.061034522020019744,0.46228344696644813,-0.3566415456128873,0.30172670885255853,-0.3328983563291875,0.3142949178046421,0.6906989959523268,-0.34161953869345485,0.5449799702296254,0.18242738346492263,-0.2183068505419173,-0.36951855967767133,-0.6878639812966082,0.4469799694610678,-0.18571531283159512,-0.53329042329358,-0.028672419863796098,0.062294326503653116,0.13554428494020423,-0.3559153512621041,-0.015368817721831414,-0.6739169616367231,0.28868029804594875,0.25168926139734965,-0.47845296702298973,-0.16652637982748264,0.16241046795170802,0.6321330402494164
Frontal_Inf_Tri_R,0.17056629434777287,-0.3627172478126182,1.0,0.2796493125827209,0.057663969631428946,-0.3083787935585037,0.08169133823128501,-0.033517080047992816,-0.34965339094200704,0.2802095077776774,-0.23871101401038772,0.14875909185589395,-0.3112885541838956,-0.3244659857658017,0.13728359809090035,-0.37936373446416677,-0.07520012959883979,0.13440314270987164,0.33025010999049287,0.49820384578203863,-0.0028947985195771583,0.0703819172112528,0.3021522941540722,0.1635690211082089,-0.026362861435915843,-0.009307902807177469,0.4541257565670441,-0.00041156121098684444,0.3492533611059629,-0.12290926748343695,0.019836091082614665,0.30400635751411803,0.16672356991980247,-0.06588085186611915,-0.3005387983637191
Thal_PuI_L,0.34349660953580896,-0.38673072254970964,0.2796493125827209,1.0,0.07925178552330078,-0.5261108106370441,0.04823672859328311,0.4483356552363203,-0.43548580725779945,0.584400014380555,-0.29496015400377196,0.3513032340282881,-0.30110583773094385,-0.4582033794996675,0.5941210216985708,-0.3242482099077384,-0.0606404089647987,0.5649895095043209,0.7014044930364098,0.4883173516068323,-0.1610651186768673,0.15293196570015585,0.5850868781879413,0.31120947192577386,0.37521333689860525,0.16643558108867573,0.36947996215010387,0.4073076715912643,0.5646599096446839,0.031060224285921062,-0.038237476741979415,0.5899981082362472,0.440082760555427,0.12539328982615186,-0.24746691144458255
Rectus_R,0.13660015123193225,-0.1262289239749255,0.057663969631428946,0.07925178552330078,1.0,-0.1308674772411463,0.1052385911262707,0.3923321543024824,-0.040934793506158924,0.23797737013659861,-0.1785322466340857,0.22692628573150012,-0.24076012818111078,-0.21613805659685065,0.10050296186899783,-0.1752255964568624,-0.20270142997445773,0.06489527391260486,0.15649337380425954,0.02393411761116972,-0.13102376262674903,0.2715802606627244,0.40689122685696655,-0.27176969592820943,0.06994714750299483,-0.007410861714339773,0.0038877742829893413,-0.007790316998529987,0.24696622564524884,0.03458835997779573,0.16106644994794567,0.13787084987753798,0.4653849959018105,0.12121275623299418,-0.030441284592150473
Cerebellum_Crus2_L,-0.4358258137531101,0.3463729694026322,-0.3083787935585037,-0.5261108106370441,-0.1308674772411463,1.0,-0.3968403726323694,-0.31366525473668727,0.8628409631992109,-0.35059222580617144,0.6511002286752412,-0.2128503548019932,0.7262969908083258,0.5305592742621983,-0.3080314403261174,0.7393753214092944,0.27647872009726576,-0.2870004489534495,-0.5305962508755666,-0.5553627347034376,0.08781699683946836,-0.3365070518415609,-0.5075740095747452,-0.16340948775477335,0.02847116216168851,-0.10285376116437785,-0.24878518815612638,-0.3996004285212602,-0.3736952161604039,0.09784346212287963,-0.2552648493753573,-0.4289461694594467,-0.3183601370576198,0.029621754477278446,0.18468765136532383
Parietal_Sup_R,0.07865116850945429,0.3863793285476748,0.08169133823128501,0.04823672859328311,0.1052385911262707,-0.3968403726323694,1.0,0.11079323025825077,-0.30421939429026734,-0.12160357332392975,-0.3229320096026492,-0.18476108164714647,-0.44215878255358004,0.027048162578290916,-0.19671630049619296,-0.3540127941287952,-0.35030393791533904,-0.17267106649594421,0.05048112027476407,-0.050855844609234195,0.4497327054645114,0.11275789676080716,-0.05155317647274337,0.07447782521478202,-0.12258379049836858,0.05168887597163397,-0.12933728477105333,0.026415680169885918,-0.393019784863681,0.15776369040123564,0.7441722531327885,-0.18342356304351345,0.12758137872231193,0.0669844791821587,0.2695621412521616
Caudate_R,0.3425954887610742,-0.061034522020019744,-0.033517080047992816,0.4483356552363203,0.3923321543024824,-0.31366525473668727,0.11079323025825077,1.0,-0.1676247194875985,0.533178524120957,-0.08229230821012555,0.19398336507511768,-0.14694969025233653,-0.13015433592070302,0.5826134625542044,-0.06716543238776888,0.14153621862797858,0.5322033379983618,0.39870457060311587,0.09781261646707815,0.01821849976670085,0.24095911595000025,0.4132774280426583,0.29797590329774704,0.3150493695051173,0.3148420898017481,0.33565974366787693,0.5016556010479244,0.3263609415406986,-0.049396744158535365,-0.0482663226958208,0.44715502242633104,0.39649519621200313,0.40736831065622614,-0.12832855927265252
Cerebellum_8_L,-0.23096255168188157,0.46228344696644813,-0.34965339094200704,-0.43548580725779945,-0.040934793506158924,0.8628409631992109,-0.30421939429026734,-0.1676247194875985,1.0,-0.12557254886207725,0.5931996757400724,-0.13650353811761162,0.6798574873255299,0.5738299702303084,-0.11116861679266286,0.7858559499977302,0.3352225031281568,-0.048238031057294996,-0.4645433104389706,-0.6255629154756662,0.03991749829264394,-0.1705450859908483,-0.409886668341272,-0.07609586611169271,0.1965477891271563,-0.07338306003892443,-0.17999935208204507,-0.24332468034974447,-0.2707478383589951,0.07528283255935027,-0.17910624949923198,-0.22253536194381107,-0.24435609139670636,0.2316776630312729,0.2723162824179047
Thal_VA_L,0.40399361521374344,-0.3566415456128873,0.2802095077776774,0.584400014380555,0.23797737013659861,-0.35059222580617144,-0.12160357332392975,0.533178524120957,-0.12557254886207725,1.0,-0.20724634552352253,0.4002513928532479,-0.22627490801629732,-0.30919702408037825,0.7512574186798375,-0.17227510514074737,0.08789222814929575,0.6422005495148218,0.5156379581025159,0.3920290053491976,-0.22241019574714976,0.2758777293217568,0.6229417348650175,0.29709724542213334,0.5043304990262528,0.08476737734045499,0.4424635331231648,0.328925525171937,0.6531117118883986,-0.06521720524034161,-0.12067992595361714,0.7918497901911326,0.2515963836367083,0.4140920432851461,-0.2583368943698711
