,Cerebellum_3_R,Olfactory_R,VTA_L,ACC_sup_R,Frontal_Med_Orb_L,Cingulate_Post_L,Frontal_Inf_Orb_2_R,Caudate_L,Rectus_L,Insula_L,Thal_VA_R,Occipital_Sup_L,Supp_Motor_Area_R,Postcentral_R,Olfactory_L,Vermis_9,Postcentral_L,Cuneus_R,Thal_AV_L,Thal_VL_L,Occipital_Inf_L,Thal_LP_L,Thal_MGN_L,Thal_VPL_R,Thal_PuI_L,Vermis_4_5,Fusiform_R,Thal_PuL_L,Caudate_R,Vermis_10,Thal_PuL_R,Temporal_Mid_R,Cerebellum_Crus2_R,Parietal_Inf_L,Thal_AV_R,Parietal_Sup_R,Temporal_Sup_R,N_Acc_L,Thal_MGN_R,Raphe_M,Thal_VL_R,Thal_PuA_R,Temporal_Inf_R,Occipital_Inf_R,Temporal_Pole_Mid_R,Red_N_R,Cuneus_L,ACC_sub_R,Parietal_Sup_L,Lingual_R,SupraMarginal_R,SN_pr_R,Lingual_L,Cerebellum_4_5_L,OFCmed_L,Cerebellum_9_R,Cerebellum_10_L,Amygdala_R,Thal_IL_L,Calcarine_L,ParaHippocampal_R,Frontal_Inf_Tri_R,Occipital_Mid_L,Angular_R,Frontal_Sup_Medial_L,Frontal_Inf_Oper_L,Frontal_Sup_2_R,Thal_PuM_L,Raphe_D,Frontal_Sup_Medial_R,OFCpost_R,Thal_PuA_L,Pallidum_R,Heschl_R,Thal_LGN_R,Paracentral_Lobule_L,Thal_LGN_L,Thal_VPL_L,Cerebellum_4_5_R,Cingulate_Post_R,Calcarine_R,Frontal_Med_Orb_R,Thal_MDl_R,Temporal_Pole_Mid_L,Cingulate_Mid_L,Cerebellum_7b_R,Precentral_L,OFCmed_R,OFClat_R,OFCant_L
Cerebellum_3_R,1.0,0.4984312337365487,0.2677594466242522,0.5141861092674304,-0.11744376000246239,0.6073721505192446,0.38496583253028877,0.3576146459389584,0.006084039446869719,0.633832062214047,-0.017097508670761312,0.3095635626927527,0.5000724345144095,0.19471603545142654,0.5644786688082762,0.37546207999285963,0.4781799550360967,0.5212183695807124,0.08456365817465576,0.25801501238891095,0.15231833920501775,0.14432822200726156,-0.003456206862995947,0.2868591028164575,-0.12515677546505422,0.6911277981018474,0.47055301218262974,0.40786361923424036,0.3574523378971185,0.4057490663132688,0.008470637575601419,0.38589688678351725,0.17563215011160987,0.44279181704616755,0.15910511242851266,0.03841890922814395,0.5003022723390926,0.2568842069044205,0.37025898398414847,0.2776147145846825,0.3075636340613456,0.011752735687694405,0.22385972026022427,-0.011667878603516334,0.13614644841409113,0.43514403767653076,0.3324061506049133,0.2740313849946316,0.2530074202079217,0.4888746765413585,0.23895921857101915,0.3298082432653992,0.4849255070298039,0.46134436886456637,-0.07522268043314022,0.3100557115357138,0.3796504571542008,0.3064613617256941,-0.029323076439817176,0.5932266890185082,0.3823022634104976,0.458685520841823,0.31995903429869244,0.14064249356539674,0.53912961604808,0.5561876749247627,0.4373360766159441,0.08048858754440513,0.3539591185826042,0.4593126075116621,0.12539403359702578,0.2329103690080437,0.13916288069526836,0.37257732709011304,0.23161759170579102,0.3468396939861102,0.24745718859043997,0.4995951255511919,0.6649380303924297,0.4214664037427778,0.5808643205343429,-0.0536429110010038,0.2512630458742023,-0.10751441496361816,0.539472270437635,0.0835312898300731,0.5804107328220247,-0.17475475006569235,0.30597010820122084,0.10826562640734527
Olfactory_R,0.4984312337365487,1.0,0.3322490040972197,0.4463430658430843,-0.21645591500584013,0.45028786368801943,0.08929147312801179,0.08559300206288983,-0.15382661182980675,0.5174018743150953,-0.08266392322633324,0.47729364537480967,0.2425147674092956,0.16927012799176663,0.5878022839028587,-0.017840752203939703,0.32269834421200383,0.4261005163188952,-0.2749523187412187,-0.01618329879135603,0.3471036926590422,0.452491246304605,0.0038868890429542675,0.49071078321749867,0.09617619908446977,0.2927295937912098,0.08769156295914272,0.43641016632353397,0.13101147689281792,0.14676920627508908,-0.3047922851232334,0.5435481544190666,0.3542371483177215,0.3239554171280603,-0.0674727288697772,0.20673327117343857,0.5796113194459726,-0.010730454883050015,0.11659229285250769,0.05107526594996753,0.4391861612188434,-0.3165975416543954,0.11177599640981485,0.19625280304179984,0.3539967029734833,0.28830901529268754,0.42498420761068834,0.3814514483603767,0.2760489308421893,0.38367424956439006,0.2423595246018189,-0.053083191879965505,0.48934292323115175,0.07934770881367653,-0.3992808187874368,0.33586363496637944,0.09168371670619503,0.05061790968989884,0.3187436159681157,0.5975795321100157,0.08427763379673621,0.24492772265396923,0.4601307409341869,0.3469905937987711,0.4584616194686097,0.1664457317668085,0.22902536964656514,0.419918305352324,0.082762613264397,0.2919895211265025,-0.1002341885857548,0.31885307654084044,-0.1987976663019561,0.4497397715279539,-0.060046840373513315,0.25783522971117834,0.33590944790697785,0.3721366854612661,0.10540359198182174,0.4544728914124102,0.4780832144177572,-0.3109868364033516,0.37344895075225354,0.14933680174934647,0.14788179707901958,0.3531430322674183,0.19130952430090295,-0.3595184685450862,0.3360321225287046,-0.2299075218287232
VTA_L,0.2677594466242522,0.3322490040972197,1.0,0.19616302446267564,-0.16333462206093993,0.14055021546969593,-0.008481373752491899,-0.060741042521371656,-0.18976563927903944,0.19894212645620857,0.02624494180366175,0.41283563726831474,0.27437539317571424,0.357091148951769,0.30729185586746965,-0.10051425918745768,0.1666767681073649,0.4168653080693699,-0.20812582672990818,-0.2574190855358375,0.04904066117788699,0.5242785587335969,0.026696498294026795,0.27011670272125915,-0.17038255469417904,0.2027857070327684,0.10411473200213142,0.2836848203378569,0.06884638079848347,0.11377189377516705,-0.33627981888179315,0.33619597700182935,0.1507057883508815,0.23009455563992748,0.001239502141784889,0.369158403858405,0.42352038535121983,-0.12443602236258357,0.2579956633552595,0.032637605992935234,0.25928306992370903,0.03507007674207584,0.021462075581074637,0.04807498541423378,0.09813201267592807,0.2318020777728456,0.36248502515740466,0.04862180876628114,0.2715480037074206,0.40633080668069965,0.2890279221692405,0.18684673983120711,0.5015753993242196,0.06953907304630542,-0.27990135522339005,0.07950694530685058,-0.19193668648318377,0.04278785482812036,0.16048772896672717,0.4131398975812946,-0.04428806936335507,0.23697932688771542,0.10849551575393061,0.4395703732561448,0.18241210468365696,0.16563794961623501,0.22767288163441604,0.45338435391797516,0.2512519192190574,0.07409542157278914,-0.054030616884857094,0.37420626451121763,-0.08703351310452995,0.3458475833656747,-0.17771605890939265,0.27537169603281797,0.2114136366093169,0.2107910273587215,0.19863609943418772,0.2511238504238883,0.40815687753187657,-0.1828504023329575,0.29050484222296635,0.1634874602776841,0.17646694527920365,0.09461271689093145,0.08869114326786576,-0.2730373263165837,0.1950761412411942,-0.15590093844574512
ACC_sup_R,0.5141861092674304,0.4463430658430843,0.19616302446267564,1.0,-0.2081519181468841,0.6414991117462607,0.2258223413463722,0.4181066190620532,0.25225581772053596,0.6118276194850326,0.2676100637709894,0.31758606589601457,0.5762240660776634,0.39370494142000845,0.6203387736335233,0.022251151109102713,0.6679383029839344,0.41522932470471324,0.2781629926213425,0.49625686869596686,0.05653202803035683,0.3292965338682101,-0.08750800992242116,0.3309436115812633,-0.05104861676974325,0.6856501628652646,0.4639066964232875,0.6314868839317134,0.4615249727048703,0.20766135562656848,0.04435053013806022,0.20424961453048818,-0.07927871203086169,0.5235713679878248,0.21330650433084913,0.19335146498835604,0.5652256924644484,0.3016868959449311,0.45029276496365545,0.3686426909708872,0.5494387680189077,0.009163574521938283,-0.06434490738798487,-0.24688394916272113,-0.07433658474538687,0.39258071999692257,0.3394368519801781,0.3002667132865867,0.39838529393884237,0.35458946254452095,0.31408311089282137,0.37444570599973737,0.35029312251636696,0.5965097014518381,-0.09364706862186314,0.03649420828320894,0.3630919435474698,0.20542862838647863,0.039298672178932056,0.49655727222517415,0.4524972722285128,0.4449363692895884,0.2624460213401938,0.2965249064353177,0.7131583376455092,0.7000674291339689,0.6333265032765244,0.19339721954139724,0.14290164223858948,0.5662805153942495,0.2660050090885913,0.38945076035946496,0.2242428354233346,0.46955385559125257,0.34115129075034323,0.40358727766652785,0.5412901181214643,0.7714725027071239,0.5557227244322995,0.5172531621633273,0.4093454809686988,-0.09641046016995398,0.15252664823232145,-0.26322729562324115,0.6349949502696325,-0.15161141349550927,0.67116210561136,-0.05057238843627309,0.5694330472484024,0.07588303742554924
Frontal_Med_Orb_L,-0.11744376000246239,-0.21645591500584013,-0.16333462206093993,-0.2081519181468841,1.0,-0.07683581683844222,0.3550108064296501,0.2956531056229462,0.4335592897781189,0.0003347888157499092,0.422576635106498,-0.1460053461776839,-0.14049849461511937,0.05521107332304528,-0.03831876111783337,-0.0726051642871759,-0.224185646993782,-0.2642326751762,0.22246030524640395,0.28714079623798394,-0.4058166927639459,-0.20169235681696632,0.21395285576764275,-0.42314799617730847,0.014697801060296643,0.041931425475291995,0.18616520505409162,-0.26169848739007595,0.44164086400931823,-0.03884670961756685,0.4323717829774573,-0.08065800131674467,-0.42276571707515903,-0.07776264422677177,0.13760080422835855,0.08564679746012194,0.010233150157394285,0.23176737755609095,0.3135294797283635,0.3048599379296449,-0.2451726999802035,0.3647483631942954,-0.04496971272846338,-0.34592487981176423,-0.30288046950498,0.04498996253867633,-0.05542953372181721,0.5038600376317903,0.0426323226431325,-0.35412915487182156,0.01373340690938101,0.2803169495045298,-0.30680171413488894,0.2933831386924565,0.6942670699411684,-0.3947067155471462,0.26967250482753574,0.3565315725051482,-0.14242442553470724,-0.26803142432368043,0.3770298129433128,0.1651960125813447,-0.2585370275102651,0.020101683730059747,0.13654583201147666,-0.21928111796396446,0.1229236210487338,-0.1708070431165211,0.23196970509103834,0.3813430709266917,0.3912699168743114,-0.05481501774888017,0.43328555528679613,0.08296810895966655,0.31442115324464825,0.008392531084424993,0.02311037353155655,-0.059489031325214055,0.015430451067424689,0.19461111118548333,-0.34944377124819664,0.8706654154978852,-0.40184968669755866,-0.31009801022944977,0.11187773950835994,-0.3031472746437999,-0.23659670263095428,0.6200838296054098,0.26816688439551617,0.6375609017050575
Cingulate_Post_L,0.6073721505192446,0.45028786368801943,0.14055021546969593,0.6414991117462607,-0.07683581683844222,1.0,0.20912080272799813,0.45205978630084354,0.21195278431470158,0.49064068794244337,0.20371636467851922,0.48672636564038063,0.5230431209999787,0.28397027115755846,0.5518667149512338,0.049154877409432626,0.6895633113416751,0.5899276902233839,0.17378650327033196,0.3540371479325626,0.2013949617521996,0.24522122711190555,-0.24314899993962982,0.39102318174812645,-0.16228558915619115,0.6716349864597276,0.31318031768195476,0.6085898701285701,0.3901832381947397,0.25681559093295336,0.023403463539182035,0.3744935511005814,0.0912924348563792,0.6073381846460684,0.20249206620827087,0.20028119704091027,0.5273822172678385,0.3888103228610895,0.37648737443219893,0.28781300581136265,0.5201886795569192,-0.23208521163510995,-0.09241184949733638,-0.16618824007727143,0.07807791796934575,0.4971973556667772,0.4520985256026943,0.35151564824151205,0.4551690889990801,0.4922563360040686,0.29148198064356295,0.3078321123806263,0.4975641921773873,0.49272310226752125,0.006439423400287063,0.21027355147621082,0.2964358477669288,0.3315541633347184,-0.004436072610093024,0.6208812129429594,0.4329714467194495,0.312692357859442,0.45254566953544095,0.2997724699226302,0.7310698711091869,0.5142739021452989,0.5768374465723635,0.15202532701803895,0.20239408267003584,0.6602462623206208,0.3428284949879536,0.12219811865081402,0.17755526387505377,0.4306925391788685,0.25220706598998727,0.4344203566159155,0.42938962995028784,0.6034886915645927,0.4968600303526894,0.6962433817426418,0.5628679855107075,0.004171678329129065,0.2922003859057111,-0.25642255362932964,0.608863815948509,0.022070773519894473,0.6276015477528976,0.06550372961580068,0.4638785327308153,0.19759650803916903
Frontal_Inf_Orb_2_R,0.38496583253028877,0.08929147312801179,-0.008481373752491899,0.2258223413463722,0.3550108064296501,0.20912080272799813,1.0,0.14262962296323314,0.6000859860229824,0.6170936095378344,0.26941177733764904,0.009759247882841876,0.42668591564393477,0.42916375676951546,0.20046780224194918,0.22270691715207047,0.12648486805575057,0.17040018693994818,0.058625747164577975,0.25205751530646214,-0.4204751796854217,0.07411797482347847,0.1903416708211029,-0.38934269720452225,-0.022134395006848977,0.45301493249648156,0.47715742968622765,0.007073416199404787,0.6082606603771702,0.24805148763237242,0.4373904498791724,0.14519273655330756,-0.3558242028413793,0.22288592801479162,0.06146163950860537,0.24065546878596267,0.39034098225783365,0.184325764159445,0.4833941450681935,0.6206854785934312,-0.13437942959695007,0.3816773839550305,0.02889862137426322,-0.3761294653401996,-0.3869643218546831,0.37097125562595595,0.15748646120675244,0.41885751939626054,0.2260366393227429,0.12643281177141233,0.35191910988312847,0.42383932279553044,0.0337283250908919,0.6069028109879231,0.5178451522567201,-0.2878373408445658,0.43990360843380316,0.4707009846332419,-0.3367877168636781,0.07491209451884892,0.4673523057356869,0.6803063358482877,-0.18886100816681717,0.17008273851862662,0.28911894775725105,0.21951751003174716,0.4669871142937879,0.015575067500574752,0.09483786618177484,0.4443875999875503,0.43548456687029735,-0.017082044832363058,0.6379335942482425,0.3101196242141029,0.3395928936599549,0.4057824479197391,0.11629775453068683,0.027024609391439657,0.48917856582945907,0.3545344510897888,0.14223191526357612,0.43493410492094253,-0.35928760154941863,-0.43762094170099874,0.5435584983812425,-0.3413012651851517,0.2553866922312537,0.43564524971879787,0.44421858243015555,0.5199783827151401
Caudate_L,0.3576146459389584,0.08559300206288983,-0.060741042521371656,0.4181066190620532,0.2956531056229462,0.45205978630084354,0.14262962296323314,1.0,0.24997620720521233,0.452179284723587,0.4275032424878355,0.11040764598206054,0.10168682316267569,0.04175616822914804,0.414781494965474,0.31876253698840346,0.28956715050192866,0.15427733350020492,0.6950899337569265,0.8281949115839534,0.06214667441392221,-0.13772829276245055,0.1915238475570643,0.34228044717361394,0.29834760672951166,0.43105437759422754,0.5890110480535289,0.1899729786225893,0.5483321079961158,0.236499246418604,0.24638701701072116,0.30926388294483814,0.15979447553230897,0.09760564078859656,0.6183918384608547,-0.11660296503241718,0.28472353931074895,0.6689322195173749,0.3499729877600279,0.2917773673256205,0.6046863094869006,0.09333069797227132,0.31087215403192126,0.058174642447358975,0.08342976877337568,0.10765905202648053,0.22754905043068524,0.3412748754875297,0.049777084333000814,0.3097393692322947,0.10630967299346376,0.2140280925414042,0.3386250411581752,0.4463297623678206,0.36718572911143077,0.3190991835856993,0.5775180269300545,0.3850027455705162,0.3530722753739467,0.3583954665212907,0.7072786117584322,0.13415187115388352,0.21576542307040172,-0.012477661217447812,0.5678841783927666,0.45147341811335795,0.30072563632751825,-0.00041866803607727064,0.3082803729827464,0.5021526254950854,0.5278634289657737,0.4059785652183844,0.201067803980131,0.35436619779020156,0.5707495694017548,0.003754634382893226,0.44758054157705446,0.6547031384113742,0.4503140985997627,0.3299868504789517,0.3334777154614593,0.3643966124111313,0.2704181623000297,-0.03604583437860699,0.4534229922722624,0.13845198668881303,0.11716058166348939,0.3447697752045639,0.3000382293168102,0.39784322268100364
Rectus_L,0.006084039446869719,-0.15382661182980675,-0.18976563927903944,0.25225581772053596,0.4335592897781189,0.21195278431470158,0.6000859860229824,0.24997620720521233,1.0,0.2831893524594849,0.5518594158584686,0.021765179419738274,0.3096670644109057,0.367715500204758,0.009697742327615225,0.11385911515211623,0.19398301504561807,0.08734698956224096,0.2859484720018523,0.34713757599963607,-0.49671200820517947,0.02467320066634418,0.023974033694770035,-0.371966151923217,-0.12696901922769652,0.4686303914986212,0.43799670910231847,0.00787699180760833,0.5887738199940161,0.23925111493342002,0.499074473065335,-0.04479638005685417,-0.44522217921540796,0.269218882558099,0.0939488761671458,0.23801846919445266,0.24731067856945588,0.24554727500938134,0.4226906915400535,0.5161583373913455,-0.06386366952244066,0.3569834460584288,-0.14812808099196445,-0.5985350324571651,-0.531255008586891,0.43753697372231354,0.12271848597277801,0.4426454147389082,0.3162789979809668,0.03837466214783969,0.2529264691658252,0.34201760135323456,-0.17510763709412325,0.6323464442012262,0.6351939503220917,-0.4413187378883884,0.4222576089622958,0.4136033518446436,-0.2576755537404747,-0.10216420084558621,0.6097482816290857,0.39065946922245304,-0.20128537101958785,0.20852258277208222,0.35130090339293224,0.16376903714300373,0.4855701663879886,-0.06672894316948903,-0.15557051321898074,0.5164044083662082,0.6522116108573371,-0.08376618481288686,0.6613465480227204,0.14751089344828308,0.34923479331377094,0.39421142845885415,0.27363998588777144,0.1694130549566147,0.39980625579570206,0.41941389959229125,-0.04512615721609721,0.4556067006168378,-0.373598101448125,-0.566158398555067,0.4436381458822926,-0.4760689042232655,0.21650534138668068,0.7450142892035263,0.492811985802451,0.6513609320979613
Insula_L,0.633832062214047,0.5174018743150953,0.19894212645620857,0.6118276194850326,0.0003347888157499092,0.49064068794244337,0.6170936095378344,0.452179284723587,0.2831893524594849,1.0,0.178292212018748,0.24426153557053457,0.44342863402615734,0.38119790184465313,0.4834733576902564,0.2394270570568764,0.3653615580034316,0.39956009834509487,0.20244650112755871,0.43497132492982316,0.04372770794667189,0.29377040030008417,0.18298581506856695,0.26297749378261104,0.17208926216911796,0.6057307666528354,0.5856398708866521,0.34039426070564793,0.5273153762312884,0.2955194439535113,0.08929349479913092,0.46991698796719317,0.03684009680827669,0.3024203182228554,0.29700168986738956,0.168315488411075,0.6500953620961591,0.20299424407393968,0.4191059523181313,0.4210870501855691,0.4742360977557028,0.08808126850721756,0.20375210558893805,0.017354758474472785,0.08406792042975586,0.275424430176396,0.3258476063005935,0.4541163495436859,0.23282360846020217,0.5161399484329846,0.3542177970176898,0.23210211148620932,0.47742112729387337,0.5034276648079222,0.12154165321649905,0.15091311475501262,0.45342339424002776,0.3294248048285868,0.14025922416442638,0.5193002729812378,0.5271549820321506,0.6293846248470977,0.19143613420474068,0.26555272917386846,0.5544271158916515,0.48117867292298494,0.47826611297547034,0.2819685491858223,0.13139014937893514,0.4589054693263286,0.34219150316409097,0.4439395397732788,0.2457629695380024,0.5170378005953106,0.23291772612854342,0.31272796716123263,0.4270614268443558,0.5533299879679862,0.5906604035163713,0.44036562974389704,0.5478670734154841,0.002179604653847393,0.1998787106008666,-0.06053528116778305,0.5733853216487019,0.0026969579372890444,0.3703305056497118,0.025134128473182287,0.5455833071506001,0.2822249032209909
