,Cerebellum_8_R,Thal_MDm_L,Vermis_10,Thal_PuL_R,Cerebellum_Crus1_R,Rolandic_Oper_L,Raphe_M,Raphe_D,Insula_L,Vermis_8,Cingulate_Post_L,Vermis_3,Thal_LGN_L,Fusiform_R,ACC_sub_R,ParaHippocampal_L,Olfactory_L,Frontal_Med_Orb_L,OFClat_R,SN_pr_R,Cerebellum_Crus2_L,Cuneus_L,ACC_pre_L,Red_N_R,Calcarine_L,Cerebellum_3_R,N_Acc_R,Thal_AV_R,Frontal_Sup_Medial_L,VTA_L,Thal_LGN_R,Thal_LP_R,SupraMarginal_R,Thal_PuM_R,Cerebellum_8_L,Cuneus_R,Rectus_L,Pallidum_L,Parietal_Inf_R,Precentral_R,Cerebellum_10_L,Thal_MGN_R,Caudate_L,Occipital_Inf_L,Putamen_R,Occipital_Sup_L,Thal_IL_L,ACC_pre_R,Frontal_Inf_Tri_R,Thal_PuI_R,Vermis_6,OFCmed_L,Cingulate_Post_R,Cerebellum_9_L,Amygdala_L,Cerebellum_10_R,Cerebellum_7b_R,Frontal_Sup_Medial_R,Temporal_Sup_R,Occipital_Inf_R,Cingulate_Mid_L,Thal_PuI_L,Temporal_Mid_L,Cerebellum_4_5_L,Vermis_4_5
Cerebellum_8_R,1.0,0.34820822450141403,0.08028577916985981,-0.06192205583909007,0.8504808083104693,-0.19415876292730666,-0.19083195933106883,0.07428046186067787,0.17108850906077383,0.6689805857780677,0.06584088106825213,-0.15483410230455957,0.03707926201581394,0.046912117246426556,0.01443176056572408,-0.24763340642624324,0.03899710901600603,-0.3068087088383912,-0.18376253502542775,-0.42405621349386635,0.7423803009445638,0.08103954150065532,-0.20587869444509038,-0.1768804288151117,0.34604275983048083,0.27696314478738865,-0.13198793183413235,0.36664253655527745,-0.022008646530684906,-0.020583947195170926,0.19763371985018593,-0.09245057627281267,-0.16032237331665175,-0.3045248337175785,0.8321591848077202,0.07027030345410978,-0.3788436692420291,-0.2566452381678606,-0.34439929217245396,-0.40187233607472034,0.027962842489235525,-0.16511715100326146,0.26884632050250834,0.5666346531531684,-0.3943543305540709,0.00904935168853712,0.5706982088496143,-0.13953505745850314,-0.13386324888608692,-0.2815063091597454,0.1548519313833349,-0.2615497157459567,-0.08200329874717104,0.8837255973839718,-0.14841930742174872,-0.05255994075278452,0.807924046187043,-0.1791927405653139,0.08871828727361286,0.7419188196328584,-0.14891080978544796,0.5974843079110543,0.6035330875346225,-0.3053467675561029,-0.12167877309431224
Thal_MDm_L,0.34820822450141403,1.0,0.1826920727698714,-0.5208861593453605,0.24947977179874065,0.060440989393037,-0.049564287694743886,-0.01147267815100696,0.2984830541155068,-0.0016624613264199905,0.21766648587907214,-0.21875099275822793,0.4110285787785538,0.0680541019980592,0.13551283654201504,-0.12231683059667929,0.3187883959776405,-0.3203776741143293,0.16886255644233544,-0.14098152467200703,0.3701920301804165,0.6530331706056477,-0.45890847470376456,0.1173743036895063,0.7049057146322392,0.1479779552155506,-0.04734842245619971,0.1844533323298167,0.31543642469046246,0.3992661905461502,-0.23080546360055854,-0.17578842853309234,0.4442780717530539,-0.21074721228979365,0.1498373772838762,0.5365561709168265,-0.2362214226244687,-0.17162742781290927,0.4721926341047291,0.2575505986161061,-0.17812083867426037,0.07026097797734017,0.11534241280972522,0.3168103659551655,-0.1648804949979238,0.6893292507167611,0.6069786025181747,0.021837816670349192,0.036555723902210915,-0.3458737245211757,0.09805417599425385,-0.4292077669237181,0.3578382051039355,0.27906391995326285,0.010170034120417067,-0.12620138429127764,0.44675595099834714,0.16213221326404617,0.5931678049562357,0.33382209074130337,0.11231895446851894,0.19010122586388079,0.32746190711766177,-0.10325931879485727,0.08621612384418312
Vermis_10,0.08028577916985981,0.1826920727698714,1.0,0.16165945814472613,-0.18437684295573997,0.4024994899973934,0.3794387329422149,-0.02619037487139248,0.2955194439535113,0.14929023438787953,0.25681559093295336,0.6384791315725536,0.26857548078827126,0.5963118749459948,0.15374239087951128,0.44284657544311007,0.12480959482196623,-0.03884670961756685,0.17455410625201537,0.28668967899522146,-0.2556406759902131,0.4503309032208478,0.18699578386854668,0.7095653306291471,0.46113630883307294,0.4057490663132688,0.3424610842583084,-0.05629077871237642,0.3328887421084105,0.11377189377516705,0.040262915442088536,0.11339949116724139,0.4982016253692437,0.4366587268264956,-0.15819234860964343,0.4257993404186633,0.23925111493342002,0.32138287255984915,0.3932599174454637,0.5082663537789299,0.36853297755066045,0.17728463410347212,0.236499246418604,-0.2516102021823877,0.44552199999979725,0.338510749441054,0.1320676473625263,0.18819231976300788,0.414517549303046,0.28905053417699567,0.5681769378792153,-0.0022031470222263366,0.44348401925043623,0.032012012241869794,0.4015659124464476,0.3369952661959381,0.01594797082167609,0.40767480648801885,0.5115237981747832,-0.162102324796946,0.4269298119694686,-0.1133133460185117,-0.03991735686389107,0.497041467134717,0.6034822284139361
Thal_PuL_R,-0.06192205583909007,-0.5208861593453605,0.16165945814472613,1.0,-0.10727251738285148,0.14332767655575598,0.24465045943932553,0.010160216101149571,0.08929349479913092,0.2558085773847996,0.023403463539182035,0.4506798189012194,-0.009832234074571875,0.36534418664967167,0.19392079120226416,0.42566452542671296,-0.13208538552984014,0.4323717829774573,0.13148299571478722,0.1950629552747624,-0.30354461608148103,-0.25645240499841204,0.5710147983165726,0.11756219430352621,-0.31996903054048365,0.008470637575601419,0.3118349305009227,0.08826215713195833,0.10834278900387131,-0.33627981888179315,0.43337826907306376,0.42833964771607397,-0.1556339024349878,0.4500261521478756,-0.029729758000231442,-0.30664925958390166,0.499074473065335,0.30705236810404446,-0.26969555415295454,-0.03606323014476118,0.3988745931607758,0.2307108938057356,0.24638701701072116,-0.31680874037167955,0.3890747411417177,-0.4400946791166932,-0.220351324934886,0.31294402673309424,0.22889065646399623,0.3370322159602837,0.17243121664820202,0.5556853860524263,0.06314092231265936,-0.015447890646750105,0.21137997705784536,0.345746266325144,-0.2981545108092775,0.23705572323752055,-0.03895211343742303,-0.24090371414833903,0.1513602806755672,0.11422419849901336,-0.08316256070803388,0.3528848559084948,0.23017752536046018
Cerebellum_Crus1_R,0.8504808083104693,0.24947977179874065,-0.18437684295573997,-0.10727251738285148,1.0,-0.5202890033980119,-0.5328649512831481,-0.008883231299004443,0.043259610257737266,0.7188331909318764,-0.10829925510324626,-0.40966875357169663,-0.09475696076139016,-0.12979579737166774,-0.1606007635769371,-0.5254982356757044,-0.08388517005087276,-0.3535635855842024,-0.35230991970917985,-0.6184934473761753,0.8985192086692282,-0.2614861391403127,-0.40248671091038324,-0.5219278642677947,0.09886692286396959,0.08385582467208905,-0.4384458246512867,0.2887123489547024,-0.23106254425479295,-0.056338725044070594,-0.007010510490484647,-0.3000786904703287,-0.505880841887788,-0.5513358903813319,0.8720991169025919,-0.2257838042259287,-0.535997186961862,-0.46701250810785616,-0.6455429565239649,-0.675974746211754,-0.11819376256496292,-0.30277804603050607,0.1523943112665101,0.7092395143795511,-0.6800704373612563,-0.25599770469184674,0.5037741540674278,-0.3213746845228011,-0.39487554643416417,-0.39655514172702505,-0.03107776781280201,-0.34419386082429626,-0.37088046004503067,0.9017329985710408,-0.42430430181638495,-0.048264164837481235,0.7188574082979576,-0.46401492467407907,-0.15709609259085117,0.8945751349582725,-0.43361044918525893,0.5771357719579864,0.5214809012341627,-0.5896258020010752,-0.359345114428528
Rolandic_Oper_L,-0.19415876292730666,0.060440989393037,0.4024994899973934,0.14332767655575598,-0.5202890033980119,1.0,0.7538192186658648,0.1253780373792741,0.5403656865012754,-0.13995340428549097,0.5114092879000693,0.5338780660207051,0.4279449262714604,0.5827926866067497,0.35587555450218195,0.7377069957105306,0.4588857315543369,0.09425900178800958,0.5780308493191714,0.6117048451407815,-0.5127388127365576,0.5639089840881423,0.5624885526805756,0.634624749216827,0.44310915598995454,0.455902801957856,0.6788221170332682,0.14631975327337002,0.6262124538601904,0.1487859263805119,0.41318526507188846,0.3793228390641956,0.6647783607904922,0.6447630429896293,-0.31582825683060606,0.5096734882290279,0.47226950335747864,0.739486001171939,0.615220136810419,0.7533414885693839,0.408238225295562,0.5184154081249103,0.33022508866188194,-0.4134264685492224,0.7816235934161836,0.4306421223055412,-0.12365375463201883,0.6467365777141106,0.7419571358599891,0.40630565500213234,0.5803381993252396,0.21155055996937797,0.5984983038792258,-0.2895799180978693,0.6257215120156625,0.2177883084072382,-0.2213358239502609,0.7279987075614464,0.5691465591220253,-0.5509008931050935,0.8351505232293949,-0.15193636138997355,0.08886609621360257,0.8591498518548015,0.735260458270939
Raphe_M,-0.19083195933106883,-0.049564287694743886,0.3794387329422149,0.24465045943932553,-0.5328649512831481,0.7538192186658648,1.0,0.17919377602804257,0.4210870501855691,-0.15931863456657866,0.28781300581136265,0.5146416518193576,0.30267737619220114,0.5460276203640901,0.4098663182406652,0.7366040547865745,0.2185095685461725,0.3048599379296449,0.5312709643806527,0.6039166809717121,-0.5925213820914262,0.4032518271009547,0.6401680360787535,0.5283546799784943,0.20822357147780415,0.2776147145846825,0.7092892082249442,0.13959815522354477,0.40983539357634285,0.032637605992935234,0.4523408334604668,0.5154585423455599,0.6439985988321415,0.6196660969494786,-0.35074026939093805,0.3230706734370995,0.5161583373913455,0.6114376353780864,0.5566254653700463,0.6737368559270966,0.5342378448648363,0.4246948386427077,0.2917773673256205,-0.5382361835527972,0.793756044958585,0.23560332655173102,-0.05307898126253525,0.5730336139354602,0.7167994833539526,0.4218804796629867,0.3958287960455028,0.4140145630936977,0.5165860601832045,-0.30909262235599905,0.5318228522870238,0.17395260794295106,-0.25451062221144904,0.5934923825830728,0.46679073673290694,-0.5413272034756856,0.6652187600780028,-0.009423581057414521,-0.08689683562358536,0.7919585241553218,0.5411247444849998
Raphe_D,0.07428046186067787,-0.01147267815100696,-0.02619037487139248,0.010160216101149571,-0.008883231299004443,0.1253780373792741,0.17919377602804257,1.0,0.13139014937893514,0.14711439129041834,0.20239408267003584,0.110583347655676,-0.022216533250028484,0.1992014905200711,0.12144526778414577,0.19724991165191738,0.3727695715478235,0.23196970509103834,0.12829197438171336,0.5799056129105864,-0.003472517624436772,0.17215795380347593,0.21376693525137916,0.02441935182683491,0.18813207612926156,0.3539591185826042,0.1656129678883539,0.336393196385991,0.2526867350847649,0.2512519192190574,0.3239863540935591,0.03405231207016519,0.13103082194845075,0.13296151159987002,0.08983115473092146,0.12065042122191849,-0.15557051321898074,0.27734688251296274,0.07874303684382926,0.09467514585593104,0.2967857143423693,0.2482830999309414,0.3082803729827464,-0.12044609625753387,0.17750689501599315,0.11630081640859079,0.09564509510791634,0.29486835015227125,0.19106263836704354,0.11866859154249433,0.16632275407644023,0.24111890145136147,0.14080815528370746,0.12266996228660652,0.31529896621212694,0.27144686452181255,-0.07580427962386062,0.25829571975219956,0.11829256435636466,-0.04801241420980342,0.33417711837778835,0.00803567430324842,0.14852516441605818,0.23896916139805627,0.15244153285899592
Insula_L,0.17108850906077383,0.2984830541155068,0.2955194439535113,0.08929349479913092,0.043259610257737266,0.5403656865012754,0.4210870501855691,0.13139014937893514,1.0,0.2821979897533322,0.49064068794244337,0.33204761786864334,0.4270614268443558,0.5856398708866521,0.4541163495436859,0.3952880690500684,0.4834733576902564,0.0003347888157499092,0.5455833071506001,0.23210211148620932,0.01225565578785234,0.3258476063005935,0.32273337515571365,0.275424430176396,0.5193002729812378,0.633832062214047,0.3681941403783384,0.29700168986738956,0.5544271158916515,0.19894212645620857,0.23291772612854342,0.10268275384996686,0.3542177970176898,0.3530208675816364,0.12264168698215995,0.39956009834509487,0.2831893524594849,0.41128108676857844,0.2661174379110726,0.42892071534274884,0.45342339424002776,0.4191059523181313,0.452179284723587,0.04372770794667189,0.33461415591857063,0.24426153557053457,0.14025922416442638,0.5038147710923971,0.6293846248470977,0.2184210692780028,0.5995247713262353,0.12154165321649905,0.44036562974389704,0.23219151430357018,0.32991720770714184,0.4028717626344873,0.0026969579372890444,0.4589054693263286,0.6500953620961591,0.017354758474472785,0.5733853216487019,0.17208926216911796,0.312528015544134,0.5034276648079222,0.6057307666528354
Vermis_8,0.6689805857780677,-0.0016624613264199905,0.14929023438787953,0.2558085773847996,0.7188331909318764,-0.13995340428549097,-0.15931863456657866,0.14711439129041834,0.2821979897533322,1.0,0.013218698005097366,0.07570372641715091,0.07664518101783,0.41302704199056234,-0.07028280033879221,-0.01877397704877475,-0.005666503524930291,-0.18088631243885012,-0.16334296115538052,-0.22909016683118877,0.5155245130165865,-0.20094009342529565,0.027376241910180427,-0.21071495527444695,0.07550042930920821,0.30322673082522683,-0.027212887329614306,0.3969315494643918,0.006407336681620427,-0.09418776111591697,0.26122748037390964,-0.06426371256077909,-0.3020337315112598,-0.10361971768028681,0.7371901687314909,-0.18062198552561862,-0.1679209623931649,-0.02022067919073231,-0.5424300861085017,-0.3605910519173284,0.3742870646964468,-0.0572878147254625,0.43399684367937347,0.2316162686320398,-0.17235468200845117,-0.38050040727775797,0.38720594210071635,-5.3009046313585495e-05,0.0021920547822718715,-0.09181575387127226,0.3706166743183721,-0.01299822533206628,-0.21738227051873651,0.806249939594141,-0.10752314669597743,0.2746717121007948,0.3832856302257967,-0.16401312021909065,0.00758611943498922,0.5359778842198517,-0.040624734236242056,0.5583584398811045,0.4786591753800608,-0.04812732133070275,0.06838885299477944
