,Temporal_Pole_Mid_L,Fusiform_L,Occipital_Sup_R,Occipital_Inf_R,Angular_R,ACC_sub_R,Olfactory_R,Frontal_Sup_Medial_R,Thal_Re_L,Cerebellum_3_L,Pallidum_L,Frontal_Med_Orb_R,OFCmed_R,Thal_MDl_L,Temporal_Sup_R,Thal_PuA_L,Cingulate_Post_R,Parietal_Inf_R,Cerebellum_Crus2_R,Thal_LGN_R,SN_pc_L,Cuneus_L,Vermis_1_2,Cerebellum_4_5_L,Fusiform_R,Frontal_Sup_2_L,Heschl_L,Temporal_Mid_R,SN_pr_R,Paracentral_Lobule_L,OFCant_R,Cingulate_Mid_R,Vermis_7,Hippocampus_R,Thal_PuI_R,Putamen_L,OFClat_R,Amygdala_R,Frontal_Inf_Orb_2_R,Thal_VL_R,Amygdala_L,N_Acc_L,Frontal_Inf_Oper_R,Vermis_4_5,Frontal_Sup_2_R
Temporal_Pole_Mid_L,1.0,-0.2719610664324515,-0.28346199006620415,0.8749790035803503,-0.33775715347498103,-0.2862155024442451,0.14933680174934647,-0.6069779585022064,-0.004949163230647618,0.1331185565745364,-0.6302000991410969,-0.4477930518809473,-0.4551721711496567,0.4534972048603695,-0.16901407334473775,0.3115436487020299,-0.34614092379127454,-0.485396805548176,0.6671365602261449,-0.366114005947263,0.08660770599596312,-0.309057327461181,0.6618637478693596,-0.7037175461918926,-0.29462166159582137,-0.542246115164173,-0.4895392499826749,0.21632930591642024,-0.6589440973407682,-0.6414950242572276,-0.6249843433166207,-0.6461312020630855,0.7392013402006636,-0.48857960603098016,-0.4223264434847671,-0.5871539665189349,-0.39247507957062555,-0.2549218233467033,-0.43762094170099874,0.24632181836229927,-0.629990671020924,-0.2815472237724616,-0.5305884519931905,-0.46617812806233394,-0.6787364035148806
Fusiform_L,-0.2719610664324515,1.0,0.3364932892596214,-0.08579522642232137,0.17365927233242795,0.3198602607406985,0.12258689948438557,0.5373325649304674,0.19863416658884026,0.2577474476318909,0.5505002722298968,0.21117860505627997,0.27481972590793907,0.3593982500955152,0.40937226318801667,0.22127641270740464,0.4195074423594646,0.24418797057043312,0.0947483386046831,0.6670352332677966,0.4853744818887279,0.450484257901236,-0.02628831425405652,0.5579905391784803,0.5700537263065995,0.5356463431868429,0.2955179772821223,0.3901147303741772,0.35152499917403635,0.2541574602662219,0.3549980044461312,0.6546249542207849,0.17249331323477254,0.5612778076468264,0.16619171775162264,0.6217162599810933,0.42227067011030933,0.3080655338402735,0.2860798956461039,0.5707658872565402,0.47337475311026966,0.6214453175082949,0.3867353811228113,0.5330737813849848,0.4938183625758528
Occipital_Sup_R,-0.28346199006620415,0.3364932892596214,1.0,-0.24964034839642543,0.8872342771253593,0.2222454623144416,0.45010091477552827,0.5840012332076111,0.31917975080967637,0.36007662915694083,0.20677016140623936,-0.03876672566903904,0.056996790279976325,0.25110150085152916,0.6948156573710419,0.26561216227631235,0.6451042592549965,0.8608327851130874,0.10699944806897911,-0.044943443510037186,0.1019788849923794,0.9146270280652546,0.14941092969460873,0.34719363049840885,0.17157434952379325,0.5078804976856501,0.6733817837821877,0.5815856474880099,0.27332163692880523,0.764427030488792,0.1271505735516307,0.6245351418092362,-0.15615514032165798,0.42888124189808224,-0.04571417573091451,0.21656509026026122,0.35300943354353326,0.08340330063176844,0.10550414166582295,0.4368402115937527,0.4211845994720718,0.23052000161000866,0.38568135688875055,0.3983225865335759,0.6835806054975077
Occipital_Inf_R,0.8749790035803503,-0.08579522642232137,-0.24964034839642543,1.0,-0.3923544446233552,-0.2322538812428635,0.19625280304179984,-0.5283248640400758,-0.02440743998875524,0.044931758625033145,-0.5599939801885061,-0.42401299198754183,-0.4792306404214485,0.5307765593734299,-0.15810314357656005,0.30682435615921,-0.35438057226315084,-0.49973094908769927,0.7169464755468128,-0.20828042489958223,0.216161632763118,-0.23127628714636161,0.6257486095312146,-0.6574930311924855,-0.23101887844372204,-0.45465587545552855,-0.49190374909784995,0.3195158310241802,-0.6006773214552372,-0.6199688367029543,-0.609704712435612,-0.5387554836035311,0.8367969293836929,-0.45454478381640656,-0.4519441596909996,-0.448092428769924,-0.3814261820457873,-0.17080473119042666,-0.3761294653401996,0.3265334749709224,-0.5042805713696998,-0.1723597019840672,-0.5919355852362462,-0.426010141624291,-0.6622519834222513
Angular_R,-0.33775715347498103,0.17365927233242795,0.8872342771253593,-0.3923544446233552,1.0,0.2697298689447181,0.3469905937987711,0.5368719928535282,0.3314090317550245,0.47800051287176815,0.22383578386882272,0.05737338061002187,0.11952493834269341,0.16659366221130298,0.6896194325323166,0.25188838410192566,0.6533880485902883,0.9524837871776876,-0.09308871500328272,-0.1704103654919181,-0.11213660392088086,0.8233810137260056,0.05089514777972029,0.4088875558302025,0.21560967058218,0.43358552106561216,0.7078229972314215,0.45620917232641006,0.3811328944034517,0.8353080145219207,0.20415638611308187,0.6147798931794928,-0.36093728739841086,0.4502372846957406,0.034477842363711306,0.20665329180392036,0.42645766058862183,0.09783278475112497,0.17008273851862662,0.2398843441581315,0.36863689343956924,0.0671506677601626,0.5164568443386115,0.39528914110675634,0.7234639957137713
ACC_sub_R,-0.2862155024442451,0.3198602607406985,0.2222454623144416,-0.2322538812428635,0.2697298689447181,1.0,0.3814514483603767,0.5865420878731185,0.20063772547149036,0.17125142703924812,0.3367647299131941,0.3899198240364391,0.3493112851780465,0.23156997874691326,0.5222990085682812,0.18257759528227924,0.5321709044994555,0.22632857383127275,-0.04129942613685485,0.36630498509094617,0.12124460984520198,0.2512629006230881,-0.10727049587179659,0.4671443413274637,0.4220368468836986,0.4573404421869397,0.25887087365746864,0.419796318431784,0.22818462328008413,0.3060059754655378,0.28004439785420693,0.44873037111823916,-0.20539603147134064,0.5236706473254502,0.3696257672314438,0.5164872401374172,0.7207757209953277,0.3678031760466643,0.41885751939626054,0.2040789652563356,0.4316568328534234,0.09746131002294373,0.32163635620728365,0.41755140844467104,0.3409214887541655
Olfactory_R,0.14933680174934647,0.12258689948438557,0.45010091477552827,0.19625280304179984,0.3469905937987711,0.3814514483603767,1.0,0.2919895211265025,0.08100334653754444,0.2934764642946923,-0.032257822165424076,-0.3109868364033516,-0.3595184685450862,0.2968542051186844,0.5796113194459726,0.31885307654084044,0.4544728914124102,0.259266039427875,0.3542371483177215,-0.060046840373513315,0.26809450650945615,0.42498420761068834,0.45052284351652183,0.07934770881367653,0.08769156295914272,0.43529476870051775,0.2532566390228281,0.5435481544190666,-0.053083191879965505,0.25783522971117834,-0.3313408394524392,0.15365925161066818,0.20504042745027312,0.18560352423148493,0.030956075003672794,0.10111370031620803,0.3360321225287046,0.05061790968989884,0.08929147312801179,0.4391861612188434,0.19275621335284246,-0.010730454883050015,0.12554657010165923,0.2927295937912098,0.22902536964656514
Frontal_Sup_Medial_R,-0.6069779585022064,0.5373325649304674,0.5840012332076111,-0.5283248640400758,0.5368719928535282,0.5865420878731185,0.2919895211265025,1.0,0.17794802812161675,0.2279326225627797,0.6748272123572211,0.48710084610820054,0.46948596042855717,0.011927720917506518,0.670764892681998,0.18971346132738887,0.7826700159034676,0.5546803853552413,-0.2298124670703914,0.4094335337173357,0.3200623164855902,0.6228930311378849,-0.18066526178199194,0.7897509156511087,0.5500413103223274,0.8297119074169009,0.6675242753461123,0.39289486346236624,0.6084005647554533,0.6919196670053028,0.4684565455826906,0.7965361597155804,-0.3391934922018926,0.7931097964427024,0.4516489882971311,0.7128141345239406,0.6366962333929959,0.47681434138524553,0.4443875999875503,0.29360340670206464,0.7789399428646162,0.4918418287864402,0.5351332918772163,0.7361081948674149,0.8278473381742678
Thal_Re_L,-0.004949163230647618,0.19863416658884026,0.31917975080967637,-0.02440743998875524,0.3314090317550245,0.20063772547149036,0.08100334653754444,0.17794802812161675,1.0,0.20035036682266724,0.12061249779682919,-0.16650375840542997,0.13725777353018173,0.31278634870430166,0.2796921127305684,0.17613816909364946,0.23346502061145782,0.2789209270942605,0.2704207668210034,0.07415609057795822,-0.15605040686928182,0.3171089488389726,-0.15002907708541088,0.11801242185805472,0.18283971362187662,0.07742463710113683,0.12543037891670814,0.344909787763142,-0.035383984100356265,0.23928911816199272,0.10590108308930057,0.24183831306725478,0.017124407065375147,0.2828155203273991,-0.08301329929225783,0.09347638180210116,0.21748132315219826,-0.08385898056775644,-0.3259554307190164,0.28583023547563163,0.17397478462192673,-0.019429434871391146,0.09892244503397507,0.11492205816360983,0.146692716680508
Cerebellum_3_L,0.1331185565745364,0.2577474476318909,0.36007662915694083,0.044931758625033145,0.47800051287176815,0.17125142703924812,0.2934764642946923,0.2279326225627797,0.20035036682266724,1.0,0.21837257697211918,-0.11056669560394106,0.009361177170211397,0.33282348245749205,0.5417551348217007,0.41854636465703493,0.4371401438372743,0.43041710560376156,0.18248962618487952,-0.11108246563185804,0.03413273383788619,0.37966255617684214,0.47215308648921206,0.36048524396622156,0.4189709146210461,0.28488038186496156,0.49859485914154555,0.4426169561708609,0.18585317693576306,0.4215058046986784,0.1295056264982898,0.4043058164756529,0.12518615764487537,0.3569760435162846,0.08724212748285042,0.20332676372922354,0.42645781993633425,0.13918845267806,0.2668587838643283,0.32989170565331377,0.1856870803524544,-0.017768498650679636,0.3194936208344695,0.48661427789843564,0.38378695744425195
