,Raphe_D,Cerebellum_4_5_L,Calcarine_L,Thal_VPL_L,Cerebellum_4_5_R,Cerebellum_8_R,Frontal_Sup_2_R,Postcentral_R,OFCmed_L,Heschl_R,Cuneus_L,Vermis_6,Thal_MDm_L,Frontal_Sup_Medial_L,Vermis_8,VTA_R,Occipital_Sup_L,Rectus_L,Precentral_R,Cerebellum_9_L,Precuneus_R,Insula_R,Cerebellum_Crus1_L,SupraMarginal_R,Thal_VL_R,Temporal_Inf_L,Temporal_Mid_L,Thal_VA_R,SN_pc_L,Thal_AV_L,Occipital_Inf_L,Frontal_Sup_Medial_R,Precuneus_L,Hippocampus_R,OFCmed_R,Lingual_R,ACC_sup_R,Temporal_Pole_Sup_R,Thal_LGN_L,Thal_MDl_L,Occipital_Mid_L,Thal_LP_L,Thal_IL_R,Vermis_3,Amygdala_L,Thal_MGN_L,Frontal_Sup_2_L,OFCpost_R,Thal_VA_L,Vermis_7,Temporal_Pole_Mid_L,OFClat_L,N_Acc_L,Cerebellum_7b_L,Thal_LP_R,Amygdala_R,Insula_L,Fusiform_R,Cerebellum_10_L,Thal_PuL_L,Thal_PuI_R,Frontal_Inf_Orb_2_R,Temporal_Inf_R,Cerebellum_3_R,Thal_MDl_R,Hippocampus_L,Vermis_1_2,SN_pr_R,Frontal_Inf_Orb_2_L,Thal_PuI_L,Red_N_R,Thal_PuA_L,Heschl_L,SN_pc_R,Frontal_Med_Orb_L,Thal_LGN_R,OFClat_R,Frontal_Inf_Tri_R,OFCpost_L,Supp_Motor_Area_R,Temporal_Pole_Sup_L,ACC_sub_R,Paracentral_Lobule_L,Thal_MDm_R,Thal_IL_L,Thal_PuM_R,Putamen_L,Vermis_9,Thal_PuM_L,Vermis_10,Parietal_Inf_R,Rolandic_Oper_R,Parietal_Inf_L,Cerebellum_8_L,Caudate_L,Cerebellum_10_R,Precentral_L,Thal_VPL_R,Parietal_Sup_R,Cingulate_Mid_R,Temporal_Pole_Mid_R,Red_N_L,Putamen_R,Cerebellum_6_L,N_Acc_R,Frontal_Mid_2_L,OFCant_L,Supp_Motor_Area_L,ParaHippocampal_R,OFCant_R,Cerebellum_7b_R,Frontal_Inf_Oper_L,Olfactory_L,Fusiform_L,Thal_AV_R,Occipital_Mid_R,Cuneus_R,Paracentral_Lobule_R,Thal_PuA_R,Postcentral_L,Frontal_Inf_Tri_L,Pallidum_L,Occipital_Sup_R,Angular_L,SN_pr_L,ACC_pre_L,Raphe_M,Temporal_Mid_R,Cingulate_Mid_L,Cerebellum_Crus2_R,Cerebellum_9_R,VTA_L,Vermis_4_5,Cerebellum_3_L,Thal_Re_L,Temporal_Sup_R,Olfactory_R,Thal_VL_L,ParaHippocampal_L,ACC_sup_L
Raphe_D,1.0,0.23896916139805627,0.18813207612926156,0.23122235779816194,0.19755394583576064,0.07428046186067787,0.14497471321475305,0.08520193596954968,0.24111890145136147,0.2912351458560058,0.17215795380347593,0.16632275407644023,-0.01147267815100696,0.2526867350847649,0.14711439129041834,0.1496856092830696,0.11630081640859079,-0.15557051321898074,0.09467514585593104,0.12266996228660652,0.0915739616357109,0.11452952450557202,0.053488747004052775,0.13103082194845075,0.20277020579975163,0.23467852365325195,0.14852516441605818,0.16573454146170824,0.42731223494721493,0.18229952235426095,-0.12044609625753387,0.25829571975219956,0.07858919052068257,0.04579102355355082,-0.12188588465862625,-0.05045012317926373,0.14290164223858948,0.008839706946965838,-0.022216533250028484,0.22483545162489066,0.11183986810186851,-0.054678825631733825,0.03216201459702123,0.110583347655676,0.31529896621212694,0.14826930572553548,0.23350042750559327,0.13467007229658262,0.197093976151203,0.03764075875444615,-0.16330009679520938,-0.02116785237209944,0.2283783317475093,0.05382672462546103,0.03405231207016519,0.44218233450659805,0.13139014937893514,0.1992014905200711,0.2967857143423693,0.12062422135064718,0.11866859154249433,0.09483786618177484,0.11233145589511048,0.3539591185826042,0.1044371155487625,0.3344323787440186,0.024367606323629977,0.5799056129105864,0.03313755450231197,0.00803567430324842,0.02441935182683491,0.31816464730425004,0.07869117984153057,0.09389948874615678,0.23196970509103834,0.3239863540935591,0.12829197438171336,0.19106263836704354,0.281154122295865,0.17292095461450052,0.045858378766025665,0.12144526778414577,0.05069133666498679,0.13606070677980237,0.09564509510791634,0.13296151159987002,0.2205574458595998,0.06606740469421656,-0.07399533818554264,-0.02619037487139248,0.07874303684382926,0.14714190751801462,0.06638863295291367,0.08983115473092146,0.3082803729827464,0.27144686452181255,0.06152574819375363,0.1017924120614009,0.04933597793631296,0.18015428879006792,0.009191015081471009,0.21855687457989714,0.17750689501599315,0.17912270336010505,0.1656129678883539,0.19256503955310125,0.19515517715208666,0.11745841298882058,0.17563867757104634,-0.16682051726218367,-0.07580427962386062,0.16924965465023972,0.3727695715478235,0.34396339076464105,0.336393196385991,0.08265349851511807,0.12065042122191849,0.0791344065167769,0.16744714545497408,0.09569495829644477,0.24892838316114474,0.27734688251296274,0.05872163742976228,0.06543151107272158,0.09084849271483629,0.21376693525137916,0.17919377602804257,0.10747143954925659,0.33417711837778835,-0.11520572507635933,0.07992755535082537,0.2512519192190574,0.15244153285899592,0.024496022120137295,-0.18555541568698306,0.11829256435636466,0.082762613264397,0.3245592743684101,0.19724991165191738,-0.0632985113022344
Cerebellum_4_5_L,0.23896916139805627,1.0,0.2872923288476172,0.4087197007698499,0.8476917167612489,-0.3053467675561029,0.8404699912646982,0.6598302172559989,0.4256399319954702,0.3620247033972428,0.42897831274124787,0.608166532222255,-0.10325931879485727,0.6607848047165862,-0.04812732133070275,0.2749988479231927,0.25006651943769637,0.6323464442012262,0.7123556318715631,-0.31870337277889316,0.6629945887129948,0.6478226465269883,-0.5852014977263194,0.5723321908998837,0.10189743258266432,0.02963275755828226,-0.040178114908305626,0.6162997604181413,0.22080099872459305,0.2696275304639057,-0.571613232313984,0.7897509156511087,0.6546656032141196,0.8312602740457067,0.48070173082574164,0.2805484498248013,0.5965097014518381,-0.41425822976934895,0.4702669427489755,-0.11308287830716467,0.006461634232090039,0.21770720910337593,0.5116529383522312,0.7216249349098949,0.7273777575609855,0.08184081626483246,0.7482076434922023,0.5670844408585224,0.4996158105250686,-0.3900904575991229,-0.7037175461918926,0.7055037394362735,0.4145112421707002,-0.449280615808286,0.41688629900595625,0.4608363575824162,0.5034276648079222,0.7578875402358487,0.6244044711131963,0.3210169381820872,0.6045365748791174,0.6069028109879231,-0.06737538252130522,0.46134436886456637,-0.2821870078983382,0.8158147501521935,-0.3269160758383283,0.7340723884821881,0.48486933664838383,-0.18205950774568713,0.6684098432635657,0.1361387261561859,0.6493483773208161,0.21886665455225765,0.2933831386924565,0.5085208075662909,0.6354977256604893,0.7381731765941961,0.5247831059028606,0.7321183036364075,-0.4697706625870369,0.4671443413274637,0.6773517634449565,-0.0018486874882467,-0.1354855881222464,0.7987519881896398,0.8381821789304122,0.30763046269188776,0.10541654376121362,0.497041467134717,0.5062341616455873,0.6850040951861729,0.555318314670565,-0.3973305206505205,0.4463297623678206,0.4803499515647363,0.5331657935539548,-0.29332901112923276,0.39709575044354034,0.843220407994459,-0.6221523660416907,0.6921163308249003,0.8940649489513575,-0.07505791789326245,0.7298513329678907,0.748355762746669,0.5005615304025071,0.7712736878395905,0.750036888170945,0.6867578923536605,-0.3976479697238818,0.561701438700633,0.4054502372422495,0.5579905391784803,0.15649184858311793,0.08750757028406958,0.3771060733285929,0.5256130263698195,0.43688697534831805,0.529318766905261,0.8010310998864691,0.7932128368898339,0.34719363049840885,0.20133607893569383,0.7058081716715857,0.7398564727708095,0.7919585241553218,0.1632774021824096,0.8294097917055778,-0.38151433616968516,-0.3796915638114112,0.06953907304630542,0.8236358022059641,0.36048524396622156,0.11801242185805472,0.5469390093054032,0.07934770881367653,0.5239606593127437,0.8825317532432586,0.5453168129485959
Calcarine_L,0.18813207612926156,0.2872923288476172,1.0,0.45374038336464434,0.4485890871485036,0.34604275983048083,0.5397582365332787,0.48030928968930514,-0.28913771557882356,0.5607529715451792,0.8014062567159236,0.5416011624132572,0.7049057146322392,0.6454379027677478,0.07550042930920821,0.3849601281870803,0.8105878188710328,-0.10216420084558621,0.4634246863421416,0.27492163777008544,0.5885535278886114,0.44037182820708487,0.18250887547184572,0.5877155614435758,0.634769354350367,0.13256682778538348,0.4900715954093194,0.09380707973328777,0.3737184561947564,-0.134702709393154,0.3081752505595424,0.5140652769176998,0.557971926576845,0.3907068659202278,-0.18264029449103855,0.7955574009505776,0.49655727222517415,0.2123294838822704,0.4696602031933301,0.44794142986686863,0.721361895192937,0.6389932120180103,0.6119275736512796,0.16987701639781025,0.39335506398788955,-0.09007357311164851,0.57840548487512,0.21381252714845722,-0.366249693293201,0.32465511373171646,0.03051919465106443,0.12608345072632843,0.2954477462891992,0.005052771579724801,-0.10740528025752656,0.14846438482380692,0.5193002729812378,0.3301270920404387,0.07325971127900278,0.6517846307501781,-0.022879739554187494,0.07491209451884892,0.14988367212563916,0.5932266890185082,0.5558981360343226,0.3556701099450847,0.488379030061581,0.19461175161379796,0.07267346195026794,-0.010467098175397283,0.4695643070940905,0.45362534067168064,0.5435952899169815,0.36172933780243666,-0.26803142432368043,0.03717465671762327,0.32037428693239345,0.27894313358754663,0.1892744193922857,0.534403864124119,0.03680750702404799,0.2030982765516882,0.5199099733035816,0.6430591318774326,0.37587716660125486,0.12268926668245739,0.24674950069380058,0.12428941334795314,0.6618620923546534,0.46113630883307294,0.5454198672642356,0.3991087520323498,0.576987065651781,0.15538360150595162,0.3583954665212907,0.1604574063517253,0.31891976152522483,0.5451996058770816,0.41287613189462047,0.5043938415368072,0.16246368796442814,0.4708438363072694,0.1230308410244975,0.5154795321733667,0.13307459581365835,0.5527451116062204,-0.133819305784489,0.5299458303120864,0.22097091321802334,-0.0743368250711093,0.34104103255545143,0.46459290298912237,0.6080961389669526,0.5056278529345901,0.21549722468160837,0.7689919434845085,0.7740577726677252,0.5892215080720598,-0.2847508181347609,0.6377991835184782,0.327490575148568,0.21115276401669766,0.7672482016113841,0.7430547805706271,0.1974654602108578,-0.12030003684954407,0.20822357147780415,0.7241129775516598,0.5174633162192279,0.4039512998511778,0.39245001132561536,0.4131398975812946,0.5327602251962623,0.5046439956710085,0.2166450158775232,0.7155537104359511,0.5975795321100157,0.08611584685985704,0.21189375233436006,0.3297661678536552
Thal_VPL_L,0.23122235779816194,0.4087197007698499,0.45374038336464434,1.0,0.4317951854712137,0.11341580928930996,0.38711790480798447,0.09019560472230753,-0.04213262412370979,0.4555464813988468,0.21856396442923848,0.5362230599066076,0.21439352033225378,0.6652642523115829,0.2684109250263095,0.37857843885383247,0.23497423231091424,0.1694130549566147,0.16105961919892992,0.2724055150007816,0.20956477507247184,0.5982239278190821,0.24342882616680933,0.04230589421215834,0.697605863542127,0.36630867349029783,0.5397625280839099,0.22869549591685281,0.44284555033543177,0.5216793714673843,0.26413697247241813,0.4496225694995745,0.09891017763188945,0.3982970362043404,-0.0031090910842727247,0.33938167597934155,0.7714725027071239,0.3592507808638049,0.5278818602674699,0.30135102006418407,0.29797488258130506,0.13125287590054222,0.30867012455824205,0.08280166875019343,0.3558423417764735,-0.0886388036373287,0.6192276005935017,0.2725703571017532,0.11346086810998997,0.15630709194355263,-0.01497166074034825,0.23969709540441225,0.3962123770285191,0.19649587713316194,-0.08452157042549065,0.15406621698780418,0.5533299879679862,0.4678906911801197,0.3330763537800921,0.513499081190662,0.2642329731653333,0.027024609391439657,0.1674383370478377,0.4995951255511919,0.4120732591987917,0.5983592244500271,0.1767190273430075,0.16375374810352497,0.08427773166813253,0.06452780253264961,0.1633009384896988,0.4577208510214969,0.2605333869904788,0.30507578067237995,-0.059489031325214055,0.4294092584585797,0.4731760884974202,0.2011621257193154,0.24092337494507027,0.27221477486965506,-0.03093618622086915,0.3010325410434496,0.10836130795146799,0.38141569644445733,0.22974088055014538,0.21507068017115105,0.37287289708473076,0.07321299545564029,0.07584107827407753,0.08261518011993965,0.042614976914351774,0.48768573296015816,0.32420054490902767,0.24841227750941433,0.6547031384113742,0.5621870195217535,0.47151597471371054,0.5889291452655342,-0.028171310615919685,0.3112094447532365,0.20604528616859527,0.1794541722286772,0.1727517652916744,0.5600801153726787,0.04548115004684096,0.5170883561659175,0.12409006227146528,0.25662928888641273,0.5229011403096051,0.05965931877350405,0.05176393689018322,0.618199952781316,0.5785599674775436,0.5784138286299438,0.4728617963100659,0.14794910189025234,0.3302797968289378,0.20993367106458585,-0.06210854731907852,0.5351977673858842,0.39228912957006684,0.408042454333107,0.21585667215439833,0.45504185540416797,0.28509064248644234,0.23134736613781592,0.1239827985696217,0.24395099253370986,0.46500108528189615,0.1299215639047446,0.26803036743178615,0.2107910273587215,0.5650606680428025,0.28749311259797977,0.14046067927501188,0.424974985478755,0.3721366854612661,0.6267919538275893,0.3680180295669279,0.6516501766579295
Cerebellum_4_5_R,0.19755394583576064,0.8476917167612489,0.4485890871485036,0.4317951854712137,1.0,-0.0838357821811921,0.7313764628541698,0.5676714312810422,0.22120806160638445,0.3088645958985253,0.39581321815062764,0.8327584500709665,0.019098825603745942,0.567660197411453,0.17524933746762286,0.21695605942060084,0.2503781643266578,0.39980625579570206,0.6483084885177924,-0.04780460213217773,0.6620488353148349,0.6203130327742734,-0.31199676200513604,0.5100726775977025,0.1786262754157611,0.10479215281796972,0.10644988167853249,0.4418695447217786,0.23418110917149912,0.2795108512588891,-0.3406467496921865,0.6079767070142719,0.5320012937803801,0.6744203079907745,0.24097747513481405,0.5691425581896441,0.5557227244322995,-0.21435650756980298,0.4103829142351233,0.00166573680021995,0.06861898258473738,0.20783971883429367,0.5135621350754087,0.6495694409453269,0.6181795706006435,0.10011812971026023,0.6937820821176993,0.4260826306649435,0.35504097396148404,-0.03134172926798777,-0.4333580191224368,0.6074543262543902,0.31130706952860204,-0.22802738936045178,0.23202751968109817,0.3864957529586794,0.5906604035163713,0.7987192957109448,0.5276922169964501,0.29746914562140303,0.4319906348829075,0.48917856582945907,0.09446477303057166,0.6649380303924297,-0.053818036457316365,0.6837333044056085,-0.00557886799570485,0.5877036563334478,0.3997818947087346,-0.1859722654168688,0.6414830361982748,0.22163648485058465,0.5949895546632715,0.25398887653961993,0.015430451067424689,0.3416357411366963,0.5016981082817938,0.7053347824855508,0.4246377063124383,0.7294111218285236,-0.28818287530938375,0.30326125699468703,0.5900764217452183,0.12707034495947445,-0.039247214362430914,0.6044363480569275,0.73423445132301,0.5086981914964195,0.1359616334958157,0.671230053332453,0.40868876702035717,0.7305495226924139,0.5089023915775659,-0.1478787578146983,0.4503140985997627,0.4364676314020152,0.5913046045952384,-0.11807681517023251,0.2607955130510085,0.7371398940684042,-0.38020636128107055,0.6074865367110903,0.6779626541046347,0.19508359761154312,0.5489589610196387,0.7368875391785419,0.3682965646233588,0.7139871999060737,0.6918231552827651,0.49528989120535394,-0.20887061723708347,0.6405342309236888,0.3392432852300388,0.5702007493462756,0.173594523086041,0.1632369161073802,0.4892782799729259,0.5915964535889144,0.3593952620483607,0.5098218432621257,0.7496222337008249,0.6986360265973234,0.293472813655201,0.2321494981287773,0.5153676714043407,0.5162138529793415,0.6086274554180341,0.2793440796440802,0.7739835581128792,-0.1164618330858176,-0.10256134989192901,0.19863609943418772,0.8824712158811122,0.5485412615882727,0.14384359669539057,0.5542604505016392,0.10540359198182174,0.41724340012395694,0.711937513822776,0.5353290284481629
Cerebellum_8_R,0.07428046186067787,-0.3053467675561029,0.34604275983048083,0.11341580928930996,-0.0838357821811921,1.0,-0.38074882870495735,-0.36244856619485766,-0.2615497157459567,0.29580422033699466,0.08103954150065532,0.1548519313833349,0.34820822450141403,-0.022008646530684906,0.6689805857780677,0.004428958259849092,0.00904935168853712,-0.3788436692420291,-0.40187233607472034,0.8837255973839718,-0.24415308272405398,-0.06599861106788749,0.7589000508582924,-0.16032237331665175,0.4046879218861089,0.5278161998848196,0.6035330875346225,-0.04173225933363064,0.39319274940547405,0.15383109338276374,0.5666346531531684,-0.1791927405653139,-0.35801028159061965,-0.1466069932439699,-0.29915056347357416,0.29321944870770583,-0.05621269811652347,0.6713964234134268,0.03707926201581394,0.5422223888036919,0.30294836450644935,-0.1569093234347744,0.07752295099291029,-0.15483410230455957,-0.14841930742174872,0.2279135683979413,-0.13588145101566168,-0.07462953310241081,-0.11726212698141822,0.8340433469937477,0.5520876539342681,-0.14466219122130397,0.10163767976248879,0.776492380216101,-0.09245057627281267,-0.019986878639209695,0.17108850906077383,0.046912117246426556,0.027962842489235525,-0.14952175183822441,-0.2815063091597454,-0.11014741600125681,0.72428014128859,0.27696314478738865,0.4767436083427521,0.018380561475381044,0.5048073791348282,-0.42405621349386635,-0.14096731975607593,0.5974843079110543,-0.1768804288151117,0.24023826679388474,-0.32047829817895773,-0.15102966567448206,-0.3068087088383912,0.19763371985018593,-0.18376253502542775,-0.13386324888608692,-0.047278331382096875,-0.23352527700375544,0.543766545481126,0.01443176056572408,-0.3459955824439851,0.46763230678808704,0.5706982088496143,-0.3045248337175785,-0.04774633760037099,0.39488685444150384,0.06941135628128713,0.08028577916985981,-0.34439929217245396,-0.09277935162783299,-0.33082552929018144,0.8321591848077202,0.26884632050250834,-0.05255994075278452,-0.24923621772272223,0.45185780974609047,-0.4227788184213876,-0.14688542923864142,0.6256540942770896,-0.38223335562435873,-0.3943543305540709,0.7378056266970655,-0.13198793183413235,-0.0998714195681404,-0.25025695573164963,-0.2645693948580053,-0.0031507345358671294,-0.31461930644221237,0.807924046187043,-0.06556676622691338,0.03899710901600603,0.2822726565586725,0.36664253655527745,0.09427092360652073,0.07027030345410978,-0.23010794524049197,-0.17809113330987494,-0.1493964723283593,-0.09530929239385555,-0.2566452381678606,-0.011466356970969763,0.00557247266916203,-0.34966900955546,-0.20587869444509038,-0.19083195933106883,0.5460942691252525,-0.14891080978544796,0.7824579352836084,0.8873037689829025,-0.020583947195170926,-0.12167877309431224,0.027632280446243933,0.053534929812769236,0.08871828727361286,0.297528055808193,0.1537626520558669,-0.24763340642624324,-0.09635943146872249
Frontal_Sup_2_R,0.14497471321475305,0.8404699912646982,0.5397582365332787,0.38711790480798447,0.7313764628541698,-0.38074882870495735,1.0,0.8527126805549986,0.15760440111893573,0.3898806678738126,0.6935879626767827,0.5548154557708381,0.17835552731248042,0.7526725432997041,-0.30856217601118874,0.40099475178322336,0.6050403606455051,0.4855701663879886,0.8822464642992713,-0.41831369355284403,0.8743354860950109,0.6529607469163793,-0.5787308918408908,0.7811928999277772,0.19427155080904834,-0.10087162478220175,0.026248504805305738,0.3849702707178544,0.1274740798742612,-0.04068616020819573,-0.4332303245356493,0.8278473381742678,0.8772684621952146,0.7323002071764798,0.31708153551638274,0.45181591829654205,0.6333265032765244,-0.4667285377434508,0.4643127832810213,-0.10078009462509524,0.2984502602604575,0.558459158080027,0.642675007185013,0.5561738330469107,0.6658492662590021,-0.1567689260104278,0.8234120604842834,0.4502793566441347,0.12395843304755227,-0.4216732653805399,-0.6787364035148806,0.6083296685408429,0.3644691357969547,-0.5773552799759322,0.2829354847661741,0.27830245291626127,0.47826611297547034,0.5512311219086485,0.3852996907271338,0.6123807291037013,0.42072188857095966,0.4669871142937879,-0.2751836773160158,0.4373360766159441,-0.07322471612790636,0.62174857055219,-0.1804522099355622,0.6615470541046647,0.4220964670923874,-0.34621537346673864,0.7692254152344145,0.12043486516400512,0.8139292613257373,0.32135013361158377,0.1229236210487338,0.2523812953640848,0.5799483937898103,0.6518013374018147,0.41715256307390564,0.883915121091699,-0.5311651632039133,0.3409214887541655,0.8725792323894959,0.1978799066663822,-0.13433650630155988,0.655826343941237,0.6571057724570585,0.10266239632415823,0.39431318154630157,0.5173758363982494,0.7873651259431073,0.6642317838428292,0.8087203826691983,-0.4776307215452656,0.30072563632751825,0.3145718231858314,0.6068981939797997,-0.078474392923968,0.6871897772147654,0.8716356019653307,-0.5967741087081099,0.8348076344847074,0.7513157545247997,-0.10542588810045947,0.5541569337022955,0.7865768890186301,0.2819734098879506,0.9109071977595176,0.4982869090776132,0.5336038734388397,-0.38370804368857825,0.645223044140874,0.5297206615324613,0.4938183625758528,0.05276313129216821,0.44932162508789986,0.6740277075593469,0.7911403913151644,0.1371055900021331,0.766440463608047,0.7218861317784768,0.6769086205165267,0.6835806054975077,0.5336040936277677,0.6480877368446452,0.41247257358993045,0.6833020392179447,0.2557848504347704,0.8513357727156591,-0.3492083147513754,-0.3948770555707197,0.22767288163441604,0.7837024794453123,0.38378695744425195,0.146692716680508,0.6723446199664022,0.22902536964656514,0.24342727686727872,0.7407267402284637,0.5172480470724709
Postcentral_R,0.08520193596954968,0.6598302172559989,0.48030928968930514,0.09019560472230753,0.5676714312810422,-0.36244856619485766,0.8527126805549986,1.0,0.10319336289893793,0.4028241601561219,0.7245545038179617,0.3494297699119954,0.33903596761027016,0.4938061747747022,-0.4279454364735508,0.3794506018974662,0.6201453856416792,0.367715500204758,0.9527298655500728,-0.48272618536379974,0.7814777240484058,0.48027093630668793,-0.618107714788189,0.9162884476756373,0.10323451295517555,-0.24843358413486694,-0.16611492811017445,0.38937710026455247,-0.04636822178299501,-0.2847034038437223,-0.5150864259943607,0.5925531533814601,0.891811044325897,0.5640228921311934,0.23271775101550568,0.4766736977523249,0.39370494142000845,-0.5809993333301285,0.40341948089494367,0.032403520718391,0.23860366715363768,0.7384773505264489,0.5520190929409287,0.37511406584132045,0.45625459315320493,-0.05637874680684253,0.5169058536067415,0.38220444166661055,-0.09142064754569047,-0.4170352107415817,-0.5622425015461044,0.4652230977417848,0.11102055017109234,-0.6762531464911782,0.26937602171042485,0.1857080361825143,0.38119790184465313,0.4202085129072086,0.17970606063068142,0.4928854067114633,0.167909970393263,0.42916375676951546,-0.27629442331821563,0.19471603545142654,-0.10810088819564138,0.4521748126342134,-0.16310027561035187,0.604050543540606,0.3259510142401979,-0.2520289212864979,0.6628563240802654,0.16799860117318063,0.7700037644897003,0.37586912233491243,0.05521107332304528,0.05418482145260909,0.5360141247962403,0.6801180103221954,0.3709731647639467,0.8201543002421775,-0.379393146992691,0.27551509940671115,0.8795534269345259,0.1758417846144828,-0.0010439591222725936,0.48987239339995353,0.5027787949027771,-0.011294605169062577,0.6137031330097775,0.4457212355567838,0.9397576751756815,0.5367128247964659,0.667801282134174,-0.5456067548662259,0.04175616822914804,-0.051293051881662964,0.3120254825306381,-0.19591858162976714,0.8628561235210953,0.8246821958924975,-0.610738909386935,0.7844194087354935,0.6891322189050824,-0.18986953677846338,0.5541972168322427,0.48508065193068817,0.18165016952892515,0.840434089850832,0.2617220917131565,0.4659542429009803,-0.29044606509886256,0.3485607299155201,0.30961138818896783,0.3502070389773408,-0.042091098932603675,0.5959080403689865,0.6362888409708175,0.7564748155948684,0.1755812100143267,0.552093697380929,0.5753269497154777,0.45350393623388324,0.7430133718888748,0.36646181876165645,0.5412889244715657,0.26106802271581875,0.6891847479466511,0.31790831845002465,0.7006452040236386,-0.29415196642036784,-0.45471832892735725,0.357091148951769,0.529013968291334,0.476452988372703,0.27490092016359935,0.6660706054088807,0.16927012799176663,-0.02142362206479924,0.5576466630908323,0.2885227667528872
OFCmed_L,0.24111890145136147,0.4256399319954702,-0.28913771557882356,-0.04213262412370979,0.22120806160638445,-0.2615497157459567,0.15760440111893573,0.10319336289893793,1.0,-0.009855200031646989,-0.11553398595128336,0.044950577263259,-0.4292077669237181,0.09674783516762135,-0.01299822533206628,-0.1998860299919687,-0.2341404398716485,0.6351939503220917,0.08643532480418635,-0.20619189571939472,0.017792575014427853,0.13159650001064316,-0.35519514288761794,0.06887740539712774,-0.16858847778304567,0.1525407987717178,-0.20194162545996266,0.46292320789075975,0.0659696036860567,0.4179718469873379,-0.45023136995951635,0.35802387337490144,0.06920151662800866,0.4234646994468523,0.7308640413556216,-0.18914745313519712,-0.09364706862186314,-0.19927825838206042,0.018744418857135778,-0.13091740732987894,-0.31206428290403737,-0.3225497859953659,-0.04210476591162541,0.4145068358054565,0.3916366383826678,0.27293434145692796,0.09508990833403087,0.6334370245618253,0.6953290049581405,-0.34977289219674595,-0.4410457828579823,0.43177246465282687,0.28050240014941896,-0.14217792844056293,0.4198105991632091,0.5853715592385141,0.12154165321649905,0.3696026491476765,0.46227565442426,-0.2514839604167864,0.3643554672002458,0.5178451522567201,-0.022974320350280377,-0.07522268043314022,-0.4434140102449395,0.484666798590079,-0.35128699796431023,0.42875621423547067,0.4337884519542421,-0.024946699989637732,0.03897324305696765,-0.0392090723295023,0.0339731748261011,-0.12482026738744421,0.6942670699411684,0.37889659967128875,0.27858795891579524,0.23148905182285573,0.6220173829582211,-0.027905370141148505,0.038261932189178643,0.3991870458228949,0.061714436373471515,-0.364718505728966,-0.21017355189016854,0.5372263611633655,0.4556727766152125,0.0790104796174858,-0.2810316728773804,-0.0022031470222263366,-0.016028748138745726,0.058982429308874054,-0.07879569112410745,-0.19367414535288807,0.36718572911143077,0.26529975013458595,-0.09213632755808482,-0.4494657036312076,0.0015655303855653952,0.3002528400266913,-0.355832236894404,0.10546549362750307,0.5049824340619191,-0.22638206092279126,0.4544335748350865,0.1210039468543617,0.837697503454425,0.036498230636242364,0.5315561188742244,0.5756684984410335,-0.381396929751212,-0.10077604928915732,-0.1467729372555076,0.26429245922303707,0.15289896563192942,-0.3387196811715891,-0.22260219071053403,-0.11884201648588401,0.43871270528350864,-0.18333024556733374,0.16572882206769968,0.39463685610437615,-0.20790238608293737,-0.33107117596484353,0.4004249426545187,0.6357017713923921,0.4140145630936977,-0.13331940127704286,0.2800234655296869,-0.41510924908304603,-0.30754573782049055,-0.27990135522339005,0.15107474106269408,-0.0853510617179801,-0.11258020338449815,-0.05815796884110414,-0.3992808187874368,0.4815931118242072,0.6071671426553459,-0.11322197039523921
