,Vermis_3,Precuneus_L,SupraMarginal_L,Temporal_Pole_Mid_R,Vermis_9,Vermis_4_5,Cuneus_R,Thal_VPL_R,ParaHippocampal_R,N_Acc_R
Vermis_3,1.0,0.4881706247837937,0.0035951645143685535,-0.5390055961434865,0.5053984769585819,0.6722328833132889,0.1581006102665295,-0.43378362474631343,0.582584672774625,0.5902373068412851
Precuneus_L,0.4881706247837937,1.0,0.4102065890143796,-0.5858433585810068,-0.007918675204371808,0.5881346896520987,0.7101238579624997,-0.1526863058569526,0.28694955940769984,0.5210225862558627
SupraMarginal_L,0.0035951645143685535,0.4102065890143796,1.0,-0.009742661591602548,-0.017046340567370637,0.46198821343328356,0.6313037130871073,0.5176489489352926,0.1889422599417896,-0.06151468971532059
Temporal_Pole_Mid_R,-0.5390055961434865,-0.5858433585810068,-0.009742661591602548,1.0,-0.1558843757959936,-0.3097840754542791,-0.08277450160227619,0.6543313946717854,-0.23331664967191829,-0.5133998191030068
Vermis_9,0.5053984769585819,-0.007918675204371808,-0.017046340567370637,-0.1558843757959936,1.0,0.33826419332615615,0.10784388520782408,-0.12211638591309038,0.4556128931115182,0.23539685306071198
Vermis_4_5,0.6722328833132889,0.5881346896520987,0.46198821343328356,-0.3097840754542791,0.33826419332615615,1.0,0.5494490105500113,0.03083233037202583,0.6616207204753435,0.48128240069408484
Cuneus_R,0.1581006102665295,0.7101238579624997,0.6313037130871073,-0.08277450160227619,0.10784388520782408,0.5494490105500113,1.0,0.39226369165548536,0.1551463399540231,0.21251178970034018
Thal_VPL_R,-0.43378362474631343,-0.1526863058569526,0.5176489489352926,0.6543313946717854,-0.12211638591309038,0.03083233037202583,0.39226369165548536,1.0,-0.06716635861285004,-0.4453958630015071
ParaHippocampal_R,0.582584672774625,0.28694955940769984,0.1889422599417896,-0.23331664967191829,0.4556128931115182,0.6616207204753435,0.1551463399540231,-0.06716635861285004,1.0,0.5738629310804197
N_Acc_R,0.5902373068412851,0.5210225862558627,-0.06151468971532059,-0.5133998191030068,0.23539685306071198,0.48128240069408484,0.21251178970034018,-0.4453958630015071,0.5738629310804197,1.0
