,Rolandic_Oper_L,Thal_LP_R,OFClat_L,Frontal_Inf_Oper_R,Thal_PuL_R,Thal_PuI_R,Thal_MGN_L,Cerebellum_8_R,Frontal_Sup_Medial_L,Cerebellum_4_5_L,Hippocampus_R,Thal_MDl_R,OFClat_R,Red_N_L,Thal_VPL_R,OFCpost_R,Paracentral_Lobule_L,Raphe_M,Insula_L,Thal_PuI_L,Occipital_Inf_R,Vermis_4_5,Parietal_Inf_L,Thal_LGN_L,ACC_sub_L,Cingulate_Mid_R,Precentral_L,Pallidum_R,Frontal_Med_Orb_R,Cerebellum_3_L,Temporal_Inf_R,Cerebellum_6_R,Rolandic_Oper_R,SN_pc_R,Supp_Motor_Area_L
Rolandic_Oper_L,1.0,0.3793228390641956,0.6828915573224646,0.7051186452170324,0.14332767655575598,0.40630565500213234,-0.08238473743584311,-0.19415876292730666,0.6262124538601904,0.8591498518548015,0.7355319763751278,-0.10359376301771708,0.5780308493191714,0.7064384891083504,-0.16614477435485597,0.5155831688141935,0.7544664237696118,0.7538192186658648,0.5403656865012754,-0.15193636138997355,-0.5509008931050935,0.735260458270939,0.6486265216991897,0.4279449262714604,0.5669467383912228,0.8818914028388726,0.5730246184942607,0.736759095788495,0.27742637370410045,0.4499708577487023,-0.12057106338075026,-0.1482160077183928,0.6517237866918204,0.23957844329605346,0.8511678762990452
Thal_LP_R,0.3793228390641956,1.0,0.46196395717632055,0.3360094924336171,0.42833964771607397,0.2419652580325818,0.029598575720847446,-0.09245057627281267,0.13727688225830373,0.41688629900595625,0.3629919962772424,-0.3263439656044791,0.2844738669363336,0.24081856871352772,-0.3905006694125133,0.41338759452680673,0.2653641946857859,0.5154585423455599,0.10268275384996686,0.07421974881642324,-0.3479978447628744,0.2125311197184551,0.14007261285475373,0.059110751999770283,0.3802444307636453,0.38483281524919993,0.09803627971875715,0.5281965768304393,0.419899879840644,-0.049814944885642934,-0.028467752731918768,-0.2733351578097428,0.15265738469184378,-0.1576646457028862,0.27761888195657614
OFClat_L,0.6828915573224646,0.46196395717632055,1.0,0.5530255698516441,0.4540164654131948,0.42231998861372977,-0.12098258478969912,-0.14466219122130397,0.46918976493336634,0.7055037394362735,0.5440756576459029,-0.18347253609877287,0.49113882574768014,0.474589690759897,-0.2388162706704355,0.5222464423571525,0.4939596510146994,0.6376073522486456,0.4902352868291005,-0.0619246273836972,-0.5338648253768747,0.6082399082307198,0.379901904952008,0.11691640661229033,0.5374775437294451,0.6717467164452356,0.45212129545362395,0.6577477794478773,0.2883996758449836,0.1825122919289583,-0.0051236923684901455,-0.22845310720349707,0.552147450814601,-0.11700070035782828,0.6061375280207122
Frontal_Inf_Oper_R,0.7051186452170324,0.3360094924336171,0.5530255698516441,1.0,0.2260757152923302,0.308890693063286,0.1767197609783874,-0.3400438318895559,0.4735299467483485,0.7236646747068536,0.5578872764757263,-0.2800083847849636,0.5194234336640849,0.5631898254325947,-0.3073810928922404,0.34793197419256083,0.5932717433043599,0.664468327787962,0.44608830400540395,-0.07293930058746192,-0.5919355852362462,0.5400151646073894,0.3540323836870956,0.36291639824888017,0.6025328617009506,0.721166096164269,0.26078775818047284,0.6897532581607085,0.26022248249901103,0.3194936208344695,-0.12334214842658213,-0.2894310816579667,0.6958342738448495,0.2878937136587142,0.6790070372222546
Thal_PuL_R,0.14332767655575598,0.42833964771607397,0.4540164654131948,0.2260757152923302,1.0,0.3370322159602837,0.28900555018860813,-0.06192205583909007,0.10834278900387131,0.3528848559084948,0.2852646469802668,-0.48164966163234296,0.13148299571478722,-0.0177985766054484,-0.42608128155022806,0.2628378955160063,-0.09793890187810535,0.24465045943932553,0.08929349479913092,0.11422419849901336,-0.24090371414833903,0.23017752536046018,-0.19214488311257052,-0.009832234074571875,0.38575553576035315,0.13979910569136875,0.06511449459997716,0.42410297935904984,0.4532448365531507,-0.22658224502402338,0.18532834699453113,-0.14177251749518843,0.24232361840773514,-0.27502746565465624,0.0027404252871768182
Thal_PuI_R,0.40630565500213234,0.2419652580325818,0.42231998861372977,0.308890693063286,0.3370322159602837,1.0,0.003464930868734337,-0.2815063091597454,0.3153656946949122,0.6045365748791174,0.5318456370037088,-0.31539002177269176,0.33860397663375225,0.3994641654355453,-0.2901025464108029,0.3027998959946731,0.29032555833569246,0.4218804796629867,0.2184210692780028,-0.15356514147419853,-0.4519441596909996,0.5243786710530886,0.31231667410049124,0.16336000796326205,0.5036998635384488,0.35143856421352637,0.45332389679296814,0.4935990728554278,0.4031572571185543,0.08724212748285042,-0.12165658881552509,-0.22960779338847648,0.27516108148557433,0.08530768966996559,0.3295156470099785
Thal_MGN_L,-0.08238473743584311,0.029598575720847446,-0.12098258478969912,0.1767197609783874,0.28900555018860813,0.003464930868734337,1.0,0.2279135683979413,-0.15486707357268317,0.08184081626483246,0.15612871190812072,-0.292630182613832,-0.04571539164150698,-0.24708070934967513,-0.274873062730981,0.10464413109354767,-0.20606256400223136,0.04577592697656267,0.18298581506856695,0.4496582115238217,0.21974748888395812,-0.06761534684851976,-0.4810952515789615,0.3113430215912651,0.13823404246748894,-0.03406764120234419,-0.4678942833416724,0.18407667984355047,0.1868723338809098,0.08662715625449952,0.41442186317126894,0.23950480486778167,0.1420971131341967,0.09090541110602554,-0.22473700712444877
Cerebellum_8_R,-0.19415876292730666,-0.09245057627281267,-0.14466219122130397,-0.3400438318895559,-0.06192205583909007,-0.2815063091597454,0.2279135683979413,1.0,-0.022008646530684906,-0.3053467675561029,-0.1466069932439699,0.4767436083427521,-0.18376253502542775,-0.38223335562435873,0.45185780974609047,-0.07462953310241081,-0.3459955824439851,-0.19083195933106883,0.17108850906077383,0.5974843079110543,0.7419188196328584,-0.12167877309431224,-0.33082552929018144,0.03707926201581394,-0.2860878916019346,-0.14688542923864142,-0.24923621772272223,-0.40690714597182953,-0.30959975365787556,0.027632280446243933,0.72428014128859,0.8265028679927222,-0.09277935162783299,-0.15102966567448206,-0.2645693948580053
Frontal_Sup_Medial_L,0.6262124538601904,0.13727688225830373,0.46918976493336634,0.4735299467483485,0.10834278900387131,0.3153656946949122,-0.15486707357268317,-0.022008646530684906,1.0,0.6607848047165862,0.6526995547322687,0.23033441885330533,0.5910151986743863,0.5817025908530575,0.333798070836606,0.44593660523613465,0.5550126873624132,0.40983539357634285,0.5544271158916515,-0.09098553315783975,-0.3519931733123534,0.7407270717205506,0.6244440262504749,0.521238495403357,0.4948001085879016,0.7104810996399691,0.4979594727827389,0.3435425017048773,0.21928991863815653,0.23401469052664392,0.023800859140244057,0.12502758016575105,0.5829470587800432,0.2468781669153699,0.6625570443035209
Cerebellum_4_5_L,0.8591498518548015,0.41688629900595625,0.7055037394362735,0.7236646747068536,0.3528848559084948,0.6045365748791174,0.08184081626483246,-0.3053467675561029,0.6607848047165862,1.0,0.8312602740457067,-0.2821870078983382,0.6354977256604893,0.6921163308249003,-0.29332901112923276,0.5670844408585224,0.6773517634449565,0.7919585241553218,0.5034276648079222,-0.18205950774568713,-0.6574930311924855,0.8236358022059641,0.555318314670565,0.4702669427489755,0.7334179305774606,0.843220407994459,0.5331657935539548,0.8274647460971161,0.4522682239830714,0.36048524396622156,-0.06737538252130522,-0.21848818411155277,0.6850040951861729,0.21886665455225765,0.7712736878395905
